original_text,perturbed_text,label
"Les Disques du Crépuscule is an independent record [[label]] [[founded]] in Belgium. The [[label]] was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent record [[judge]] [[plant]] in Belgium. The [[pronounce]] was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"Giulia Sergas ([[born]] [[26]] [[December]] 1979) is an Italian [[professional]] [[golfer]], [[currently]] [[playing]] on both the LPGA Tour and the [[Ladies]] European Tour.","Giulia Sergas ([[hold]] [[twenty-six]] [[Dec]] 1979) is an Italian [[pro]] [[linksman]], [[presently]] [[recreate]] on both the LPGA Tour and the [[noblewoman]] European Tour.",0
"The Texas river cooter (Pseudemys texana) is a [[species]] of freshwater turtle [[native]] to creeks, rivers, and lakes of the US state of Texas. It is [[found]] in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[species]] of cooter native to the state, the other being the Eastern River Cooter.","The Texas river cooter (Pseudemys texana) is a [[coinage]] of freshwater turtle [[aboriginal]] to creeks, rivers, and lakes of the US state of Texas. It is [[receive]] in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[coinage]] of cooter native to the state, the other being the Eastern River Cooter.",3
"Hong Kong [[Tramways]] (Chinese: 香港電車) is a [[tram]] [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong [[ropeway]] (Chinese: 香港電車) is a [[ropeway]] [[arrangement]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Mumtaz Mahal (1921 – 1945) was a British [[Thoroughbred]] [[racehorse]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. [[Bred]] by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her [[sire]] was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""","Mumtaz Mahal (1921 – 1945) was a British [[purebred]] [[bangtail]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. [[multiply]] by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her [[father]] was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""",3
"These are the [[results]] of the women's [[individual]] all-around competition, [[one]] of [[six]] [[events]] for [[female]] [[competitors]] in artistic gymnastics at the 2000 Summer [[Olympics]] in Sydney. The qualification and final [[rounds]] [[took]] [[place]] on [[September]] [[17]] and [[21]] at the Sydney SuperDome. The all-around competition in the [[discipline]] of women's [[artistic]] gymnastics ([[WAG]]) was [[marred]] by [[three]] [[separate]] [[scandals]]. The [[vault]] apparatus was [[set]] [[incorrectly]] for more than half of the meet; consequently many gymnasts [[fell]] or were injured on the [[event]]. The apparatus was [[adjusted]] during the third rotation and those gymnasts who had [[vaulted]] on the incorrectly [[set]] equipment were invited to re-do the [[event]] at the [[end]] of the [[competition]]. Notably, Svetlana Khorkina, who [[led]] champion Andreea Răducan by [[nearly]] 0.[[3]] in qualifications, was [[thrown]] out of [[medal]] [[contention]] [[due]] to the [[wrongly]] measured vault. Additionally, [[world]] all-around silver medalist Viktoria Karpenko, who [[led]] the competition until the [[last]] rotation, was [[thrown]] from [[first]] [[place]] after she stubbed her toe, [[tripped]], and [[fell]] out of [[bounds]] on her [[floor]] [[exercise]]. These are [[testaments]] to the [[upset]] of the [[entire]] competition. [[Finally]], though not necessarily a [[favorite]] for an all-around medal, Dong Fangxiao was [[found]] in 2010 to have been underaged at the Sydney Olympics. [[Consequently]], all of her [[results]] from the competition - [[including]] her all-around results - were [[cancelled]].","These are the [[resolution]] of the women's [[case-by-case]] all-around competition, [[1]] of [[6]] [[issue]] for [[distaff]] [[competitor]] in artistic gymnastics at the 2000 Summer [[Olympiad]] in Sydney. The qualification and final [[beat]] [[read]] [[identify]] on [[Sept]] [[XVII]] and [[XXI]] at the Sydney SuperDome. The all-around competition in the [[study]] of women's [[esthetic]] gymnastics ([[waggle]]) was [[vitiate]] by [[triad]] [[reprint]] [[scandal]]. The [[hurdle]] apparatus was [[specify]] [[wrong]] for more than half of the meet; consequently many gymnasts [[savage]] or were injured on the [[case]]. The apparatus was [[correct]] during the third rotation and those gymnasts who had [[domed]] on the incorrectly [[coiffure]] equipment were invited to re-do the [[issue]] at the [[death]] of the [[contender]]. Notably, Svetlana Khorkina, who [[conduct]] champion Andreea Răducan by [[intimately]] 0.[[III]] in qualifications, was [[thrust]] out of [[decoration]] [[arguing]] [[referable]] to the [[incorrectly]] measured vault. Additionally, [[domain]] all-around silver medalist Viktoria Karpenko, who [[conduce]] the competition until the [[utmost]] rotation, was [[thrust]] from [[world-class]] [[identify]] after she stubbed her toe, [[stumble]], and [[return]] out of [[recoil]] on her [[story]] [[work]]. These are [[Testament]] to the [[overturned]] of the [[integral]] competition. [[lastly]], though not necessarily a [[darling]] for an all-around medal, Dong Fangxiao was [[base]] in 2010 to have been underaged at the Sydney Olympics. [[therefore]], all of her [[resolution]] from the competition - [[admit]] her all-around results - were [[invalidate]].",5
"Taufik Hidayat ([[born]] 10 [[August]] 1981 in Bandung, West [[Java]]) is a [[retired]] [[Indonesian]] badminton [[player]]. [[He]] is a [[former]] [[World]] and Olympic [[champion]] in men's [[singles]]. [[He]] has [[also]] won the [[Indonesian]] [[Open]] [[six]] [[times]] (1999, 2000, 2002, 2003, 2004 and 2006). When he was [[young]], he [[joined]] the [[SGS]] [[Club]], a badminton [[club]] in Bandung, where he [[trained]] under Iie Sumirat. Hidayat won the men's [[singles]] [[competition]] in badminton at the 2004 Summer Olympics. [[In]] [[August]] 2005, he won the men's [[singles]] [[competition]] at the IBF [[World]] [[Championships]]. [[He]] [[also]] won the [[gold]] [[medal]] at the [[Asian]] [[Games]] [[twice]], at Busan in 2002 and Doha in 2006. Popular [[media]] has at [[times]] [[focused]] on the perceived [[rivalry]] between Hidayat and Chinese [[player]] Lin Dan, [[referring]] to the two as \""[[arch]] [[rivals]]\"". [[In]] November 2012, Hidayat [[built]] a badminton [[training]] [[center]] [[named]] Taufik Hidayat Arena (THA), [[located]] at Ciracas, [[East]] Jakarta. The [[Center]] is [[owned]] and [[named]] after himself.","Taufik Hidayat ([[hold]] 10 [[grand]] 1981 in Bandung, West [[java]]) is a [[adjourn]] [[Bahasa]] badminton [[participant]]. [[helium]] is a [[previous]] [[reality]] and Olympic [[friend]] in men's [[single]]. [[helium]] has [[too]] won the [[Bahasa]] [[opened]] [[6]] [[clock]] (1999, 2000, 2002, 2003, 2004 and 2006). When he was [[youthful]], he [[conjoin]] the [[Sg]] [[nightclub]], a badminton [[nightclub]] in Bandung, where he [[trail]] under Iie Sumirat. Hidayat won the men's [[single]] [[contest]] in badminton at the 2004 Summer Olympics. [[inch]] [[revered]] 2005, he won the men's [[I]] [[rival]] at the IBF [[man]] [[backing]]. [[helium]] [[too]] won the [[gilded]] [[ribbon]] at the [[Asiatic]] [[gage]] [[double]], at Busan in 2002 and Doha in 2006. Popular [[sensitive]] has at [[clock]] [[focus]] on the perceived [[contention]] between Hidayat and Chinese [[participant]] Lin Dan, [[concern]] to the two as \""[[archway]] [[challenger]]\"". [[inward]] November 2012, Hidayat [[make]] a badminton [[prepare]] [[mall]] [[identify]] Taufik Hidayat Arena (THA), [[situated]] at Ciracas, [[eastward]] Jakarta. The [[mall]] is [[have]] and [[mention]] after himself.",0
"Christina Alessi (previously Robinson) is a [[fictional]] [[character]] from the Australian [[soap]] opera [[Neighbours]], [[played]] by Gayle Blakeney. She [[made]] her first on-screen appearance on 18 January 1990, when she [[moved]] into Ramsay Street with her twin sister, Caroline. Christina marries Paul Robinson and gives birth to their son, Andrew. Christina [[departed]] on 5 August 1992 with Paul and Andrew, following Paul's relocation to Hawaii. Caroline, Christina's twin sister, was played by Gayle's real-life twin, Gillian Blakeney.","Christina Alessi (previously Robinson) is a [[fabricated]] [[part]] from the Australian [[lather]] opera [[neighbor]], [[play]] by Gayle Blakeney. She [[score]] her first on-screen appearance on 18 January 1990, when she [[proceed]] into Ramsay Street with her twin sister, Caroline. Christina marries Paul Robinson and gives birth to their son, Andrew. Christina [[foregone]] on 5 August 1992 with Paul and Andrew, following Paul's relocation to Hawaii. Caroline, Christina's twin sister, was played by Gayle's real-life twin, Gillian Blakeney.",0
"Bishop's Stortford is an English [[rugby]] union team [[based]] in Bishop's Stortford, Hertfordshire. The club runs five senior sides and the full range of Mini & junior teams, from under-6's to under-18's.  and the first XV currently plays in National League 2 South.","Bishop's Stortford is an English [[rugger]] union team [[ground]] in Bishop's Stortford, Hertfordshire. The club runs five senior sides and the full range of Mini & junior teams, from under-6's to under-18's.  and the first XV currently plays in National League 2 South.",0
"The Savages were an American garage rock [[band]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.","The Savages were an American garage rock [[set]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
