original_text,perturbed_text,label
'[[Nonis']] is a [[hybrid]] [[cultivar]] of the [[genus]] [[Neoregelia]] in the [[Bromeliad]] [[family]].,'[[s]] is a [[global]] [[publication]] of the [[varieties]] [[cannabis]] in the [[flower]] [[variety]].,3
"The Canal [[Latéral]] [[à]] la Loire was constructed between 1827 and 1838 to connect the Canal de [[Briare]] at Briare and the Canal du Centre at Digoin, a distance of 196 km. [[It]] replaced the use of the River Loire which had reliability problems arising from winter floods and summer droughts. [[Aqueducts]] were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not built to [[cross]] the Loire River at Briare until 1896 when the Briare aqueduct was constructed.","The Canal [[d]] [[sur]] la Loire was constructed between 1827 and 1838 to connect the Canal de [[navigation]] at Briare and the Canal du Centre at Digoin, a distance of 196 km. [[they]] replaced the use of the River Loire which had reliability problems arising from winter floods and summer droughts. [[aqueduct]] were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not built to [[spanned]] the Loire River at Briare until 1896 when the Briare aqueduct was constructed.",2
"Les Disques du Crépuscule is an independent [[record]] [[label]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent [[label]] [[release]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"Hong Kong [[Tramways]] (Chinese: 香港電車) is a tram system in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong [[line]] (Chinese: 香港電車) is a tram system in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[racehorse]] who the National [[Sporting]] Library's Thoroughbred Heritage website says was \""one of the most important [[broodmares]] of the 20th Century\"". She was named for [[empress]] Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of [[Taj]] Mahal fame. Bred by Lady Sykes at her [[Sledmere]] Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage [[website]] also said was \""probably the greatest [[two-year-old]] of all time\"", and that he was \""possibly the greatest runner ever.\""","Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[racer]] who the National [[horse]] Library's Thoroughbred Heritage website says was \""one of the most important [[people]] of the 20th Century\"". She was named for [[almighty]] Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of [[akbar]] Mahal fame. Bred by Lady Sykes at her [[namesake]] Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage [[site]] also said was \""probably the greatest [[kid]] of all time\"", and that he was \""possibly the greatest runner ever.\""",3
"Yisrael [[Beiteinu]] (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is [[Our]] Home) is a secularist and right-wing nationalist political [[party]] in Israel. The [[party's]] base has traditionally been secular, Russian-speaking Israelis. The party [[describes]] itself as \""a national movement with the clear vision to [[follow]] in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily [[represents]] immigrants from the former Soviet Union. Although it has [[attempted]] to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. [[It]] takes a strong [[line]] towards the peace [[process]] and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". [[Its]] main platform includes a [[recognition]] of the two-state solution, the creation of a Palestinian state that [[would]] include an exchange of some [[largely]] Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party [[maintains]] an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase [[Jewish]] immigration. In the 2009 election the party won 15 seats, its most to date, [[making]] it the third largest party in the previous [[Knesset]]. In the 2015 election, the party won six seats.","Yisrael [[beit]] (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is [[its]] Home) is a secularist and right-wing nationalist political [[ideology]] in Israel. The [[party]] base has traditionally been secular, Russian-speaking Israelis. The party [[regards]] itself as \""a national movement with the clear vision to [[develop]] in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily [[prefers]] immigrants from the former Soviet Union. Although it has [[tended]] to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. [[it]] takes a strong [[course]] towards the peace [[deal]] and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". [[its]] main platform includes a [[realization]] of the two-state solution, the creation of a Palestinian state that [[shall]] include an exchange of some [[essentially]] Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party [[advocates]] an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase [[israeli]] immigration. In the 2009 election the party won 15 seats, its most to date, [[joining]] it the third largest party in the previous [[election]]. In the 2015 election, the party won six seats.",0
"Op:l Bastards was [[formed]] by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:[[l]] Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009","Op:l Bastards was [[released]] by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:[[lok]] Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009",0
"[[Rosemount]] High School (French: École secondaire Rosemount) is an English-language high [[school]] located in Montreal, Quebec, Canada. It opened in 1951. The school offers a special music program as well as drama and visual arts programs. Today, the school offers a French-immersion program in addition to its English core program. It is situated on Beaubien street East, across the street from park Etienne-Desmarteau and College Rosemont. There is a soccer field and tennis court behind the school. School facilities include two double gymnasiums, an auditorium that can seat 762 people, a library, a computer lab, specialized drama & art rooms, two circular sound-proofed music rooms, and a large soccer field. The school is made up of 3 wings, 2 of those wings having 2 floors. The 2100 wing is the main hallway where you will find the old gym, the main office and the guidance office. The 3100 wing is situated right on top of the 2100 wing and has classrooms. The 2400 wing is on the same floor as the 2100 wing. It has classrooms, the computer lab, the library, the New Gym, the art room and a science lab. The 3400 wing has classrooms including a large drama room and a senior square for the senior students to hang out. The 3300 wing has science labs and classrooms. The Music Concentration Program actually has its own wing located behind the school's auditorium. The school's auditorium can hold up to 762 people and is named after the founder of the music department and a dedicated music teacher at the school for many years who died in the 90s, Mrs. Helen Hall. The school is part of the English Montreal School Board.","[[school]] High School (French: École secondaire Rosemount) is an English-language high [[schools]] located in Montreal, Quebec, Canada. It opened in 1951. The school offers a special music program as well as drama and visual arts programs. Today, the school offers a French-immersion program in addition to its English core program. It is situated on Beaubien street East, across the street from park Etienne-Desmarteau and College Rosemont. There is a soccer field and tennis court behind the school. School facilities include two double gymnasiums, an auditorium that can seat 762 people, a library, a computer lab, specialized drama & art rooms, two circular sound-proofed music rooms, and a large soccer field. The school is made up of 3 wings, 2 of those wings having 2 floors. The 2100 wing is the main hallway where you will find the old gym, the main office and the guidance office. The 3100 wing is situated right on top of the 2100 wing and has classrooms. The 2400 wing is on the same floor as the 2100 wing. It has classrooms, the computer lab, the library, the New Gym, the art room and a science lab. The 3400 wing has classrooms including a large drama room and a senior square for the senior students to hang out. The 3300 wing has science labs and classrooms. The Music Concentration Program actually has its own wing located behind the school's auditorium. The school's auditorium can hold up to 762 people and is named after the founder of the music department and a dedicated music teacher at the school for many years who died in the 90s, Mrs. Helen Hall. The school is part of the English Montreal School Board.",0
"[[Slutwave]] is a pejorative applied as if it were a [[musical]] genre to female pop music stars which [[emerged]] in the late 2000s. Houston Press describes the [[genre]] as female musicians who \""favor sex appeal - suggestive dancing, scant clothing, explicit lyrics - to [[promote]] their career over their actual music.\"" The [[term]] was first used on the site Hipster [[Runoff]] and has gained wider usage. It was named Rolling Stone's genre of the year in 2011. Musicians who are commonly alleged to use such a [[style]] include Katy Perry, Miley Cyrus, Nicki [[Minaj]], Kesha, Lady Gaga, and Rihanna.","[[female]] is a pejorative applied as if it were a [[major]] genre to female pop music stars which [[originated]] in the late 2000s. Houston Press describes the [[term]] as female musicians who \""favor sex appeal - suggestive dancing, scant clothing, explicit lyrics - to [[favor]] their career over their actual music.\"" The [[words]] was first used on the site Hipster [[times]] and has gained wider usage. It was named Rolling Stone's genre of the year in 2011. Musicians who are commonly alleged to use such a [[song]] include Katy Perry, Miley Cyrus, Nicki [[minogue]], Kesha, Lady Gaga, and Rihanna.",8
"Eutelsat 16C (formerly SESAT 1) is a [[satellite]] operated by Eutelsat, originally the first of a [[series]] of SESAT (Siberia - Europe SATellite) [[satellites]]. It [[provides]] a wide range of telecommunications services over a very large geographical coverage area that extends from the Atlantic Ocean to Eastern Russia, including a large [[part]] of Siberia. The [[satellites]] also provide broadcasting services to Africa by means of steerable spotbeams. On 29 January 2010, the satellite moved to 16° [[E]] to [[take]] over some services from the malfunctioning W2 satellite.","Eutelsat 16C (formerly SESAT 1) is a [[satellites]] operated by Eutelsat, originally the first of a [[set]] of SESAT (Siberia - Europe SATellite) [[satellite]]. It [[provide]] a wide range of telecommunications services over a very large geographical coverage area that extends from the Atlantic Ocean to Eastern Russia, including a large [[portion]] of Siberia. The [[satellite]] also provide broadcasting services to Africa by means of steerable spotbeams. On 29 January 2010, the satellite moved to 16° [[northwards]] to [[taking]] over some services from the malfunctioning W2 satellite.",2
