original_text,perturbed_text,label
'[[Nonis']] is a [[hybrid]] [[cultivar]] of the genus [[Neoregelia]] in the [[Bromeliad]] [[family]].,'[[vita]] is a [[successful]] [[publication]] of the genus [[flora]] in the [[botanist]] [[tradition]].,3
"Les Disques du Crépuscule is an independent record [[label]] founded in Belgium. [[The]] [[label]] was founded in 1980 by Michel Duval and Annik Honoré. It [[also]] had a prominent associated [[sublabel]], Factory Benelux. Both are now run by [[former]] [[employee]] James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters [[TWI]].","Les Disques du Crépuscule is an independent record [[release]] founded in Belgium. [[which]] [[labels]] was founded in 1980 by Michel Duval and Annik Honoré. It [[too]] had a prominent associated [[title]], Factory Benelux. Both are now run by [[past]] [[collaborator]] James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters [[la]].",0
"The Brockville Football Club was a team that [[played]] in the QRFU at the turn of the century. [[They]] had great success early on in their history. [[In]] 1899, they finished in first [[place]] in the QRFU but lost to Ottawa College in the Quebec finals. [[They]] won the QRFU Championship in 1900 but [[lost]] in the [[Dominion]] Final to the Ottawa Rough [[Riders]].","The Brockville Football Club was a team that [[featured]] in the QRFU at the turn of the century. [[them]] had great success early on in their history. [[that]] 1899, they finished in first [[s]] in the QRFU but lost to Ottawa College in the Quebec finals. [[he]] won the QRFU Championship in 1900 but [[loss]] in the [[dominion]] Final to the Ottawa Rough [[ing]].",0
"Hong Kong [[Tramways]] (Chinese: 香港電車) is a tram [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram [[system]] is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong [[bridge]] (Chinese: 香港電車) is a tram [[systems]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram [[systems]] is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[racehorse]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""","Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[trainer]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""",3
"The Savages were an American garage rock [[band]] from Bermuda that were active in the mid-1960s. [[They]] are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.","The Savages were an American garage rock [[bands]] from Bermuda that were active in the mid-1960s. [[it]] are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
"Bishop's Stortford is an English rugby union team [[based]] in Bishop's Stortford, [[Hertfordshire]]. The club runs five senior sides and the full [[range]] of [[Mini]] & junior teams, from under-6's to under-18's.  and the first XV [[currently]] plays in National League 2 South.","Bishop's Stortford is an English rugby union team [[ground]] in Bishop's Stortford, [[bromley]]. The club runs five senior sides and the full [[assortment]] of [[mini]] & junior teams, from under-6's to under-18's.  and the first XV [[still]] plays in National League 2 South.",0
"Yisrael [[Beiteinu]] (Hebrew: יִשְׂרָאֵל בֵּיתֵ[[נו]]ּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political [[party]] in [[Israel]]. [[The]] [[party's]] base has traditionally been secular, Russian-speaking [[Israelis]]. [[The]] [[party]] describes itself as \""a national movement with the clear vision to [[follow]] in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It [[primarily]] [[represents]] immigrants from the former Soviet Union. [[Although]] it has attempted to [[expand]] its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. [[It]] [[takes]] a [[strong]] line towards the peace process and the [[integration]] of Israeli [[Arabs]], characterized by its 2009 [[election]] slogan \""No loyalty, no citizenship\"". Its [[main]] platform includes a recognition of the two-state [[solution]], the creation of a Palestinian state that would [[include]] an [[exchange]] of some largely Arab-inhabited parts of [[Israel]] for largely Jewish-inhabited parts of the West Bank. The [[party]] [[maintains]] an anti-clerical mantle and encourages socio-economic opportunities for [[new]] [[immigrants]], in [[conjunction]] with efforts to increase Jewish immigration. [[In]] the 2009 election the [[party]] won 15 seats, its most to date, [[making]] it the third largest party in the previous [[Knesset]]. In the 2015 election, the party won six seats.","Yisrael [[win]] (Hebrew: יִשְׂרָאֵל בֵּיתֵ[[hebrew]]ּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political [[ideology]] in [[israel]]. [[a]] [[party]] base has traditionally been secular, Russian-speaking [[israelis]]. [[some]] [[parties]] describes itself as \""a national movement with the clear vision to [[walk]] in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It [[largely]] [[encompasses]] immigrants from the former Soviet Union. [[whether]] it has attempted to [[raise]] its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. [[they]] [[present]] a [[hard]] line towards the peace process and the [[inclusion]] of Israeli [[arabs]], characterized by its 2009 [[campaign]] slogan \""No loyalty, no citizenship\"". Its [[presidential]] platform includes a recognition of the two-state [[approach]], the creation of a Palestinian state that would [[incorporate]] an [[exchanging]] of some largely Arab-inhabited parts of [[israel]] for largely Jewish-inhabited parts of the West Bank. The [[parties]] [[retains]] an anti-clerical mantle and encourages socio-economic opportunities for [[immigrant]] [[population]], in [[combined]] with efforts to increase Jewish immigration. [[as]] the 2009 election the [[front]] won 15 seats, its most to date, [[including]] it the third largest party in the previous [[year]]. In the 2015 election, the party won six seats.",0
"Op:l Bastards was [[formed]] by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009","Op:l Bastards was [[produced]] by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009",0
"The Hamilton Spectator, founded in 1846, is a [[newspaper]] [[published]] every [[day]] but Sunday in Hamilton, Ontario, Canada.","The Hamilton Spectator, founded in 1846, is a [[newspapers]] [[offered]] every [[days]] but Sunday in Hamilton, Ontario, Canada.",1
