original_text,perturbed_text,label
'[[Nonis']] is a [[hybrid]] cultivar of the [[genus]] [[Neoregelia]] in the [[Bromeliad]] [[family]].,'[[diana]] is a [[descendant]] cultivar of the [[goddess]] [[goddess]] in the [[ceae]] [[dynasty]].,3
"Hong Kong [[Tramways]] (Chinese: 香港電車) is a tram [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong [[point]] (Chinese: 香港電車) is a tram [[station]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Mumtaz Mahal (1921 – 1945) was a British [[Thoroughbred]] [[racehorse]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""","Mumtaz Mahal (1921 – 1945) was a British [[horse]] [[jockey]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""",3
"Front Royal–Warren County [[Airport]] (IATA: FRR, ICAO: KFRR, FAA LID: FRR) is a county owned, public use [[airport]] located three nautical miles (6 km) west of the central business district of Front Royal, a town in Warren County, Virginia, United States. It is included in the National Plan of Integrated Airport Systems for 2011–2015, which categorized it as a general aviation facility.","Front Royal–Warren County [[airlines]] (IATA: FRR, ICAO: KFRR, FAA LID: FRR) is a county owned, public use [[aircraft]] located three nautical miles (6 km) west of the central business district of Front Royal, a town in Warren County, Virginia, United States. It is included in the National Plan of Integrated Airport Systems for 2011–2015, which categorized it as a general aviation facility.",2
"New York State [[Route]] 373 (NY 373) is a short state [[highway]] in Essex County, New [[York]], [[within]] Adirondack [[State]] Park. It begins at U.[[S]]. [[Route]] 9 (US 9) and proceeds eastward, ending at a ferry landing on Lake Champlain. [[It]] [[intersects]] two county routes, several local roads, and a reference route—NY 912T—which connects it with US 9. NY 373 is the only connector between US 9 and the hamlet of Port Kent and the ferry that serves it. The hamlet of Port Kent and the connecting road were originally [[built]] in 1823. The village was planned to act as a source of labor for iron manufacturing and to provide for the industrial needs of Essex County. The [[hamlet]] [[grew]] and eventually became connected to Burlington, Vermont, via an hour-long ferry across Lake Champlain. The road that accessed Port Kent originally began in Keeseville, but became part of the longer Port Kent and Hopkinton Turnpike in the 1830s. The highway that is now NY 373 was also designated as part of the Theodore Roosevelt International [[Highway]] in 1919. When NY 373 was assigned in 1930, a small portion of it was maintained by the town of Chesterfield. This section was turned over to the State of New York during a maintenance swap with Essex County in 1985.","New York State [[state]] 373 (NY 373) is a short state [[routes]] in Essex County, New [[york]], [[at]] Adirondack [[state]] Park. It begins at U.[[s]]. [[line]] 9 (US 9) and proceeds eastward, ending at a ferry landing on Lake Champlain. [[its]] [[operates]] two county routes, several local roads, and a reference route—NY 912T—which connects it with US 9. NY 373 is the only connector between US 9 and the hamlet of Port Kent and the ferry that serves it. The hamlet of Port Kent and the connecting road were originally [[begun]] in 1823. The village was planned to act as a source of labor for iron manufacturing and to provide for the industrial needs of Essex County. The [[hamlets]] [[existed]] and eventually became connected to Burlington, Vermont, via an hour-long ferry across Lake Champlain. The road that accessed Port Kent originally began in Keeseville, but became part of the longer Port Kent and Hopkinton Turnpike in the 1830s. The highway that is now NY 373 was also designated as part of the Theodore Roosevelt International [[routes]] in 1919. When NY 373 was assigned in 1930, a small portion of it was maintained by the town of Chesterfield. This section was turned over to the State of New York during a maintenance swap with Essex County in 1985.",2
"The 1936 Marquette Golden Avalanche football [[team]] represented Marquette University in the 1936 college football [[season]]. Marquette was led by long-time head coach Frank Murray. The team competed as a football independent and played their home games at Marquette Stadium in Milwaukee, Wisconsin. The squad finished the season with a 7–2 record after losing to TCU in the inaugural Cotton Bowl Classic.","The 1936 Marquette Golden Avalanche football [[event]] represented Marquette University in the 1936 college football [[games]]. Marquette was led by long-time head coach Frank Murray. The team competed as a football independent and played their home games at Marquette Stadium in Milwaukee, Wisconsin. The squad finished the season with a 7–2 record after losing to TCU in the inaugural Cotton Bowl Classic.",6
Louis Finet (born 1894 - died ?) was a Belgian [[vaulter]] who competed in the 1920 Summer Olympics. In 1920 he won the gold medal in the team vaulting competition and the bronze medal in the individual vaulting event.,Louis Finet (born 1894 - died ?) was a Belgian [[racehorse]] who competed in the 1920 Summer Olympics. In 1920 he won the gold medal in the team vaulting competition and the bronze medal in the individual vaulting event.,0
"[[Op]]:[[l]] [[Bastards]] was formed by Timo Kaukolampi ([[born]] 1971), Vilunki 3000 (real name: Mikko Viljakainen, [[b]]. 1973) and Tuomo Puranen from [[Helsinki]], [[Finland]]. [[Kaukolampi]] and Vilunki had [[earlier]] on played in the garage rock band Larry and the Lefthanded. [[Their]] original [[name]] was Opel Bastards, but they had to [[change]] it due to the pressure from Opel company. Their music is [[categorised]] as electronic music. [[They]] are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 [[Op]]:l [[Bastards]] had their first [[gig]] in five years on the 18th of August at [[Flow]] festival of [[Helsinki]]. The Job album was re-released on [[Op]]:[[l's]] [[record]] label Lefta Records in Finland, with liner [[notes]] written by [[Philip]] Oakey (of The Human League fame). The [[group]] released their second album in 2009","[[album]]:[[lc]] [[bastards]] was formed by Timo Kaukolampi ([[in]] 1971), Vilunki 3000 (real name: Mikko Viljakainen, [[p]]. 1973) and Tuomo Puranen from [[helsinki]], [[finland]]. [[k]] and Vilunki had [[then]] on played in the garage rock band Larry and the Lefthanded. [[th]] original [[release]] was Opel Bastards, but they had to [[edit]] it due to the pressure from Opel company. Their music is [[written]] as electronic music. [[it]] are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 [[op]]:l [[bastards]] had their first [[gigs]] in five years on the 18th of August at [[summer]] festival of [[helsinki]]. The Job album was re-released on [[ep]]:[[sloan]] [[releasing]] label Lefta Records in Finland, with liner [[remarks]] written by [[philip]] Oakey (of The Human League fame). The [[quintet]] released their second album in 2009",0
"Bobby Vitale, also known as Bobby Vitali, ([[born]] June 30, 1965) is a retired American pornographic [[actor]] of Italian descent. He entered the adult film industry in 1995 and has performed in over 418 titles. His filmography includes films directed by John Leslie. Vitale has directed two adult films. While dating Briana Banks, he did scenes with her and other women. As of 2006, Vitale and Banks have stopped dating.","Bobby Vitale, also known as Bobby Vitali, ([[released]] June 30, 1965) is a retired American pornographic [[movie]] of Italian descent. He entered the adult film industry in 1995 and has performed in over 418 titles. His filmography includes films directed by John Leslie. Vitale has directed two adult films. While dating Briana Banks, he did scenes with her and other women. As of 2006, Vitale and Banks have stopped dating.",0
"Iketeru Futari (イケてる2人, lit. \""The Hot Couple\"") is a Japanese manga [[written]] and illustrated by Takashi Sano. [[It]] was serialized in the Shōnen Gahosha magazine Young King Comics from 1997 to 2010 for a total of 33 volumes. The 1999 animated television adaptation has 16 episodes, with about 5½ minutes per episode. This anime features significant fan service. A live-action theatrical film version was released on October 2, 2009.","Iketeru Futari (イケてる2人, lit. \""The Hot Couple\"") is a Japanese manga [[writer]] and illustrated by Takashi Sano. [[what]] was serialized in the Shōnen Gahosha magazine Young King Comics from 1997 to 2010 for a total of 33 volumes. The 1999 animated television adaptation has 16 episodes, with about 5½ minutes per episode. This anime features significant fan service. A live-action theatrical film version was released on October 2, 2009.",1
