original_text,perturbed_text,label
'[[Nonis']] is a [[hybrid]] [[cultivar]] of the [[genus]] [[Neoregelia]] in the [[Bromeliad]] [[family]].,'[[Nons']] is a [[hyfrid]] [[culivar]] of the [[gnus]] [[Leoregelia]] in the [[Bromelia]] [[famliy]].,3
"Les Disques du Crépuscule is an independent [[record]] [[label]] founded in Belgium. The [[label]] was [[founded]] in [[1980]] by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory [[Benelux]]. [[Both]] are now run by former [[employee]] James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the [[label's]] catalogue [[numbers]] being [[prefixed]] by the [[letters]] [[TWI]].","Les Disques du Crépuscule is an independent [[recohrd]] [[abel]] founded in Belgium. The [[lable]] was [[fuonded]] in [[1890]] by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory [[BCenelux]]. [[Uoth]] are now run by former [[meployee]] James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the [[lable's]] catalogue [[nmubers]] being [[pLefixed]] by the [[leUtters]] [[TW]].",0
"[[The]] [[2003]] [[All-Ireland]] Under-21 Hurling Championship [[final]] was a hurling [[match]] that was played at Semple [[Stadium]], Thurles on [[21]] [[September]] 2003 to determine the winners of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a [[tournament]] [[organised]] by the Gaelic Athletic Association for the champion [[teams]] of the four provinces of [[Ireland]]. The [[final]] was [[contested]] by Kilkenny of Leinster and [[Galway]] of Connacht, with Kilkenny winning by [[2-13]] to 0-12.","[[Th]] [[o2003]] [[All-Irleand]] Under-21 Hurling Championship [[fsnal]] was a hurling [[atch]] that was played at Semple [[Sgadium]], Thurles on [[2]] [[Spetember]] 2003 to determine the winners of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a [[tuornament]] [[oDganised]] by the Gaelic Athletic Association for the champion [[team]] of the four provinces of [[Irmeland]]. The [[fnial]] was [[conested]] by Kilkenny of Leinster and [[GalwaL]] of Connacht, with Kilkenny winning by [[2T13]] to 0-12.",5
"[[The]] Brockville [[Football]] [[Club]] was a [[team]] that [[played]] in the [[QRFU]] at the turn of the century. [[They]] had great success early on in their [[history]]. [[In]] 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in [[1900]] but lost in the Dominion Final to the Ottawa Rough Riders.","[[Thu]] Brockville [[Fooztball]] [[Cxub]] was a [[tea]] that [[layed]] in the [[cRFU]] at the turn of the century. [[Tey]] had great success early on in their [[hitsory]]. [[nI]] 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in [[19t00]] but lost in the Dominion Final to the Ottawa Rough Riders.",0
"Giulia [[Sergas]] ([[born]] [[26]] December [[1979]]) is an [[Italian]] [[professional]] [[golfer]], currently playing on both the LPGA Tour and the Ladies [[European]] Tour.","Giulia [[Segras]] ([[orn]] [[2b6]] December [[197S9]]) is an [[Italina]] [[professionla]] [[golfeX]], currently playing on both the LPGA Tour and the Ladies [[Ebropean]] Tour.",0
"The Texas river cooter ([[Pseudemys]] texana) is a [[species]] of [[freshwater]] [[turtle]] [[native]] to creeks, rivers, and lakes of the US state of Texas. It is [[found]] in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[species]] of cooter native to the state, the other being the Eastern River Cooter.","The Texas river cooter ([[Peudemys]] texana) is a [[spbcies]] of [[areshwater]] [[turtfe]] [[nDtive]] to creeks, rivers, and lakes of the US state of Texas. It is [[fTund]] in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[speies]] of cooter native to the state, the other being the Eastern River Cooter.",3
"[[Hong]] Kong [[Tramways]] (Chinese: 香港電車) is a [[tram]] [[system]] in [[Hong]] Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. [[Trams]] in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The [[tram]] [[system]] is the only one in the world operated exclusively with double-decker [[trams]], and is one of only three non-heritage [[tram]] [[systems]] in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong [[Tramways]]' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","[[Hwong]] Kong [[Trmaways]] (Chinese: 香港電車) is a [[trma]] [[sstem]] in [[Hogn]] Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. [[TSrams]] in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The [[Ytram]] [[systm]] is the only one in the world operated exclusively with double-decker [[rams]], and is one of only three non-heritage [[trap]] [[systeXs]] in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong [[Tramawys]]' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"[[Mumtaz]] [[Mahal]] (1921 – [[1945]]) was a British [[Thoroughbred]] [[racehorse]] who the [[National]] [[Sporting]] Library's [[Thoroughbred]] [[Heritage]] [[website]] says was \""one of the most important broodmares of the [[20th]] [[Century]]\"". [[She]] was [[named]] for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. [[Bred]] by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the [[Thoroughbred]] Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""","[[MumtNz]] [[MIhal]] (1921 – [[1495]]) was a British [[Thooughbred]] [[raceorse]] who the [[Natioanl]] [[SpoWting]] Library's [[ThoroFghbred]] [[HXeritage]] [[ebsite]] says was \""one of the most important broodmares of the [[2ith]] [[CenMury]]\"". [[GShe]] was [[najed]] for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. [[Berd]] by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the [[Toroughbred]] Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""",3
"Stadion Feijenoord (pronounced [ˌstaːdijɔn ˈfɛiənoːrt]), more commonly known by its nickname De Kuip (pronounced [də ˈkœyp]; the Tub), is a [[stadium]] in Rotterdam, Netherlands that was completed in 1937. The name is derived from the [[area]] \""[[Feijenoord]]\"" in Rotterdam, and from the club with the same name (although the club's name was [[internationalised]] to [[Feyenoord]] in [[1973]]). [[The]] [[stadium's]] original [[capacity]] was 64,000. In 1949 it was expanded to [[69]],[[000]], and in 1994 it was renovated again for a capacity of 51,117. In 1999, a significant amount of restoration and [[interior]] [[work]] took place at the [[stadium]] prior to its use as a [[venue]] in the [[Euro]] 2000 [[tournament]], although [[capacity]] was largely unaffected.","Stadion Feijenoord (pronounced [ˌstaːdijɔn ˈfɛiənoːrt]), more commonly known by its nickname De Kuip (pronounced [də ˈkœyp]; the Tub), is a [[staidum]] in Rotterdam, Netherlands that was completed in 1937. The name is derived from the [[ara]] \""[[eijenoord]]\"" in Rotterdam, and from the club with the same name (although the club's name was [[internaionalised]] to [[Feynoord]] in [[1793]]). [[Hhe]] [[staVdium's]] original [[apacity]] was 64,000. In 1949 it was expanded to [[96]],[[00]], and in 1994 it was renovated again for a capacity of 51,117. In 1999, a significant amount of restoration and [[inteFior]] [[worXk]] took place at the [[stadiun]] prior to its use as a [[evnue]] in the [[Euor]] 2000 [[oturnament]], although [[cbpacity]] was largely unaffected.",2
"[[The]] [[1936]] [[Marquette]] [[Golden]] [[Avalanche]] football team [[represented]] Marquette University in the [[1936]] college [[football]] [[season]]. [[Marquette]] was [[led]] by [[long-time]] head coach Frank Murray. The team competed as a football independent and played their home games at Marquette Stadium in Milwaukee, Wisconsin. [[The]] squad [[finished]] the season with a 7–2 [[record]] after losing to TCU in the inaugural Cotton [[Bowl]] Classic.","[[Thce]] [[193L]] [[Mrquette]] [[Golde]] [[Avawanche]] football team [[rEepresented]] Marquette University in the [[q1936]] college [[fooCball]] [[saeson]]. [[MarquetXe]] was [[lde]] by [[long-tmie]] head coach Frank Murray. The team competed as a football independent and played their home games at Marquette Stadium in Milwaukee, Wisconsin. [[he]] squad [[ifnished]] the season with a 7–2 [[Xecord]] after losing to TCU in the inaugural Cotton [[BSwl]] Classic.",6
