original_text,perturbed_text,label
"The [[Canal]] [[Latéral]] à la Loire was constructed between 1827 and 1838 to [[connect]] the Canal de Briare at Briare and the Canal du Centre at Digoin, a distance of 196 km. It replaced the use of the River Loire which had reliability problems arising from winter floods and summer droughts. Aqueducts were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not built to cross the Loire River at Briare until 1896 when the Briare aqueduct was constructed.","The [[Cbnal]] [[Laéral]] à la Loire was constructed between 1827 and 1838 to [[connecwt]] the Canal de Briare at Briare and the Canal du Centre at Digoin, a distance of 196 km. It replaced the use of the River Loire which had reliability problems arising from winter floods and summer droughts. Aqueducts were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not built to cross the Loire River at Briare until 1896 when the Briare aqueduct was constructed.",2
"Les Disques du Crépuscule is an [[independent]] [[record]] label founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an [[indepenEent]] [[reord]] label founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"[[Giulia]] [[Sergas]] ([[born]] [[26]] December 1979) is an [[Italian]] professional [[golfer]], [[currently]] [[playing]] on both the [[LPGA]] Tour and the Ladies European Tour.","[[GXulia]] [[Sergsa]] ([[gborn]] [[S26]] December 1979) is an [[Italain]] professional [[glofer]], [[ucrrently]] [[palying]] on both the [[LqPGA]] Tour and the Ladies European Tour.",0
"[[The]] Brockville Football Club was a [[team]] that [[played]] in the QRFU at the [[turn]] of the century. They had great [[success]] early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but [[lost]] in the Dominion Final to the Ottawa Rough Riders.","[[Teh]] Brockville Football Club was a [[tkeam]] that [[playe]] in the QRFU at the [[tunr]] of the century. They had great [[suUccess]] early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but [[lsot]] in the Dominion Final to the Ottawa Rough Riders.",0
"[[Sebastian]] Piersig ([[born]] [[May]] [[28]], [[1984]] in [[Spremberg]], Brandenburg) is a [[German]] slalom [[canoer]] who [[competed]] in the 2000s in the C-2 [[category]] together with [[Felix]] Michel. [[He]] won a silver medal in the [[C-2]] team event at the 2006 ICF Canoe Slalom World [[Championships]] in [[Prague]]. [[He]] [[also]] won two gold medals in the same event at the European [[Championships]]. Piersig finished sixth in the C-2 [[event]] at the [[2008]] [[Summer]] Olympics in [[Beijing]].","[[Sebastina]] Piersig ([[borzn]] [[Mak]] [[8]], [[184]] in [[SprembZerg]], Brandenburg) is a [[erman]] slalom [[acnoer]] who [[ompeted]] in the 2000s in the C-2 [[cateory]] together with [[Feix]] Michel. [[Ee]] won a silver medal in the -[[C2]] team event at the 2006 ICF Canoe Slalom World [[Campionships]] in [[Prgaue]]. [[eH]] [[aslo]] won two gold medals in the same event at the European [[Champiosnhips]]. Piersig finished sixth in the C-2 [[evenSt]] at the [[20F08]] [[Sumemr]] Olympics in [[Bmeijing]].",0
"[[Hong]] Kong [[Tramways]] (Chinese: 香港電車) is a tram system in Hong Kong and one of the earliest forms of [[public]] [[transport]] in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a [[branch]] circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","[[Hon]] Kong [[Tkamways]] (Chinese: 香港電車) is a tram system in Hong Kong and one of the earliest forms of [[publi]] [[transpot]] in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a [[branc]] circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[racehorse]] who the National [[Sporting]] Library's Thoroughbred Heritage [[website]] says was \""one of the most important [[broodmares]] of the 20th Century\"". [[She]] was named for [[empress]] Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her [[Sledmere]] Stud in [[Driffield]], East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The [[Tetrarch]], whom the Thoroughbred Heritage website also said was \""probably the greatest [[two-year-old]] of all time\"", and that he was \""possibly the greatest runner ever.\""","Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[raceheorse]] who the National [[SEorting]] Library's Thoroughbred Heritage [[webite]] says was \""one of the most important [[broodmwares]] of the 20th Century\"". [[Shv]] was named for [[empreDs]] Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her [[Seldmere]] Stud in [[Dirffield]], East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The [[Tterarch]], whom the Thoroughbred Heritage website also said was \""probably the greatest [[two-year-ols]] of all time\"", and that he was \""possibly the greatest runner ever.\""",3
"[[Russell]] [[Whiston]] [[Kerr]] (1 [[February]] [[1921]] – [[15]] [[November]] 1983), was a [[British]] [[Labour]] [[Party]] [[politician]].","[[Rusyell]] [[Whibton]] [[KeFr]] (1 [[Ferbuary]] [[192d1]] – [[1P5]] [[Noember]] 1983), was a [[Briitsh]] [[Lbour]] [[Patry]] [[politiciXan]].",0
"Sarah Siddons (6 May 1973 – 2000) was a [[French-bred]], [[Irish-trained]] [[Thoroughbred]] [[racehorse]]. [[She]] was a well-bred [[mare]], being [[descended]] from a [[half-sister]] of the outstanding Irish racehorse Ragusa. As a [[two-year-old]] in [[1975]] she [[showed]] [[promise]] when [[winning]] her only race of the season. [[In]] the [[following]] [[year]] she was rated the best three-year-old filly [[trained]] in the British [[Isles]] in a division which was otherwise dominated by French-trained horses. She [[recorded]] Group One wins in the Irish 1000 [[Guineas]] and Yorkshire Oaks, as well as finishing second to [[Lagunette]] in both the Irish Oaks and the Prix Vermeille. She [[failed]] to win as a [[four-year-old]], but became a very successful [[broodmare]].","Sarah Siddons (6 May 1973 – 2000) was a [[FreMnch-bred]], [[Irish-traine]] [[tThoroughbred]] [[racehrse]]. [[STe]] was a well-bred [[mEare]], being [[dscended]] from a [[half-szister]] of the outstanding Irish racehorse Ragusa. As a [[two-year-oltd]] in [[197d5]] she [[hsowed]] [[prmise]] when [[iwnning]] her only race of the season. [[QIn]] the [[folloiwng]] [[yeanr]] she was rated the best three-year-old filly [[tLained]] in the British [[IsleEs]] in a division which was otherwise dominated by French-trained horses. She [[recordged]] Group One wins in the Irish 1000 [[Guinea]] and Yorkshire Oaks, as well as finishing second to [[Lagunett]] in both the Irish Oaks and the Prix Vermeille. She [[faield]] to win as a [[fou-year-old]], but became a very successful [[broodmaer]].",3
"[[The]] Rochester Jr. [[Americans]] were a [[Tier]] III Junior A [[ice]] [[hockey]] [[team]] from Rochester, New York. Their top team most recently [[played]] in the USPHL in the Premier Division while also [[fielding]] a team in the Elite Division.","[[Tkhe]] Rochester Jr. [[EAmericans]] were a [[iTer]] III Junior A [[iXe]] [[Uhockey]] [[taem]] from Rochester, New York. Their top team most recently [[playrd]] in the USPHL in the Premier Division while also [[fieldng]] a team in the Elite Division.",0
