original_text,perturbed_text,label
"Les Disques du Crépuscule is an [[independent]] record [[label]] [[founded]] in [[Belgium]]. [[The]] label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the [[label's]] catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an [[independegnt]] record [[abel]] [[fuonded]] in [[Belgimu]]. [[Th]] label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the [[ylabel's]] catalogue numbers being prefixed by the letters TWI.",0
"[[Giulia]] [[Sergas]] ([[born]] [[26]] December 1979) is an [[Italian]] [[professional]] [[golfer]], [[currently]] [[playing]] on both the [[LPGA]] Tour and the [[Ladies]] European [[Tour]].","[[Giuila]] [[Serags]] ([[orn]] [[2R]] December 1979) is an [[Italizn]] [[pofessional]] [[golefr]], [[currntly]] [[plaing]] on both the [[LPGeA]] Tour and the [[Ladis]] European [[pour]].",0
"The Brockville Football Club was a team that played in the QRFU at the [[turn]] of the century. They had great success early on in their history. [[In]] 1899, they finished in first place in the QRFU but lost to Ottawa College in the [[Quebec]] [[finals]]. [[They]] won the QRFU [[Championship]] in 1900 but lost in the Dominion [[Final]] to the Ottawa Rough [[Riders]].","The Brockville Football Club was a team that played in the QRFU at the [[turYn]] of the century. They had great success early on in their history. [[gIn]] 1899, they finished in first place in the QRFU but lost to Ottawa College in the [[Quebc]] [[ifnals]]. [[Thy]] won the QRFU [[Champonship]] in 1900 but lost in the Dominion [[Finwal]] to the Ottawa Rough [[iders]].",0
"[[The]] [[Texas]] river [[cooter]] ([[Pseudemys]] [[texana]]) is a [[species]] of [[freshwater]] turtle native to [[creeks]], [[rivers]], and [[lakes]] of the [[US]] state of [[Texas]]. It is [[found]] in the [[river]] basins of the [[Colorado]], [[Brazos]], [[Guadalupe]], and [[San]] [[Antonio]] [[Rivers]]. It is [[one]] of [[two]] [[species]] of [[cooter]] [[native]] to the state, the other being the [[Eastern]] River [[Cooter]].","[[ThR]] [[Texaj]] river [[ooter]] ([[Psedemys]] [[texanla]]) is a [[secies]] of [[frpeshwater]] turtle native to [[creeEs]], [[riveprs]], and [[lakeDs]] of the [[UGS]] state of [[TexGs]]. It is [[ofund]] in the [[rivDr]] basins of the [[Coorado]], [[BQrazos]], [[GuadLalupe]], and [[Satn]] [[Aentonio]] [[RiveJs]]. It is [[Dne]] of [[Qtwo]] [[sNpecies]] of [[cootec]] [[najive]] to the state, the other being the [[EaJtern]] River [[wooter]].",3
"Yisrael [[Beiteinu]] (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, [[lit]]. Israel is [[Our]] Home) is a secularist and right-wing nationalist political [[party]] in Israel. [[The]] [[party's]] base has traditionally been secular, Russian-speaking Israelis. The [[party]] describes itself as \""a [[national]] movement with the clear vision to follow in the bold path of Zev [[Jabotinsky]]\"", the founder of Revisionist Zionism. It primarily [[represents]] immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its [[main]] platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. [[The]] party maintains an [[anti-clerical]] mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. [[In]] the [[2009]] election the [[party]] won 15 [[seats]], its most to date, making it the third largest [[party]] in the previous [[Knesset]]. [[In]] the [[2015]] election, the [[party]] won six seats.","Yisrael [[Beiteiun]] (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, [[lti]]. Israel is [[EOur]] Home) is a secularist and right-wing nationalist political [[prty]] in Israel. [[Te]] [[partgy's]] base has traditionally been secular, Russian-speaking Israelis. The [[partr]] describes itself as \""a [[nationkal]] movement with the clear vision to follow in the bold path of Zev [[Jabotisnky]]\"", the founder of Revisionist Zionism. It primarily [[repesents]] immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its [[amin]] platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. [[he]] party maintains an [[antic-lerical]] mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. [[I]] the [[009]] election the [[parWy]] won 15 [[sets]], its most to date, making it the third largest [[Hparty]] in the previous [[Knesse]]. [[nI]] the [[2105]] election, the [[parDty]] won six seats.",0
"Hong Kong [[Tramways]] (Chinese: 香港電車) is a [[tram]] [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. [[Trams]] in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram [[system]] is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong [[Tramways']] advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong [[Trawmays]] (Chinese: 香港電車) is a [[tLam]] [[ssytem]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. [[Tams]] in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram [[sytem]] is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong [[TrYmways']] advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"[[These]] are the [[results]] of the men's horizontal bar competition, [[one]] of eight [[events]] for male [[competitors]] in [[artistic]] gymnastics at the 2000 Summer Olympics in Sydney. [[The]] qualification and final rounds took place on September 16 and 25 at the Sydney SuperDome.","[[Thse]] are the [[rfsults]] of the men's horizontal bar competition, [[oane]] of eight [[evens]] for male [[compeitors]] in [[aritstic]] gymnastics at the 2000 Summer Olympics in Sydney. [[he]] qualification and final rounds took place on September 16 and 25 at the Sydney SuperDome.",5
"Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[racehorse]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important [[broodmares]] of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""","Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[racpehorse]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important [[brodmares]] of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""",3
"Stadion Feijenoord (pronounced [ˌstaːdijɔn ˈfɛiənoːrt]), more commonly known by its nickname [[De]] Kuip (pronounced [[[də]] ˈkœyp]; the Tub), is a [[stadium]] in Rotterdam, [[Netherlands]] that was completed in 1937. The name is derived from the area \""Feijenoord\"" in [[Rotterdam]], and from the [[club]] with the same [[name]] (although the club's name was internationalised to Feyenoord in 1973). The [[stadium's]] original capacity was 64,000. [[In]] 1949 it was expanded to 69,000, and in 1994 it was renovated again for a capacity of 51,117. In 1999, a significant amount of [[restoration]] and interior [[work]] took place at the [[stadium]] prior to its [[use]] as a venue in the [[Euro]] [[2000]] tournament, although capacity was [[largely]] unaffected.","Stadion Feijenoord (pronounced [ˌstaːdijɔn ˈfɛiənoːrt]), more commonly known by its nickname [[eD]] Kuip (pronounced [[[d]] ˈkœyp]; the Tub), is a [[stadum]] in Rotterdam, [[Ntherlands]] that was completed in 1937. The name is derived from the area \""Feijenoord\"" in [[Roterdam]], and from the [[clb]] with the same [[naQme]] (although the club's name was internationalised to Feyenoord in 1973). The [[stadum's]] original capacity was 64,000. [[IY]] 1949 it was expanded to 69,000, and in 1994 it was renovated again for a capacity of 51,117. In 1999, a significant amount of [[restoratoin]] and interior [[wbrk]] took place at the [[satdium]] prior to its [[se]] as a venue in the [[Euor]] [[200i0]] tournament, although capacity was [[argely]] unaffected.",2
"The Hamilton Spectator, founded in [[1846]], is a [[newspaper]] [[published]] every day but Sunday in Hamilton, Ontario, Canada.","The Hamilton Spectator, founded in [[18p6]], is a [[newsaper]] [[pubnlished]] every day but Sunday in Hamilton, Ontario, Canada.",1
