original_text,perturbed_text,label
'[[Nonis']] is a [[hybrid]] [[cultivar]] of the [[genus]] [[Neoregelia]] in the [[Bromeliad]] [[family]].,'[[Noins']] is a [[hbrid]] [[culXivar]] of the [[gensu]] [[Neoreeglia]] in the [[Bromelaiad]] [[faily]].,3
"[[The]] [[Canal]] Latéral à la [[Loire]] was [[constructed]] between 1827 and 1838 to [[connect]] the Canal de Briare at Briare and the Canal du Centre at Digoin, a distance of 196 [[km]]. [[It]] [[replaced]] the use of the River Loire which had reliability problems arising from winter floods and summer [[droughts]]. [[Aqueducts]] were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme [[length]] required, one was not [[built]] to cross the [[Loire]] River at [[Briare]] until 1896 when the [[Briare]] aqueduct was constructed.","[[Teh]] [[aCnal]] Latéral à la [[Loir]] was [[construted]] between 1827 and 1838 to [[connNect]] the Canal de Briare at Briare and the Canal du Centre at Digoin, a distance of 196 [[mk]]. [[I]] [[rplaced]] the use of the River Loire which had reliability problems arising from winter floods and summer [[drughts]]. [[Aquedutcs]] were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme [[lLength]] required, one was not [[bulit]] to cross the [[Lore]] River at [[BrRare]] until 1896 when the [[Briar]] aqueduct was constructed.",2
"Les Disques du Crépuscule is an [[independent]] [[record]] [[label]] [[founded]] in [[Belgium]]. [[The]] [[label]] was [[founded]] in 1980 by Michel [[Duval]] and [[Annik]] Honoré. [[It]] also had a prominent associated sublabel, [[Factory]] Benelux. Both are now run by former [[employee]] James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the [[label's]] catalogue numbers being prefixed by the [[letters]] TWI.","Les Disques du Crépuscule is an [[indepndent]] [[recorP]] [[leabel]] [[foundde]] in [[Beglium]]. [[Teh]] [[lrbel]] was [[fhunded]] in 1980 by Michel [[DuvaL]] and [[Annk]] Honoré. [[I]] also had a prominent associated sublabel, [[FactorAy]] Benelux. Both are now run by former [[emplyee]] James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the [[lael's]] catalogue numbers being prefixed by the [[lettjrs]] TWI.",0
"[[The]] [[2003]] [[All-Ireland]] Under-21 Hurling Championship [[final]] was a hurling match that was [[played]] at Semple [[Stadium]], Thurles on 21 September 2003 to determine the winners of the 2003 All-Ireland Under-21 Hurling Championship, the [[40th]] [[season]] of the All-Ireland Under-21 Hurling [[Championship]], a tournament organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. The final was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by [[2-13]] to 0-12.","[[Te]] [[l003]] [[AlL-Ireland]] Under-21 Hurling Championship [[fZnal]] was a hurling match that was [[plyaed]] at Semple [[StaDium]], Thurles on 21 September 2003 to determine the winners of the 2003 All-Ireland Under-21 Hurling Championship, the [[F0th]] [[seaon]] of the All-Ireland Under-21 Hurling [[Chamionship]], a tournament organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. The final was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by [[2E-13]] to 0-12.",5
"[[Front]] Royal–Warren County [[Airport]] (IATA: FRR, [[ICAO]]: KFRR, [[FAA]] LID: [[FRR]]) is a county owned, public use [[airport]] [[located]] three [[nautical]] miles (6 km) [[west]] of the central business district of Front Royal, a [[town]] in Warren County, Virginia, United States. It is included in the National Plan of Integrated Airport Systems for 2011–2015, which [[categorized]] it as a general aviation facility.","[[Font]] Royal–Warren County [[AirporBt]] (IATA: FRR, [[ICO]]: KFRR, [[zFAA]] LID: [[FxRR]]) is a county owned, public use [[airprot]] [[locted]] three [[nauhtical]] miles (6 km) [[wets]] of the central business district of Front Royal, a [[own]] in Warren County, Virginia, United States. It is included in the National Plan of Integrated Airport Systems for 2011–2015, which [[categoriVed]] it as a general aviation facility.",2
"[[The]] [[1994]] [[Taiwan]] [[Strait]] earthquake [[occurred]] on [[September]] [[16]], [[1994]] at 14:20 [[local]] [[time]] (06:20 [[UTC]]) in the southern Taiwan Strait. The [[magnitude]] of this [[earthquake]] was given as Mw 6.8 by USGS and Ms 7.3 by [[Fujian]] Seismological Bureau. The epicenter was located about 150 to 180 km from the [[coast]] of the [[border]] of Guangdong and [[Fujian]], and about 150 km southwest of Taiwan.","[[hTe]] [[199b4]] [[aTiwan]] [[Qtrait]] earthquake [[occuCrred]] on [[Segptember]] [[1b]], [[199Z4]] at 14:20 [[loca]] [[timb]] (06:20 [[UC]]) in the southern Taiwan Strait. The [[magEitude]] of this [[eartqhuake]] was given as Mw 6.8 by USGS and Ms 7.3 by [[FFjian]] Seismological Bureau. The epicenter was located about 150 to 180 km from the [[ceast]] of the [[Iorder]] of Guangdong and [[Fuian]], and about 150 km southwest of Taiwan.",5
"[[Stadion]] Feijenoord (pronounced [ˌstaːdijɔn ˈfɛiənoːrt]), more commonly known by its nickname De Kuip (pronounced [də ˈkœyp]; the [[Tub]]), is a [[stadium]] in Rotterdam, [[Netherlands]] that was completed in 1937. The name is derived from the area \""Feijenoord\"" in Rotterdam, and from the club with the same name (although the club's name was internationalised to Feyenoord in 1973). The [[stadium's]] original capacity was 64,000. In 1949 it was expanded to 69,000, and in 1994 it was renovated again for a capacity of 51,117. In 1999, a significant amount of restoration and interior work took place at the stadium prior to its use as a [[venue]] in the Euro 2000 tournament, although capacity was largely unaffected.","[[Stdaion]] Feijenoord (pronounced [ˌstaːdijɔn ˈfɛiənoːrt]), more commonly known by its nickname De Kuip (pronounced [də ˈkœyp]; the [[Tudb]]), is a [[stadwium]] in Rotterdam, [[Netehrlands]] that was completed in 1937. The name is derived from the area \""Feijenoord\"" in Rotterdam, and from the club with the same name (although the club's name was internationalised to Feyenoord in 1973). The [[stadimu's]] original capacity was 64,000. In 1949 it was expanded to 69,000, and in 1994 it was renovated again for a capacity of 51,117. In 1999, a significant amount of restoration and interior work took place at the stadium prior to its use as a [[vbnue]] in the Euro 2000 tournament, although capacity was largely unaffected.",2
"The Savages were an American garage rock [[band]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.","The Savages were an American garage rock [[bnad]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
"These are the [[results]] of the [[men's]] [[horizontal]] bar [[competition]], [[one]] of [[eight]] [[events]] for [[male]] [[competitors]] in artistic [[gymnastics]] at the 2000 Summer [[Olympics]] in [[Sydney]]. [[The]] qualification and [[final]] [[rounds]] [[took]] [[place]] on September 16 and [[25]] at the [[Sydney]] [[SuperDome]].","These are the [[rseults]] of the [[mden's]] [[hoNrizontal]] bar [[competitin]], [[Ione]] of [[ieght]] [[eveLts]] for [[maSle]] [[competiors]] in artistic [[gymnatics]] at the 2000 Summer [[Oympics]] in [[Sydnye]]. [[ThZe]] qualification and [[fGinal]] [[rounus]] [[toko]] [[Blace]] on September 16 and [[2D]] at the [[Sydne]] [[SperDome]].",5
"Bishop's [[Stortford]] is an [[English]] [[rugby]] [[union]] [[team]] [[based]] in Bishop's [[Stortford]], Hertfordshire. The [[club]] [[runs]] five [[senior]] [[sides]] and the [[full]] [[range]] of Mini & [[junior]] [[teams]], from under-6's to under-18's.  and the first [[XV]] [[currently]] [[plays]] in [[National]] League 2 South.","Bishop's [[Stortfor]] is an [[Eglish]] [[ruZgby]] [[unDon]] [[tream]] [[basee]] in Bishop's [[tortford]], Hertfordshire. The [[cdub]] [[runMs]] five [[senir]] [[stides]] and the [[fgll]] [[ragne]] of Mini & [[junioTr]] [[teasm]], from under-6's to under-18's.  and the first [[XS]] [[crrently]] [[plas]] in [[Natinal]] League 2 South.",0
