original_text,perturbed_text,label
"Les Disques du Crépuscule is an [[independent]] [[record]] label [[founded]] in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an [[main]] [[memorialize]] label [[plant]] in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"The Brockville Football [[Club]] was a team that [[played]] in the QRFU at the [[turn]] of the century. They had [[great]] success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The Brockville Football [[nine]] was a team that [[wreak]] in the QRFU at the [[reverse]] of the century. They had [[expectant]] success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0
"The Texas river cooter (Pseudemys texana) is a [[species]] of freshwater [[turtle]] [[native]] to creeks, rivers, and lakes of the [[US]] [[state]] of Texas. It is [[found]] in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[species]] of cooter [[native]] to the [[state]], the other being the Eastern River Cooter.","The Texas river cooter (Pseudemys texana) is a [[coinage]] of freshwater [[polo-neck]] [[indigene]] to creeks, rivers, and lakes of the [[America]] [[nation]] of Texas. It is [[institute]] in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[coinage]] of cooter [[indigene]] to the [[submit]], the other being the Eastern River Cooter.",3
"Hong Kong [[Tramways]] (Chinese: 香港電車) is a [[tram]] system in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong [[ropeway]] (Chinese: 香港電車) is a [[ropeway]] system in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Mumtaz Mahal (1921 – 1945) was a British [[Thoroughbred]] [[racehorse]] who the National [[Sporting]] Library's Thoroughbred Heritage website [[says]] was \""[[one]] of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. [[Bred]] by Lady Sykes at her Sledmere Stud in Driffield, East [[Riding]] of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her [[sire]] was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""","Mumtaz Mahal (1921 – 1945) was a British [[thoroughbred]] [[bangtail]] who the National [[betting]] Library's Thoroughbred Heritage website [[read]] was \""[[unity]] of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. [[cover]] by Lady Sykes at her Sledmere Stud in Driffield, East [[rag]] of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her [[father]] was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""",3
"Yisrael Beiteinu ([[Hebrew]]: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, [[lit]]. Israel is Our [[Home]]) is a secularist and right-wing [[nationalist]] political party in Israel. The party's [[base]] has traditionally been [[secular]], Russian-speaking Israelis. The party [[describes]] itself as \""a national [[movement]] with the [[clear]] [[vision]] to [[follow]] in the [[bold]] [[path]] of Zev Jabotinsky\"", the [[founder]] of Revisionist Zionism. It primarily [[represents]] immigrants from the [[former]] Soviet [[Union]]. Although it has [[attempted]] to [[expand]] its [[appeal]] to more [[established]] Israelis, it has not been successful, and most of its voters are Russian-speaking. It [[takes]] a [[strong]] [[line]] towards the [[peace]] [[process]] and the [[integration]] of Israeli Arabs, characterized by its 2009 election [[slogan]] \""[[No]] [[loyalty]], no citizenship\"". Its main platform includes a [[recognition]] of the two-state solution, the [[creation]] of a Palestinian state that would include an exchange of some largely Arab-inhabited [[parts]] of Israel for largely Jewish-inhabited [[parts]] of the West Bank. The [[party]] [[maintains]] an anti-clerical [[mantle]] and encourages socio-economic [[opportunities]] for new immigrants, in [[conjunction]] with efforts to [[increase]] Jewish immigration. In the 2009 election the party won 15 seats, its most to [[date]], [[making]] it the third [[largest]] party in the [[previous]] [[Knesset]]. [[In]] the 2015 election, the party won six seats.","Yisrael Beiteinu ([[Hebraic]]: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, [[literature]]. Israel is Our [[plate]]) is a secularist and right-wing [[patriot]] political party in Israel. The party's [[root]] has traditionally been [[profane]], Russian-speaking Israelis. The party [[line]] itself as \""a national [[motion]] with the [[decipherable]] [[imaginativeness]] to [[espouse]] in the [[boldface]] [[course]] of Zev Jabotinsky\"", the [[collapse]] of Revisionist Zionism. It primarily [[symbolize]] immigrants from the [[erstwhile]] Soviet [[conglutination]]. Although it has [[essay]] to [[inflate]] its [[collection]] to more [[naturalized]] Israelis, it has not been successful, and most of its voters are Russian-speaking. It [[read]] a [[unattackable]] [[crinkle]] towards the [[ataraxis]] [[work]] and the [[desegregation]] of Israeli Arabs, characterized by its 2009 election [[catchword]] \""[[nobelium]] [[allegiance]], no citizenship\"". Its main platform includes a [[identification]] of the two-state solution, the [[macrocosm]] of a Palestinian state that would include an exchange of some largely Arab-inhabited [[character]] of Israel for largely Jewish-inhabited [[disunite]] of the West Bank. The [[company]] [[conserve]] an anti-clerical [[drapery]] and encourages socio-economic [[chance]] for new immigrants, in [[connective]] with efforts to [[gain]] Jewish immigration. In the 2009 election the party won 15 seats, its most to [[engagement]], [[produce]] it the third [[great]] party in the [[late]] [[Knesseth]]. [[inch]] the 2015 election, the party won six seats.",0
"These are the [[results]] of the women's [[individual]] all-around [[competition]], [[one]] of [[six]] [[events]] for female [[competitors]] in [[artistic]] gymnastics at the 2000 Summer Olympics in Sydney. The qualification and [[final]] [[rounds]] [[took]] [[place]] on [[September]] [[17]] and [[21]] at the Sydney SuperDome. The all-around [[competition]] in the [[discipline]] of women's artistic gymnastics ([[WAG]]) was marred by [[three]] separate scandals. The vault apparatus was set incorrectly for more than half of the meet; consequently many gymnasts [[fell]] or were injured on the [[event]]. The apparatus was adjusted during the third [[rotation]] and those gymnasts who had [[vaulted]] on the [[incorrectly]] [[set]] equipment were invited to re-do the [[event]] at the end of the [[competition]]. Notably, Svetlana Khorkina, who led [[champion]] Andreea Răducan by [[nearly]] 0.3 in qualifications, was thrown out of medal [[contention]] due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who led the [[competition]] until the last rotation, was thrown from first place after she stubbed her toe, [[tripped]], and fell out of bounds on her [[floor]] [[exercise]]. These are testaments to the [[upset]] of the [[entire]] [[competition]]. Finally, though not [[necessarily]] a [[favorite]] for an all-around [[medal]], Dong Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her results from the [[competition]] - including her [[all-around]] [[results]] - were [[cancelled]].","These are the [[effect]] of the women's [[case-by-case]] all-around [[contention]], [[1]] of [[sextet]] [[issue]] for female [[competition]] in [[aesthetic]] gymnastics at the 2000 Summer Olympics in Sydney. The qualification and [[terminal]] [[attack]] [[withdraw]] [[localize]] on [[Sep]] [[XVII]] and [[XXI]] at the Sydney SuperDome. The all-around [[contention]] in the [[correction]] of women's artistic gymnastics ([[card]]) was marred by [[III]] separate scandals. The vault apparatus was set incorrectly for more than half of the meet; consequently many gymnasts [[decrease]] or were injured on the [[issue]]. The apparatus was adjusted during the third [[gyration]] and those gymnasts who had [[overleap]] on the [[wrong]] [[sic]] equipment were invited to re-do the [[issue]] at the end of the [[challenger]]. Notably, Svetlana Khorkina, who led [[virtuoso]] Andreea Răducan by [[intimately]] 0.3 in qualifications, was thrown out of medal [[controversy]] due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who led the [[contest]] until the last rotation, was thrown from first place after she stubbed her toe, [[spark]], and fell out of bounds on her [[dump]] [[utilisation]]. These are testaments to the [[trouble]] of the [[total]] [[challenger]]. Finally, though not [[needfully]] a [[best-loved]] for an all-around [[medallion]], Dong Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her results from the [[contention]] - including her [[well-rounded]] [[solvent]] - were [[invalidate]].",5
"Bishop's Stortford is an English [[rugby]] [[union]] team [[based]] in Bishop's Stortford, Hertfordshire. The [[club]] [[runs]] [[five]] [[senior]] sides and the [[full]] [[range]] of [[Mini]] & [[junior]] teams, from under-6's to under-18's.  and the first XV currently [[plays]] in National League 2 South.","Bishop's Stortford is an English [[rugger]] [[sum]] team [[ground]] in Bishop's Stortford, Hertfordshire. The [[clubhouse]] [[scarper]] [[V]] [[elderly]] sides and the [[replete]] [[image]] of [[miniskirt]] & [[Jnr]] teams, from under-6's to under-18's.  and the first XV currently [[bid]] in National League 2 South.",0
"The Rochester Jr. Americans were a Tier [[III]] [[Junior]] A [[ice]] hockey [[team]] from Rochester, New York. Their [[top]] [[team]] most [[recently]] [[played]] in the USPHL in the Premier Division while also fielding a team in the Elite Division.","The Rochester Jr. Americans were a Tier [[threesome]] [[next-to-last]] A [[frappe]] hockey [[squad]] from Rochester, New York. Their [[teetotum]] [[squad]] most [[late]] [[encounter]] in the USPHL in the Premier Division while also fielding a team in the Elite Division.",0
"These are the [[results]] of the men's horizontal bar competition, one of eight [[events]] for male competitors in artistic gymnastics at the 2000 Summer Olympics in Sydney. The qualification and final rounds [[took]] place on September 16 and 25 at the Sydney SuperDome.","These are the [[issue]] of the men's horizontal bar competition, one of eight [[issue]] for male competitors in artistic gymnastics at the 2000 Summer Olympics in Sydney. The qualification and final rounds [[subscribe]] place on September 16 and 25 at the Sydney SuperDome.",5
"The 1994 [[Taiwan]] [[Strait]] [[earthquake]] [[occurred]] on September 16, 1994 at [[14]]:20 local time (06:20 UTC) in the southern [[Taiwan]] [[Strait]]. The magnitude of this [[earthquake]] was [[given]] as Mw [[6]].8 by USGS and Ms [[7]].[[3]] by Fujian Seismological Bureau. The epicenter was located about 150 to 180 km from the [[coast]] of the [[border]] of Guangdong and Fujian, and about 150 [[km]] [[southwest]] of Taiwan.","The 1994 [[China]] [[pass]] [[temblor]] [[come]] on September 16, 1994 at [[XIV]]:20 local time (06:20 UTC) in the southern [[China]] [[pass]]. The magnitude of this [[temblor]] was [[pass]] as Mw [[sextuplet]].8 by USGS and Ms [[sevener]].[[tercet]] by Fujian Seismological Bureau. The epicenter was located about 150 to 180 km from the [[glide]] of the [[margin]] of Guangdong and Fujian, and about 150 [[kilometre]] [[SW]] of Taiwan.",5
"The Sierra de Santa Cruz is a small [[mountain]] [[range]] in eastern Guatemala. It is situated north of Lake Izabal, in the department of Izabal. The [[mountain]] range has a south-west to north-east orientation, and is approximately 55 km long and 13 km wide.Its highest peaks have an altitude of approximately 1100 m (15°40′52″N 89°19′37″W﻿ / ﻿15.68122°N 89.32692°W).","The Sierra de Santa Cruz is a small [[flock]] [[order]] in eastern Guatemala. It is situated north of Lake Izabal, in the department of Izabal. The [[flock]] range has a south-west to north-east orientation, and is approximately 55 km long and 13 km wide.Its highest peaks have an altitude of approximately 1100 m (15°40′52″N 89°19′37″W﻿ / ﻿15.68122°N 89.32692°W).",2
"The 1936 Marquette Golden Avalanche football team [[represented]] Marquette University in the 1936 college football [[season]]. Marquette was led by long-time [[head]] [[coach]] Frank Murray. The team competed as a football independent and [[played]] their [[home]] games at Marquette Stadium in Milwaukee, Wisconsin. The [[squad]] finished the season with a 7–2 record after losing to TCU in the inaugural Cotton Bowl Classic.","The 1936 Marquette Golden Avalanche football team [[exemplify]] Marquette University in the 1936 college football [[flavor]]. Marquette was led by long-time [[guide]] [[motorbus]] Frank Murray. The team competed as a football independent and [[playact]] their [[habitation]] games at Marquette Stadium in Milwaukee, Wisconsin. The [[team]] finished the season with a 7–2 record after losing to TCU in the inaugural Cotton Bowl Classic.",6
"[[Carmine]] Gorga (Italian: [ˈkar’meeŋɛ gorga]; December [[8]], 1935) is an Italian political scientist [[naturalized]] American [[working]] as [[President]] of The Somist [[Institute]].","[[cherry-red]] Gorga (Italian: [ˈkar’meeŋɛ gorga]; December [[octonary]], 1935) is an Italian political scientist [[cultivate]] American [[crop]] as [[prexy]] of The Somist [[plant]].",0
"Op:l Bastards was [[formed]] by Timo Kaukolampi ([[born]] 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original [[name]] was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" [[In]] 2007 Op:l Bastards had their first [[gig]] in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record [[label]] Lefta [[Records]] in Finland, with liner notes written by Philip Oakey (of The Human League fame). The [[group]] [[released]] their second album in 2009","Op:l Bastards was [[work]] by Timo Kaukolampi ([[digest]] 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock band Larry and the Lefthanded. Their original [[advert]] was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" [[indium]] 2007 Op:l Bastards had their first [[fizgig]] in five years on the 18th of August at Flow festival of Helsinki. The Job album was re-released on Op:l's record [[judge]] Lefta [[read]] in Finland, with liner notes written by Philip Oakey (of The Human League fame). The [[radical]] [[issue]] their second album in 2009",0
"Paperman (stylized as paperman) is a 2012 black-and-white [[3D]] [[romantic]] [[comedy]] [[short]] [[film]]. [[Produced]] by Walt Disney Animation [[Studios]] and [[directed]] by [[John]] Kahrs, the short blends traditional animation and computer animation. [[It]] won both the [[Academy]] [[Award]] for [[Best]] [[Animated]] [[Short]] [[Film]] at the 85th Academy [[Awards]] and the Annie [[Award]] for [[Best]] [[Animated]] [[Short]] [[Subject]] at the [[40th]] Annie [[Awards]]. Paperman was the [[first]] [[animated]] [[short]] [[film]] [[produced]] by Walt Disney Animation Studios to [[win]] an [[Academy]] [[Award]] since It's [[Tough]] to [[Be]] a [[Bird]] in 1970.","Paperman (stylized as paperman) is a 2012 black-and-white [[3-D]] [[amatory]] [[clowning]] [[curt]] [[picture]]. [[acquire]] by Walt Disney Animation [[studio]] and [[organise]] by [[privy]] Kahrs, the short blends traditional animation and computer animation. [[IT]] won both the [[academy]] [[grant]] for [[proficient]] [[animise]] [[light]] [[cinema]] at the 85th Academy [[present]] and the Annie [[grant]] for [[practiced]] [[revivify]] [[light]] [[subject]] at the [[fortieth]] Annie [[present]]. Paperman was the [[inaugural]] [[recreate]] [[light]] [[cinema]] [[farm]] by Walt Disney Animation Studios to [[gain]] an [[academy]] [[present]] since It's [[yobbo]] to [[glucinium]] a [[birdwatch]] in 1970.",1
