original_text,perturbed_text,label
"The [[Canal]] Latéral à [[la]] Loire was [[constructed]] between 1827 and 1838 to [[connect]] the Canal [[de]] Briare at Briare and the Canal du [[Centre]] at Digoin, a distance of 196 km. [[It]] [[replaced]] the [[use]] of the River Loire which had reliability problems [[arising]] from winter [[floods]] and summer [[droughts]]. [[Aqueducts]] were [[used]] to [[cross]] the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the [[extreme]] [[length]] [[required]], [[one]] was not [[built]] to [[cross]] the Loire River at Briare until 1896 when the Briare aqueduct was [[constructed]].","The [[duct]] Latéral à [[Louisiana]] Loire was [[retrace]] between 1827 and 1838 to [[colligate]] the Canal [[Delaware]] Briare at Briare and the Canal du [[substance]] at Digoin, a distance of 196 km. [[IT]] [[supplant]] the [[practice]] of the River Loire which had reliability problems [[arise]] from winter [[swamp]] and summer [[drouth]]. [[aqueduct]] were [[expend]] to [[crossbreed]] the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the [[extremum]] [[duration]] [[requisite]], [[matchless]] was not [[construct]] to [[interbreed]] the Loire River at Briare until 1896 when the Briare aqueduct was [[retrace]].",2
"Les Disques du Crépuscule is an [[independent]] [[record]] [[label]] [[founded]] in Belgium. The label was [[founded]] in 1980 by Michel Duval and Annik Honoré. It [[also]] had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an [[free-lance]] [[book]] [[mark]] [[establish]] in Belgium. The label was [[found]] in 1980 by Michel Duval and Annik Honoré. It [[besides]] had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"The Brockville Football Club was a team that played in the QRFU at the turn of the century. They had great success early on in their history. [[In]] 1899, they finished in first [[place]] in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU [[Championship]] in 1900 but lost in the Dominion Final to the Ottawa Rough [[Riders]].","The Brockville Football Club was a team that played in the QRFU at the turn of the century. They had great success early on in their history. [[Indiana]] 1899, they finished in first [[property]] in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU [[backup]] in 1900 but lost in the Dominion Final to the Ottawa Rough [[passenger]].",0
"The [[Texas]] river cooter (Pseudemys texana) is a [[species]] of freshwater [[turtle]] [[native]] to [[creeks]], [[rivers]], and [[lakes]] of the [[US]] [[state]] of [[Texas]]. It is [[found]] in the river [[basins]] of the [[Colorado]], Brazos, Guadalupe, and San Antonio [[Rivers]]. It is [[one]] of [[two]] [[species]] of cooter [[native]] to the [[state]], the other being the [[Eastern]] River Cooter.","The [[TX]] river cooter (Pseudemys texana) is a [[mintage]] of freshwater [[capsize]] [[aborigine]] to [[Creek]], [[river]], and [[lake]] of the [[uracil]] [[land]] of [[TX]]. It is [[constitute]] in the river [[watershed]] of the [[CO]], Brazos, Guadalupe, and San Antonio [[river]]. It is [[unity]] of [[deuce]] [[coinage]] of cooter [[aboriginal]] to the [[nation]], the other being the [[easterly]] River Cooter.",3
"Hong Kong [[Tramways]] (Chinese: 香港電車) is a [[tram]] [[system]] in Hong Kong and one of the earliest [[forms]] of public [[transport]] in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong [[ropeway]] (Chinese: 香港電車) is a [[ropeway]] [[arrangement]] in Hong Kong and one of the earliest [[mannequin]] of public [[enrapture]] in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"These are the [[results]] of the women's individual [[all-around]] [[competition]], [[one]] of [[six]] [[events]] for female [[competitors]] in [[artistic]] gymnastics at the 2000 Summer Olympics in Sydney. The qualification and [[final]] [[rounds]] [[took]] [[place]] on [[September]] [[17]] and 21 at the Sydney SuperDome. The [[all-around]] [[competition]] in the discipline of women's [[artistic]] gymnastics (WAG) was [[marred]] by [[three]] [[separate]] [[scandals]]. The vault apparatus was [[set]] [[incorrectly]] for more than [[half]] of the [[meet]]; consequently many [[gymnasts]] [[fell]] or were [[injured]] on the [[event]]. The [[apparatus]] was [[adjusted]] during the [[third]] rotation and those gymnasts who had [[vaulted]] on the [[incorrectly]] [[set]] equipment were invited to re-do the [[event]] at the end of the [[competition]]. Notably, Svetlana Khorkina, who [[led]] [[champion]] Andreea Răducan by [[nearly]] [[0]].[[3]] in qualifications, was [[thrown]] out of medal [[contention]] [[due]] to the wrongly [[measured]] [[vault]]. [[Additionally]], world [[all-around]] silver medalist Viktoria Karpenko, who led the [[competition]] until the [[last]] rotation, was [[thrown]] from [[first]] [[place]] after she [[stubbed]] her toe, [[tripped]], and [[fell]] out of [[bounds]] on her [[floor]] [[exercise]]. These are [[testaments]] to the [[upset]] of the [[entire]] [[competition]]. [[Finally]], though not [[necessarily]] a [[favorite]] for an [[all-around]] [[medal]], Dong Fangxiao was [[found]] in 2010 to have been underaged at the Sydney Olympics. [[Consequently]], all of her [[results]] from the [[competition]] - [[including]] her all-around [[results]] - were [[cancelled]].","These are the [[issue]] of the women's individual [[all-round]] [[competitor]], [[unrivalled]] of [[six-spot]] [[case]] for female [[competition]] in [[esthetic]] gymnastics at the 2000 Summer Olympics in Sydney. The qualification and [[last]] [[round]] [[get]] [[berth]] on [[Sep]] [[seventeen]] and 21 at the Sydney SuperDome. The [[all-round]] [[competitor]] in the discipline of women's [[aesthetic]] gymnastics (WAG) was [[mar]] by [[trio]] [[class]] [[scandal]]. The vault apparatus was [[determine]] [[falsely]] for more than [[one-half]] of the [[receive]]; consequently many [[gymnast]] [[hide]] or were [[bruise]] on the [[upshot]]. The [[setup]] was [[set]] during the [[tertiary]] rotation and those gymnasts who had [[domed]] on the [[falsely]] [[do]] equipment were invited to re-do the [[consequence]] at the end of the [[rivalry]]. Notably, Svetlana Khorkina, who [[leave]] [[friend]] Andreea Răducan by [[most]] [[cypher]].[[trey]] in qualifications, was [[drop]] out of medal [[disputation]] [[imputable]] to the wrongly [[appraise]] [[overleap]]. [[additionally]], world [[well-rounded]] silver medalist Viktoria Karpenko, who led the [[rivalry]] until the [[last-place]] rotation, was [[drop]] from [[inaugural]] [[grade]] after she [[stub]] her toe, [[stumble]], and [[barbarous]] out of [[bounce]] on her [[level]] [[workout]]. These are [[Testament]] to the [[overturned]] of the [[full]] [[competitor]]. [[eventually]], though not [[needfully]] a [[preferent]] for an [[well-rounded]] [[palm]], Dong Fangxiao was [[happen]] in 2010 to have been underaged at the Sydney Olympics. [[accordingly]], all of her [[termination]] from the [[competitor]] - [[include]] her all-around [[leave]] - were [[scratch]].",5
"Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[racehorse]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was [[named]] for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. [[Bred]] by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""","Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[bangtail]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was [[advert]] for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. [[multiply]] by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""",3
"The Savages were an American garage rock [[band]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.","The Savages were an American garage rock [[set]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
"Bishop's Stortford is an English [[rugby]] union team [[based]] in Bishop's Stortford, Hertfordshire. The club runs five senior sides and the full range of Mini & junior teams, from under-6's to under-18's.  and the first XV currently plays in National League 2 South.","Bishop's Stortford is an English [[rugger]] union team [[ground]] in Bishop's Stortford, Hertfordshire. The club runs five senior sides and the full range of Mini & junior teams, from under-6's to under-18's.  and the first XV currently plays in National League 2 South.",0
"Christina Alessi (previously Robinson) is a [[fictional]] [[character]] from the Australian [[soap]] opera [[Neighbours]], [[played]] by Gayle Blakeney. She [[made]] her first on-screen [[appearance]] on [[18]] January 1990, when she [[moved]] into Ramsay Street with her [[twin]] sister, Caroline. Christina marries Paul Robinson and [[gives]] birth to their son, Andrew. Christina [[departed]] on [[5]] [[August]] 1992 with Paul and Andrew, [[following]] Paul's relocation to Hawaii. Caroline, Christina's [[twin]] sister, was played by Gayle's real-life [[twin]], Gillian Blakeney.","Christina Alessi (previously Robinson) is a [[fictitious]] [[part]] from the Australian [[lather]] opera [[neighbour]], [[dally]] by Gayle Blakeney. She [[ca-ca]] her first on-screen [[show]] on [[eighteen]] January 1990, when she [[impress]] into Ramsay Street with her [[mate]] sister, Caroline. Christina marries Paul Robinson and [[establish]] birth to their son, Andrew. Christina [[bypast]] on [[fin]] [[revered]] 1992 with Paul and Andrew, [[follow]] Paul's relocation to Hawaii. Caroline, Christina's [[mate]] sister, was played by Gayle's real-life [[matching]], Gillian Blakeney.",0
"The Rochester Jr. Americans were a Tier [[III]] [[Junior]] [[A]] [[ice]] hockey team from Rochester, [[New]] York. Their [[top]] [[team]] most [[recently]] [[played]] in the USPHL in the [[Premier]] [[Division]] while [[also]] fielding a [[team]] in the [[Elite]] [[Division]].","The Rochester Jr. Americans were a Tier [[three]] [[next-to-last]] [[amp]] [[trash]] hockey team from Rochester, [[unexampled]] York. Their [[lead]] [[squad]] most [[late]] [[encounter]] in the USPHL in the [[PM]] [[sectionalization]] while [[likewise]] fielding a [[squad]] in the [[elect]] [[sectionalization]].",0
"The Sierra [[de]] Santa Cruz is a [[small]] [[mountain]] range in eastern Guatemala. It is [[situated]] north of Lake Izabal, in the department of Izabal. The [[mountain]] [[range]] has a south-west to north-east [[orientation]], and is [[approximately]] [[55]] [[km]] [[long]] and [[13]] [[km]] [[wide]].[[Its]] [[highest]] [[peaks]] have an altitude of [[approximately]] 1100 m (15°40′52″[[N]] 89°[[19]]′37″[[W]]﻿ / ﻿[[15]].68122°[[N]] 89.32692°[[W]]).","The Sierra [[Delaware]] Santa Cruz is a [[small-scale]] [[mount]] range in eastern Guatemala. It is [[locate]] north of Lake Izabal, in the department of Izabal. The [[heap]] [[grade]] has a south-west to north-east [[predilection]], and is [[some]] [[lv]] [[kilometer]] [[prospicient]] and [[XIII]] [[kilometer]] [[broad]].[[IT]] [[gamey]] [[flower]] have an altitude of [[some]] 1100 m (15°40′52″[[nitrogen]] 89°[[XIX]]′37″[[watt]]﻿ / ﻿[[XV]].68122°[[normality]] 89.32692°[[wolfram]]).",2
"The 1994 [[Taiwan]] Strait [[earthquake]] [[occurred]] on September 16, 1994 at 14:20 local [[time]] (06:20 UTC) in the southern Taiwan Strait. The magnitude of this [[earthquake]] was given as Mw 6.8 by USGS and Ms 7.3 by Fujian Seismological Bureau. The [[epicenter]] was [[located]] about 150 to 180 km from the coast of the border of Guangdong and Fujian, and about 150 km southwest of Taiwan.","The 1994 [[Formosa]] Strait [[quake]] [[hap]] on September 16, 1994 at 14:20 local [[metre]] (06:20 UTC) in the southern Taiwan Strait. The magnitude of this [[temblor]] was given as Mw 6.8 by USGS and Ms 7.3 by Fujian Seismological Bureau. The [[epicentre]] was [[situated]] about 150 to 180 km from the coast of the border of Guangdong and Fujian, and about 150 km southwest of Taiwan.",5
"Op:l [[Bastards]] was [[formed]] by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock [[band]] Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The [[Job]] album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009","Op:l [[by-blow]] was [[work]] by Timo Kaukolampi (born 1971), Vilunki 3000 (real name: Mikko Viljakainen, b. 1973) and Tuomo Puranen from Helsinki, Finland. Kaukolampi and Vilunki had earlier on played in the garage rock [[stria]] Larry and the Lefthanded. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The [[occupation]] album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009",0
"[[Carmine]] Gorga (Italian: [ˈkar’meeŋɛ gorga]; [[December]] [[8]], 1935) is an Italian political scientist [[naturalized]] American [[working]] as [[President]] of The Somist [[Institute]].","[[crimson]] Gorga (Italian: [ˈkar’meeŋɛ gorga]; [[Dec]] [[octet]], 1935) is an Italian political scientist [[naturalised]] American [[play]] as [[prexy]] of The Somist [[found]].",0
"The 2013–[[14]] [[season]] was [[Sport]] [[Lisboa]] e Benfica's 110th [[season]] in [[existence]] and the club's 80th consecutive [[season]] in the top [[flight]] of Portuguese football. It involved Benfica competing in the Primeira Liga, Taça de Portugal, Taça da Liga, the group stage of the UEFA Champions League, and the knockout phase in the UEFA Europa League. Benfica qualified for the Champions League by coming second in the previous Primeira Liga. On 4 June 2013, [[coach]] Jorge Jesus renewed his contract for a further two seasons, making him the [[first]] manager since 1958–59 with Otto Glória to [[start]] a fifth consecutive season at Benfica. The season was one of the best in Benfica's [[history]], as the club won its 33rd title, its fifth Taça da Liga (without conceding a single goal), reached the Europa League final for the second consecutive season (without any defeat) and won its 25th Taça de Portugal achieving the tenth double (record) of the club.By winning the Primeira Liga, Taça de Portugal and Taça da Liga, Benfica achieved a unique treble in Portugal. Benfica also [[finished]] the [[season]] unbeaten in [[home]] matches, and the 57 games [[played]] are a club [[record]] for a single season.","The 2013–[[fourteen]] [[mollify]] was [[feature]] [[Lisbon]] e Benfica's 110th [[mollify]] in [[beingness]] and the club's 80th consecutive [[flavour]] in the top [[trajectory]] of Portuguese football. It involved Benfica competing in the Primeira Liga, Taça de Portugal, Taça da Liga, the group stage of the UEFA Champions League, and the knockout phase in the UEFA Europa League. Benfica qualified for the Champions League by coming second in the previous Primeira Liga. On 4 June 2013, [[manager]] Jorge Jesus renewed his contract for a further two seasons, making him the [[initiatory]] manager since 1958–59 with Otto Glória to [[protrude]] a fifth consecutive season at Benfica. The season was one of the best in Benfica's [[account]], as the club won its 33rd title, its fifth Taça da Liga (without conceding a single goal), reached the Europa League final for the second consecutive season (without any defeat) and won its 25th Taça de Portugal achieving the tenth double (record) of the club.By winning the Primeira Liga, Taça de Portugal and Taça da Liga, Benfica achieved a unique treble in Portugal. Benfica also [[cease]] the [[mollify]] unbeaten in [[place]] matches, and the 57 games [[trifle]] are a club [[memorialize]] for a single season.",6
Port Whines is an [[animated]] [[short]] [[film]] by the Columbia Pictures Corporation. It is also the 136th Krazy Kat cartoon.,Port Whines is an [[renovate]] [[unforesightful]] [[cinema]] by the Columbia Pictures Corporation. It is also the 136th Krazy Kat cartoon.,1
"Gloucester Rugby is a [[professional]] English rugby union [[club]] situated in the West Country city of Gloucester, and [[formed]] in 1873. It now plays in the domestic Premiership, the Anglo-Welsh Cup and the European Professional Club Rugby competitions. The home stadium in the district of Kingsholm, just outside Gloucester City Centre. The [[club]] has no official nickname but are occasionally referred to as the 'Cherry and Whites' by supporters and the media in reference to the traditional hooped shirts worn by the team. Matches with local rivals Bath, Worcester Warriors and Bristol are referred to as West Country derbies.","Gloucester Rugby is a [[master]] English rugby union [[clubhouse]] situated in the West Country city of Gloucester, and [[shape]] in 1873. It now plays in the domestic Premiership, the Anglo-Welsh Cup and the European Professional Club Rugby competitions. The home stadium in the district of Kingsholm, just outside Gloucester City Centre. The [[clubhouse]] has no official nickname but are occasionally referred to as the 'Cherry and Whites' by supporters and the media in reference to the traditional hooped shirts worn by the team. Matches with local rivals Bath, Worcester Warriors and Bristol are referred to as West Country derbies.",0
"Le Bonheur Children's [[Hospital]] is a 255-bed, tertiary [[care]] children's [[hospital]] located in Downtown Memphis, [[Tennessee]]. Le Bonheur has more than 700 medical [[staff]] representing 40 pediatric specialties. [[Approximately]] 170 [[patients]] per [[day]] are [[admitted]], mostly from Tennessee and nearby [[states]] but [[also]] from [[around]] the [[world]], mainly [[due]] to its nationally [[recognized]] [[brain]] tumor [[program]], affiliation with St. Jude Children's [[Research]] [[Hospital]] and for being the [[home]] of the Children's [[Foundation]] [[Research]] [[Center]]. Le Bonheur [[functions]] as the region's [[primary]] [[level]] [[1]] pediatric [[trauma]] [[center]]. The [[hospital]] [[cares]] for 14,000 [[patients]] every [[year]], [[including]] about 81,000 [[visits]] to the [[emergency]] [[department]] a year and [[8]],800 [[surgeries]] per [[year]]. Le Bonheur [[also]] [[serves]] as a [[teaching]] [[hospital]] [[affiliated]] with the University of Tennessee Health [[Science]] Center and [[offers]] training in [[general]] [[pediatrics]] and pediatric sub-specialties. For the [[past]] [[couple]] of [[years]] the [[hospital]] has been [[recognized]] among the [[nation]]’s “[[Best]] [[Children]]’s [[Hospitals]]” by [[U]].[[S]]. [[News]] and [[World]] [[Report]].","Le Bonheur Children's [[infirmary]] is a 255-bed, tertiary [[maintenance]] children's [[infirmary]] located in Downtown Memphis, [[TN]]. Le Bonheur has more than 700 medical [[faculty]] representing 40 pediatric specialties. [[some]] 170 [[patient]] per [[daylight]] are [[accommodate]], mostly from Tennessee and nearby [[State]] but [[besides]] from [[some]] the [[creation]], mainly [[ascribable]] to its nationally [[accepted]] [[wit]] tumor [[curriculum]], affiliation with St. Jude Children's [[inquiry]] [[infirmary]] and for being the [[house]] of the Children's [[institution]] [[search]] [[middle]]. Le Bonheur [[work]] as the region's [[elementary]] [[grade]] [[ace]] pediatric [[hurt]] [[middle]]. The [[infirmary]] [[maintenance]] for 14,000 [[patient]] every [[class]], [[admit]] about 81,000 [[call]] to the [[exigency]] [[section]] a year and [[eight]],800 [[surgery]] per [[class]]. Le Bonheur [[besides]] [[attend]] as a [[education]] [[infirmary]] [[associate]] with the University of Tennessee Health [[skill]] Center and [[go]] training in [[world-wide]] [[pedology]] and pediatric sub-specialties. For the [[by]] [[match]] of [[class]] the [[infirmary]] has been [[accepted]] among the [[state]]’s “[[skillful]] [[kid]]’s [[infirmary]]” by [[uranium]].[[sec]]. [[news]] and [[world-wide]] [[reputation]].",2
"The 2016–[[17]] [[season]] is Aluminij's [[2nd]] [[season]] in the Slovenian PrvaLiga, Slovenian [[top]] [[division]], since the [[league]] was [[created]]. Aluminij compete in Slovenian PrvaLiga and Slovenian [[Football]] [[Cup]].","The 2016–[[seventeen]] [[flavour]] is Aluminij's [[2d]] [[flavour]] in the Slovenian PrvaLiga, Slovenian [[pass]] [[class]], since the [[conference]] was [[produce]]. Aluminij compete in Slovenian PrvaLiga and Slovenian [[football]] [[transfuse]].",6
"The [[Near]] East [[earthquakes]] of 1759 was a series of devastating [[earthquakes]] that shook a [[large]] portion of the Levant in October and November of that [[year]]. This geographical [[crossroads]] in the Eastern Mediterranean includes portions of Syria, Lebanon, Turkey, and Israel. The [[ruins]] of Baalbek, a settlement in the Beqaa Valley of Lebanon east of the Litani River, were [[badly]] damaged. These [[events]], along with the earlier 1202 Syria [[earthquake]], are likely the [[strongest]] [[historical]] [[earthquakes]] in the region.","The [[most]] East [[temblor]] of 1759 was a series of devastating [[temblor]] that shook a [[turgid]] portion of the Levant in October and November of that [[twelvemonth]]. This geographical [[crossway]] in the Eastern Mediterranean includes portions of Syria, Lebanon, Turkey, and Israel. The [[dilapidation]] of Baalbek, a settlement in the Beqaa Valley of Lebanon east of the Litani River, were [[ill]] damaged. These [[case]], along with the earlier 1202 Syria [[temblor]], are likely the [[inviolable]] [[diachronic]] [[temblor]] in the region.",5
