original_text,perturbed_text,label
"Les Disques du Crépuscule is an independent [[record]] [[label]] founded in Belgium. [[The]] [[label]] was [[founded]] in 1980 by Michel Duval and Annik Honoré. It also had a [[prominent]] associated [[sublabel]], [[Factory]] Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent [[recording]] [[la]] [[bel]] founded in Belgium. [[T]] [[he]] [[etiquette]] was [[fouոded]] in 1980 by Michel Duval and Annik Honoré. It also had a [[conspicuous]] associated [[suЬlabel]], [[Fctory]] Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"[[The]] [[2003]] [[All-Ireland]] Under-21 Hurling Championship [[final]] was a hurling [[match]] that was played at Semple Stadium, Thurles on 21 September 2003 to determine the winners of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a tournament organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. The final was [[contested]] by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.","[[Nova]] [[ᒿ003]] [[AllIreland]] Under-21 Hurling Championship [[last]] was a hurling [[pairing]] that was played at Semple Stadium, Thurles on 21 September 2003 to determine the winners of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a tournament organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. The final was [[conetsted]] by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.",5
"The [[Brockville]] Football [[Club]] was a [[team]] that [[played]] in the [[QRFU]] at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the [[Quebec]] finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The [[Brockvilⅼe]] Football [[Clubhouse]] was a [[teaｍ]] that [[served]] in the [[QR]] [[FU]] at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the [[Montreal]] finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0
"These are the [[results]] of the [[women's]] individual all-around competition, [[one]] of [[six]] [[events]] for female [[competitors]] in artistic gymnastics at the [[2000]] [[Summer]] [[Olympics]] in [[Sydney]]. The [[qualification]] and final rounds [[took]] [[place]] on [[September]] [[17]] and [[21]] at the [[Sydney]] SuperDome. [[The]] all-around competition in the [[discipline]] of [[women's]] [[artistic]] gymnastics ([[WAG]]) was [[marred]] by [[three]] [[separate]] scandals. [[The]] [[vault]] [[apparatus]] was [[set]] incorrectly for more than [[half]] of the [[meet]]; [[consequently]] many gymnasts [[fell]] or were [[injured]] on the [[event]]. The [[apparatus]] was [[adjusted]] during the [[third]] rotation and those [[gymnasts]] who had [[vaulted]] on the [[incorrectly]] [[set]] equipment were [[invited]] to [[re-do]] the [[event]] at the end of the competition. [[Notably]], [[Svetlana]] [[Khorkina]], who [[led]] [[champion]] Andreea Răducan by [[nearly]] [[0]].[[3]] in [[qualifications]], was [[thrown]] out of medal [[contention]] [[due]] to the [[wrongly]] [[measured]] [[vault]]. [[Additionally]], [[world]] [[all-around]] silver [[medalist]] [[Viktoria]] [[Karpenko]], who [[led]] the competition until the [[last]] rotation, was thrown from first [[place]] after she stubbed her toe, tripped, and fell out of bounds on her floor [[exercise]]. These are [[testaments]] to the [[upset]] of the entire [[competition]]. Finally, though not necessarily a [[favorite]] for an [[all-around]] [[medal]], [[Dong]] [[Fangxiao]] was found in 2010 to have been underaged at the Sydney Olympics. [[Consequently]], all of her results from the competition - [[including]] her all-around results - were [[cancelled]].","These are the [[resluts]] of the [[women`s]] individual all-around competition, [[anyone]] of [[ѕix]] [[eventѕ]] for female [[rivals]] in artistic gymnastics at the [[ᒿ000]] [[Summeⲅ]] [[Olymics]] in [[Syԁney]]. The [[eligibility]] and final rounds [[too𝒌]] [[placing]] on [[Sеptember]] [[1𝟕]] and [[ᒿ1]] at the [[Syԁney]] SuperDome. [[To]] all-around competition in the [[disciplinary]] of [[women'ѕ]] [[artistiϲ]] gymnastics ([[WG]]) was [[marreԁ]] by [[tre]] [[discrete]] scandals. [[Nova]] [[vaul𝚝]] [[device]] was [[configured]] incorrectly for more than [[medium]] of the [[cater]]; [[thus]] many gymnasts [[declined]] or were [[injureԁ]] on the [[even𝚝]]. The [[apparatuѕ]] was [[adjust]] during the [[thirds]] rotation and those [[gymnastic]] who had [[vaulteԁ]] on the [[incorrectⅼy]] [[se𝚝]] equipment were [[inviteԁ]] to [[re˗do]] the [[even𝚝]] at the end of the competition. [[Especially]], [[Svеtlana]] [[Khokrina]], who [[spearheaded]] [[champions]] Andreea Răducan by [[roughly]] [[O]].[[Ʒ]] in [[eligibility]], was [[cast]] out of medal [[controversy]] [[owed]] to the [[unfairly]] [[measureԁ]] [[crypt]]. [[Additionallу]], [[word]] [[all-arounԁ]] silver [[medal]] [[ist]] [[Vіktoria]] [[Karpen𝒌o]], who [[leԁ]] the competition until the [[latter]] rotation, was thrown from first [[placе]] after she stubbed her toe, tripped, and fell out of bounds on her floor [[drills]]. These are [[wills]] to the [[uspet]] of the entire [[competitiоn]]. Finally, though not necessarily a [[preferred]] for an [[all˗around]] [[decoration]], [[Excrement]] [[Fangixao]] was found in 2010 to have been underaged at the Sydney Olympics. [[Co]] [[nsequently]], all of her results from the competition - [[includinɡ]] her all-around results - were [[revoked]].",5
"The Texas river [[cooter]] ([[Pseudemys]] [[texana]]) is a [[species]] of freshwater [[turtle]] [[native]] to creeks, rivers, and lakes of the [[US]] state of Texas. It is [[found]] in the river basins of the [[Colorado]], [[Brazos]], Guadalupe, and San Antonio [[Rivers]]. It is one of two species of cooter native to the state, the other being the Eastern River Cooter.","The Texas river [[cooteⲅ]] ([[Pseudemyѕ]] [[texanɑ]]) is a [[kinds]] of freshwater [[spotted]] [[natives]] to creeks, rivers, and lakes of the [[OURS]] state of Texas. It is [[uncovered]] in the river basins of the [[Colоrado]], [[Braos]], Guadalupe, and San Antonio [[Stream]]. It is one of two species of cooter native to the state, the other being the Eastern River Cooter.",3
"[[Yisrael]] Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist [[political]] [[party]] in [[Israel]]. The [[party's]] base has traditionally been [[secular]], Russian-speaking Israelis. The [[party]] describes itself as \""a national movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the [[founder]] of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has [[attempted]] to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the [[peace]] [[process]] and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian [[state]] that would include an [[exchange]] of some largely Arab-inhabited [[parts]] of Israel for largely Jewish-inhabited [[parts]] of the West Bank. The [[party]] [[maintains]] an anti-clerical [[mantle]] and encourages socio-economic [[opportunities]] for new [[immigrants]], in conjunction with efforts to increase Jewish immigration. [[In]] the [[2009]] election the [[party]] won [[15]] [[seats]], its most to date, making it the [[third]] largest [[party]] in the [[previous]] [[Knesset]]. [[In]] the 2015 [[election]], the [[party]] won six [[seats]].","[[Yisraeⅼ]] Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist [[policies]] [[fiesta]] in [[Israelis]]. The [[par𝚝y's]] base has traditionally been [[lay]], Russian-speaking Israelis. The [[portion]] describes itself as \""a national movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the [[inaugural]] of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has [[attempteԁ]] to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the [[peaceful]] [[treat]] and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian [[nation]] that would include an [[exϲhange]] of some largely Arab-inhabited [[pieces]] of Israel for largely Jewish-inhabited [[pieces]] of the West Bank. The [[part]] [[argues]] an anti-clerical [[jacket]] and encourages socio-economic [[luck]] for new [[immigrant]], in conjunction with efforts to increase Jewish immigration. [[Throughout]] the [[200৭]] election the [[par𝚝y]] won [[1Ƽ]] [[posts]], its most to date, making it the [[thrid]] largest [[pɑrty]] in the [[preceding]] [[Knesse𝚝]]. [[Iո]] the 2015 [[eleciton]], the [[pɑrty]] won six [[journal]].",0
"Hong Kong [[Tramways]] ([[Chinese]]: 香港電車) is a [[tram]] [[system]] in Hong Kong and one of the earliest forms of public transport in the [[metropolis]]. Owned and operated by Veolia [[Transport]] [[RATP]] [[Asia]], the [[tramway]] runs on Hong Kong [[Island]] between [[Shau]] [[Kei]] Wan and [[Kennedy]] [[Town]], with a [[branch]] [[circulating]] through Happy [[Valley]]. [[Trams]] in Hong Kong have not only been a form of commuter transport for over [[110]] years, but [[also]] a major tourist attraction and [[one]] of the most environmentally friendly ways of travelling in [[Hong]] Kong. The [[tram]] [[system]] is the only [[one]] in the world [[operated]] [[exclusively]] with double-decker [[trams]], and is one of only [[three]] non-heritage [[tram]] [[systems]] in the world that use [[double-deck]] cars. The tram is the cheapest [[mode]] of public [[transport]] on the [[island]]. The [[comparatively]] affordable fare is [[highlighted]] by [[Hong]] Kong [[Tramways']] advertising [[slogan]]: \""[[Hop]] on 1. $2.3. [[Tram]] so [[easy]]!\""","Hong Kong [[Tramwayѕ]] ([[China]]: 香港電車) is a [[trolley]] [[mechanism]] in Hong Kong and one of the earliest forms of public transport in the [[cosmopolitan]]. Owned and operated by Veolia [[Transporting]] [[RAP]] [[Asian]], the [[streetcar]] runs on Hong Kong [[Islanԁ]] between [[Sau]] [[Ki]] Wan and [[Truman]] [[Toԝn]], with a [[rama]] [[circula𝚝ing]] through Happy [[Gore]]. [[Trolley]] in Hong Kong have not only been a form of commuter transport for over [[10]] years, but [[additionally]] a major tourist attraction and [[someone]] of the most environmentally friendly ways of travelling in [[Kong]] Kong. The [[streetcar]] [[mechanism]] is the only [[eden]] in the world [[operateԁ]] [[exclusiveⅼy]] with double-decker [[tramѕ]], and is one of only [[tres]] non-heritage [[streetcar]] [[systemѕ]] in the world that use [[double-deϲk]] cars. The tram is the cheapest [[moe]] of public [[traոsport]] on the [[islanԁ]]. The [[comparativeⅼy]] affordable fare is [[highlighteԁ]] by [[Kong]] Kong [[Trɑmways']] advertising [[slogɑn]]: \""[[Jumping]] on 1. $2.3. [[Trolley]] so [[simple]]!\""",0
"[[Paperman]] ([[stylized]] as paperman) is a [[2012]] black-and-white 3D [[romantic]] [[comedy]] [[short]] [[film]]. Produced by [[Walt]] Disney Animation Studios and directed by John Kahrs, the [[short]] [[blends]] [[traditional]] animation and [[computer]] animation. It won both the [[Academy]] Award for [[Best]] [[Animated]] [[Short]] Film at the [[85th]] Academy Awards and the Annie [[Award]] for Best [[Animated]] [[Short]] Subject at the 40th [[Annie]] Awards. Paperman was the first [[animated]] [[short]] film [[produced]] by [[Walt]] Disney Animation [[Studios]] to [[win]] an [[Academy]] Award since [[It's]] Tough to Be a [[Bird]] in 1970.","[[Paeprman]] ([[stylish]] as paperman) is a [[201ᒿ]] black-and-white 3D [[corny]] [[comedian]] [[sho]] [[rt]] [[films]]. Produced by [[Sears]] Disney Animation Studios and directed by John Kahrs, the [[briefly]] [[blneds]] [[classic]] animation and [[compսter]] animation. It won both the [[Oskar]] Award for [[Bes𝚝]] [[Animation]] [[S]] [[hort]] Film at the [[85h]] Academy Awards and the Annie [[Scholarship]] for Best [[Animation]] [[Succinct]] Subject at the 40th [[Jenny]] Awards. Paperman was the first [[animatеd]] [[s]] [[hort]] film [[produceԁ]] by [[Disneyworld]] Disney Animation [[Loft]] to [[triumphs]] an [[Aca]] [[demy]] Award since [[It`s]] Tough to Be a [[Fowl]] in 1970.",1
"[[Front]] [[Royal]]–[[Warren]] County [[Airport]] ([[IATA]]: [[FRR]], ICAO: [[KFRR]], [[FAA]] [[LID]]: FRR) is a [[county]] owned, [[public]] use [[airport]] located [[three]] nautical miles ([[6]] km) west of the [[central]] [[business]] district of Front [[Royal]], a town in [[Warren]] County, Virginia, [[United]] States. [[It]] is included in the National [[Plan]] of Integrated Airport Systems for [[2011]]–2015, which categorized it as a general aviation facility.","[[Font]] [[Regal]]–[[Wayne]] County [[Airports]] ([[ITAA]]: [[F]] [[RR]], ICAO: [[KFR]], [[AFL]] [[LD]]: FRR) is a [[district]] owned, [[publiϲ]] use [[airpоrt]] located [[tree]] nautical miles ([[б]] km) west of the [[pivotal]] [[businesses]] district of Front [[Roal]], a town in [[Wayne]] County, Virginia, [[Unified]] States. [[He]] is included in the National [[Systems]] of Integrated Airport Systems for [[201l]]–2015, which categorized it as a general aviation facility.",2
"Mumtaz [[Mahal]] (1921 – 1945) was a [[British]] [[Thoroughbred]] [[racehorse]] who the National Sporting Library's Thoroughbred Heritage [[website]] says was \""one of the most [[important]] broodmares of the 20th [[Century]]\"". She was named for empress Mumtaz [[Mahal]], wife of Mughal Empire ruler Shah Jahan of [[Taj]] [[Mahal]] fame. [[Bred]] by Lady Sykes at her Sledmere Stud in [[Driffield]], [[East]] Riding of [[Yorkshire]], [[Mumtaz]] Mahal was out of the [[mare]] Lady Josephine. Her [[sire]] was The [[Tetrarch]], whom the Thoroughbred Heritage website [[also]] said was \""[[probably]] the greatest [[two-year-old]] of all time\"", and that he was \""[[possibly]] the greatest runner [[ever]].\""","Mumtaz [[M]] [[ahal]] (1921 – 1945) was a [[Briton]] [[Racing]] [[horsey]] who the National Sporting Library's Thoroughbred Heritage [[internet]] says was \""one of the most [[іmportant]] broodmares of the 20th [[Millennia]]\"". She was named for empress Mumtaz [[Mahaⅼ]], wife of Mughal Empire ruler Shah Jahan of [[Tagging]] [[Mughal]] fame. [[Berd]] by Lady Sykes at her Sledmere Stud in [[Driffied]], [[Est]] Riding of [[Yоrkshire]], [[Mu]] [[mtaz]] Mahal was out of the [[pony]] Lady Josephine. Her [[nobleman]] was The [[Herodias]], whom the Thoroughbred Heritage website [[moreover]] said was \""[[probabⅼy]] the greatest [[two-yea-rold]] of all time\"", and that he was \""[[possibⅼy]] the greatest runner [[forever]].\""",3
