original_text,perturbed_text,label
"Les Disques du Crépuscule is an independent [[record]] [[label]] founded in Belgium. The [[label]] was [[founded]] in [[1980]] by Michel Duval and Annik Honoré. It also had a [[prominent]] associated [[sublabel]], Factory [[Benelux]]. Both are now run by [[former]] [[employee]] James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the [[label's]] catalogue [[numbers]] being prefixed by the [[letters]] TWI.","Les Disques du Crépuscule is an independent [[reord]] [[labeⅼ]] founded in Belgium. The [[etiquette]] was [[found]] [[ed]] in [[1890]] by Michel Duval and Annik Honoré. It also had a [[prоminent]] associated [[subalbel]], Factory [[Bеnelux]]. Both are now run by [[old]] [[emploуee]] James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the [[labeⅼ's]] catalogue [[figures]] being prefixed by the [[le]] [[tters]] TWI.",0
"[[The]] [[2003]] All-Ireland Under-21 Hurling Championship [[final]] was a hurling [[match]] that was played at [[Semple]] Stadium, Thurles on [[21]] September 2003 to determine the winners of the 2003 All-Ireland [[Under-21]] Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a [[tournament]] organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. [[The]] final was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.","[[T]] [[he]] [[ᒿ003]] All-Ireland Under-21 Hurling Championship [[last]] was a hurling [[pairing]] that was played at [[Sempⅼe]] Stadium, Thurles on [[ᒿ1]] September 2003 to determine the winners of the 2003 All-Ireland [[Under˗21]] Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a [[competitions]] organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. [[T]] [[he]] final was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.",5
"[[The]] [[Brockville]] [[Football]] Club was a [[team]] that played in the QRFU at the turn of the [[century]]. They had great success early on in their [[history]]. In 1899, they [[finished]] in first place in the [[QRFU]] but [[lost]] to Ottawa [[College]] in the Quebec finals. They won the QRFU Championship in 1900 but [[lost]] in the Dominion Final to the Ottawa Rough Riders.","[[To]] [[Brock]] [[ville]] [[Foo]] [[tball]] Club was a [[task]] that played in the QRFU at the turn of the [[millennium]]. They had great success early on in their [[tale]]. In 1899, they [[finish]] in first place in the [[QFRU]] but [[l]] [[ost]] to Ottawa [[Academia]] in the Quebec finals. They won the QRFU Championship in 1900 but [[lose]] in the Dominion Final to the Ottawa Rough Riders.",0
"The Texas river [[cooter]] ([[Pseudemys]] texana) is a [[species]] of [[freshwater]] [[turtle]] [[native]] to creeks, rivers, and lakes of the US state of Texas. It is found in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[species]] of cooter native to the state, the other being the Eastern River Cooter.","The Texas river [[cooteⲅ]] ([[Pseudemyѕ]] texana) is a [[kind]] of [[freѕhwater]] [[turtⅼe]] [[natiѵe]] to creeks, rivers, and lakes of the US state of Texas. It is found in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[sрecies]] of cooter native to the state, the other being the Eastern River Cooter.",3
"[[Hong]] Kong [[Tramways]] (Chinese: [[香港電車]]) is a [[tram]] system in [[Hong]] Kong and one of the [[earliest]] forms of public transport in the metropolis. Owned and operated by [[Veolia]] [[Transport]] [[RATP]] Asia, the [[tramway]] runs on [[Hong]] Kong Island between [[Shau]] [[Kei]] Wan and [[Kennedy]] Town, with a [[branch]] circulating through [[Happy]] [[Valley]]. Trams in Hong Kong have not only been a form of [[commuter]] transport for over 110 years, but also a major [[tourist]] attraction and one of the most [[environmentally]] friendly ways of travelling in Hong Kong. The tram [[system]] is the only one in the [[world]] [[operated]] exclusively with [[double-decker]] [[trams]], and is one of only [[three]] non-heritage [[tram]] [[systems]] in the world that [[use]] [[double-deck]] [[cars]]. The tram is the [[cheapest]] mode of [[public]] transport on the [[island]]. The [[comparatively]] affordable [[fare]] is highlighted by [[Hong]] Kong [[Tramways']] advertising [[slogan]]: \""Hop on 1. $2.3. [[Tram]] so easy!\""","[[Hanged]] Kong [[Trɑmways]] (Chinese: [[香港]] [[電車]]) is a [[trɑm]] system in [[Hanged]] Kong and one of the [[shortest]] forms of public transport in the metropolis. Owned and operated by [[Veoⅼia]] [[Conveyance]] [[RAP]] Asia, the [[trɑmway]] runs on [[Kong]] Kong Island between [[Sahu]] [[Qaeda]] Wan and [[Jfk]] Town, with a [[offshoot]] circulating through [[Cheerful]] [[Gore]]. Trams in Hong Kong have not only been a form of [[coｍmuter]] transport for over 110 years, but also a major [[tourists]] attraction and one of the most [[ecological]] friendly ways of travelling in Hong Kong. The tram [[mechanism]] is the only one in the [[global]] [[exploited]] exclusively with [[double-deckеr]] [[trɑms]], and is one of only [[tres]] non-heritage [[trɑm]] [[regimes]] in the world that [[uѕe]] [[doublе-deck]] [[carѕ]]. The tram is the [[cheaply]] mode of [[pubic]] transport on the [[ilsand]]. The [[compɑratively]] affordable [[fɑre]] is highlighted by [[Kang]] Kong [[Tramwayѕ']] advertising [[watchword]]: \""Hop on 1. $2.3. [[T]] [[ram]] so easy!\""",0
"Sarah [[Siddons]] (6 May 1973 – [[2000]]) was a [[French-bred]], [[Irish-trained]] [[Thoroughbred]] [[racehorse]]. [[She]] was a [[well-bred]] [[mare]], being [[descended]] from a [[half-sister]] of the [[outstanding]] Irish [[racehorse]] Ragusa. [[As]] a [[two-year-old]] in [[1975]] she [[showed]] promise when winning her only race of the [[season]]. [[In]] the [[following]] year she was rated the best [[three-year-old]] [[filly]] trained in the [[British]] [[Isles]] in a [[division]] which was [[otherwise]] [[dominated]] by [[French-trained]] [[horses]]. [[She]] [[recorded]] [[Group]] [[One]] wins in the [[Irish]] [[1000]] [[Guineas]] and [[Yorkshire]] Oaks, as [[well]] as finishing [[second]] to Lagunette in both the [[Irish]] [[Oaks]] and the Prix [[Vermeille]]. [[She]] failed to win as a four-year-old, but became a very successful broodmare.","Sarah [[Clough]] (6 May 1973 – [[20O0]]) was a [[French-breԁ]], [[Irish-trainеd]] [[Racecourse]] [[rɑcehorse]]. [[Niece]] was a [[well-breԁ]] [[seas]], being [[descent]] from a [[hal𝚏-sister]] of the [[outsanding]] Irish [[racehorѕe]] Ragusa. [[Como]] a [[two-year-oⅼd]] in [[197Ƽ]] she [[sho]] [[wed]] promise when winning her only race of the [[episodes]]. [[Onto]] the [[later]] year she was rated the best [[three-year˗old]] [[filⅼy]] trained in the [[Britiѕh]] [[Archipelago]] in a [[partition]] which was [[alternately]] [[dominates]] by [[French˗trained]] [[hroses]]. [[Niece]] [[recordeԁ]] [[Cluster]] [[Someone]] wins in the [[Gaelic]] [[100]] [[Guiոeas]] and [[Yorks]] [[hire]] Oaks, as [[alright]] as finishing [[sec]] to Lagunette in both the [[Galway]] [[Redwood]] and the Prix [[Vermeilⅼe]]. [[Niece]] failed to win as a four-year-old, but became a very successful broodmare.",3
"[[Mumtaz]] [[Mahal]] ([[1921]] – 1945) was a [[British]] [[Thoroughbred]] [[racehorse]] who the National Sporting [[Library's]] Thoroughbred [[Heritage]] website [[says]] was \""one of the most important broodmares of the [[20th]] Century\"". She was [[named]] for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal [[fame]]. Bred by [[Lady]] Sykes at her [[Sledmere]] Stud in [[Driffield]], [[East]] Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the [[Thoroughbred]] [[Heritage]] website [[also]] said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest [[runner]] ever.\""","[[Mutmaz]] [[Mahl]] ([[19]] [[21]] – 1945) was a [[Britons]] [[Thoroughbreԁ]] [[horsey]] who the National Sporting [[Library'ѕ]] Thoroughbred [[Heritaɡe]] website [[syas]] was \""one of the most important broodmares of the [[20𝚝h]] Century\"". She was [[baptized]] for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal [[faｍe]]. Bred by [[Ladу]] Sykes at her [[Sldmere]] Stud in [[Driffiеld]], [[Eat]] Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the [[ThoroughЬred]] [[Heritaɡe]] website [[besides]] said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest [[runer]] ever.\""",3
"Eutelsat [[16C]] (formerly [[SESAT]] [[1]]) is a [[satellite]] operated by Eutelsat, originally the first of a series of [[SESAT]] (Siberia - Europe SATellite) satellites. It provides a wide range of telecommunications services over a very large geographical coverage area that extends from the Atlantic Ocean to Eastern Russia, including a large part of Siberia. The satellites also provide broadcasting services to Africa by means of steerable spotbeams. On 29 January 2010, the [[satellite]] moved to 16° E to take over some services from the [[malfunctioning]] [[W2]] satellite.","Eutelsat [[l6C]] (formerly [[SEAST]] [[l]]) is a [[satellіte]] operated by Eutelsat, originally the first of a series of [[SE]] [[SAT]] (Siberia - Europe SATellite) satellites. It provides a wide range of telecommunications services over a very large geographical coverage area that extends from the Atlantic Ocean to Eastern Russia, including a large part of Siberia. The satellites also provide broadcasting services to Africa by means of steerable spotbeams. On 29 January 2010, the [[satelli𝚝e]] moved to 16° E to take over some services from the [[malfunc𝚝ioning]] [[Wᒿ]] satellite.",2
"The Rochester [[Jr]]. Americans were a [[Tier]] III [[Junior]] A [[ice]] [[hockey]] [[team]] from [[Rochester]], New [[York]]. [[Their]] [[top]] team most [[recently]] played in the USPHL in the Premier Division while also fielding a team in the Elite Division.","The Rochester [[Kiddo]]. Americans were a [[Teir]] III [[Jnuior]] A [[icing]] [[hockeу]] [[task]] from [[Rochesteⲅ]], New [[Yo]] [[rk]]. [[Leur]] [[topped]] team most [[freshly]] played in the USPHL in the Premier Division while also fielding a team in the Elite Division.",0
"Fiesta [[Mall]] is a regional shopping [[center]] in the U.S. city of Mesa, Arizona (part of the Phoenix metropolitan area). Fiesta [[Mall]] is located west of Alma [[School]] Road, between Southern Avenue and the US 60 (Superstition) freeway.","Fiesta [[Supermarket]] is a regional shopping [[cenetr]] in the U.S. city of Mesa, Arizona (part of the Phoenix metropolitan area). Fiesta [[Supermarket]] is located west of Alma [[Shool]] Road, between Southern Avenue and the US 60 (Superstition) freeway.",2
