original_text,perturbed_text,label
"Les Disques du Crépuscule is an independent record [[label]] founded in [[Belgium]]. [[The]] label was founded in 1980 by Michel Duval and Annik [[Honoré]]. [[It]] [[also]] had a [[prominent]] associated [[sublabel]], Factory Benelux. Both are now run by [[former]] [[employee]] James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the [[label's]] catalogue [[numbers]] being prefixed by the letters [[TWI]].","Les Disques du Crépuscule is an independent record [[laЬel]] founded in [[Belgiuｍ]]. [[Te]] label was founded in 1980 by Michel Duval and Annik [[Honoⲅé]]. [[I𝚝]] [[aslo]] had a [[prominen𝚝]] associated [[sublabeⅼ]], Factory Benelux. Both are now run by [[foⲅmer]] [[empⅼoyee]] James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the [[labeⅼ's]] catalogue [[numberѕ]] being prefixed by the letters [[TI]].",0
"[[The]] [[Brockville]] Football Club was a team that played in the QRFU at the turn of the [[century]]. They had great success early on in their [[history]]. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the [[Quebec]] [[finals]]. They won the QRFU [[Championship]] in 1900 but lost in the [[Dominion]] Final to the Ottawa Rough Riders.","[[Thе]] [[Brockvi]] [[lle]] Football Club was a team that played in the QRFU at the turn of the [[cent]] [[ury]]. They had great success early on in their [[hitory]]. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the [[Quebeϲ]] [[finalѕ]]. They won the QRFU [[Championѕhip]] in 1900 but lost in the [[Doｍinion]] Final to the Ottawa Rough Riders.",0
"[[These]] are the [[results]] of the women's individual [[all-around]] competition, [[one]] of [[six]] [[events]] for female competitors in artistic gymnastics at the 2000 Summer Olympics in [[Sydney]]. The qualification and final rounds [[took]] place on [[September]] 17 and 21 at the Sydney SuperDome. The all-around competition in the discipline of [[women's]] artistic gymnastics (WAG) was [[marred]] by three separate scandals. The vault apparatus was set incorrectly for more than [[half]] of the [[meet]]; consequently many gymnasts [[fell]] or were injured on the event. The apparatus was adjusted during the third rotation and those gymnasts who had vaulted on the incorrectly set equipment were invited to [[re-do]] the event at the end of the competition. Notably, Svetlana Khorkina, who led champion Andreea Răducan by nearly 0.3 in qualifications, was thrown out of medal contention due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who led the competition until the last rotation, was thrown from first place after she stubbed her toe, tripped, and fell out of bounds on her floor exercise. These are testaments to the upset of the entire competition. Finally, though not necessarily a [[favorite]] for an all-around medal, [[Dong]] Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her results from the competition - including her all-around [[results]] - were cancelled.","[[Thеse]] are the [[rseults]] of the women's individual [[all-arou]] [[nd]] competition, [[oe]] of [[sіx]] [[evеnts]] for female competitors in artistic gymnastics at the 2000 Summer Olympics in [[Sydny]]. The qualification and final rounds [[toоk]] place on [[Septem]] [[ber]] 17 and 21 at the Sydney SuperDome. The all-around competition in the discipline of [[womeո's]] artistic gymnastics (WAG) was [[mar]] [[red]] by three separate scandals. The vault apparatus was set incorrectly for more than [[hal𝚏]] of the [[m]] [[eet]]; consequently many gymnasts [[fеll]] or were injured on the event. The apparatus was adjusted during the third rotation and those gymnasts who had vaulted on the incorrectly set equipment were invited to [[ⲅe-do]] the event at the end of the competition. Notably, Svetlana Khorkina, who led champion Andreea Răducan by nearly 0.3 in qualifications, was thrown out of medal contention due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who led the competition until the last rotation, was thrown from first place after she stubbed her toe, tripped, and fell out of bounds on her floor exercise. These are testaments to the upset of the entire competition. Finally, though not necessarily a [[fɑvorite]] for an all-around medal, [[Dnog]] Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her results from the competition - including her all-around [[rseults]] - were cancelled.",5
"Hong Kong [[Tramways]] (Chinese: 香港電車) is a [[tram]] [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The [[tram]] system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong [[Kong]] Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong [[Tramwayѕ]] (Chinese: 香港電車) is a [[tr]] [[am]] [[sуstem]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The [[traｍ]] system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong [[Konɡ]] Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Stadion Feijenoord (pronounced [ˌstaːdijɔn ˈfɛiənoːrt]), more commonly known by its [[nickname]] De Kuip (pronounced [də ˈkœyp]; the [[Tub]]), is a [[stadium]] in [[Rotterdam]], [[Netherlands]] that was completed in [[1937]]. The name is derived from the area \""Feijenoord\"" in [[Rotterdam]], and from the [[club]] with the same name (although the club's name was internationalised to Feyenoord in 1973). [[The]] [[stadium's]] original capacity was 64,000. In 1949 it was expanded to 69,000, and in 1994 it was renovated again for a capacity of 51,117. In 1999, a significant amount of restoration and interior work took place at the [[stadium]] prior to its use as a venue in the Euro 2000 tournament, although capacity was largely unaffected.","Stadion Feijenoord (pronounced [ˌstaːdijɔn ˈfɛiənoːrt]), more commonly known by its [[nicknaｍe]] De Kuip (pronounced [də ˈkœyp]; the [[Tb]]), is a [[stadiuｍ]] in [[Rotterdaｍ]], [[Netherlandѕ]] that was completed in [[193𝟕]]. The name is derived from the area \""Feijenoord\"" in [[Rotterdaｍ]], and from the [[cluЬ]] with the same name (although the club's name was internationalised to Feyenoord in 1973). [[Tհe]] [[stadіum's]] original capacity was 64,000. In 1949 it was expanded to 69,000, and in 1994 it was renovated again for a capacity of 51,117. In 1999, a significant amount of restoration and interior work took place at the [[stadіum]] prior to its use as a venue in the Euro 2000 tournament, although capacity was largely unaffected.",2
"The Savages were an American garage rock [[band]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.","The Savages were an American garage rock [[baոd]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
"[[These]] are the [[results]] of the [[men's]] horizontal bar competition, [[one]] of [[eight]] [[events]] for male competitors in artistic gymnastics at the 2000 Summer Olympics in [[Sydney]]. The qualification and [[final]] [[rounds]] [[took]] place on [[September]] 16 and 25 at the Sydney SuperDome.","[[Thеse]] are the [[resutls]] of the [[meո's]] horizontal bar competition, [[o]] [[ne]] of [[eiht]] [[evens]] for male competitors in artistic gymnastics at the 2000 Summer Olympics in [[Sydոey]]. The qualification and [[fiոal]] [[runds]] [[toоk]] place on [[Septe]] [[mber]] 16 and 25 at the Sydney SuperDome.",5
"[[The]] [[1994]] Taiwan Strait [[earthquake]] [[occurred]] on September 16, 1994 at 14:20 local time (06:20 UTC) in the southern Taiwan Strait. The magnitude of this [[earthquake]] was given as Mw 6.8 by USGS and Ms 7.3 by Fujian Seismological Bureau. The [[epicenter]] was located about 150 to 180 km from the coast of the border of Guangdong and Fujian, and about 150 km southwest of Taiwan.","[[Tհe]] [[l994]] Taiwan Strait [[earthquke]] [[occurrеd]] on September 16, 1994 at 14:20 local time (06:20 UTC) in the southern Taiwan Strait. The magnitude of this [[earthqսake]] was given as Mw 6.8 by USGS and Ms 7.3 by Fujian Seismological Bureau. The [[epi]] [[center]] was located about 150 to 180 km from the coast of the border of Guangdong and Fujian, and about 150 km southwest of Taiwan.",5
"[[The]] [[1936]] [[Marquette]] [[Golden]] Avalanche football team [[represented]] [[Marquette]] University in the [[1936]] [[college]] [[football]] [[season]]. Marquette was [[led]] by long-time [[head]] coach [[Frank]] [[Murray]]. [[The]] team competed as a football independent and [[played]] their [[home]] games at Marquette [[Stadium]] in Milwaukee, Wisconsin. [[The]] squad finished the [[season]] with a 7–2 [[record]] after losing to TCU in the inaugural Cotton [[Bowl]] Classic.","[[Te]] [[l936]] [[Maruette]] [[Goldeո]] Avalanche football team [[representeԁ]] [[Marquet𝚝e]] University in the [[193б]] [[cоllege]] [[footall]] [[seasоn]]. Marquette was [[l]] [[ed]] by long-time [[he]] [[ad]] coach [[Frak]] [[Mսrray]]. [[Te]] team competed as a football independent and [[plɑyed]] their [[hoe]] games at Marquette [[Stadiսm]] in Milwaukee, Wisconsin. [[Thе]] squad finished the [[seasn]] with a 7–2 [[rceord]] after losing to TCU in the inaugural Cotton [[Bowⅼ]] Classic.",6
"Op:l Bastards was [[formed]] by Timo [[Kaukolampi]] (born 1971), Vilunki 3000 (real name: Mikko [[Viljakainen]], b. 1973) and Tuomo Puranen from [[Helsinki]], Finland. [[Kaukolampi]] and Vilunki had earlier on played in the garage rock [[band]] Larry and the [[Lefthanded]]. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In [[2007]] Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The [[Job]] album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009","Op:l Bastards was [[formeԁ]] by Timo [[Kaukolapmi]] (born 1971), Vilunki 3000 (real name: Mikko [[Vilja𝒌ainen]], b. 1973) and Tuomo Puranen from [[Helsin𝒌i]], Finland. [[Kaսkolampi]] and Vilunki had earlier on played in the garage rock [[banԁ]] Larry and the [[Lefthanԁed]]. Their original name was Opel Bastards, but they had to change it due to the pressure from Opel company. Their music is categorised as electronic music. They are described as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In [[2]] [[007]] Op:l Bastards had their first gig in five years on the 18th of August at Flow festival of Helsinki. The [[JoЬ]] album was re-released on Op:l's record label Lefta Records in Finland, with liner notes written by Philip Oakey (of The Human League fame). The group released their second album in 2009",0
