original_text,perturbed_text,label
"The [[Canal]] Latéral à [[la]] Loire was [[constructed]] between 1827 and 1838 to [[connect]] the [[Canal]] de Briare at Briare and the [[Canal]] du [[Centre]] at Digoin, a distance of 196 km. [[It]] replaced the use of the [[River]] Loire which had reliability problems arising from winter floods and summer droughts. Aqueducts were used to [[cross]] the [[River]] Allier at [[Le]] Guétin (in the [[commune]] of Cuffy) and the [[River]] Loire at Digoin, but [[because]] of the extreme [[length]] required, one was not [[built]] to [[cross]] the Loire [[River]] at Briare until 1896 when the Briare aqueduct was [[constructed]].","The [[Conduits]] Latéral à [[du]] Loire was [[formulated]] between 1827 and 1838 to [[login]] the [[Pipelines]] de Briare at Briare and the [[Canals]] du [[Facilities]] at Digoin, a distance of 196 km. [[He]] replaced the use of the [[Waterways]] Loire which had reliability problems arising from winter floods and summer droughts. Aqueducts were used to [[traversed]] the [[Water]] Allier at [[De]] Guétin (in the [[sectarian]] of Cuffy) and the [[Aqueduct]] Loire at Digoin, but [[than]] of the extreme [[timeframe]] required, one was not [[manufactured]] to [[croce]] the Loire [[Water]] at Briare until 1896 when the Briare aqueduct was [[manufacture]].",2
"Les Disques du Crépuscule is an independent [[record]] [[label]] founded in Belgium. The [[label]] was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent [[documentation]] [[logo]] founded in Belgium. The [[labeling]] was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"[[The]] 2003 All-Ireland Under-21 Hurling [[Championship]] [[final]] was a [[hurling]] [[match]] that was [[played]] at [[Semple]] [[Stadium]], Thurles on 21 [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 [[Hurling]] [[Championship]], the 40th [[season]] of the All-Ireland Under-21 Hurling [[Championship]], a [[tournament]] [[organised]] by the [[Gaelic]] Athletic [[Association]] for the [[champion]] [[teams]] of the four [[provinces]] of [[Ireland]]. The [[final]] was [[contested]] by Kilkenny of Leinster and [[Galway]] of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","[[Both]] 2003 All-Ireland Under-21 Hurling [[Champion]] [[latest]] was a [[chucked]] [[corresponding]] that was [[implemented]] at [[Macpherson]] [[Schoolyard]], Thurles on 21 [[Janvier]] 2003 to [[detects]] the [[laureate]] of the 2003 All-Ireland Under-21 [[Chucked]] [[Featuring]], the 40th [[seasons]] of the All-Ireland Under-21 Hurling [[Featuring]], a [[regionals]] [[structure]] by the [[Scottish]] Athletic [[Federation]] for the [[ace]] [[squad]] of the four [[countries]] of [[Northerly]]. The [[recent]] was [[competitions]] by Kilkenny of Leinster and [[Ireland]] of Connacht, with Kilkenny [[victoire]] by 2-13 to 0-12.",5
"The Brockville Football [[Club]] was a [[team]] that [[played]] in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the [[Quebec]] finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The Brockville Football [[Clubhouse]] was a [[accoutrements]] that [[serviced]] in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the [[Montreal]] finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0
"Giulia Sergas ([[born]] 26 [[December]] 1979) is an [[Italian]] [[professional]] [[golfer]], [[currently]] playing on both the LPGA [[Tour]] and the [[Ladies]] [[European]] [[Tour]].","Giulia Sergas ([[ould]] 26 [[Janeiro]] 1979) is an [[Ltalian]] [[jobs]] [[putt]], [[ever]] playing on both the LPGA [[Wrinkle]] and the [[Mesdames]] [[Gothenburg]] [[Ballad]].",0
"[[The]] Texas river cooter (Pseudemys texana) is a [[species]] of [[freshwater]] [[turtle]] [[native]] to creeks, [[rivers]], and lakes of the [[US]] [[state]] of Texas. It is [[found]] in the [[river]] [[basins]] of the [[Colorado]], Brazos, [[Guadalupe]], and [[San]] [[Antonio]] [[Rivers]]. [[It]] is one of two [[species]] of cooter [[native]] to the state, the other being the [[Eastern]] [[River]] Cooter.","[[Both]] Texas river cooter (Pseudemys texana) is a [[genre]] of [[fraiche]] [[spotted]] [[indian]] to creeks, [[streaming]], and lakes of the [[AMERICANS]] [[statehood]] of Texas. It is [[felt]] in the [[aqueduct]] [[booms]] of the [[Butte]], Brazos, [[Hidalgo]], and [[Saints]] [[Gideon]] [[Aqueduct]]. [[He]] is one of two [[sorts]] of cooter [[indians]] to the state, the other being the [[Westward]] [[Revere]] Cooter.",3
"These are the [[results]] of the women's individual all-around competition, one of six [[events]] for female competitors in artistic gymnastics at the 2000 [[Summer]] [[Olympics]] in [[Sydney]]. The [[qualification]] and final rounds [[took]] [[place]] on [[September]] 17 and 21 at the Sydney SuperDome. The all-around competition in the discipline of women's [[artistic]] gymnastics ([[WAG]]) was [[marred]] by [[three]] [[separate]] scandals. The [[vault]] [[apparatus]] was set incorrectly for more than [[half]] of the [[meet]]; consequently [[many]] [[gymnasts]] [[fell]] or were [[injured]] on the [[event]]. The [[apparatus]] was [[adjusted]] during the [[third]] rotation and those gymnasts who had vaulted on the [[incorrectly]] set equipment were invited to re-do the [[event]] at the end of the competition. Notably, [[Svetlana]] Khorkina, who [[led]] [[champion]] Andreea Răducan by [[nearly]] 0.3 in [[qualifications]], was thrown out of medal [[contention]] due to the wrongly [[measured]] vault. [[Additionally]], [[world]] all-around silver [[medalist]] Viktoria Karpenko, who [[led]] the competition until the last rotation, was thrown from first [[place]] after she stubbed her toe, tripped, and fell out of bounds on her [[floor]] [[exercise]]. These are [[testaments]] to the [[upset]] of the entire competition. Finally, though not necessarily a [[favorite]] for an all-around [[medal]], Dong Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. [[Consequently]], all of her results from the competition - including her all-around results - were [[cancelled]].","These are the [[corollary]] of the women's individual all-around competition, one of six [[manifestations]] for female competitors in artistic gymnastics at the 2000 [[Ronald]] [[Olympian]] in [[Li]]. The [[grades]] and final rounds [[having]] [[placement]] on [[Avril]] 17 and 21 at the Sydney SuperDome. The all-around competition in the discipline of women's [[creative]] gymnastics ([[TREMBLE]]) was [[flawed]] by [[two]] [[segregated]] scandals. The [[crypt]] [[tool]] was set incorrectly for more than [[semester]] of the [[fulfilling]]; consequently [[multi]] [[rowers]] [[decline]] or were [[others]] on the [[phenomenon]]. The [[systems]] was [[adaptation]] during the [[iii]] rotation and those gymnasts who had vaulted on the [[inadvertently]] set equipment were invited to re-do the [[cases]] at the end of the competition. Notably, [[Tamara]] Khorkina, who [[instituted]] [[supporter]] Andreea Răducan by [[practically]] 0.3 in [[titles]], was thrown out of medal [[disputes]] due to the wrongly [[estimation]] vault. [[Anymore]], [[planet]] all-around silver [[trophies]] Viktoria Karpenko, who [[advanced]] the competition until the last rotation, was thrown from first [[pleasure]] after she stubbed her toe, tripped, and fell out of bounds on her [[soils]] [[drills]]. These are [[wills]] to the [[pissed]] of the entire competition. Finally, though not necessarily a [[advocated]] for an all-around [[medals]], Dong Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. [[Where]], all of her results from the competition - including her all-around results - were [[repealed]].",5
"Yisrael Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist [[political]] [[party]] in [[Israel]]. The party's base has traditionally been secular, Russian-speaking Israelis. The [[party]] describes itself as \""a national movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The [[party]] [[maintains]] an anti-clerical [[mantle]] and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. [[In]] the 2009 [[election]] the [[party]] won 15 seats, its most to date, making it the [[third]] largest [[party]] in the [[previous]] Knesset. [[In]] the 2015 [[election]], the [[party]] won six seats.","Yisrael Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist [[strategic]] [[fiesta]] in [[Jerusalem]]. The party's base has traditionally been secular, Russian-speaking Israelis. The [[section]] describes itself as \""a national movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The [[fiesta]] [[preserves]] an anti-clerical [[bathrobe]] and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. [[Roundabout]] the 2009 [[elect]] the [[feast]] won 15 seats, its most to date, making it the [[fourth]] largest [[feast]] in the [[ago]] Knesset. [[Around]] the 2015 [[constituents]], the [[fiesta]] won six seats.",0
"[[Front]] Royal–[[Warren]] County [[Airport]] (IATA: FRR, ICAO: KFRR, [[FAA]] [[LID]]: FRR) is a county owned, public [[use]] [[airport]] located three [[nautical]] miles (6 [[km]]) west of the central [[business]] [[district]] of [[Front]] [[Royal]], a town in [[Warren]] [[County]], Virginia, [[United]] [[States]]. [[It]] is [[included]] in the [[National]] [[Plan]] of [[Integrated]] Airport Systems for 2011–2015, which categorized it as a general aviation facility.","[[Page]] Royal–[[Roberts]] County [[Airports]] (IATA: FRR, ICAO: KFRR, [[ALF]] [[ROOF]]: FRR) is a county owned, public [[consuming]] [[airfields]] located three [[ocean]] miles (6 [[miles]]) west of the central [[ventures]] [[neighborhood]] of [[Frontline]] [[Ownership]], a town in [[Snyder]] [[Borough]], Virginia, [[Unified]] [[Alleges]]. [[His]] is [[embodied]] in the [[State]] [[Curriculum]] of [[Include]] Airport Systems for 2011–2015, which categorized it as a general aviation facility.",2
"Mumtaz [[Mahal]] (1921 – 1945) was a [[British]] [[Thoroughbred]] [[racehorse]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was [[named]] for empress Mumtaz Mahal, [[wife]] of Mughal Empire ruler Shah Jahan of Taj [[Mahal]] fame. [[Bred]] by [[Lady]] Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, [[Mumtaz]] Mahal was out of the mare Lady Josephine. Her sire was The [[Tetrarch]], whom the Thoroughbred Heritage website also said was \""[[probably]] the greatest two-year-old of all time\"", and that he was \""[[possibly]] the greatest runner ever.\""","Mumtaz [[Jahan]] (1921 – 1945) was a [[Anglican]] [[Jockey]] [[equestrian]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was [[appointment]] for empress Mumtaz Mahal, [[marrying]] of Mughal Empire ruler Shah Jahan of Taj [[Mughal]] fame. [[Alto]] by [[Women]] Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, [[Jahan]] Mahal was out of the mare Lady Josephine. Her sire was The [[Herod]], whom the Thoroughbred Heritage website also said was \""[[definately]] the greatest two-year-old of all time\"", and that he was \""[[surely]] the greatest runner ever.\""",3
