original_text,perturbed_text,label
"[[The]] [[Canal]] Latéral [[à]] [[la]] Loire was constructed between 1827 and 1838 to [[connect]] the [[Canal]] de Briare at Briare and the [[Canal]] [[du]] [[Centre]] at Digoin, a [[distance]] of 196 [[km]]. [[It]] [[replaced]] the [[use]] of the [[River]] Loire which [[had]] [[reliability]] [[problems]] [[arising]] from [[winter]] [[floods]] and [[summer]] droughts. [[Aqueducts]] were used to [[cross]] the [[River]] Allier at [[Le]] Guétin (in the [[commune]] of Cuffy) and the [[River]] Loire at Digoin, but because of the [[extreme]] [[length]] [[required]], one was not [[built]] to [[cross]] the Loire [[River]] at Briare until 1896 when the Briare [[aqueduct]] was [[constructed]].","[[Both]] [[Pipelines]] Latéral [[maintenant]] [[angeles]] Loire was constructed between 1827 and 1838 to [[ties]] the [[Channels]] de Briare at Briare and the [[Channel]] [[le]] [[Epicentre]] at Digoin, a [[distances]] of 196 [[kms]]. [[His]] [[superseded]] the [[consumption]] of the [[Water]] Loire which [[was]] [[trusted]] [[anxieties]] [[originating]] from [[summers]] [[influx]] and [[ronald]] droughts. [[Hydrants]] were used to [[transit]] the [[Riverbank]] Allier at [[Du]] Guétin (in the [[townships]] of Cuffy) and the [[Riverbank]] Loire at Digoin, but because of the [[gigantic]] [[times]] [[demand]], one was not [[formulated]] to [[transit]] the Loire [[Water]] at Briare until 1896 when the Briare [[water]] was [[manufacture]].",2
"Les Disques du Crépuscule is an independent [[record]] [[label]] founded in Belgium. The [[label]] was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent [[scrapbook]] [[subtitle]] founded in Belgium. The [[labels]] was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"[[The]] 2003 All-Ireland Under-21 [[Hurling]] [[Championship]] [[final]] was a [[hurling]] [[match]] that was [[played]] at [[Semple]] [[Stadium]], Thurles on 21 [[September]] 2003 to determine the winners of the 2003 All-Ireland Under-21 Hurling [[Championship]], the 40th season of the All-Ireland Under-21 Hurling Championship, a [[tournament]] [[organised]] by the Gaelic [[Athletic]] [[Association]] for the [[champion]] [[teams]] of the four [[provinces]] of [[Ireland]]. The [[final]] was [[contested]] by Kilkenny of Leinster and [[Galway]] of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","[[Both]] 2003 All-Ireland Under-21 [[Chucked]] [[Buckaroo]] [[recent]] was a [[hurls]] [[pairing]] that was [[been]] at [[Macpherson]] [[Stade]], Thurles on 21 [[Janeiro]] 2003 to determine the winners of the 2003 All-Ireland Under-21 Hurling [[Champion]], the 40th season of the All-Ireland Under-21 Hurling Championship, a [[competes]] [[holds]] by the Gaelic [[Sporty]] [[Cooperatives]] for the [[defender]] [[squad]] of the four [[province]] of [[Norden]]. The [[recent]] was [[rivalry]] by Kilkenny of Leinster and [[Monaghan]] of Connacht, with Kilkenny [[victoire]] by 2-13 to 0-12.",5
"Giulia Sergas ([[born]] 26 [[December]] 1979) is an [[Italian]] [[professional]] [[golfer]], currently playing on both the LPGA Tour and the Ladies European Tour.","Giulia Sergas ([[soldering]] 26 [[Juli]] 1979) is an [[Sicily]] [[carrera]] [[golf]], currently playing on both the LPGA Tour and the Ladies European Tour.",0
"The Brockville [[Football]] [[Club]] was a [[team]] that [[played]] in the QRFU at the turn of the [[century]]. They [[had]] great success early on in their [[history]]. [[In]] 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the [[Ottawa]] Rough Riders.","The Brockville [[Footballs]] [[Discotheque]] was a [[remit]] that [[fact]] in the QRFU at the turn of the [[twentieth]]. They [[grabbed]] great success early on in their [[tale]]. [[For]] 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the [[Toronto]] Rough Riders.",0
"The Texas river cooter (Pseudemys texana) is a [[species]] of [[freshwater]] [[turtle]] [[native]] to creeks, rivers, and lakes of the US state of Texas. It is [[found]] in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[species]] of cooter native to the state, the other being the Eastern River Cooter.","The Texas river cooter (Pseudemys texana) is a [[nature]] of [[fraiche]] [[spotted]] [[aboriginal]] to creeks, rivers, and lakes of the US state of Texas. It is [[founded]] in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[natures]] of cooter native to the state, the other being the Eastern River Cooter.",3
"[[Yisrael]] Beiteinu ([[Hebrew]]: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, [[lit]]. Israel is Our [[Home]]) is a secularist and right-wing [[nationalist]] [[political]] [[party]] in [[Israel]]. The party's [[base]] [[has]] [[traditionally]] been [[secular]], Russian-speaking [[Israelis]]. The [[party]] [[describes]] itself as \""a [[national]] [[movement]] with the [[clear]] [[vision]] to [[follow]] in the [[bold]] [[path]] of Zev Jabotinsky\"", the [[founder]] of Revisionist Zionism. It [[primarily]] [[represents]] immigrants from the former Soviet [[Union]]. [[Although]] it [[has]] [[attempted]] to [[expand]] its [[appeal]] to more [[established]] Israelis, it [[has]] not been [[successful]], and most of its [[voters]] are Russian-speaking. It [[takes]] a [[strong]] [[line]] towards the [[peace]] [[process]] and the [[integration]] of [[Israeli]] [[Arabs]], [[characterized]] by its 2009 [[election]] [[slogan]] \""No [[loyalty]], no [[citizenship]]\"". Its [[main]] [[platform]] [[includes]] a [[recognition]] of the two-state [[solution]], the [[creation]] of a [[Palestinian]] [[state]] that would [[include]] an [[exchange]] of some [[largely]] Arab-inhabited [[parts]] of [[Israel]] for [[largely]] Jewish-inhabited [[parts]] of the [[West]] [[Bank]]. The [[party]] [[maintains]] an anti-clerical [[mantle]] and [[encourages]] socio-economic [[opportunities]] for [[new]] [[immigrants]], in [[conjunction]] with [[efforts]] to [[increase]] Jewish [[immigration]]. [[In]] the 2009 [[election]] the [[party]] won 15 [[seats]], its most to [[date]], [[making]] it the [[third]] [[largest]] [[party]] in the [[previous]] Knesset. [[In]] the 2015 [[election]], the [[party]] won [[six]] [[seats]].","[[Bnei]] Beiteinu ([[Yahweh]]: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, [[informed]]. Israel is Our [[Reception]]) is a secularist and right-wing [[patriotic]] [[strategic]] [[parti]] in [[Jews]]. The party's [[piano]] [[got]] [[broadly]] been [[mundane]], Russian-speaking [[Zionism]]. The [[factions]] [[synopsis]] itself as \""a [[nationwide]] [[travel]] with the [[unmistakable]] [[perspectives]] to [[followed]] in the [[spirited]] [[menu]] of Zev Jabotinsky\"", the [[founding]] of Revisionist Zionism. It [[basically]] [[depicted]] immigrants from the former Soviet [[Society]]. [[Unlike]] it [[acres]] [[try]] to [[augmented]] its [[recourse]] to more [[formulation]] Israelis, it [[gets]] not been [[positive]], and most of its [[polling]] are Russian-speaking. It [[implies]] a [[loud]] [[lines]] towards the [[soothing]] [[therapy]] and the [[aboard]] of [[Jewish]] [[Arabic]], [[portray]] by its 2009 [[select]] [[theme]] \""No [[authenticity]], no [[population]]\"". Its [[central]] [[springboard]] [[composed]] a [[appreciate]] of the two-state [[address]], the [[creative]] of a [[Israeli]] [[countries]] that would [[embrace]] an [[exchanges]] of some [[typically]] Arab-inhabited [[exhibits]] of [[Israelis]] for [[actually]] Jewish-inhabited [[exhibits]] of the [[Westward]] [[Shoreline]]. The [[segment]] [[stays]] an anti-clerical [[attire]] and [[inspires]] socio-economic [[perspective]] for [[novel]] [[homesteaders]], in [[working]] with [[work]] to [[amplify]] Jewish [[immigrants]]. [[Toward]] the 2009 [[elect]] the [[segment]] won 15 [[headquarter]], its most to [[today]], [[conceive]] it the [[fourth]] [[broader]] [[parts]] in the [[earlier]] Knesset. [[By]] the 2015 [[polling]], the [[segment]] won [[eight]] [[headquarters]].",0
"[[Hong]] Kong Tramways (Chinese: 香港電車) is a [[tram]] [[system]] in [[Hong]] Kong and one of the earliest forms of public transport in the metropolis. [[Owned]] and [[operated]] by Veolia Transport RATP Asia, the tramway [[runs]] on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of [[commuter]] transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The [[tram]] [[system]] is the only one in the world [[operated]] [[exclusively]] with double-decker [[trams]], and is one of only three non-heritage [[tram]] [[systems]] in the world that [[use]] double-deck [[cars]]. The [[tram]] is the [[cheapest]] mode of [[public]] [[transport]] on the island. The [[comparatively]] [[affordable]] [[fare]] is [[highlighted]] by [[Hong]] [[Kong]] Tramways' [[advertising]] [[slogan]]: \""[[Hop]] on 1. $2.3. [[Tram]] [[so]] [[easy]]!\""","[[Hung]] Kong Tramways (Chinese: 香港電車) is a [[wheelbarrow]] [[mechanism]] in [[Hk]] Kong and one of the earliest forms of public transport in the metropolis. [[Holds]] and [[used]] by Veolia Transport RATP Asia, the tramway [[leads]] on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of [[commute]] transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The [[chariot]] [[mechanism]] is the only one in the world [[functioning]] [[accurately]] with double-decker [[gondolas]], and is one of only three non-heritage [[streetcars]] [[mechanism]] in the world that [[resort]] double-deck [[chariots]]. The [[chariot]] is the [[cheep]] mode of [[demographic]] [[expedition]] on the island. The [[reasonably]] [[accessible]] [[sidebar]] is [[exhibited]] by [[Hk]] [[Hk]] Tramways' [[messages]] [[watchword]]: \""[[Jumps]] on 1. $2.3. [[Wheelbarrow]] [[also]] [[simplistic]]!\""",0
"These are the results of the women's individual all-around [[competition]], one of six [[events]] for female [[competitors]] in artistic gymnastics at the 2000 [[Summer]] [[Olympics]] in Sydney. The qualification and [[final]] rounds [[took]] [[place]] on [[September]] 17 and 21 at the Sydney SuperDome. The all-around [[competition]] in the discipline of women's [[artistic]] [[gymnastics]] (WAG) was [[marred]] by [[three]] [[separate]] [[scandals]]. [[The]] [[vault]] apparatus was [[set]] [[incorrectly]] for more than [[half]] of the [[meet]]; [[consequently]] [[many]] [[gymnasts]] [[fell]] or were [[injured]] on the [[event]]. The apparatus was [[adjusted]] during the [[third]] rotation and those [[gymnasts]] who [[had]] [[vaulted]] on the [[incorrectly]] [[set]] equipment were [[invited]] to re-do the [[event]] at the [[end]] of the competition. [[Notably]], [[Svetlana]] Khorkina, who [[led]] [[champion]] Andreea Răducan by [[nearly]] 0.3 in [[qualifications]], was [[thrown]] out of medal contention due to the [[wrongly]] measured vault. Additionally, [[world]] all-around [[silver]] [[medalist]] Viktoria Karpenko, who led the competition until the last rotation, was [[thrown]] from first place after she stubbed her toe, tripped, and fell out of bounds on her floor exercise. [[These]] are [[testaments]] to the [[upset]] of the entire [[competition]]. Finally, [[though]] not necessarily a [[favorite]] for an all-around medal, Dong Fangxiao was found in 2010 to [[have]] been underaged at the [[Sydney]] Olympics. [[Consequently]], all of her results from the competition - including her all-around results - were [[cancelled]].","These are the results of the women's individual all-around [[competitor]], one of six [[example]] for female [[contestant]] in artistic gymnastics at the 2000 [[Ronald]] [[Olympian]] in Sydney. The qualification and [[recent]] rounds [[catches]] [[placing]] on [[Augusto]] 17 and 21 at the Sydney SuperDome. The all-around [[contestant]] in the discipline of women's [[creative]] [[volleyball]] (WAG) was [[smeared]] by [[two]] [[distinguish]] [[scandal]]. [[Both]] [[crypt]] apparatus was [[game]] [[overly]] for more than [[semesters]] of the [[address]]; [[likewise]] [[plenty]] [[gymnast]] [[autumn]] or were [[gash]] on the [[examples]]. The apparatus was [[suited]] during the [[iii]] rotation and those [[rowers]] who [[enjoys]] [[skipped]] on the [[erroneously]] [[game]] equipment were [[please]] to re-do the [[case]] at the [[fin]] of the competition. [[Explicitly]], [[Tamara]] Khorkina, who [[created]] [[championship]] Andreea Răducan by [[practically]] 0.3 in [[grades]], was [[molded]] out of medal contention due to the [[erroneously]] measured vault. Additionally, [[cosmos]] all-around [[silverware]] [[medallion]] Viktoria Karpenko, who led the competition until the last rotation, was [[molded]] from first place after she stubbed her toe, tripped, and fell out of bounds on her floor exercise. [[Those]] are [[wills]] to the [[incensed]] of the entire [[competes]]. Finally, [[besides]] not necessarily a [[selected]] for an all-around medal, Dong Fangxiao was found in 2010 to [[enjoys]] been underaged at the [[Sidney]] Olympics. [[Alternatively]], all of her results from the competition - including her all-around results - were [[repeal]].",5
"Front Royal–[[Warren]] County [[Airport]] (IATA: FRR, ICAO: KFRR, [[FAA]] [[LID]]: FRR) is a county owned, public [[use]] [[airport]] [[located]] [[three]] [[nautical]] [[miles]] (6 [[km]]) [[west]] of the [[central]] [[business]] [[district]] of [[Front]] [[Royal]], a town in [[Warren]] [[County]], [[Virginia]], [[United]] [[States]]. [[It]] is [[included]] in the [[National]] Plan of [[Integrated]] [[Airport]] Systems for 2011–2015, which [[categorized]] it as a [[general]] aviation [[facility]].","Front Royal–[[Clarence]] County [[Airports]] (IATA: FRR, ICAO: KFRR, [[ALF]] [[COVERAGE]]: FRR) is a county owned, public [[operate]] [[airports]] [[localized]] [[four]] [[ocean]] [[mel]] (6 [[miles]]) [[sahara]] of the [[principal]] [[company]] [[boroughs]] of [[Frontline]] [[Ownership]], a town in [[Goodwin]] [[Township]], [[Roanoke]], [[Uniformity]] [[Contends]]. [[His]] is [[constituted]] in the [[Nationally]] Plan of [[Amalgamated]] [[Airports]] Systems for 2011–2015, which [[catalogued]] it as a [[aggregate]] aviation [[services]].",2
