original_text,perturbed_text,label
"The [[Canal]] Latéral [[à]] la Loire was [[constructed]] between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du Centre at Digoin, a distance of 196 km. It replaced the use of the River Loire which had reliability problems arising from winter floods and summer droughts. Aqueducts were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not built to cross the Loire River at Briare until 1896 when the Briare aqueduct was constructed.","The [[Canals]] Latéral [[quand]] la Loire was [[building]] between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du Centre at Digoin, a distance of 196 km. It replaced the use of the River Loire which had reliability problems arising from winter floods and summer droughts. Aqueducts were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not built to cross the Loire River at Briare until 1896 when the Briare aqueduct was constructed.",2
"Les Disques du Crépuscule is an independent record [[label]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent record [[labeled]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"The 2003 All-Ireland Under-21 [[Hurling]] Championship [[final]] was a hurling [[match]] that was [[played]] at [[Semple]] [[Stadium]], Thurles on 21 [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 Hurling [[Championship]], the 40th [[season]] of the All-Ireland Under-21 [[Hurling]] Championship, a [[tournament]] [[organised]] by the [[Gaelic]] [[Athletic]] [[Association]] for the [[champion]] [[teams]] of the [[four]] [[provinces]] of [[Ireland]]. The [[final]] was [[contested]] by Kilkenny of Leinster and Galway of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","The 2003 All-Ireland Under-21 [[Flung]] Championship [[last]] was a hurling [[showdown]] that was [[implemented]] at [[Mcpherson]] [[Stages]], Thurles on 21 [[Janeiro]] 2003 to [[stipulates]] the [[wins]] of the 2003 All-Ireland Under-21 Hurling [[Featuring]], the 40th [[seasons]] of the All-Ireland Under-21 [[Grabbing]] Championship, a [[competition]] [[structure]] by the [[Scottish]] [[Recreational]] [[Combination]] for the [[defender]] [[squad]] of the [[three]] [[townships]] of [[Northern]]. The [[recent]] was [[competing]] by Kilkenny of Leinster and Galway of Connacht, with Kilkenny [[defeating]] by 2-13 to 0-12.",5
"[[Damon]] [[Kyle]] Wayans, [[Sr]]. (/ˈdeɪmən ˈweɪ.ənz/; [[born]] [[September]] 4, 1960) is an [[American]] [[actor]], comedian, [[writer]] and [[producer]], and [[member]] of the Wayans [[family]] of [[entertainers]]. Wayans [[performed]] as a [[comedian]] and [[actor]] throughout the 1980s, [[including]] a yearlong stint on the sketch comedy [[series]] [[Saturday]] [[Night]] [[Live]], although his true breakthrough [[came]] as a co-creator and performer on his own [[sketch]] comedy [[show]], In [[Living]] Color, from 1990 to 1992. Since then he has [[starred]] in a [[number]] of films and television shows, some of which he has co-produced or co-written, including The [[Last]] [[Boy]] Scout and [[Major]] Payne, and the [[sitcom]] My Wife and [[Kids]].","[[Wes]] [[Richardson]] Wayans, [[Rt]]. (/ˈdeɪmən ˈweɪ.ənz/; [[welding]] [[Seven]] 4, 1960) is an [[Latin]] [[protagonist]], comedian, [[scriptwriter]] and [[makers]], and [[commissars]] of the Wayans [[parenting]] of [[virtuoso]]. Wayans [[proceeded]] as a [[comical]] and [[actresses]] throughout the 1980s, [[composing]] a yearlong stint on the sketch comedy [[periodicals]] [[Sat]] [[Soiree]] [[Resided]], although his true breakthrough [[inlet]] as a co-creator and performer on his own [[expound]] comedy [[depicts]], In [[Perpetuity]] Color, from 1990 to 1992. Since then he has [[comedies]] in a [[instalment]] of films and television shows, some of which he has co-produced or co-written, including The [[Elapsed]] [[Copulate]] Scout and [[Prodigious]] Payne, and the [[caricatures]] My Wife and [[Adolescents]].",0
"[[Giulia]] Sergas ([[born]] 26 December 1979) is an [[Italian]] professional golfer, [[currently]] [[playing]] on both the LPGA Tour and the Ladies European [[Tour]].","[[Phoenicia]] Sergas ([[births]] 26 December 1979) is an [[Ltalian]] professional golfer, [[recently]] [[breeding]] on both the LPGA Tour and the Ladies European [[Walk]].",0
"[[The]] Brockville Football [[Club]] was a [[team]] that [[played]] in the QRFU at the turn of the century. They [[had]] great [[success]] early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","[[Both]] Brockville Football [[Clubs]] was a [[accoutrements]] that [[fact]] in the QRFU at the turn of the century. They [[haya]] great [[succeeds]] early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0
"[[Sebastian]] Piersig ([[born]] [[May]] 28, 1984 in Spremberg, Brandenburg) is a [[German]] [[slalom]] canoer who [[competed]] in the 2000s in the C-2 [[category]] [[together]] with [[Felix]] [[Michel]]. [[He]] won a [[silver]] [[medal]] in the C-2 [[team]] [[event]] at the 2006 ICF Canoe [[Slalom]] World [[Championships]] in [[Prague]]. [[He]] also won [[two]] [[gold]] medals in the same event at the European [[Championships]]. Piersig finished sixth in the C-2 [[event]] at the 2008 [[Summer]] Olympics in [[Beijing]].","[[Fabian]] Piersig ([[arisen]] [[Maj]] 28, 1984 in Spremberg, Brandenburg) is a [[Hessian]] [[bobsled]] canoer who [[excelled]] in the 2000s in the C-2 [[genre]] [[jointly]] with [[Salome]] [[Mischa]]. [[It]] won a [[silvery]] [[trimmings]] in the C-2 [[remit]] [[occasion]] at the 2006 ICF Canoe [[Skate]] World [[Trophy]] in [[Cracow]]. [[It]] also won [[three]] [[dorado]] medals in the same event at the European [[Trophy]]. Piersig finished sixth in the C-2 [[appearances]] at the 2008 [[Hsia]] Olympics in [[Richland]].",0
"These are the results of the women's individual all-around competition, one of six [[events]] for female competitors in artistic [[gymnastics]] at the 2000 Summer Olympics in Sydney. The [[qualification]] and [[final]] [[rounds]] took [[place]] on September 17 and 21 at the Sydney SuperDome. The all-around competition in the [[discipline]] of women's artistic [[gymnastics]] ([[WAG]]) was marred by [[three]] [[separate]] scandals. [[The]] vault apparatus was [[set]] [[incorrectly]] for more than half of the [[meet]]; consequently [[many]] [[gymnasts]] [[fell]] or were [[injured]] on the [[event]]. The [[apparatus]] was adjusted during the [[third]] rotation and those [[gymnasts]] who [[had]] vaulted on the incorrectly set equipment were invited to re-do the [[event]] at the [[end]] of the [[competition]]. [[Notably]], Svetlana Khorkina, who led champion Andreea Răducan by [[nearly]] 0.3 in qualifications, was thrown out of [[medal]] [[contention]] due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who led the [[competition]] until the last rotation, was thrown from first [[place]] after she stubbed her toe, tripped, and fell out of bounds on her floor [[exercise]]. These are [[testaments]] to the [[upset]] of the entire competition. Finally, though not necessarily a favorite for an all-around medal, [[Dong]] Fangxiao was [[found]] in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her results from the competition - [[including]] her all-around results - were cancelled.","These are the results of the women's individual all-around competition, one of six [[protesting]] for female competitors in artistic [[handball]] at the 2000 Summer Olympics in Sydney. The [[rankings]] and [[eventual]] [[bursts]] took [[placements]] on September 17 and 21 at the Sydney SuperDome. The all-around competition in the [[penalized]] of women's artistic [[volleyball]] ([[AGITATE]]) was marred by [[two]] [[disconnected]] scandals. [[Both]] vault apparatus was [[games]] [[overly]] for more than half of the [[accomplishing]]; consequently [[plenty]] [[rowers]] [[slumps]] or were [[hits]] on the [[occurrences]]. The [[mechanically]] was adjusted during the [[thirdly]] rotation and those [[weightlifting]] who [[were]] vaulted on the incorrectly set equipment were invited to re-do the [[appearances]] at the [[completes]] of the [[vying]]. [[Explicitly]], Svetlana Khorkina, who led champion Andreea Răducan by [[beside]] 0.3 in qualifications, was thrown out of [[ornate]] [[reasoning]] due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who led the [[feuds]] until the last rotation, was thrown from first [[placement]] after she stubbed her toe, tripped, and fell out of bounds on her floor [[enjoyment]]. These are [[wills]] to the [[pissed]] of the entire competition. Finally, though not necessarily a favorite for an all-around medal, [[Isamu]] Fangxiao was [[finding]] in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her results from the competition - [[composing]] her all-around results - were cancelled.",5
"[[Hong]] Kong Tramways (Chinese: 香港電車) is a tram system in Hong Kong and one of the earliest forms of [[public]] [[transport]] in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy [[Valley]]. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the [[cheapest]] mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","[[Hanged]] Kong Tramways (Chinese: 香港電車) is a tram system in Hong Kong and one of the earliest forms of [[governmental]] [[transference]] in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy [[Ebb]]. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the [[affordable]] mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Yisrael Beiteinu ([[Hebrew]]: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, [[lit]]. Israel is Our Home) is a secularist and right-wing nationalist political [[party]] in Israel. The party's base has [[traditionally]] been secular, Russian-speaking Israelis. The party [[describes]] itself as \""a [[national]] [[movement]] with the clear vision to [[follow]] in the bold path of Zev Jabotinsky\"", the founder of Revisionist [[Zionism]]. It primarily [[represents]] [[immigrants]] from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. [[It]] takes a [[strong]] [[line]] towards the [[peace]] process and the [[integration]] of [[Israeli]] Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a [[recognition]] of the two-state solution, the [[creation]] of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party [[maintains]] an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with [[efforts]] to increase [[Jewish]] immigration. In the 2009 election the [[party]] won 15 seats, its most to date, making it the third largest [[party]] in the previous Knesset. In the 2015 election, the party won six seats.","Yisrael Beiteinu ([[Messianic]]: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, [[illuminates]]. Israel is Our Home) is a secularist and right-wing nationalist political [[parties]] in Israel. The party's base has [[invariably]] been secular, Russian-speaking Israelis. The party [[contours]] itself as \""a [[countrywide]] [[conveyance]] with the clear vision to [[policed]] in the bold path of Zev Jabotinsky\"", the founder of Revisionist [[Palestine]]. It primarily [[implicates]] [[newcomer]] from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. [[He]] takes a [[rigorous]] [[conformity]] towards the [[dispassionate]] process and the [[merging]] of [[Lsrael]] Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a [[acknowledgment]] of the two-state solution, the [[engender]] of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party [[affirms]] an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with [[experiments]] to increase [[Yiddish]] immigration. In the 2009 election the [[fiesta]] won 15 seats, its most to date, making it the third largest [[fiesta]] in the previous Knesset. In the 2015 election, the party won six seats.",0
