original_text,perturbed_text,label
"The [[Canal]] Latéral [[à]] [[la]] Loire was [[constructed]] between 1827 and 1838 to [[connect]] the Canal de Briare at Briare and the Canal du [[Centre]] at Digoin, a distance of 196 [[km]]. It replaced the use of the River Loire which [[had]] reliability problems arising from winter floods and summer droughts. Aqueducts were used to cross the River Allier at [[Le]] Guétin (in the commune of Cuffy) and the River Loire at Digoin, but [[because]] of the extreme [[length]] [[required]], one was not [[built]] to cross the Loire [[River]] at Briare until 1896 when the Briare aqueduct was [[constructed]].","The [[Canals]] Latéral [[du]] [[lea]] Loire was [[manufactured]] between 1827 and 1838 to [[related]] the Canal de Briare at Briare and the Canal du [[Stations]] at Digoin, a distance of 196 [[miles]]. It replaced the use of the River Loire which [[took]] reliability problems arising from winter floods and summer droughts. Aqueducts were used to cross the River Allier at [[Li]] Guétin (in the commune of Cuffy) and the River Loire at Digoin, but [[for]] of the extreme [[temps]] [[obliged]], one was not [[manufactured]] to cross the Loire [[Rivers]] at Briare until 1896 when the Briare aqueduct was [[manufactured]].",2
"Les Disques du Crépuscule is an independent record [[label]] [[founded]] in Belgium. The label was [[founded]] in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent record [[stamp]] [[based]] in Belgium. The label was [[unearthed]] in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"Damon Kyle Wayans, [[Sr]]. (/ˈdeɪmən ˈweɪ.ənz/; [[born]] [[September]] 4, 1960) is an [[American]] [[actor]], [[comedian]], [[writer]] and [[producer]], and member of the Wayans [[family]] of [[entertainers]]. Wayans performed as a [[comedian]] and [[actor]] throughout the 1980s, [[including]] a yearlong [[stint]] on the [[sketch]] [[comedy]] [[series]] [[Saturday]] [[Night]] [[Live]], although his [[true]] [[breakthrough]] came as a co-creator and [[performer]] on his [[own]] [[sketch]] [[comedy]] [[show]], [[In]] [[Living]] [[Color]], from 1990 to 1992. [[Since]] then he [[has]] [[starred]] in a [[number]] of [[films]] and [[television]] [[shows]], some of which he [[has]] co-produced or co-written, [[including]] [[The]] [[Last]] [[Boy]] [[Scout]] and [[Major]] Payne, and the [[sitcom]] [[My]] [[Wife]] and [[Kids]].","Damon Kyle Wayans, [[Chien]]. (/ˈdeɪmən ˈweɪ.ənz/; [[ould]] [[Seven]] 4, 1960) is an [[Americas]] [[ballplayer]], [[funniest]], [[writing]] and [[production]], and member of the Wayans [[families]] of [[songbird]]. Wayans performed as a [[hilarious]] and [[soloist]] throughout the 1980s, [[composed]] a yearlong [[sabbatical]] on the [[depiction]] [[joking]] [[installment]] [[Yesterday]] [[Evening]] [[Births]], although his [[faithful]] [[advances]] came as a co-creator and [[music]] on his [[single]] [[biography]] [[entertaining]] [[spectacle]], [[By]] [[Sustenance]] [[Stained]], from 1990 to 1992. [[If]] then he [[haya]] [[cusack]] in a [[suite]] of [[cinematography]] and [[hernan]] [[reveals]], some of which he [[haya]] co-produced or co-written, [[composed]] [[Both]] [[Previous]] [[Folks]] [[Prospectors]] and [[Critical]] Payne, and the [[amusing]] [[Mano]] [[Marries]] and [[Enfants]].",0
"Giulia Sergas ([[born]] 26 December 1979) is an Italian [[professional]] [[golfer]], currently [[playing]] on both the LPGA Tour and the Ladies European Tour.","Giulia Sergas ([[weld]] 26 December 1979) is an Italian [[professionals]] [[golf]], currently [[sets]] on both the LPGA Tour and the Ladies European Tour.",0
"The Brockville Football [[Club]] was a [[team]] that [[played]] in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The Brockville Football [[Clubhouse]] was a [[remit]] that [[fait]] in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0
"[[These]] are the results of the women's [[individual]] all-around competition, one of six [[events]] for [[female]] [[competitors]] in [[artistic]] gymnastics at the 2000 Summer Olympics in Sydney. The qualification and final [[rounds]] [[took]] place on September 17 and 21 at the Sydney SuperDome. The all-around [[competition]] in the discipline of women's [[artistic]] [[gymnastics]] (WAG) was [[marred]] by [[three]] separate scandals. The [[vault]] [[apparatus]] was [[set]] [[incorrectly]] for more than [[half]] of the meet; consequently many gymnasts [[fell]] or were injured on the event. The [[apparatus]] was [[adjusted]] during the [[third]] [[rotation]] and those gymnasts who [[had]] [[vaulted]] on the [[incorrectly]] [[set]] [[equipment]] were [[invited]] to re-do the [[event]] at the [[end]] of the competition. Notably, Svetlana Khorkina, who [[led]] champion Andreea Răducan by nearly 0.3 in qualifications, was [[thrown]] out of [[medal]] [[contention]] due to the wrongly measured [[vault]]. [[Additionally]], world all-around [[silver]] [[medalist]] Viktoria Karpenko, who [[led]] the competition until the [[last]] [[rotation]], was [[thrown]] from first place after she stubbed her [[toe]], [[tripped]], and [[fell]] out of [[bounds]] on her [[floor]] [[exercise]]. These are testaments to the [[upset]] of the [[entire]] competition. [[Finally]], though not [[necessarily]] a [[favorite]] for an all-around [[medal]], Dong Fangxiao was found in 2010 to [[have]] been underaged at the [[Sydney]] [[Olympics]]. [[Consequently]], all of her [[results]] from the competition - [[including]] her all-around results - were [[cancelled]].","[[Those]] are the results of the women's [[respective]] all-around competition, one of six [[episodes]] for [[chick]] [[contestant]] in [[imaginative]] gymnastics at the 2000 Summer Olympics in Sydney. The qualification and final [[sessions]] [[adopted]] place on September 17 and 21 at the Sydney SuperDome. The all-around [[disputes]] in the discipline of women's [[creative]] [[cheerleading]] (WAG) was [[flawed]] by [[five]] separate scandals. The [[crypt]] [[computer]] was [[settings]] [[disproportionately]] for more than [[midterm]] of the meet; consequently many gymnasts [[slumps]] or were injured on the event. The [[computer]] was [[adaptation]] during the [[iii]] [[revolves]] and those gymnasts who [[acres]] [[crept]] on the [[disproportionately]] [[settings]] [[pc]] were [[requests]] to re-do the [[appearances]] at the [[stopping]] of the competition. Notably, Svetlana Khorkina, who [[directed]] champion Andreea Răducan by nearly 0.3 in qualifications, was [[cast]] out of [[ornate]] [[thesis]] due to the wrongly measured [[crypt]]. [[Similarly]], world all-around [[money]] [[olympic]] Viktoria Karpenko, who [[unleashed]] the competition until the [[finale]] [[revolves]], was [[cast]] from first place after she stubbed her [[paws]], [[awakened]], and [[slumps]] out of [[restraining]] on her [[floors]] [[fulfilling]]. These are testaments to the [[disgusted]] of the [[ensemble]] competition. [[Lastly]], though not [[periodically]] a [[prefers]] for an all-around [[medalist]], Dong Fangxiao was found in 2010 to [[enjoys]] been underaged at the [[Sidney]] [[Olympians]]. [[Similarly]], all of her [[output]] from the competition - [[contains]] her all-around results - were [[deleted]].",5
"[[Yisrael]] Beiteinu ([[Hebrew]]: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, [[lit]]. Israel is Our Home) is a secularist and right-wing nationalist political [[party]] in [[Israel]]. The party's [[base]] has traditionally been secular, Russian-speaking Israelis. The [[party]] describes itself as \""a national movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. In the 2009 election the party won 15 seats, its most to date, making it the third largest party in the previous Knesset. In the 2015 election, the party won six seats.","[[Judaism]] Beiteinu ([[Bible]]: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, [[informed]]. Israel is Our Home) is a secularist and right-wing nationalist political [[feast]] in [[Judaism]]. The party's [[database]] has traditionally been secular, Russian-speaking Israelis. The [[feast]] describes itself as \""a national movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. In the 2009 election the party won 15 seats, its most to date, making it the third largest party in the previous Knesset. In the 2015 election, the party won six seats.",0
"The Texas river cooter (Pseudemys texana) is a [[species]] of freshwater [[turtle]] native to creeks, rivers, and lakes of the US state of Texas. It is found in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[species]] of cooter native to the state, the other being the Eastern River Cooter.","The Texas river cooter (Pseudemys texana) is a [[nature]] of freshwater [[tortoises]] native to creeks, rivers, and lakes of the US state of Texas. It is found in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[nature]] of cooter native to the state, the other being the Eastern River Cooter.",3
"Hong Kong Tramways (Chinese: 香港電車) is a [[tram]] [[system]] in Hong Kong and one of the [[earliest]] forms of [[public]] [[transport]] in the metropolis. [[Owned]] and [[operated]] by Veolia [[Transport]] RATP Asia, the tramway [[runs]] on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a [[branch]] circulating through Happy Valley. [[Trams]] in Hong Kong [[have]] not only been a [[form]] of [[commuter]] [[transport]] for over 110 [[years]], but also a [[major]] tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram [[system]] is the only one in the world [[operated]] exclusively with double-decker [[trams]], and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong Tramways (Chinese: 香港電車) is a [[monorail]] [[plan]] in Hong Kong and one of the [[longest]] forms of [[governmental]] [[ferrying]] in the metropolis. [[Individual]] and [[work]] by Veolia [[Movement]] RATP Asia, the tramway [[leads]] on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a [[department]] circulating through Happy Valley. [[Railway]] in Hong Kong [[ont]] not only been a [[formulas]] of [[commute]] [[expedition]] for over 110 [[leto]], but also a [[monumental]] tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram [[diets]] is the only one in the world [[functioning]] exclusively with double-decker [[railway]], and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Taufik Hidayat ([[born]] 10 [[August]] 1981 in Bandung, [[West]] Java) is a [[retired]] Indonesian badminton [[player]]. [[He]] is a former [[World]] and [[Olympic]] [[champion]] in men's [[singles]]. [[He]] [[has]] also won the Indonesian Open six [[times]] (1999, 2000, 2002, 2003, 2004 and 2006). [[When]] he was young, he [[joined]] the SGS [[Club]], a [[badminton]] [[club]] in Bandung, where he trained under [[Iie]] Sumirat. Hidayat won the men's singles [[competition]] in [[badminton]] at the 2004 [[Summer]] [[Olympics]]. In [[August]] 2005, he won the men's [[singles]] [[competition]] at the IBF [[World]] [[Championships]]. [[He]] also won the gold [[medal]] at the Asian [[Games]] twice, at Busan in 2002 and Doha in 2006. Popular [[media]] [[has]] at [[times]] [[focused]] on the [[perceived]] [[rivalry]] between Hidayat and [[Chinese]] player Lin Dan, [[referring]] to the [[two]] as \""[[arch]] [[rivals]]\"". [[In]] November 2012, Hidayat [[built]] a badminton training [[center]] [[named]] Taufik Hidayat Arena (THA), located at Ciracas, East Jakarta. The [[Center]] is owned and [[named]] after himself.","Taufik Hidayat ([[soldering]] 10 [[Aug]] 1981 in Bandung, [[Westerners]] Java) is a [[retreats]] Indonesian badminton [[hotshot]]. [[It]] is a former [[Planet]] and [[Olympiad]] [[championship]] in men's [[solo]]. [[It]] [[holds]] also won the Indonesian Open six [[date]] (1999, 2000, 2002, 2003, 2004 and 2006). [[Where]] he was young, he [[participate]] the SGS [[Nightclub]], a [[plume]] [[nightclubs]] in Bandung, where he trained under [[Falsehood]] Sumirat. Hidayat won the men's singles [[competitors]] in [[plume]] at the 2004 [[Ronald]] [[Medalist]]. In [[Augustus]] 2005, he won the men's [[singleton]] [[competitors]] at the IBF [[Cosmic]] [[Starring]]. [[It]] also won the gold [[adorned]] at the Asian [[Sets]] twice, at Busan in 2002 and Doha in 2006. Popular [[means]] [[enjoy]] at [[lengths]] [[intend]] on the [[smelled]] [[competitors]] between Hidayat and [[Peking]] player Lin Dan, [[mentions]] to the [[three]] as \""[[arcade]] [[enemies]]\"". [[Roundabout]] November 2012, Hidayat [[engender]] a badminton training [[facility]] [[inscribed]] Taufik Hidayat Arena (THA), located at Ciracas, East Jakarta. The [[Facility]] is owned and [[inscribed]] after himself.",0
