original_text,perturbed_text,label
"[[The]] Comebacks is a spoof on inspirational [[sports]] [[movies]], and let me just tell you-it is not a [[good]] one. Tom [[Brady]] (the director) probably found it hilarious that [[referencing]] sports films (from Gridiron Gang, Invincible and even [[Miracle]]! to The Longest Yard and Dodgeball-yes Dodgeball!) and tossing in a [[couple]] of sex jokes, [[would]] be the funniest [[thing]] since Airplane! Well, he was [[wrong]]. [[They]] did such a [[slipshod]] job, you'd [[thought]] it was [[written]] in a [[week]]. I have found it that if a director loves the genre, the movie will be good. Obviously, Brady does not love the [[genre]] he is spoofing. This movie is a [[rancid]] piece of [[garbage]] not [[worth]] viewing, so don't [[see]] it!","[[Tae]] Comebacks is a spoof on inspirational [[sprots]] [[movie]], and let me just tell you-it is not a [[gXod]] one. Tom [[Bady]] (the director) probably found it hilarious that [[refrencing]] sports films (from Gridiron Gang, Invincible and even [[Miraclj]]! to The Longest Yard and Dodgeball-yes Dodgeball!) and tossing in a [[coule]] of sex jokes, [[wuld]] be the funniest [[thin]] since Airplane! Well, he was [[wong]]. [[TIey]] did such a [[shipshod]] job, you'd [[thouhgt]] it was [[Xritten]] in a [[weke]]. I have found it that if a director loves the genre, the movie will be good. Obviously, Brady does not love the [[genr]] he is spoofing. This movie is a [[ranid]] piece of [[grabage]] not [[orth]] viewing, so don't [[sec]] it!",0
"I have a strong feeling that what you think of this film will strongly depend on your frame of reference. If you've never seen a Miyazaki film before, then it will probably confuse the heck out of you. If you have seen a Miyazaki film before, then it will still probably confuse the heck out of you....but you won't really care! That's because I found that the first time I saw one of his animated films, I tried too hard to figure out what was happening and why--and it impacted my enjoyment of the film. Now that I have seen just about every Miyazaki film, I see the bizarreness and just take it all [[in--enjoying]] the beauty of it all. In many ways, these films (at least to Western audiences) is like drugs--lots of strange and beautiful images that don't always initially make sense but sure feel great to see!! Of all the Miyazaki films, this might have the most unusual and incomprehensible story line--even more so than SPIRITED AWAY and PRINCESS MONONOKE or MY NEIGHBOR TOTORO. But, like these and many other [[Studio]] Gibli films, if you just sit back and watch you are rewarded with a [[fabulous]] [[tale]]. But, because it is so [[hard]] to describe (and [[others]] have already done so), I won't even go there.<[[br]] /><br />As for the artwork, it's very typical of one of these Japanese films, though there was one noticeable change. There was a very extensive use of what looked like colored pencils for the backgrounds. This was [[NOT]] a bad thing at all--the lovely pastel-like look was very pleasing and unique. In some ways it looked like a tiny bit of Bill Plympton's art style was infused into a typical Miyazaki film. With a high frame-rate, exceptional character animation (which imbued them with tons of personality) and a great ""wow-factor"", this is an exceptional film for all ages. Though clearly designed more for younger audiences (the TOTORO fans especially), it is a bit scary here and there (during the storm segments) but there is plenty of great stuff for adults. As an adult (at least chronologically so), I [[loved]] the cute stuff and applaud the other-worldliness of the film.<br /><br />A great film--among Miyazaki's best. I don't give it a 10 because I am hesitant to ever do that--plus I did like a few of the studio's other films a bit more (particularly TOTORO). But that DOESN'T mean you shouldn't rush out now and see it--do it and do yourself a favor.","I have a strong feeling that what you think of this film will strongly depend on your frame of reference. If you've never seen a Miyazaki film before, then it will probably confuse the heck out of you. If you have seen a Miyazaki film before, then it will still probably confuse the heck out of you....but you won't really care! That's because I found that the first time I saw one of his animated films, I tried too hard to figure out what was happening and why--and it impacted my enjoyment of the film. Now that I have seen just about every Miyazaki film, I see the bizarreness and just take it all [[ni--enjoying]] the beauty of it all. In many ways, these films (at least to Western audiences) is like drugs--lots of strange and beautiful images that don't always initially make sense but sure feel great to see!! Of all the Miyazaki films, this might have the most unusual and incomprehensible story line--even more so than SPIRITED AWAY and PRINCESS MONONOKE or MY NEIGHBOR TOTORO. But, like these and many other [[Stuio]] Gibli films, if you just sit back and watch you are rewarded with a [[afbulous]] [[ktale]]. But, because it is so [[ahrd]] to describe (and [[otehers]] have already done so), I won't even go there.<[[rb]] /><br />As for the artwork, it's very typical of one of these Japanese films, though there was one noticeable change. There was a very extensive use of what looked like colored pencils for the backgrounds. This was [[NFOT]] a bad thing at all--the lovely pastel-like look was very pleasing and unique. In some ways it looked like a tiny bit of Bill Plympton's art style was infused into a typical Miyazaki film. With a high frame-rate, exceptional character animation (which imbued them with tons of personality) and a great ""wow-factor"", this is an exceptional film for all ages. Though clearly designed more for younger audiences (the TOTORO fans especially), it is a bit scary here and there (during the storm segments) but there is plenty of great stuff for adults. As an adult (at least chronologically so), I [[leoved]] the cute stuff and applaud the other-worldliness of the film.<br /><br />A great film--among Miyazaki's best. I don't give it a 10 because I am hesitant to ever do that--plus I did like a few of the studio's other films a bit more (particularly TOTORO). But that DOESN'T mean you shouldn't rush out now and see it--do it and do yourself a favor.",1
"In this [[era]] when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly [[neglected]]. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, [[despite]] the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film has many memorable bizarre, goofy, wacky moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It creates its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this [[gets]] my vote.","In this [[eQra]] when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly [[nejlected]]. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, [[despte]] the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film has many memorable bizarre, goofy, wacky moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It creates its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this [[gest]] my vote.",1
"This movie is an [[awesome]] remake of the original by the same title. The movie was [[cool]],despite the [[fact]], I hate new ones! All of the cast was [[awesome]] . It has great cast and an awesome plot!! The main plot is a man is poisoned and he has to solve his own murder , neat eh?!Dennis Quaid is the man who is ""D.O.A""(in other words Dead On Arrival).He finds help with his friends, but everyone is now a suspect!!Dennis's character has several hours to find out who poisoned him. The movie is [[quite]] [[fast]] and [[full]] of [[action]]. You can see two other big stars in Meg Ryan(City Of Angels,Courage Under Fire) and Daniel Stern(Home Alone, Very Bad Things,Bushwhacked) in supporting roles in this [[awesome]] ,cool remake of a [[classic]] movie!!","This movie is an [[awseome]] remake of the original by the same title. The movie was [[col]],despite the [[facgt]], I hate new ones! All of the cast was [[awseome]] . It has great cast and an awesome plot!! The main plot is a man is poisoned and he has to solve his own murder , neat eh?!Dennis Quaid is the man who is ""D.O.A""(in other words Dead On Arrival).He finds help with his friends, but everyone is now a suspect!!Dennis's character has several hours to find out who poisoned him. The movie is [[qiute]] [[fat]] and [[fXll]] of [[ahtion]]. You can see two other big stars in Meg Ryan(City Of Angels,Courage Under Fire) and Daniel Stern(Home Alone, Very Bad Things,Bushwhacked) in supporting roles in this [[bwesome]] ,cool remake of a [[clsasic]] movie!!",1
"Irwin Allen put all his talents behind this one: he's co-screenwriter, producer and director of this cartoonish ""epic"" about an atomic submarine and its efforts to reduce a ring of radiation circling the Earth. [[Potentially]] exciting story [[fails]] to take off, despite an eclectic cast. Varied players from Walter Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are interestingly intermingled and provide a dash of color, but this soggy sci-fi is [[pretty]] cheesy. Good for a few stray laughs, but Allen didn't seem to [[know]] the difference between strong, solid adventure and campy [[nonsense]]. Later a popular TV series. ** from ****","Irwin Allen put all his talents behind this one: he's co-screenwriter, producer and director of this cartoonish ""epic"" about an atomic submarine and its efforts to reduce a ring of radiation circling the Earth. [[Potntially]] exciting story [[faLls]] to take off, despite an eclectic cast. Varied players from Walter Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are interestingly intermingled and provide a dash of color, but this soggy sci-fi is [[rpetty]] cheesy. Good for a few stray laughs, but Allen didn't seem to [[nkow]] the difference between strong, solid adventure and campy [[noisense]]. Later a popular TV series. ** from ****",0
"I [[saw]] the film yesterday and stopped it at half [[time]] because I felt it was a [[waste]] of time. The idea to make a film through the eyes of a headsman - one of the ""evil guys"" throughout most fantasy and medieval films - is great and offers plenty of possibilities but... the film couldn't catch [[one]] of them. I was not [[feeling]] for any of the [[characters]], the [[plot]] was all too predictable (to the point that I [[followed]] it)and the second leap of time in the [[storyline]] [[made]] me quit. Those who expect a deep insight into the emotional situation of a headsman in the middle [[Ages]], a social [[outcast]] to that time, might be disappointed.","I [[shaw]] the film yesterday and stopped it at half [[itme]] because I felt it was a [[waEte]] of time. The idea to make a film through the eyes of a headsman - one of the ""evil guys"" throughout most fantasy and medieval films - is great and offers plenty of possibilities but... the film couldn't catch [[on]] of them. I was not [[feelnig]] for any of the [[character]], the [[plt]] was all too predictable (to the point that I [[followLed]] it)and the second leap of time in the [[storylie]] [[amde]] me quit. Those who expect a deep insight into the emotional situation of a headsman in the middle [[Ags]], a social [[outcst]] to that time, might be disappointed.",0
"It just so happens that IVAN THE TERRIBLE, PARTS I and II both had entries in the 50 Worst Movies book by Harry Medved. Now, I do think that [[declaring]] they are among the worst movies ever is an overstatement, though they are still both pretty poor films--particularly the first one, as it featured more eye rolling and ""googly eyed looks"" than I have ever seen before!! Director Eisenstein and an awful lot of other people out there thought this made the film ""artsy and profound""--and since I am legally sane, I must say that I hated this first film!! The second, while still very incomplete-looking, is a vast improvement, as eye [[rolling]] is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least another hour (especially since it never gets to Ivan's insane behavior later in life--like killing his son and heir while in a fit of anger). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and glorify him, it's no [[surprise]] that Ivan's life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried [[people]] would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was [[one]] [[segment]] of this [[tedious]] film that was just so cool that the film merits a 4 (without it, a 2)--and that's the scene with Prince Vladimir at the banquet! It is well-done and pretty funny in a dark way. And, the scene was done in a Russian version of 2-color Technicolor. This is VERY odd, by the way, because by the mid-1930s, a vastly improved true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. So, this film during the color sequences looks a lot like a silent or early sound color film. Very odd indeed for the 1940s.","It just so happens that IVAN THE TERRIBLE, PARTS I and II both had entries in the 50 Worst Movies book by Harry Medved. Now, I do think that [[eclaring]] they are among the worst movies ever is an overstatement, though they are still both pretty poor films--particularly the first one, as it featured more eye rolling and ""googly eyed looks"" than I have ever seen before!! Director Eisenstein and an awful lot of other people out there thought this made the film ""artsy and profound""--and since I am legally sane, I must say that I hated this first film!! The second, while still very incomplete-looking, is a vast improvement, as eye [[orlling]] is minimal, though overacting and long boring scenes are present in this film just like in part 1! While part 2 looks pretty incomplete and needed at least another hour (especially since it never gets to Ivan's insane behavior later in life--like killing his son and heir while in a fit of anger). Since both parts 1 and 2 were commissioned by Stalin to both excuse his own murderous reign and glorify him, it's no [[surpries]] that Ivan's life story is left very incomplete. Even without all the truly awful behaviors of Ivan, apparently the supremely evil Stalin STILL didn't like the film and wouldn't allow its release during his lifetime. Maybe he didn't allow this because he was more worried [[pepple]] would see what a HUGE waste of money and resources the film was instead of seeing Stalin as a crazy guy just like Ivan! <br /><br />By the way, there was [[oen]] [[saegment]] of this [[tdeious]] film that was just so cool that the film merits a 4 (without it, a 2)--and that's the scene with Prince Vladimir at the banquet! It is well-done and pretty funny in a dark way. And, the scene was done in a Russian version of 2-color Technicolor. This is VERY odd, by the way, because by the mid-1930s, a vastly improved true color process was developed by Technicolor that no longer made everything look all orangy-red and greenish-blue. So, this film during the color sequences looks a lot like a silent or early sound color film. Very odd indeed for the 1940s.",0
"I'm rather surprised that anybody found this film touching or moving.<br /><br />The basic premise of the film sounded to me like an excellent, if provocative, idea for a movie about a rare sort of relationship, but one (if I can judge by the real-life examples I've known) is extremely deep and loving.<br /><br />However, the film is cheaply scripted--poorly scripted--and although it has a number of very pretty-looking shots, I didn't find it to be anything special.<br /><br />Probably the biggest problem is that it is far too short and poorly-composed to give its audience time enough to invest, emotionally, in the characters: we don't really care about any of them, and so their stresses and obstacles don't really touch us.<br /><br />I think a REMAKE--from the screenplay up--with some character development by some really good writers--could improve it greatly. It is instructive to compare this film with Brokeback Mountain, which the screen-writers took to far loftier levels than did the author of the screenplay--screen-writers who were clearly conscious of how to write a classical tragedy, and carried out their task with care, planning, and superb craftsmanship! However, people only seem to remake those films that don't need it! You're not really missing anything if you skip this one: I found it very [[disappointing]] indeed, and it is only saved from getting a 1-star from me by virtue of the daring and gumption it took to make a film on this sensitive subject.","I'm rather surprised that anybody found this film touching or moving.<br /><br />The basic premise of the film sounded to me like an excellent, if provocative, idea for a movie about a rare sort of relationship, but one (if I can judge by the real-life examples I've known) is extremely deep and loving.<br /><br />However, the film is cheaply scripted--poorly scripted--and although it has a number of very pretty-looking shots, I didn't find it to be anything special.<br /><br />Probably the biggest problem is that it is far too short and poorly-composed to give its audience time enough to invest, emotionally, in the characters: we don't really care about any of them, and so their stresses and obstacles don't really touch us.<br /><br />I think a REMAKE--from the screenplay up--with some character development by some really good writers--could improve it greatly. It is instructive to compare this film with Brokeback Mountain, which the screen-writers took to far loftier levels than did the author of the screenplay--screen-writers who were clearly conscious of how to write a classical tragedy, and carried out their task with care, planning, and superb craftsmanship! However, people only seem to remake those films that don't need it! You're not really missing anything if you skip this one: I found it very [[dispapointing]] indeed, and it is only saved from getting a 1-star from me by virtue of the daring and gumption it took to make a film on this sensitive subject.",0
"At 20 years old, Francis Ouimet (Shia Lebouf) as his whole life ahead of him - in a way. The son of an immigrant family living in the late-19th to early-20th Century-era United States, class was a very limiting fact of life. If one is born poor, one stays poor; if one is born into the bourgeoisie, one has a tiny bit of opportunity; if one is born into the wealthy class, they essentially have it made in the shade. British gold champion Harry Vardon and Francis' golf idol (played by the criminally underrated Stephen Dillane) is the exception that proves the rule. Born and raised in a poor British family, his accomplished skill at golf allowed him to rise from the dirty mess of the poorest slums to the lush greens of the English country clubs. He has not forgotten this life lesson. Francis wishes to follow in Vardon's footsteps and similarly uses his great skill at golf to get into the 1913 US Open at age 20. But a tough course and formidable opponents (including Francis' idol Harry Vardon) are not all that Francis must deal with as a less-than-understanding father and cruel societal framework stand in his way of living his own dream.<[[br]] /><[[br]] />I know what you are thinking - I thought it too - a Walt Disney produced film about the 1913 US Open starring the irritable Shia LaBeouf holds the possibility of being entertaining but it cannot possibly be a great film. Well, I am here to encourage you to think again. Despite what it may look to some on paper, [[The]] Greatest [[Game]] Ever Played is one of the best sport films in creation.<br /><br />As with every [[great]] sport film, The Greatest Game Ever Played includes [[many]] exciting [[sport]] scenes but it is not a film *about* golf - it is a character centered film about using one's talents, following one's dreams, and breaking out of class barriers. Where [[The]] Greatest Game Ever Played works excellently as a [[themed]] [[sport]] film it also works just as [[well]] as a [[period]] film - the [[film's]] featured costumes and sets being the next best thing to actual time travel. The film also simply *looks* [[great]] and virtually unknown music composer Brian Tyler set the film to a [[wonderful]] piece of music. The cast is great as well with a subtle but powerful Stephen Dillane as British golfing champion Harry Vardon, a hilarious Stephen Marcus as man's man golfer Ted Ray, a hammy Josh Flitter as Francis' pre-teenaged caddy Eddie, and a surprisingly good Shia LaBeouf in the lead role as Francis. Actor Bill Paxton (Apollo 13, Titanic) turns director here for the second time (directing a full-length feature) in The Greatest Game Ever Played. He produces a fine product - incorporating plenty of heart, ingenuity, and an attention to detail in the making of the film.","At 20 years old, Francis Ouimet (Shia Lebouf) as his whole life ahead of him - in a way. The son of an immigrant family living in the late-19th to early-20th Century-era United States, class was a very limiting fact of life. If one is born poor, one stays poor; if one is born into the bourgeoisie, one has a tiny bit of opportunity; if one is born into the wealthy class, they essentially have it made in the shade. British gold champion Harry Vardon and Francis' golf idol (played by the criminally underrated Stephen Dillane) is the exception that proves the rule. Born and raised in a poor British family, his accomplished skill at golf allowed him to rise from the dirty mess of the poorest slums to the lush greens of the English country clubs. He has not forgotten this life lesson. Francis wishes to follow in Vardon's footsteps and similarly uses his great skill at golf to get into the 1913 US Open at age 20. But a tough course and formidable opponents (including Francis' idol Harry Vardon) are not all that Francis must deal with as a less-than-understanding father and cruel societal framework stand in his way of living his own dream.<[[rb]] /><[[Cr]] />I know what you are thinking - I thought it too - a Walt Disney produced film about the 1913 US Open starring the irritable Shia LaBeouf holds the possibility of being entertaining but it cannot possibly be a great film. Well, I am here to encourage you to think again. Despite what it may look to some on paper, [[ThY]] Greatest [[Gjme]] Ever Played is one of the best sport films in creation.<br /><br />As with every [[grett]] sport film, The Greatest Game Ever Played includes [[any]] exciting [[sprot]] scenes but it is not a film *about* golf - it is a character centered film about using one's talents, following one's dreams, and breaking out of class barriers. Where [[Te]] Greatest Game Ever Played works excellently as a [[thmeed]] [[spor]] film it also works just as [[welFl]] as a [[eriod]] film - the [[filmXs]] featured costumes and sets being the next best thing to actual time travel. The film also simply *looks* [[graet]] and virtually unknown music composer Brian Tyler set the film to a [[woderful]] piece of music. The cast is great as well with a subtle but powerful Stephen Dillane as British golfing champion Harry Vardon, a hilarious Stephen Marcus as man's man golfer Ted Ray, a hammy Josh Flitter as Francis' pre-teenaged caddy Eddie, and a surprisingly good Shia LaBeouf in the lead role as Francis. Actor Bill Paxton (Apollo 13, Titanic) turns director here for the second time (directing a full-length feature) in The Greatest Game Ever Played. He produces a fine product - incorporating plenty of heart, ingenuity, and an attention to detail in the making of the film.",1
"This movie is one of the only [[historical]] [[documents]] displaying the talents of so [[many]] black singers, actors, actresses, and dancers. Many who are no longer with us. Those which we are blessed to be able to enjoy today in 1999, through this film lets us recognize the talents that existed then. This is why those individuals still living today as well those who are deceased are super star icons. Due to the educational history in music, drama, filming, design, singing, etc., this movie alone [[belongs]] to the people of this country.<br /><br />I viewed this [[movie]] [[recently]]. The sound was [[excellent]]! The movie [[appeared]] to be complete, color and [[clarity]] was fare, but good considering how old this movie is without any repairs on frames. I [[agree]] with all prior positive reviews. I do not have any negative views.<br /><br />I only would like to make one request. Please to whom it my concern, please [[make]] this [[movie]] available so all can have this [[historical]] experience.","This movie is one of the only [[histoircal]] [[docmuents]] displaying the talents of so [[mny]] black singers, actors, actresses, and dancers. Many who are no longer with us. Those which we are blessed to be able to enjoy today in 1999, through this film lets us recognize the talents that existed then. This is why those individuals still living today as well those who are deceased are super star icons. Due to the educational history in music, drama, filming, design, singing, etc., this movie alone [[belPngs]] to the people of this country.<br /><br />I viewed this [[mIvie]] [[recQently]]. The sound was [[excealent]]! The movie [[apeared]] to be complete, color and [[clGrity]] was fare, but good considering how old this movie is without any repairs on frames. I [[agreNe]] with all prior positive reviews. I do not have any negative views.<br /><br />I only would like to make one request. Please to whom it my concern, please [[mkae]] this [[move]] available so all can have this [[historiDal]] experience.",1
