original_text,perturbed_text,label
"The box at my video store is why I rented this one. It looked cool from the guys face axed in half so of course I had to give it a try. I was pleasantly surprised when I actually watched it being an ""Evil Dead"" fan. The Swedish makers must of been fans as well as they included lots of references in this masterpiece. A criminal tries to break into the house Evil Ed was editing the movies that ultimately drive him insane in and says ""groovy"" as he looks at his weapon quite like Bruce Campbell does when he finishes his chainsaw hand in Evil Dead 2. There is also many posters of that movie scattered around the house and office in the movie. They don't just spoof Evil Dead, as there is a Gremlin style puppet monster that cusses at Ed in his refrigerator. My personal favorite is when he chases his wife around the house and says ""I'm coming to get you Barbra"" which in case you did'nt know is Barbra's brothers main line in ""Night of the Living Dead"". This movie pretty much has it all good plot, cool characters, funny stuff (Gremlin puppet),scary stuff (demon doctor), excellent effects (exploding head) and a fair amount of female nudity. I only gave it a 9 because its kind of slow before Ed goes insane but its well worth the wait. So if you liked ""Evil Dead 2"" or any of the other movies I mentioned above you gotta rent and watch it with a freind, and when your done try ""Brain Dead"" because I hear it is similiar to this masterpiece. <br /><br />","I rented a movie because the box looked cool with a guy's face axed in half. It turned out to be a masterpiece with many references to ""Evil Dead"" and other movies. The plot, characters, effects, and humor were all good, but it was slow before the main character went insane. I gave it a 9 and recommend it to fans of ""Evil Dead 2"" and similar movies.",1
"The inspiration for this film was the fact that American Gangsters are well dresses, but the Aussies, well when you might kill a guy as soon as look at the blighter, then you can dress as badly as you want and people won't criticize you.<br /><br />Jimmy is fighter, an illegal boxer, sometimes bouncer and is offered work by Pando, the local gangster boss in the cross (That is, Australia's notorious Kings Cross District, not the Cross of London fame as many a British backpacker finds out the hard way).<br /><br />Due to feelings of love he stuffs up a job, loses a lot of money and has to get it to Pando before Pando and his heavies can kill him.<br /><br />Lots of dark humour, interesting action, revelations about the Australia's underside and human nature. It is very centred in the Australian nature and explores the nature of Australian criminals (versus the American and British ones).<br /><br />One problem is that each of the elements of the story don't have enough substance and depth, but it is a painting with broad strokes that covers a lot of area not covered previously, so as an overall package it is worthwhile.<br /><br />Team it up with ""Chopper"" and ""Dirty Deeds"" for your Aussie Crime fest or ""Lock Stock and Two Smoking Barrels"" and ""Miller's Crossing"" for an International falling short of the criminal gangs fest.<br /><br />By the way, Bryan Brown is a great actor who has just done a huge number of really bad movies. Here is one of his great movies.","The film was inspired by the fact that American gangsters dress well, while Australian ones can dress poorly without criticism due to their violent tendencies. The story follows Jimmy, an illegal boxer and bouncer who works for local gangster boss Pando in Australia's Kings Cross District. After messing up a job due to love, Jimmy must repay Pando before he is killed. The film explores the nature of Australian criminals and has dark humor and interesting action, but lacks depth in some areas. It is recommended to watch with ""Chopper"" and ""Dirty Deeds"" for an Aussie crime fest or ""Lock Stock and Two Smoking Barrels"" and ""Miller's Crossing"" for an international criminal gang theme. Bryan Brown is a great actor who has done many bad movies, but this is one of his great ones.",1
"First off let me say that this movie is nothing spectacular. The cast is like the saved by the bell reunion, the monster is a guy in a bad outfit and like always; the military is useless. It would seem that the more training you have and the bigger your gun, the more likely it is that you will die if you're in a cheesy low budget horror movie. Apparently the people in the movie business have little respect for the navy seals, the marines and ninjas, who get it the worst. The plot is thin, a nutcase cryptozoologist by the name of Dr. Peña traps the Chupacabra. He then smuggles it aboard a cruise ship where two members of the crew let it loose. You can do your taxes and watch this movie and not miss a beat. The most noteworthy part that really makes it all worthwhile revolves around the captains daughter. Toward the end she goes all martial arts on the monster and kicks his butt. Let me get this straight, the monster wipes out the entire navy seals unit, while they are using ARMOR PIERCING ammunition!! OK, its a movie it can happen right? But here comes the captains daughter who can't be older than 19 and kicks the crap out of the chupacabra with front and side kicks. It was hilarious. They should get a medal for coming up with that.","The movie is not impressive, with a cast resembling a Saved by the Bell reunion and a poorly designed monster. The military is portrayed as useless, with even highly trained individuals like navy seals and marines dying easily. The plot involves a crazy cryptozoologist trapping a Chupacabra and smuggling it onto a cruise ship, where it is released by two crew members. The only noteworthy part is when the captain's daughter defeats the monster with martial arts, despite the fact that it had previously wiped out an entire navy seals unit.",0
"Despite a great soundtrack and the presence of the ever amazing Rappaport and Woods, this is another one of those moronic comedies where New York throws itself at the hero in an effort by the writer and/or director to show what a zany place it is. Yeah there's some other stuff in the movie that sucks too, but that's what's important. The trend for New York independent filmmakers seems to be ""I don't need to be talented, I have NEW YORK!"" Okay, to be fair, the movie has its moments. The flashback bit about why the one guy is called Wacky Jack was pretty amusing. The script isn't a story or a plot, it's a bunch of not-good scenes tied to each other by featuring the same character.<br /><br />One of the worst things is that there's no motive behind what the characters do. Uncle Sam has the kid deliver the drugs, why? If its so important why didn't Sam do it himself? Then the lead character lies his ass off in scene after scene with absolutely nothing to gain from lying. The guy falls in love with a flight attendant with neither of them having any reason to fall in love. The characters are a bunch of pawns for the writer to move around to see if he can get anything zany to happen.<br /><br />If you're easily amused or like watching bad indie movies because they make you feel smarter than watching bad mainstream movies, watch this. If you want to see what a GOOD light hearted crime movie looks like, watch Takeshi Kitano's ""Brother"". ""Kicked In The Head"" is the perfect example of why so many people hate offbeat indie movies: A LOT OF THEM SUCK. And a note to the director: Don't be afraid to excite, amuse, enlighten or entertain the audience now and then. Being boring doesn't make you a better filmmaker than the ones who can interest me.","This movie is a typical New York comedy that relies on the city's craziness to make up for a lack of talent. The characters have no clear motives and the plot is just a series of poorly written scenes. While there are some amusing moments, overall the movie is a disappointment. If you want to watch a good light-hearted crime movie, try ""Brother"" instead. The director should focus on exciting, amusing, enlightening, or entertaining the audience instead of being boring.",0
"Usually, any movie with Steve Railsback in the lead is a good movie. However, this movie does not conform to that opinion. Lifeforce is a below average movie that is extremely confusing in the beginning (reminds me of Star Trek: TMP), but is able to pick things up a bit towards the end when London becomes Zombie City. A horror/sci-fi mess that is very hard to sit through, although the naked spacegirl/vampire is very easy to look at. This movie deserves a rating of 4 out of 10.","Steve Railsback's lead roles are typically good, but Lifeforce is an exception. The confusing horror/sci-fi film improves towards the end when London becomes Zombie City, but overall it is difficult to watch. The naked spacegirl/vampire is the only redeeming quality. It deserves a 4 out of 10 rating.",0
"This film was released soon after the Conan films, a sort of female Conan, Red Sonja played by Sylvester Stallones ex-wife Brigitte Nielsen. She's not a very good actress unfortunately as proved in Rocky IV and Cobra. The whole film feels cheap, but strangely Arnold Swarzenegger appears in this film but not as Conan, although he looks, acts and fights like Conan from the two Conan films, I don't know what thats about. Anyway he only appears about every twenty minutes and doesn't hang around for long. Maybe Arnold filmed this in his time off from filming Conan the Destroyer or something? Anyway the film is way to slow and boring for an action film, skip this and watch Conan the Barbarian instead.","Red Sonja, played by Brigitte Nielsen, is a female version of Conan and the film feels cheap. Arnold Schwarzenegger appears in the film but not as Conan and only appears every twenty minutes. The film is slow and boring, so watch Conan the Barbarian instead.",0
"Gregory Peck and Gig Young are competing for the same girl and after Peck sends Young on a very dangerous mission, they blame him for his reasons. Feeling guilty, Peck goes on an almost impossible task of defending a fort, where they are outnumbered by the Indians. Peck chooses for this mission soldiers which he considers to be the scum of the earth and the actors that play these soldiers, Ward Bond, Lon Chaney Jr., Neville Brand among others, are excellent. The script is derived from a novel by Charles Marquis Warren who was a specialist in westerns, as a writer, director and producer. The idea of using this type of men as heroes inspired many films that came out later including ""The Dirty Dozen"" made in 1967.","Gregory Peck and Gig Young compete for the same woman. Peck sends Young on a dangerous mission and is blamed. Feeling guilty, Peck defends a fort with a group of soldiers he considers to be the worst. The script is based on a novel by Charles Marquis Warren, a western specialist. The film inspired later movies, including ""The Dirty Dozen.""",1
"Visitors is a hard, hard movie to enjoy. It's so slow and leaden in it's pacing that at times I was drifting off during the film. This was about 11AM on a hot, sunny day, I might add, not midnight on a cold winter evening, so you get an idea of just how slow this movie is.<br /><br />Strange thing is, it's not long. At 100 minutes it's only ten minutes longer than the average straight to video, and it's only fifteen minutes longer than the superior Darkwolf that I'd quite happily watched the day before. It just drags an awful lot, enough for you to lose interest.<br /><br />When it's not mistaking S-L-O-O-W development for atmosphere, Visitors is good enough at action to almost make it excusable how slowly things happen. While the flashbacks are both cheap and annoying as a way to round out Radha Mitchell's boats-woman, the hauntings/aliens/whatever are actually quite creepy and effective, especially when her suicidal mother turns up and starts groaning in the night. Full marks for not splurging make-up all over the shop too. The single person boat is a creepy place, and at times the movie uses the full power of the location and the deserted sea to scare the hell out of you.<br /><br />Still though, I find it hard to recommend Visitors. I came out of it not only feeling like I'd just watched a 4 hour film, not a 100 minute one, but also feeling like I'd been cheated somehow, as while offering many explanations as to the hauntings (Mind games? Real ghosts? Space aliens?) Visitors doesn't pick one for definite. All that watching Radha Mitchell talk to her cat and Dominic Purcell smoulder for no obvious reason about some unexplained horrific event in the past, for nothing?. Say what you like about Shyamalan, but at least he tells you what happened, however crazy/stupid you might think it. If you don't watch a lot of these movies, your fresh perspective will probably improve matters somewhat, but I found this slow, boring and highly derivative. If you want to scare yourself silly there are much better places to do it, if you want a clever thriller there are many that are smarter.","Visitors is a slow and unenjoyable movie, despite its short length. The action scenes are good, but the slow pacing and lack of clear explanation for the hauntings make it hard to recommend. The creepy setting and effective use of atmosphere are not enough to make up for the overall boredom and derivative nature of the film.",0
"Why has Ramón(Carlos Fuentes)brought his five college mates to a spooky abandoned school building which used to service the black sheep children of wealth? That answer might just lie in a diary in his possession supposedly written by his dying father. What they come in contact with is in fact a relived episode involving another group of six, with five of them presumably meeting graphic fates at the hands of a sadistic security guard(Paul Naschy)which occurred 20 some odd years ago. But, as they seek out a way to escape from this place, terror awaits them as that horrifying moment in time replays as the group run for their lives, often in states of panic as the killer begins to hunt and destroy them in a various bloody ways. Will Ramón and any of his pals survive this night of horror or becomes ghosts forever repeating the very same night like those before them?<br /><br />Stylish Spanish slasher has that professional gloss and potent, shocking violence to match. Some witty exchanges between the characters..layered in their dialogue are pop-culture references to American horror films which might annoy some viewers. A demented Naschy is really ferocious with the kiddies as he attacks them gleefully..quite a bloodthirsty maniac who carries out his violent acts with relish. I found the loud musical cues a bit annoying and the filmmakers often use flashbacks from previous events in the film as reminders to the audience. I don't think these tricks are necessarily needed, but felt the director wished to communicate in depth with the viewer hence the use of cues and flashbacks. A minor diversion for this film's plot keeps moving and the camera follows the pace of the characters and how they react to the chaotic situation presented to them. Your enjoyment of this film may ultimately come down to your acceptance of the paranormal supernatural aspects of the plot. Moments in time relived and a killer who continues his work seemingly from the grave. The twist does seem a bit jarring and abrupt, but this might(..or might not)work considering how the story plays out regarding why Ramón's father is shown amongst those ghosts re-enacting those grisly events two decades prior. I will say that this film probably wouldn't hold up if scrutinized in detail, but as a slasher flick, it's a breath of fresh air.","Ramón brings his college friends to an abandoned school building to investigate a diary from his dying father. They relive a horrifying episode from 20 years ago where a sadistic security guard kills five of six people. As they try to escape, the killer hunts and destroys them in various bloody ways. The film has professional gloss, shocking violence, and witty dialogue with pop-culture references. The use of cues and flashbacks may annoy some viewers, but the plot moves quickly, and the camera follows the characters' reactions to the chaotic situation. The paranormal supernatural aspects of the plot may affect your enjoyment of the film. The twist is abrupt, but it works with the story. As a slasher flick, it's a breath of fresh air.",1
"I watched Six of a Kind for W.C. Fields - he's only in it for around 10 minutes and has one long scene, the infamous pool sequence he made famous in vaudeville, and several other great moments. The reamaining 55 minutes are also delightful, thankfully, mostly due to the hilarious Charlie Ruggles as the bumbling banker J. Pinkham Whinney. He is everyone's foil. He stutters and stumbles about to our pleasure. Also, his comedy partner, Mary Boland plays his wife, Flora. Joining in the proceedings are George Burns and Gracie Allen. Boland is particularly funny near the beginning and near the end, but Gracie and Ruggles use up most of the picture. Gracie's funny, quite, but she can also get tiring. And poor George Burns has absolutely nothing to do except repeat Gracie all the time. I don't remember laughing at him once (although he has one great scene with Ruggles, where Ruggles tries desperately to get George to take Gracie and leave him and his wife alone for a while, and one with Fields, where he asks Fields to sell him a sweater; that bit is exclusively Fields', though). The situation is constantly funny: the Whinneys are going to drive to California, but to help them with expenses, George and Gracie are recruited. 8/10.","Six of a Kind features W.C. Fields in a memorable 10-minute scene, including his famous pool sequence from vaudeville. The remaining 55 minutes are enjoyable, largely due to Charlie Ruggles' hilarious performance as the bumbling banker J. Pinkham Whinney, with Mary Boland and George Burns and Gracie Allen also providing comedic moments. While Gracie can become tiresome, the overall situation is consistently funny as the Whinneys and their companions embark on a road trip to California. The film receives an 8/10 rating.",1
