"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore [[govt]] extends third-party war risk [[insurance]] SINGAPORE : [[The]] government is [[extending]] third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore [[governmental]] extends third-party war risk [[safer]] SINGAPORE : [[Both]] government is [[prolonging]] third-party war risk [[assurances]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.09833759069442749,0.8655182123184204,2,0,2,134,"Successful"
"Mills Grabs \$1B [[Portfolio]]; Taubman [[Likely]] to [[Lose]] [[Contracts]] [[Mills]] Corp. [[agreed]] to [[purchase]] a 50 [[percent]] [[interest]] in nine malls owned by General Motors [[Asset]] [[Management]] Corp. for just over \$1 [[billion]], [[creating]] a [[new]] [[joint]] [[venture]] between the groups. [[The]] [[deal]] [[will]] [[extend]] ...","Mills Grabs \$1B [[Holdings]]; Taubman [[Endangerment]] to [[Loser]] [[Pacts]] [[Moulin]] Corp. [[agrees]] to [[acquisitions]] a 50 [[p]] [[valued]] in nine malls owned by General Motors [[Abridged]] [[Director]] Corp. for just over \$1 [[million]], [[forging]] a [[freshly]] [[ensemble]] [[jeopardy]] between the groups. [[Both]] [[bargains]] [[go]] [[augmentation]] ...",0.006827175617218018,0.5433061122894287,2,0,2,584,"Successful"
"[[Sun]] to [[shine]] [[spotlight]] on new operating [[system]], Solaris 10 [[Sun]] Microsystems SUNW is expected to [[release]] a [[new]] version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.","[[Soil]] to [[auburn]] [[concentrations]] on new operating [[arrangements]], Solaris 10 [[Sunbeam]] Microsystems SUNW is expected to [[discharges]] a [[ny]] version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.",0.023091137409210205,0.5318739414215088,3,2,3,207,"Successful"
"Fed [[Cup]] all [[tied]] up FRANCE #39;S Russian-born [[Tatiana]] Golovin [[left]] the Fed [[Cup]] final [[hanging]] in the [[balance]] [[today]] as she [[beat]] [[Russia]] #39;s [[US]] [[Open]] [[champion]] [[Svetlana]] Kuznetsova 6-4, 6-1 to level the [[tie]] at 2-2 and [[take]] it to the [[final]] [[doubles]] [[match]].","Fed [[Bowls]] all [[attach]] up FRANCE #39;S Russian-born [[Ludmila]] Golovin [[departs]] the Fed [[Bowls]] final [[dangling]] in the [[balances]] [[wed]] as she [[subjugate]] [[Putin]] #39;s [[AMERICAS]] [[Tennis]] [[defenders]] [[Elena]] Kuznetsova 6-4, 6-1 to level the [[liaisons]] at 2-2 and [[draw]] it to the [[yesteryear]] [[overlapping]] [[confrontation]].",0.0024549365043640137,0.00910276174545288,1,1,1,628,"Failed"
"Nokia announces [[Near]] [[Field]] [[Communication]] products With the [[Nokia]] NFC ([[Near]] [[Field]] [[Communication]]) [[shell]] on their phone, consumers [[will]] [[be]] [[able]] to [[access]] a variety of [[services]] and [[exchange]] [[information]] with a [[simple]] [[touch]] gesture.","Nokia announces [[Shutting]] [[Acreage]] [[Telecommunications]] products With the [[Cellphones]] NFC ([[Nearing]] [[Zoning]] [[Telecommunications]]) [[pounded]] on their phone, consumers [[alacrity]] [[remain]] [[prospective]] to [[accede]] a variety of [[utilities]] and [[stocks]] [[report]] with a [[rationalized]] [[touching]] gesture.",0.015078723430633545,0.5213973522186279,3,2,3,523,"Successful"
"Today in [[Athens]] Leontien Zijlaard-van Moorsel of the [[Netherlands]] [[wipes]] a tear after [[winning]] the gold medal in the women #39;s road cycling individual time [[trial]] at the Vouliagmeni [[Olympic]] [[Centre]] in [[Athens]] on [[Wednesday]]. ","Today in [[Artemis]] Leontien Zijlaard-van Moorsel of the [[Dutchman]] [[scanning]] a tear after [[finalists]] the gold medal in the women #39;s road cycling individual time [[experiment]] at the Vouliagmeni [[Olimpia]] [[Plants]] in [[Aphrodite]] on [[Nowadays]]. ",0.005845606327056885,0.5983566641807556,1,3,1,250,"Successful"
"President Hu [[congratulates]] Sihamoni on [[becoming]] [[king]] of Cambodia [[Chinese]] President [[Hu]] Jintao [[sent]] a message to Norodom Sihamoni on [[Thursday]] to congratulate him on his election as the [[king]] of Cambodia.","President Hu [[saluting]] Sihamoni on [[acquires]] [[kaiser]] of Cambodia [[Shanghai]] President [[Yoo]] Jintao [[shipping]] a message to Norodom Sihamoni on [[Domingos]] to congratulate him on his election as the [[roi]] of Cambodia.",0.003276526927947998,0.5300600528717041,0,2,0,243,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.6741589307785034,0.6741589307785034,2,2,3,1,"Skipped"
"[[Afghans]] rocky road to [[historic]] [[elections]] KALAKAN, [[Afghanistan]] There were toothless old men, turbaned and gray-bearded, and young men not yet old enough to [[shave]]. There were mullahs and mujahedeen, and the [[presidential]] [[candidate]] #39;s 3-year-old [[son]].","[[Pakistanis]] rocky road to [[backdrop]] [[selects]] KALAKAN, [[Afghan]] There were toothless old men, turbaned and gray-bearded, and young men not yet old enough to [[stubble]]. There were mullahs and mujahedeen, and the [[preside]] [[contenders]] #39;s 3-year-old [[sonny]].",0.0028991103172302246,0.5984088182449341,0,1,0,173,"Successful"
"[[Oil]] Prices Set a New Record [[Above]] \$50  SINGAPORE ([[Reuters]]) - [[Oil]] prices [[set]] a new record above \$50  a barrel on [[Tuesday]] as a [[prolonged]] U.[[S]]. [[production]] outage  [[following]] [[Hurricane]] [[Ivan]] attracted fresh [[speculative]] [[buying]].","[[Yau]] Prices Set a New Record [[Aforesaid]] \$50  SINGAPORE ([[Newsday]]) - [[Petrol]] prices [[configure]] a new record above \$50  a barrel on [[Mon]] as a [[extended]] U.[[p]]. [[produces]] outage  [[suites]] [[Typhoon]] [[Whitehall]] attracted fresh [[theoretical]] [[buyer]].",0.00412142276763916,0.566493570804596,2,0,2,315,"Successful"
