"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"One of the greatest [[lessons]] I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself indispensable (hah!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. Whatever the reasons she had to see it, the only free video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the tape.<br /><br />Fade in: On screen a figure sat at a desk facing the camera. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts pans or dolly shots. Just one locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""[[I've]] seen [[enough]]."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the [[director]] was an [[idiot]]. Opening with two characters who immediately turned their backs to the camera delivering lines? [[Nope]], sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are [[dead]].<br /><br />I was reminded of that moment while I watched the opening of this piece of [[crap]]. After an interminably long travelogue of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[boring]]! Cut to the interior of the Airport. Two men meet. Aha! Something is happening! They shake hands. Cut to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.","One of the greatest [[lesZsons]] I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself indispensable (hah!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. Whatever the reasons she had to see it, the only free video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the tape.<br /><br />Fade in: On screen a figure sat at a desk facing the camera. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts pans or dolly shots. Just one locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""[[L've]] seen [[nough]]."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the [[direcotr]] was an [[diiot]]. Opening with two characters who immediately turned their backs to the camera delivering lines? [[Noep]], sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are [[dea]].<br /><br />I was reminded of that moment while I watched the opening of this piece of [[carap]]. After an interminably long travelogue of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[bornig]]! Cut to the interior of the Airport. Two men meet. Aha! Something is happening! They shake hands. Cut to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.",0.005680203437805176,0.620653510093689,0,1,0,355,"Successful"
"The Comebacks is a [[spoof]] on inspirational sports movies, and [[let]] me just [[tell]] you-it is not a [[good]] one. Tom Brady (the director) [[probably]] [[found]] it hilarious that referencing sports films (from [[Gridiron]] [[Gang]], [[Invincible]] and even Miracle! to [[The]] Longest [[Yard]] and [[Dodgeball-yes]] Dodgeball!) and tossing in a couple of [[sex]] [[jokes]], [[would]] be the funniest thing since Airplane! [[Well]], he was [[wrong]]. They did such a [[slipshod]] [[job]], you'd [[thought]] it was written in a week. I have found it that if a director loves the genre, the movie will be good. Obviously, Brady does not [[love]] the [[genre]] he is [[spoofing]]. This movie is a [[rancid]] piece of [[garbage]] not worth [[viewing]], so don't [[see]] it!","The Comebacks is a [[spof]] on inspirational sports movies, and [[lewt]] me just [[tefl]] you-it is not a [[gocod]] one. Tom Brady (the director) [[pArobably]] [[Sfound]] it hilarious that referencing sports films (from [[Grdiron]] [[Gag]], [[InvinciblP]] and even Miracle! to [[Te]] Longest [[Yar]] and [[Dodgebally-es]] Dodgeball!) and tossing in a couple of [[sNex]] [[jokwes]], [[owuld]] be the funniest thing since Airplane! [[Welbl]], he was [[wron]]. They did such a [[Flipshod]] [[jo]], you'd [[thougt]] it was written in a week. I have found it that if a director loves the genre, the movie will be good. Obviously, Brady does not [[olve]] the [[gene]] he is [[spoofinD]]. This movie is a [[rQancid]] piece of [[garage]] not worth [[vjewing]], so don't [[Kee]] it!",0.004529118537902832,0.04676079750061035,0,0,0,275,"Failed"
"Alas, another Costner movie that was an hour too long. Credible performances, but the [[script]] had no where to go and was in no hurry to get there. [[First]] we are offered an [[unrelated]] string of events few of which further the story. Will the [[script]] center on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? In the [[end]], no real front [[story]] ever [[develops]] and the [[characters]] themselves are [[artificially]] propped up by monologues from third [[parties]]. [[The]] [[singer]] explains Randall, Randall explains Fischer, on and on. Finally, long after you don't [[care]] anymore, you will learn something about the script meetings. Three endings were no doubt proffered and no one could [[make]] a decision. The end result? All three were used, one, after another, after another. [[If]] you can hang in past the 100th yawn, you'll be able to pick them out. Despite the [[transparent]] attempt to [[gain]] [[points]] with a [[dedication]] to the Coast Guard, this one should have [[washed]] out the very first [[day]].","Alas, another Costner movie that was an hour too long. Credible performances, but the [[scripkt]] had no where to go and was in no hurry to get there. [[Fisrt]] we are offered an [[enrelated]] string of events few of which further the story. Will the [[scriYpt]] center on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? In the [[ned]], no real front [[storey]] ever [[Udevelops]] and the [[cahracters]] themselves are [[artificiall]] propped up by monologues from third [[pSarties]]. [[she]] [[siZnger]] explains Randall, Randall explains Fischer, on and on. Finally, long after you don't [[cre]] anymore, you will learn something about the script meetings. Three endings were no doubt proffered and no one could [[mae]] a decision. The end result? All three were used, one, after another, after another. [[In]] you can hang in past the 100th yawn, you'll be able to pick them out. Despite the [[transparnet]] attempt to [[gaif]] [[poinst]] with a [[dedicaion]] to the Coast Guard, this one should have [[wased]] out the very first [[ay]].",0.009657979011535645,0.5239142179489136,0,1,0,197,"Successful"
"This movie is an awesome [[remake]] of the [[original]] by the same title. The movie was [[cool]],despite the [[fact]], I hate new [[ones]]! [[All]] of the [[cast]] was [[awesome]] . It has great [[cast]] and an [[awesome]] [[plot]]!! The main [[plot]] is a [[man]] is poisoned and he has to solve his own murder , neat [[eh]]?!Dennis Quaid is the [[man]] who is ""D.O.A""(in other words Dead On Arrival).He finds help with his friends, but everyone is now a suspect!!Dennis's character has several [[hours]] to find out who poisoned him. The movie is [[quite]] fast and full of [[action]]. You can see two other big stars in Meg Ryan(City Of Angels,Courage Under Fire) and Daniel Stern(Home Alone, Very [[Bad]] Things,Bushwhacked) in supporting roles in this [[awesome]] ,[[cool]] remake of a classic [[movie]]!!","This movie is an awesome [[remGke]] of the [[originla]] by the same title. The movie was [[col]],despite the [[Ifact]], I hate new [[onse]]! [[Al]] of the [[cas]] was [[awesEme]] . It has great [[cas]] and an [[wesome]] [[lpot]]!! The main [[lot]] is a [[mn]] is poisoned and he has to solve his own murder , neat [[e]]?!Dennis Quaid is the [[an]] who is ""D.O.A""(in other words Dead On Arrival).He finds help with his friends, but everyone is now a suspect!!Dennis's character has several [[houurs]] to find out who poisoned him. The movie is [[quit]] fast and full of [[actton]]. You can see two other big stars in Meg Ryan(City Of Angels,Courage Under Fire) and Daniel Stern(Home Alone, Very [[BWad]] Things,Bushwhacked) in supporting roles in this [[aweosme]] ,[[col]] remake of a classic [[moyie]]!!",0.00522458553314209,0.510296106338501,1,0,1,216,"Successful"
"In this era when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly [[neglected]]. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd [[masterpiece]]. That film was finally released on DVD and has developed a cult following. This film has many memorable bizarre, goofy, wacky moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's [[part]] of its [[charm]]. It creates its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this [[gets]] my vote.","In this era when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly [[nhglected]]. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd [[fasterpiece]]. That film was finally released on DVD and has developed a cult following. This film has many memorable bizarre, goofy, wacky moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's [[pXrt]] of its [[harm]]. It creates its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this [[ggets]] my vote.",0.0045195817947387695,0.6672871112823486,1,0,1,153,"Successful"
"Irwin Allen put all his talents behind this one: he's co-screenwriter, producer and director of this cartoonish ""epic"" about an atomic submarine and its efforts to reduce a ring of radiation circling the Earth. Potentially exciting story [[fails]] to take off, despite an eclectic cast. Varied players from Walter Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are interestingly intermingled and provide a dash of color, but this [[soggy]] sci-fi is pretty cheesy. Good for a few stray laughs, but Allen didn't seem to know the difference between strong, solid adventure and campy nonsense. Later a popular TV series. ** from ****","Irwin Allen put all his talents behind this one: he's co-screenwriter, producer and director of this cartoonish ""epic"" about an atomic submarine and its efforts to reduce a ring of radiation circling the Earth. Potentially exciting story [[faibls]] to take off, despite an eclectic cast. Varied players from Walter Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are interestingly intermingled and provide a dash of color, but this [[soXgy]] sci-fi is pretty cheesy. Good for a few stray laughs, but Allen didn't seem to know the difference between strong, solid adventure and campy nonsense. Later a popular TV series. ** from ****",0.0092812180519104,0.5167648196220398,0,1,0,72,"Successful"
"I saw the film yesterday and stopped it at half time because I felt it was a [[waste]] of time. The idea to make a film through the eyes of a headsman - one of the ""evil guys"" throughout most fantasy and medieval films - is great and [[offers]] [[plenty]] of [[possibilities]] but... the [[film]] couldn't catch one of them. I was not [[feeling]] for any of the [[characters]], the [[plot]] was all too [[predictable]] (to the point that I followed it)and the second [[leap]] of time in the [[storyline]] made me quit. Those who expect a deep [[insight]] into the emotional situation of a headsman in the [[middle]] [[Ages]], a social [[outcast]] to that time, might be disappointed.","I saw the film yesterday and stopped it at half time because I felt it was a [[wastYe]] of time. The idea to make a film through the eyes of a headsman - one of the ""evil guys"" throughout most fantasy and medieval films - is great and [[Noffers]] [[lplenty]] of [[possiilities]] but... the [[fim]] couldn't catch one of them. I was not [[feleing]] for any of the [[characers]], the [[pot]] was all too [[predicatble]] (to the point that I followed it)and the second [[lea]] of time in the [[stroyline]] made me quit. Those who expect a deep [[insitght]] into the emotional situation of a headsman in the [[miJdle]] [[Agee]], a social [[outRast]] to that time, might be disappointed.",0.006004631519317627,0.5049363374710083,0,1,0,127,"Successful"
"I have a strong feeling that what you think of this [[film]] will strongly depend on your frame of reference. If you've never [[seen]] a Miyazaki film before, then it will probably confuse the heck out of you. If you have seen a Miyazaki film before, then it will still probably confuse the heck out of you....but you won't really care! That's because I found that the first time I saw one of his animated films, I tried too hard to figure out what was happening and why--and it impacted my enjoyment of the [[film]]. [[Now]] that I have seen just about every Miyazaki [[film]], I see the bizarreness and just take it all in--enjoying the beauty of it all. [[In]] many [[ways]], these [[films]] (at least to Western audiences) is [[like]] drugs--lots of strange and beautiful images that don't always initially make sense but sure feel great to see!! Of all the Miyazaki films, this [[might]] have the most unusual and incomprehensible story line--even more so than SPIRITED AWAY and [[PRINCESS]] MONONOKE or MY NEIGHBOR TOTORO. But, like these and many other Studio Gibli films, if you just [[sit]] back and watch you are rewarded with a fabulous [[tale]]. [[But]], because it is so hard to describe (and others have already done so), I won't even go there.<br /><br />As for the artwork, it's very typical of [[one]] of these Japanese films, though there was one noticeable [[change]]. There was a very extensive use of what looked like colored pencils for the backgrounds. This was NOT a bad thing at all--the lovely pastel-like look was very pleasing and unique. In some ways it [[looked]] like a tiny bit of Bill Plympton's art style was infused into a typical Miyazaki [[film]]. [[With]] a high frame-rate, exceptional character animation (which imbued them with tons of [[personality]]) and a great ""wow-factor"", this is an exceptional [[film]] for all ages. Though clearly designed more for younger audiences (the TOTORO [[fans]] especially), it is a bit scary here and there (during the storm segments) but there is plenty of great [[stuff]] for adults. As an [[adult]] (at least chronologically so), I loved the [[cute]] stuff and applaud the other-worldliness of the [[film]].<br /><br />A great film--among Miyazaki's best. I don't give it a 10 because I am hesitant to ever do that--plus I did like a few of the studio's other films a bit more (particularly TOTORO). But that DOESN'T mean you shouldn't rush out now and see it--do it and do yourself a favor.","I have a strong feeling that what you think of this [[fElm]] will strongly depend on your frame of reference. If you've never [[sen]] a Miyazaki film before, then it will probably confuse the heck out of you. If you have seen a Miyazaki film before, then it will still probably confuse the heck out of you....but you won't really care! That's because I found that the first time I saw one of his animated films, I tried too hard to figure out what was happening and why--and it impacted my enjoyment of the [[filDm]]. [[No]] that I have seen just about every Miyazaki [[filcm]], I see the bizarreness and just take it all in--enjoying the beauty of it all. [[nI]] many [[wayes]], these [[film]] (at least to Western audiences) is [[lhike]] drugs--lots of strange and beautiful images that don't always initially make sense but sure feel great to see!! Of all the Miyazaki films, this [[mighFt]] have the most unusual and incomprehensible story line--even more so than SPIRITED AWAY and [[PRICESS]] MONONOKE or MY NEIGHBOR TOTORO. But, like these and many other Studio Gibli films, if you just [[si]] back and watch you are rewarded with a fabulous [[ale]]. [[Bu]], because it is so hard to describe (and others have already done so), I won't even go there.<br /><br />As for the artwork, it's very typical of [[ne]] of these Japanese films, though there was one noticeable [[chagne]]. There was a very extensive use of what looked like colored pencils for the backgrounds. This was NOT a bad thing at all--the lovely pastel-like look was very pleasing and unique. In some ways it [[loovked]] like a tiny bit of Bill Plympton's art style was infused into a typical Miyazaki [[fiwlm]]. [[tith]] a high frame-rate, exceptional character animation (which imbued them with tons of [[personalty]]) and a great ""wow-factor"", this is an exceptional [[fiem]] for all ages. Though clearly designed more for younger audiences (the TOTORO [[fasn]] especially), it is a bit scary here and there (during the storm segments) but there is plenty of great [[tuff]] for adults. As an [[adutl]] (at least chronologically so), I loved the [[cutJ]] stuff and applaud the other-worldliness of the [[Dilm]].<br /><br />A great film--among Miyazaki's best. I don't give it a 10 because I am hesitant to ever do that--plus I did like a few of the studio's other films a bit more (particularly TOTORO). But that DOESN'T mean you shouldn't rush out now and see it--do it and do yourself a favor.",0.004272818565368652,0.00740814208984375,1,1,1,370,"Failed"
"I'm rather surprised that anybody found this film touching or moving.<br /><br />The basic premise of the film sounded to me like an excellent, if provocative, idea for a movie about a rare sort of relationship, but [[one]] (if I can judge by the real-life examples I've known) is extremely deep and loving.<br /><br />[[However]], the film is cheaply scripted--poorly scripted--and although it has a number of very pretty-looking shots, I didn't find it to be anything special.<br /><br />Probably the biggest problem is that it is far too short and poorly-composed to give its audience time enough to invest, emotionally, in the characters: we don't really care about any of them, and so their stresses and obstacles don't really touch us.<br /><br />I think a REMAKE--from the screenplay up--with some character development by some really good writers--could improve it greatly. It is instructive to compare this film with Brokeback Mountain, which the screen-writers took to far loftier levels than did the author of the screenplay--screen-writers who were clearly conscious of how to write a classical tragedy, and carried out their task with care, planning, and superb craftsmanship! However, people only seem to remake those films that don't need it! You're not really missing anything if you skip this one: I found it very [[disappointing]] indeed, and it is only saved from getting a 1-star from me by virtue of the daring and gumption it took to make a film on this sensitive subject.","I'm rather surprised that anybody found this film touching or moving.<br /><br />The basic premise of the film sounded to me like an excellent, if provocative, idea for a movie about a rare sort of relationship, but [[on]] (if I can judge by the real-life examples I've known) is extremely deep and loving.<br /><br />[[Haowever]], the film is cheaply scripted--poorly scripted--and although it has a number of very pretty-looking shots, I didn't find it to be anything special.<br /><br />Probably the biggest problem is that it is far too short and poorly-composed to give its audience time enough to invest, emotionally, in the characters: we don't really care about any of them, and so their stresses and obstacles don't really touch us.<br /><br />I think a REMAKE--from the screenplay up--with some character development by some really good writers--could improve it greatly. It is instructive to compare this film with Brokeback Mountain, which the screen-writers took to far loftier levels than did the author of the screenplay--screen-writers who were clearly conscious of how to write a classical tragedy, and carried out their task with care, planning, and superb craftsmanship! However, people only seem to remake those films that don't need it! You're not really missing anything if you skip this one: I found it very [[disapointing]] indeed, and it is only saved from getting a 1-star from me by virtue of the daring and gumption it took to make a film on this sensitive subject.",0.15288293361663818,0.6842952966690063,0,1,0,148,"Successful"
"This movie is one of the only historical documents displaying the talents of so many black singers, actors, actresses, and dancers. Many who are no longer with us. Those which we are blessed to be able to enjoy today in 1999, through this film lets us recognize the talents that existed then. This is why those individuals still living today as well those who are deceased are super star icons. Due to the educational history in music, drama, filming, design, singing, etc., this movie alone belongs to the people of this country.<br /><br />I viewed this movie recently. The sound was [[excellent]]! The movie [[appeared]] to be complete, color and clarity was fare, but [[good]] considering how old this movie is without any repairs on frames. I agree with all prior positive reviews. I do not have any [[negative]] views.<br /><br />I only would like to make one request. Please to whom it my concern, please make this movie available so all can have this historical experience.","This movie is one of the only historical documents displaying the talents of so many black singers, actors, actresses, and dancers. Many who are no longer with us. Those which we are blessed to be able to enjoy today in 1999, through this film lets us recognize the talents that existed then. This is why those individuals still living today as well those who are deceased are super star icons. Due to the educational history in music, drama, filming, design, singing, etc., this movie alone belongs to the people of this country.<br /><br />I viewed this movie recently. The sound was [[execllent]]! The movie [[appearLd]] to be complete, color and clarity was fare, but [[goo]] considering how old this movie is without any repairs on frames. I agree with all prior positive reviews. I do not have any [[negatfve]] views.<br /><br />I only would like to make one request. Please to whom it my concern, please make this movie available so all can have this historical experience.",0.019945919513702393,0.9193941354751587,1,0,1,116,"Successful"
