"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"One of the greatest [[lessons]] I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself indispensable (hah!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. [[Whatever]] the [[reasons]] she had to see it, the only [[free]] video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the [[tape]].<br /><br />Fade in: On screen a figure sat at a desk facing the [[camera]]. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the [[door]] and started talking. The first character, the guy at the [[desk]], [[turned]] round to reply, (this is all one [[take]], static camera, there are no [[cuts]] [[pans]] or dolly shots. [[Just]] one locked off [[camera]]). The second character turned to hang his [[coat]] on the [[coat]] rack and [[delivered]] his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten [[seconds]] of footage she had watched was that the director was an [[idiot]]. Opening with two characters who immediately turned their backs to the camera delivering lines? [[Nope]], sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I watched the opening of this piece of [[crap]]. After an interminably long travelogue of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[boring]]! Cut to the interior of the Airport. Two men meet. Aha! Something is happening! They shake hands. Cut to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.","One of the greatest [[learns]] I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself indispensable (hah!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. [[Although]] the [[motif]] she had to see it, the only [[devoid]] video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the [[gangs]].<br /><br />Fade in: On screen a figure sat at a desk facing the [[chambers]]. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the [[porte]] and started talking. The first character, the guy at the [[bureau]], [[become]] round to reply, (this is all one [[selected]], static camera, there are no [[declining]] [[cans]] or dolly shots. [[Solo]] one locked off [[house]]). The second character turned to hang his [[sleeve]] on the [[coats]] rack and [[transmitted]] his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten [[sec]] of footage she had watched was that the director was an [[dummy]]. Opening with two characters who immediately turned their backs to the camera delivering lines? [[Non]], sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I watched the opening of this piece of [[claptrap]]. After an interminably long travelogue of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[annoy]]! Cut to the interior of the Airport. Two men meet. Aha! Something is happening! They shake hands. Cut to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.",0.00039893388748168945,0.5012722611427307,0,1,0,925,"Successful"
"The Comebacks is a spoof on inspirational sports movies, and let me just tell you-it is not a [[good]] one. Tom Brady (the director) probably found it hilarious that referencing sports films (from Gridiron Gang, Invincible and even Miracle! to The Longest Yard and Dodgeball-yes Dodgeball!) and tossing in a couple of sex jokes, would be the funniest thing since Airplane! Well, he was [[wrong]]. They did such a slipshod job, you'd thought it was written in a week. I have found it that if a director loves the genre, the movie will be good. Obviously, Brady does not love the genre he is spoofing. [[This]] movie is a [[rancid]] piece of [[garbage]] not [[worth]] viewing, so don't see it!","The Comebacks is a spoof on inspirational sports movies, and let me just tell you-it is not a [[guten]] one. Tom Brady (the director) probably found it hilarious that referencing sports films (from Gridiron Gang, Invincible and even Miracle! to The Longest Yard and Dodgeball-yes Dodgeball!) and tossing in a couple of sex jokes, would be the funniest thing since Airplane! Well, he was [[imperfect]]. They did such a slipshod job, you'd thought it was written in a week. I have found it that if a director loves the genre, the movie will be good. Obviously, Brady does not love the genre he is spoofing. [[That]] movie is a [[musty]] piece of [[spurns]] not [[precious]] viewing, so don't see it!",0.00016415119171142578,0.5305790901184082,0,1,0,206,"Successful"
"I have a strong feeling that what you think of this film will strongly depend on your frame of reference. If you've never seen a Miyazaki film before, then it will probably confuse the heck out of you. If you have seen a Miyazaki film before, then it will still probably confuse the heck out of you....but you won't really care! That's because I found that the first time I saw one of his animated films, I tried too hard to figure out what was happening and why--and it impacted my enjoyment of the film. Now that I have seen just about every Miyazaki film, I see the bizarreness and just take it all in--enjoying the beauty of it all. In many ways, these films (at least to Western audiences) is like drugs--lots of strange and beautiful images that don't always initially make sense but sure feel great to see!! [[Of]] all the [[Miyazaki]] films, this might have the most unusual and [[incomprehensible]] story line--even more so than SPIRITED AWAY and PRINCESS MONONOKE or MY NEIGHBOR [[TOTORO]]. But, like these and many other Studio Gibli films, if you just sit back and watch you are rewarded with a [[fabulous]] [[tale]]. But, because it is so hard to describe (and others have already done so), I won't even go there.<br /><br />As for the artwork, it's very typical of one of these Japanese films, though there was one noticeable change. There was a very extensive use of what looked like colored pencils for the backgrounds. This was [[NOT]] a [[bad]] thing at all--the lovely pastel-like look was very pleasing and unique. In some ways it looked like a tiny bit of [[Bill]] Plympton's art style was infused into a typical Miyazaki film. With a high frame-rate, exceptional character [[animation]] (which imbued them with tons of personality) and a great ""wow-factor"", this is an exceptional film for all ages. Though clearly designed more for younger audiences (the TOTORO fans especially), it is a bit scary here and there (during the storm segments) but there is plenty of great stuff for adults. As an adult (at least chronologically so), I loved the cute stuff and applaud the other-worldliness of the film.<br /><br />A great film--among Miyazaki's best. I don't give it a 10 because I am hesitant to ever do that--plus I did like a few of the studio's other films a bit more (particularly TOTORO). But that DOESN'T mean you shouldn't rush out now and see it--do it and do yourself a favor.","I have a strong feeling that what you think of this film will strongly depend on your frame of reference. If you've never seen a Miyazaki film before, then it will probably confuse the heck out of you. If you have seen a Miyazaki film before, then it will still probably confuse the heck out of you....but you won't really care! That's because I found that the first time I saw one of his animated films, I tried too hard to figure out what was happening and why--and it impacted my enjoyment of the film. Now that I have seen just about every Miyazaki film, I see the bizarreness and just take it all in--enjoying the beauty of it all. In many ways, these films (at least to Western audiences) is like drugs--lots of strange and beautiful images that don't always initially make sense but sure feel great to see!! [[With]] all the [[Hayao]] films, this might have the most unusual and [[indescribable]] story line--even more so than SPIRITED AWAY and PRINCESS MONONOKE or MY NEIGHBOR [[LAPUTA]]. But, like these and many other Studio Gibli films, if you just sit back and watch you are rewarded with a [[peachy]] [[story]]. But, because it is so hard to describe (and others have already done so), I won't even go there.<br /><br />As for the artwork, it's very typical of one of these Japanese films, though there was one noticeable change. There was a very extensive use of what looked like colored pencils for the backgrounds. This was [[NICHT]] a [[sordid]] thing at all--the lovely pastel-like look was very pleasing and unique. In some ways it looked like a tiny bit of [[Invoices]] Plympton's art style was infused into a typical Miyazaki film. With a high frame-rate, exceptional character [[animate]] (which imbued them with tons of personality) and a great ""wow-factor"", this is an exceptional film for all ages. Though clearly designed more for younger audiences (the TOTORO fans especially), it is a bit scary here and there (during the storm segments) but there is plenty of great stuff for adults. As an adult (at least chronologically so), I loved the cute stuff and applaud the other-worldliness of the film.<br /><br />A great film--among Miyazaki's best. I don't give it a 10 because I am hesitant to ever do that--plus I did like a few of the studio's other films a bit more (particularly TOTORO). But that DOESN'T mean you shouldn't rush out now and see it--do it and do yourself a favor.",0.00017982721328735352,0.5451592206954956,1,0,1,450,"Successful"
"Alas, another Costner movie that was an hour too long. [[Credible]] performances, but the script had no where to go and was in no hurry to get there. First we are offered an unrelated string of events few of which further the story. Will the [[script]] center on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? In the end, no real front [[story]] ever develops and the characters themselves are artificially propped up by monologues from third parties. The singer explains Randall, Randall explains Fischer, on and on. Finally, long after you don't care anymore, you [[will]] learn something about the script [[meetings]]. Three endings were no doubt proffered and no one could make a decision. The end result? All three were used, one, after another, after another. If you can hang in past the 100th yawn, you'll be able to pick them out. [[Despite]] the transparent attempt to [[gain]] [[points]] with a [[dedication]] to the Coast Guard, this one should have [[washed]] out the very first day.","Alas, another Costner movie that was an hour too long. [[Believable]] performances, but the script had no where to go and was in no hurry to get there. First we are offered an unrelated string of events few of which further the story. Will the [[scenarios]] center on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? In the end, no real front [[conte]] ever develops and the characters themselves are artificially propped up by monologues from third parties. The singer explains Randall, Randall explains Fischer, on and on. Finally, long after you don't care anymore, you [[dedication]] learn something about the script [[confrontations]]. Three endings were no doubt proffered and no one could make a decision. The end result? All three were used, one, after another, after another. If you can hang in past the 100th yawn, you'll be able to pick them out. [[Albeit]] the transparent attempt to [[climbs]] [[dots]] with a [[compromises]] to the Coast Guard, this one should have [[cleanliness]] out the very first day.",0.00018137693405151367,0.6006726026535034,0,1,0,378,"Successful"
"This movie is an awesome remake of the [[original]] by the same [[title]]. The movie was cool,despite the [[fact]], I [[hate]] new [[ones]]! All of the [[cast]] was awesome . It has great [[cast]] and an awesome plot!! The main plot is a man is poisoned and he has to solve his [[own]] murder , neat [[eh]]?!Dennis Quaid is the man who is ""D.O.A""(in other words Dead [[On]] [[Arrival]]).He [[finds]] help with his friends, but everyone is now a [[suspect]]!!Dennis's character has several hours to find out who poisoned him. The movie is quite [[fast]] and full of action. You can see two other [[big]] stars in Meg Ryan(City [[Of]] Angels,[[Courage]] [[Under]] [[Fire]]) and Daniel [[Stern]](Home Alone, Very Bad [[Things]],[[Bushwhacked]]) in supporting [[roles]] in this awesome ,cool remake of a classic movie!!","This movie is an awesome remake of the [[indigenous]] by the same [[caption]]. The movie was cool,despite the [[doing]], I [[disgust]] new [[person]]! All of the [[casting]] was awesome . It has great [[audition]] and an awesome plot!! The main plot is a man is poisoned and he has to solve his [[possessed]] murder , neat [[umm]]?!Dennis Quaid is the man who is ""D.O.A""(in other words Dead [[Around]] [[Newcomers]]).He [[felt]] help with his friends, but everyone is now a [[dodgy]]!!Dennis's character has several hours to find out who poisoned him. The movie is quite [[briefly]] and full of action. You can see two other [[gargantuan]] stars in Meg Ryan(City [[At]] Angels,[[Undaunted]] [[During]] [[Extinguisher]]) and Daniel [[Backseat]](Home Alone, Very Bad [[Ingredients]],[[Hightailed]]) in supporting [[function]] in this awesome ,cool remake of a classic movie!!",0.0003782510757446289,0.6699666976928711,1,0,1,633,"Successful"
"In this [[era]] when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly [[neglected]]. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film has many memorable bizarre, goofy, wacky moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It creates its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.","In this [[moment]] when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly [[neglects]]. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film has many memorable bizarre, goofy, wacky moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It creates its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.",0.028480112552642822,0.5933911800384521,1,0,1,175,"Successful"
"I'm rather surprised that anybody found this film touching or moving.<br /><br />The basic premise of the film sounded to me like an excellent, if provocative, idea for a movie about a rare sort of relationship, but one (if I can judge by the real-life examples I've known) is extremely deep and loving.<br /><br />However, the film is cheaply scripted--poorly scripted--and although it has a number of very pretty-looking shots, I didn't find it to be anything special.<br /><br />Probably the biggest problem is that it is far too short and poorly-composed to give its audience time enough to invest, emotionally, in the characters: we don't really care about any of them, and so their stresses and obstacles don't really touch us.<br /><br />I think a REMAKE--from the screenplay up--with some character development by some really good writers--could improve it greatly. It is instructive to compare this film with Brokeback Mountain, which the screen-writers took to far loftier levels than did the author of the screenplay--screen-writers who were clearly conscious of how to write a classical tragedy, and carried out their task with care, planning, and superb craftsmanship! However, people only seem to remake those films that don't need it! You're not really missing anything if you skip this one: I found it very [[disappointing]] indeed, and it is only saved from getting a 1-star from me by virtue of the daring and gumption it took to make a film on this sensitive subject.","I'm rather surprised that anybody found this film touching or moving.<br /><br />The basic premise of the film sounded to me like an excellent, if provocative, idea for a movie about a rare sort of relationship, but one (if I can judge by the real-life examples I've known) is extremely deep and loving.<br /><br />However, the film is cheaply scripted--poorly scripted--and although it has a number of very pretty-looking shots, I didn't find it to be anything special.<br /><br />Probably the biggest problem is that it is far too short and poorly-composed to give its audience time enough to invest, emotionally, in the characters: we don't really care about any of them, and so their stresses and obstacles don't really touch us.<br /><br />I think a REMAKE--from the screenplay up--with some character development by some really good writers--could improve it greatly. It is instructive to compare this film with Brokeback Mountain, which the screen-writers took to far loftier levels than did the author of the screenplay--screen-writers who were clearly conscious of how to write a classical tragedy, and carried out their task with care, planning, and superb craftsmanship! However, people only seem to remake those films that don't need it! You're not really missing anything if you skip this one: I found it very [[unsatisfactory]] indeed, and it is only saved from getting a 1-star from me by virtue of the daring and gumption it took to make a film on this sensitive subject.",0.009054064750671387,0.5836284160614014,0,1,0,154,"Successful"
"Since I am required to write minimum of 10 lines, and this [[garbage]] deserves not only a single one, I'll start with the following: 1. I voted AWFUL for this dreadful so [[called]] ""movie"".<br /><br />2. Let me explain why these [[turkeys]] Mr. David Varod produces are [[shot]] mainly in my beautiful [[homeland]], Bulgaria (just in BTW, for the [[illiterate]] people around - this country is IN EUROPE, based north to Greece and has absolutely nothing to do with Mexico and [[Uruguay]]) Some [[years]] [[ago]], NU Image has invaded our country and started making [[crappy]] mostly direct-to-video releases. [[Why]] here? Because here they [[pay]] derisively low fees to the [[Bulgarian]] [[crew]] and to the [[Bulgarian]] [[actors]] (most of them [[distinguished]] ones) which are, in many [[ways]], better than most of their American colleagues. [[Personally]] [[I]] am [[ashamed]] of that fact. The [[reason]] is, of [[course]], the greediness of the Americans involved and their wish to get most, if not all of the profit. Actually it would't [[be]] [[so]] [[bad]] if only the [[production]] wasn't so filthy and pale. There hasn't been a [[good]] [[picture]] [[shot]] here for years. [[At]] present [[NU]] [[image]] is being sued here over the very questionably [[purchasing]] of our [[national]] [[cinema]] [[production]] [[centre]] [[called]] Boyana [[Films]]. [[No]] [[doubt]] about it there [[has]] been corruption, there [[has]] been deceit, there [[has]] been a [[lies]] in this [[recent]] [[purchase]]. The Bulgarian [[cinema]] is [[dead]]. [[Long]] [[live]] the Bulgarian [[cinema]]!","Since I am required to write minimum of 10 lines, and this [[dismissing]] deserves not only a single one, I'll start with the following: 1. I voted AWFUL for this dreadful so [[asking]] ""movie"".<br /><br />2. Let me explain why these [[ankara]] Mr. David Varod produces are [[slaughtered]] mainly in my beautiful [[inland]], Bulgaria (just in BTW, for the [[ignoramus]] people around - this country is IN EUROPE, based north to Greece and has absolutely nothing to do with Mexico and [[Uruguayan]]) Some [[aging]] [[initially]], NU Image has invaded our country and started making [[filthy]] mostly direct-to-video releases. [[How]] here? Because here they [[wages]] derisively low fees to the [[Macedonia]] [[mariners]] and to the [[Armenian]] [[players]] (most of them [[emeritus]] ones) which are, in many [[shapes]], better than most of their American colleagues. [[Individually]] [[me]] am [[embarrassed]] of that fact. The [[caused]] is, of [[road]], the greediness of the Americans involved and their wish to get most, if not all of the profit. Actually it would't [[have]] [[why]] [[filthy]] if only the [[manufactures]] wasn't so filthy and pale. There hasn't been a [[suitable]] [[paint]] [[pulled]] here for years. [[Of]] present [[NOWADAYS]] [[photographer]] is being sued here over the very questionably [[shop]] of our [[nationalist]] [[theatres]] [[produce]] [[centralized]] [[rang]] Boyana [[Teatro]]. [[Ni]] [[toki]] about it there [[acres]] been corruption, there [[had]] been deceit, there [[hectare]] been a [[rests]] in this [[nueva]] [[acquire]]. The Bulgarian [[filmmaking]] is [[decedent]]. [[Largo]] [[lived]] the Bulgarian [[cinematography]]!",0.0002079606056213379,0.6268771886825562,0,1,0,1469,"Successful"
"J.S. Cardone directed a little known 'Video Nasty' in 1982 called ""The Slayer"" and since then has gone on to have a hand in a handful of feature films; including the rubbish 2001 [[vampire]] movie The [[Forsaken]]. His latest feature film, Wicked Little Things, [[boasts]] a plot that sounds decent as well as a creepy looking poster that I seem to [[remember]] surfacing a couple of years ago in relation to a film that Tobe Hooper was meant to direct. Well I guess he felt that this one was too similar to his silly zombie [[fungus]] movie 'Mortuary' and [[so]] turned this one down. I don't blame him for it either. The plot [[focuses]] on a mother and her two daughters that move to an old house in the mountains that once belonged to her late husband. However, what they don't [[realise]] is that around a hundred years earlier; a group of children that were being used as miners were trapped down a mineshaft. Naturally, that's not the end of them and they managed to survive their ordeal and now prowl the area in search of revenge <br /><br />The film is [[essentially]] a collection of [[clichés]]; from the youngest kid with an ""imaginary friend"", the mother who dismisses it and all the usual zombie rubbish. J.S. Cardone [[attempts]] to get the [[horror]] fans back on side with shocks and [[gory]] scenes (mostly involving kids) but its not enough. The story doesn't [[play]] out very [[well]] at all either and really did remind me too much of the earlier Mortuary, and that's not a [[good]] thing (although Mortuary is actually a better film than this one). The acting is nothing to write [[home]] about either; Lori Heuring is decent [[looking]], as is eldest daughter Scout Taylor-Compton; but neither manages to provide an interesting performance. Chloe Moretz is slightly better than the usual child [[actor]]. The plot is given hardly any credibility and indeed the screenplay can't even be bothered to explain the reasons why the kids attack the locals. It all boils down to a typical and rather [[dull]] ending and overall I have to say that if you know your horror [[movies]], then you can feel free to [[skip]] this one!","J.S. Cardone directed a little known 'Video Nasty' in 1982 called ""The Slayer"" and since then has gone on to have a hand in a handful of feature films; including the rubbish 2001 [[herd]] movie The [[Jettisoned]]. His latest feature film, Wicked Little Things, [[spacious]] a plot that sounds decent as well as a creepy looking poster that I seem to [[reminds]] surfacing a couple of years ago in relation to a film that Tobe Hooper was meant to direct. Well I guess he felt that this one was too similar to his silly zombie [[fungi]] movie 'Mortuary' and [[then]] turned this one down. I don't blame him for it either. The plot [[tends]] on a mother and her two daughters that move to an old house in the mountains that once belonged to her late husband. However, what they don't [[achieving]] is that around a hundred years earlier; a group of children that were being used as miners were trapped down a mineshaft. Naturally, that's not the end of them and they managed to survive their ordeal and now prowl the area in search of revenge <br /><br />The film is [[practically]] a collection of [[trivia]]; from the youngest kid with an ""imaginary friend"", the mother who dismisses it and all the usual zombie rubbish. J.S. Cardone [[endeavor]] to get the [[loathing]] fans back on side with shocks and [[gori]] scenes (mostly involving kids) but its not enough. The story doesn't [[stake]] out very [[too]] at all either and really did remind me too much of the earlier Mortuary, and that's not a [[buena]] thing (although Mortuary is actually a better film than this one). The acting is nothing to write [[homeland]] about either; Lori Heuring is decent [[seeing]], as is eldest daughter Scout Taylor-Compton; but neither manages to provide an interesting performance. Chloe Moretz is slightly better than the usual child [[ballplayer]]. The plot is given hardly any credibility and indeed the screenplay can't even be bothered to explain the reasons why the kids attack the locals. It all boils down to a typical and rather [[unimpressive]] ending and overall I have to say that if you know your horror [[filmmaking]], then you can feel free to [[salta]] this one!",0.00014388561248779297,0.7024182081222534,0,1,0,858,"Successful"
"The most [[amazing]] film I have ever seen. I didn't read the programming and I just stumbled onto the movie by accident. I thought it was a real documentary and i felt sick at what I saw. I only found out it was a movie after it was finished and i looked on the web for more info about ""punishment park"" in the U.S. It felt incredibly real and it is easy to believe that this really has happened in the US if you are from Europe. I must admit that I felt really anti-american after watching the movie and before finding out that it didn't really happen that way.","The most [[sumptuous]] film I have ever seen. I didn't read the programming and I just stumbled onto the movie by accident. I thought it was a real documentary and i felt sick at what I saw. I only found out it was a movie after it was finished and i looked on the web for more info about ""punishment park"" in the U.S. It felt incredibly real and it is easy to believe that this really has happened in the US if you are from Europe. I must admit that I felt really anti-american after watching the movie and before finding out that it didn't really happen that way.",0.0004531741142272949,0.9991899728775024,1,0,1,105,"Successful"
