"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The film had NO help at all, promotion-wise: if there was an advertising promo on TV or radio, I didn't see/hear it. The only newspaper ad I saw was on it's opening weekend: a dingy, sludgy B & W head-shot photo of Andy as Val-Com, behind jail bars, with headline: ""WANTED! Runaway Robot!"" ( which was also the poster in front of the 3 movie theaters I saw it at --NOT the nice little color poster on this site, with headshots of all the cast, and cartoon of Crimebuster --which really wasn't THAT good--they OUGHT to have used an action scene from the film itself--didn't they have an onset photographer? A poster is supposed to HELP a prospective audience decide if they want to SEE the movie--there were SO many people who couldn't get into their sold-out choice, and wanted to know WHAT Heartbeeps was about--and that poster didn't help! That dingy pic, and the only other photos supplied to papers were so indistinguishable in B & W that they were worthless. ) There was NO trailer for the film: only a slide at one theater, consisting of the word ""Heartbeeps"" inside a heart-shape, with a Cupid's arrow through it, and one that was a totally black picture: just Andy and Bernadette's voices saying ""Val-Com! My pleasure center is malfunctioning!"" ""So is mine; do you think we ought to tell our owners?"" THAT is no help to people who hadn't been aware of the movie.<br /><br />During the filming, Andy told reporters that he couldn't eat, once his plastic lips were applied, so he would ""load up on breakfast, and fast"" during the day's shoot. I don't know WHAT Bernadette did: but at the time, I'd wondered why they didn't just sip protein drinks through long straws, or eat astronaut-style puréed food via tubes? <br /><br />Phil-Co, the baby robot, seemed to have been the pre-curser to Short Circuit's Johnny-Five, with the same eyes, similar face. I've been trying to find if they had the same designer, but no help. I have vintage magazine articles about the film, and the design team was immensely proud of their work, and were going for a special award for their innovative device to create stenchless ""smoke"" for Catskill's cigars. Just shortly thereafter, LucasFilm did NOT use that device, though they OUGHT to have, for Return of the Jedi's scenes with Jabba the Hut: a man created ""steam"" around Jabba, by blowing cigar smoke into a tube, joking that all he needed was a glass of brandy, and he'd be a happy man. I thought that LucasFilm's using of real tobacco products was insensitive to people who were upset by smoke. <br /><br />John Williams, who had then recently succeeded the late, great Arthur Fielder as the maestro of the Boston Pops ( which was THEN a ratings hit--but it never recovered from Fielder's death, and is now a shadow of it's former glory ), was using the show to promote films with which he supplied the music. He'd premiered ""The Empire Strikes Back"" score there; and you would think he'd have helped Heartbeeps along, by playing a few numbers there? The one thing that critics had liked of this film was Williams' score--yet it was NOT available for purchase! I saw one vinyl album, in 1982, with half Heartbeeps, half another film--but it disappeared. I only just tonight saw the CD listed on THIS site, and have ordered it. If I can ever get a scanner, and time to type out the articles, I'd like to create a Heartbeeps tribute site. I liked the movie, and don't care what dissenters say! <br /><br />The only trouble with the film, was, that near the end, it was messed up, logic-wise: the robots ran away from the factory to have the freedom to decide their own fate, make their own choices; yet, when the junkyard owners tell them that Phil needs to go TO the factory, to have a ""purpose"" programmed into him, they don't even question it; they just glance meaningfully at each other, and they go. Along the way, each of the adults lose battery power, and ""die."" They aren't REALLY dead, as they are robots, and only need new batteries, yet it is treated as ""death,"" with little Phil crying over them, and rolling away. So, what was the POINT of this? Phil never gets back to the factory, and gets ""a purpose!"" AND of course, the junkyard owners COULD'VE driven them, or given them all battery recharges, with back-up batteries; but the real point was to have this poignant scene, where the robots all wore down, and Phil is left to cry. <br /><br />At the end, Val-Com is a golf instructor, and Aqua-Com is --I'm not sure what. Catskill is an ENTERTAINER--what ELSE is HE supposed to be? I'm not sure that they made it clear. The junkyard owners seem to be taking it easy, lying on chaise lounges, drinking lemonade from Phil, their ""bartender."" Val's and Aqua's new ""daughter,"" Philsia--I think the name is--maybe it's Sylvania--doesn't seem to be much more than a table lamp. <br /><br />There is missing footage, which is sad--from photos I surmise that the stuff missing includes a sweet scene, where Phil is having a Christmas, with Val gifting him with a car's steering wheel; Aqua is supplying a horn; Catskill has taken the firefighter helmet to give to Phil, as we saw; and they have Christmas trees. I don't know if any missing footage supplies better logic, or if the writers just couldn't think of a better crisis/resolution. The film was trimmed to 72-75 minutes, to pair it with other failing films. No other reason than that. For a DVD, I would LOVE to be in on creating, as I want to see interviews with the cast/crew and John Williams, and the Merv Griffin interview. The making-of footage; and reediting and restoring the missing footage to make it better.","The film had NO help at all, promotion-wise: if there was an advertising promo on TV or radio, I didn't see/hear it. The only newspaper ad I saw was on it's opening weekend: a dingy, sludgy B & W head-shot photo of Andy as Val-Com, behind jail bars, with headline: ""WANTED! Runaway Robot!"" ( which was also the poster in front of the 3 movie theaters I saw it at --NOT the nice little color poster on this site, with headshots of all the cast, and cartoon of Crimebuster --which really wasn't THAT good--they OUGHT to have used an action scene from the film itself--didn't they have an onset photographer? A poster is supposed to HELP a prospective audience decide if they want to SEE the movie--there were SO many people who couldn't get into their sold-out choice, and wanted to know WHAT Heartbeeps was about--and that poster didn't help! That dingy pic, and the only other photos supplied to papers were so indistinguishable in B & W that they were worthless. ) There was NO trailer for the film: only a slide at one theater, consisting of the word ""Heartbeeps"" inside a heart-shape, with a Cupid's arrow through it, and one that was a totally black picture: just Andy and Bernadette's voices saying ""Val-Com! My pleasure center is malfunctioning!"" ""So is mine; do you think we ought to tell our owners?"" THAT is no help to people who hadn't been aware of the movie.<br /><br />During the filming, Andy told reporters that he couldn't eat, once his plastic lips were applied, so he would ""load up on breakfast, and fast"" during the day's shoot. I don't know WHAT Bernadette did: but at the time, I'd wondered why they didn't just sip protein drinks through long straws, or eat astronaut-style puréed food via tubes? <br /><br />Phil-Co, the baby robot, seemed to have been the pre-curser to Short Circuit's Johnny-Five, with the same eyes, similar face. I've been trying to find if they had the same designer, but no help. I have vintage magazine articles about the film, and the design team was immensely proud of their work, and were going for a special award for their innovative device to create stenchless ""smoke"" for Catskill's cigars. Just shortly thereafter, LucasFilm did NOT use that device, though they OUGHT to have, for Return of the Jedi's scenes with Jabba the Hut: a man created ""steam"" around Jabba, by blowing cigar smoke into a tube, joking that all he needed was a glass of brandy, and he'd be a happy man. I thought that LucasFilm's using of real tobacco products was insensitive to people who were upset by smoke. <br /><br />John Williams, who had then recently succeeded the late, great Arthur Fielder as the maestro of the Boston Pops ( which was THEN a ratings hit--but it never recovered from Fielder's death, and is now a shadow of it's former glory ), was using the show to promote films with which he supplied the music. He'd premiered ""The Empire Strikes Back"" score there; and you would think he'd have helped Heartbeeps along, by playing a few numbers there? The one thing that critics had liked of this film was Williams' score--yet it was NOT available for purchase! I saw one vinyl album, in 1982, with half Heartbeeps, half another film--but it disappeared. I only just tonight saw the CD listed on THIS site, and have ordered it. If I can ever get a scanner, and time to type out the articles, I'd like to create a Heartbeeps tribute site. I liked the movie, and don't care what dissenters say! <br /><br />The only trouble with the film, was, that near the end, it was messed up, logic-wise: the robots ran away from the factory to have the freedom to decide their own fate, make their own choices; yet, when the junkyard owners tell them that Phil needs to go TO the factory, to have a ""purpose"" programmed into him, they don't even question it; they just glance meaningfully at each other, and they go. Along the way, each of the adults lose battery power, and ""die."" They aren't REALLY dead, as they are robots, and only need new batteries, yet it is treated as ""death,"" with little Phil crying over them, and rolling away. So, what was the POINT of this? Phil never gets back to the factory, and gets ""a purpose!"" AND of course, the junkyard owners COULD'VE driven them, or given them all battery recharges, with back-up batteries; but the real point was to have this poignant scene, where the robots all wore down, and Phil is left to cry. <br /><br />At the end, Val-Com is a golf instructor, and Aqua-Com is --I'm not sure what. Catskill is an ENTERTAINER--what ELSE is HE supposed to be? I'm not sure that they made it clear. The junkyard owners seem to be taking it easy, lying on chaise lounges, drinking lemonade from Phil, their ""bartender."" Val's and Aqua's new ""daughter,"" Philsia--I think the name is--maybe it's Sylvania--doesn't seem to be much more than a table lamp. <br /><br />There is missing footage, which is sad--from photos I surmise that the stuff missing includes a sweet scene, where Phil is having a Christmas, with Val gifting him with a car's steering wheel; Aqua is supplying a horn; Catskill has taken the firefighter helmet to give to Phil, as we saw; and they have Christmas trees. I don't know if any missing footage supplies better logic, or if the writers just couldn't think of a better crisis/resolution. The film was trimmed to 72-75 minutes, to pair it with other failing films. No other reason than that. For a DVD, I would LOVE to be in on creating, as I want to see interviews with the cast/crew and John Williams, and the Merv Griffin interview. The making-of footage; and reediting and restoring the missing footage to make it better.",0.9997531175613403,0.9997531175613403,0,0,1,1,"Skipped"
"[[People]] may say I am [[harsh]] but I can't [[help]] it. The movie is so [[bad]] I was absolutely stunned. The first [[movie]] was bad enough if you ask me. It was [[greatly]] exaggerated and silly but this one, despite the creepy [[scenes]], [[has]] a seriously ass-stupid [[story]]. They actually went [[deep]] into investigating Kayako's past and found out that she had a mother (Who miraculously [[speaks]] [[English]]) who was an [[exorcist]] and ""fed"" evil [[spirits]] to her daughter. [[Stupid]]? Yeap. OK, it [[started]] out with Kayako who was an ordinary housewife who had an [[affair]] with some bloke and got herself dead. This part is still OK. Because of this moment of rage, she became a vengeful spirit who kills anyone who enters her house. Acceotable. Now, her killings began to stretch a little where she actually had the opportunity to [[travel]] throughout Tokyo just to finish her victims. (Her victims were travelling, weren't they?) This struck me hard. Now if a ghost could actually do such a thing like travelling throughout a country without paying public transport fares, I wouldn't mind being. Ask someone to come kill me then *snorts*. And to [[crown]] things all up, the [[ghost]] who was once depicted as a very vengeful one (In Ju-on: The Grudge, which was way better than this [[trash]]) is now depicted as some spectre who truly enjoys herself and felt that it is her mission to finish of people. Things became worse (For me, the viewer) when the ghost became coming in forms of large strands of hair. I mean, ??? If a ghost had such power, I seriously dun mind being one. I never really liked movies depicting ghosts as MONSTERS cause they're not. The [[overall]] results is just plain [[bad]]. Like The Grudge 2. With a better storyline and less exaggeration, this show would have been better","[[Ones]] may say I am [[stiff]] but I can't [[backing]] it. The movie is so [[naughty]] I was absolutely stunned. The first [[movies]] was bad enough if you ask me. It was [[severely]] exaggerated and silly but this one, despite the creepy [[scene]], [[enjoys]] a seriously ass-stupid [[legends]]. They actually went [[severe]] into investigating Kayako's past and found out that she had a mother (Who miraculously [[dialogues]] [[Eng]]) who was an [[poltergeist]] and ""fed"" evil [[alcoholic]] to her daughter. [[Foolish]]? Yeap. OK, it [[open]] out with Kayako who was an ordinary housewife who had an [[connection]] with some bloke and got herself dead. This part is still OK. Because of this moment of rage, she became a vengeful spirit who kills anyone who enters her house. Acceotable. Now, her killings began to stretch a little where she actually had the opportunity to [[moves]] throughout Tokyo just to finish her victims. (Her victims were travelling, weren't they?) This struck me hard. Now if a ghost could actually do such a thing like travelling throughout a country without paying public transport fares, I wouldn't mind being. Ask someone to come kill me then *snorts*. And to [[majesty]] things all up, the [[phantom]] who was once depicted as a very vengeful one (In Ju-on: The Grudge, which was way better than this [[mob]]) is now depicted as some spectre who truly enjoys herself and felt that it is her mission to finish of people. Things became worse (For me, the viewer) when the ghost became coming in forms of large strands of hair. I mean, ??? If a ghost had such power, I seriously dun mind being one. I never really liked movies depicting ghosts as MONSTERS cause they're not. The [[comprehensive]] results is just plain [[injurious]]. Like The Grudge 2. With a better storyline and less exaggeration, this show would have been better",0.00020462274551391602,0.5422857403755188,0,1,0,870,"Successful"
"I'm thinking of some things for this movie: First, really is a very bad movie. [[This]] is really ""Superbad"". The film [[looked]] very [[promising]] in the trailers but fell [[flat]]... [[Maybe]] the original [[idea]] was good, but between a [[bad]] [[script]] and bad [[acting]] the movie [[became]] boring and empty. My [[advise]] is don't [[waste]] 2 [[hours]] of your [[precious]] [[time]]. You have been [[warned]]. [[This]] is the first [[movie]] I rated 1 star at IMDb.com... [[Second]], none of the characters are [[likable]]. You really don't care what happened to them... Third, the [[villain]] is very [[easy]] to [[identify]]. The [[grandson]] [[kills]] his father, sodomizes the friend's son, get the maid pregnant, smothers his grandfather... Like [[JT]] says, ""If you like evil with no [[retribution]], this is your movie"". [[Nothing]] more to [[say]]...","I'm thinking of some things for this movie: First, really is a very bad movie. [[These]] is really ""Superbad"". The film [[judged]] very [[vowed]] in the trailers but fell [[stable]]... [[Eventually]] the original [[knew]] was good, but between a [[naughty]] [[scenario]] and bad [[behaved]] the movie [[did]] boring and empty. My [[recommend]] is don't [[dirt]] 2 [[moments]] of your [[valuable]] [[juncture]]. You have been [[informing]]. [[These]] is the first [[productions]] I rated 1 star at IMDb.com... [[Secondly]], none of the characters are [[charmer]]. You really don't care what happened to them... Third, the [[betrayer]] is very [[relaxed]] to [[defining]]. The [[stepmother]] [[mortality]] his father, sodomizes the friend's son, get the maid pregnant, smothers his grandfather... Like [[UN]] says, ""If you like evil with no [[resentful]], this is your movie"". [[Jamais]] more to [[asserted]]...",0.00018006563186645508,0.5814366340637207,0,1,0,871,"Successful"
"I was kinda looking forward to Man of the Year, a couple girls at my work said it was a pretty good movie, and my mom said that she liked it, so I waited for the rental, and watched it last night. I have to honestly say that this movie was a huge [[disappointment]]. I barely made through it, because to be honest the beginning was pretty good and very well paced, but then it got too dark and not into the movie I saw from the trailer. It looked like a good comedy, then it turned into a very dark drama, that wasn't even that interesting, considering how many of these types of stories we've had about government conspiracy.<br /><br />Tom Dobbs is a very popular comedian with a top ranks show and has an act where many people would want him to get involved with politics, just because it seems like he has a good grip on what should be improved. So he does it, he runs for presidency, but many people doubt that he can win due to the fact that he's a comedian, but he does win! But Elenore Green who makes sure all the votes are accounted for tries to fix a computer glitch, but when the government tells her not to fix it, they try to get rid of her, and Tom soon realizes that this may not be the job he wanted.<br /><br />The acting was fine, the direction was OK, it was just the story that didn't work in my opinion. Like I said, it just turned into a dramatic change of [[genres]], because if you see the trailer, you'd think it was a comedy, and when you start watching it, that's what you get, but then it just turns into a [[very]] dark and [[somewhat]] scary drama. I wouldn't really recommend this movie, it was one of the biggest [[disappointments]] I have seen so far.<br /><br />2/10","I was kinda looking forward to Man of the Year, a couple girls at my work said it was a pretty good movie, and my mom said that she liked it, so I waited for the rental, and watched it last night. I have to honestly say that this movie was a huge [[consternation]]. I barely made through it, because to be honest the beginning was pretty good and very well paced, but then it got too dark and not into the movie I saw from the trailer. It looked like a good comedy, then it turned into a very dark drama, that wasn't even that interesting, considering how many of these types of stories we've had about government conspiracy.<br /><br />Tom Dobbs is a very popular comedian with a top ranks show and has an act where many people would want him to get involved with politics, just because it seems like he has a good grip on what should be improved. So he does it, he runs for presidency, but many people doubt that he can win due to the fact that he's a comedian, but he does win! But Elenore Green who makes sure all the votes are accounted for tries to fix a computer glitch, but when the government tells her not to fix it, they try to get rid of her, and Tom soon realizes that this may not be the job he wanted.<br /><br />The acting was fine, the direction was OK, it was just the story that didn't work in my opinion. Like I said, it just turned into a dramatic change of [[genre]], because if you see the trailer, you'd think it was a comedy, and when you start watching it, that's what you get, but then it just turns into a [[tremendously]] dark and [[abundantly]] scary drama. I wouldn't really recommend this movie, it was one of the biggest [[resentments]] I have seen so far.<br /><br />2/10",0.00016307830810546875,0.8677660822868347,0,1,0,288,"Successful"
"If you've ever listened to any of the James Lee Burke books on tape or CD and the reader was Will Patton you may agree with me that Will is the personification of Dave R.<br /><br />Tommy Lee Jones is a native Texan (or so I've heard) and no one portrays a Texan better IMHO, but he's not a [[Cajun]]. His [[delivery]] is all [[wrong]]. I lived in the state for several years and I can still hear the strange patois that a Louisiana accent contains. TLJ doesn't have anything like that.<br /><br />I thought Marry Steenbergen was a good choice for Bootsy, but I missed seeing Cletus (who will be cast in this role? The Rock? Mickey Rourke? whoever, he'll have to be big).<br /><br />[[Overall]], I [[thought]] the movie was only a 4 - the plot flopped around [[like]] a fish out of water and didn't have the normal interesting, yet non-linear continuity that the book typically has.<br /><br />Hopefully, Hollywood will try another JLB book, ""Last Car to Elysican Fields"" would be a good choice. We'd get to see some of the best villains from JLB ever.","If you've ever listened to any of the James Lee Burke books on tape or CD and the reader was Will Patton you may agree with me that Will is the personification of Dave R.<br /><br />Tommy Lee Jones is a native Texan (or so I've heard) and no one portrays a Texan better IMHO, but he's not a [[Gumbo]]. His [[providing]] is all [[unseemly]]. I lived in the state for several years and I can still hear the strange patois that a Louisiana accent contains. TLJ doesn't have anything like that.<br /><br />I thought Marry Steenbergen was a good choice for Bootsy, but I missed seeing Cletus (who will be cast in this role? The Rock? Mickey Rourke? whoever, he'll have to be big).<br /><br />[[Internationally]], I [[inkling]] the movie was only a 4 - the plot flopped around [[lover]] a fish out of water and didn't have the normal interesting, yet non-linear continuity that the book typically has.<br /><br />Hopefully, Hollywood will try another JLB book, ""Last Car to Elysican Fields"" would be a good choice. We'd get to see some of the best villains from JLB ever.",0.0001596212387084961,0.5087584257125854,0,1,0,264,"Successful"
"It's [[less]] visceral than the only other Tsai [[film]] I've seen (""Vive L'amour""), but the idea of doorways (holes) into others' [[emotions]] and existences is [[vividly]] [[portrayed]] here, as Tsai sets up long shot after long shot, [[usually]] with long takes, suggesting a sense of alienation in Taipei. The musical interludes, inspired by Grace Chang, are perplexing but [[welcome]] mile-markers that add new dimensions to the slowly evolving relationship between the young man upstairs and the woman downstairs. It's not necessarily an easy film to watch (although it's not heavy-handed by any means), so I'd warn any casual viewers who are looking for some ""indie"" entertainment (like Tarantino or Guy Ritchie). But if you'd like to know something about isolation among city-dwellers in Taiwan, and something more universal about city alienation and romantic yearning, then watch this film immediately.","It's [[down]] visceral than the only other Tsai [[moviemaking]] I've seen (""Vive L'amour""), but the idea of doorways (holes) into others' [[thrills]] and existences is [[appallingly]] [[portraying]] here, as Tsai sets up long shot after long shot, [[essentially]] with long takes, suggesting a sense of alienation in Taipei. The musical interludes, inspired by Grace Chang, are perplexing but [[bienvenidos]] mile-markers that add new dimensions to the slowly evolving relationship between the young man upstairs and the woman downstairs. It's not necessarily an easy film to watch (although it's not heavy-handed by any means), so I'd warn any casual viewers who are looking for some ""indie"" entertainment (like Tarantino or Guy Ritchie). But if you'd like to know something about isolation among city-dwellers in Taiwan, and something more universal about city alienation and romantic yearning, then watch this film immediately.",0.00014972686767578125,0.5188544988632202,1,0,1,263,"Successful"
"Where the hell did VH1 find the scriptwriter for this movie??? Out of high school? This movie tries so hard to be sympathetic to Michael Jackson, but instead, turns him into a horrible, tacky caricature. All the lines are filled with clichés but surprisingly the acting wasn't bad. As usual, this is a [[bad]] movie with pretty good [[actors]]. The actor that plays Michael Jackson, jeez, I feel sorry for him! I think he did the best he could with the [[weak]] script. I didn't mind that Flex did not look like Michael Jackson, I thought he did the best he could, but later on when he had all that white make-up on, oh man, did he look yucky! The other actors that played Debbie Rowe, Priscilla Presley and Elizabeth Taylor were pretty good. Except that the actress that plays Liz Taylor looked too young and healthy to be playing Liz. The actress that plays Diana Ross didn't look at all like her and I couldn't figure out who this woman was until much later on in the movie.<br /><br />This movie does a disservice to everyone who is on the side of Michael Jackson, or against Michael Jackson. It doesn't do anything to change anyone's opinion. As a matter of fact, the only opinion anyone will have after watching this movie is, oh God, this movie really, really sucks! And where the hell is Michael Jackson's [[wonderful]] music and songs? There are none to be found in this movie. I love the soundtrack to this movie anyway and I'll probably purchase it if I could.<br /><br />On the lighter side though, this is a very funny, campy movie! It's a great time waster if you want to watch something light that won't trouble your brain too much. I'll probably watch it again, because it just is so entertainingly bad!","Where the hell did VH1 find the scriptwriter for this movie??? Out of high school? This movie tries so hard to be sympathetic to Michael Jackson, but instead, turns him into a horrible, tacky caricature. All the lines are filled with clichés but surprisingly the acting wasn't bad. As usual, this is a [[inauspicious]] movie with pretty good [[player]]. The actor that plays Michael Jackson, jeez, I feel sorry for him! I think he did the best he could with the [[humble]] script. I didn't mind that Flex did not look like Michael Jackson, I thought he did the best he could, but later on when he had all that white make-up on, oh man, did he look yucky! The other actors that played Debbie Rowe, Priscilla Presley and Elizabeth Taylor were pretty good. Except that the actress that plays Liz Taylor looked too young and healthy to be playing Liz. The actress that plays Diana Ross didn't look at all like her and I couldn't figure out who this woman was until much later on in the movie.<br /><br />This movie does a disservice to everyone who is on the side of Michael Jackson, or against Michael Jackson. It doesn't do anything to change anyone's opinion. As a matter of fact, the only opinion anyone will have after watching this movie is, oh God, this movie really, really sucks! And where the hell is Michael Jackson's [[wondrous]] music and songs? There are none to be found in this movie. I love the soundtrack to this movie anyway and I'll probably purchase it if I could.<br /><br />On the lighter side though, this is a very funny, campy movie! It's a great time waster if you want to watch something light that won't trouble your brain too much. I'll probably watch it again, because it just is so entertainingly bad!",0.0003676414489746094,0.652508020401001,0,1,0,345,"Successful"
"This film is undoubtedly one of the [[greatest]] landmarks in history of cinema. By seeing this [[film]],we can only retrospectively notice that [[world]] cinema in 1950s had such a purely humanistic dramaturgy,such a strong and adequate use of sound-image montage,and almost religious admiration of ethical choices in human life. Cinema was then not only one form of arts. It was much higher than ordinary life and it gave many people hope to live after the tragic war. It is said, that even Picasso was moved and cried that such a work of art can appear only once in 100 [[years]]! Audience that time was also different. I [[read]] that after seeing Kurosawa's ""Ikiru(Live)"" in its first release, young couple quietly told each other,""It is a [[good]] film, isn't it?"". I think,contemporary cinema, though technically developed and opened some new narrative perspective, has lost the most important---reliance of audience.Cienma was once really the most popular art from and, unlike modern fine arts and contemporary music,gave millions of people hope and ideals. In this point of view,""Letyat zhuravli"" must be in the pantheon of classics of all the time, as ""City light"",""Ikiru"" and ""La Strada"".","This film is undoubtedly one of the [[trickiest]] landmarks in history of cinema. By seeing this [[photo]],we can only retrospectively notice that [[planet]] cinema in 1950s had such a purely humanistic dramaturgy,such a strong and adequate use of sound-image montage,and almost religious admiration of ethical choices in human life. Cinema was then not only one form of arts. It was much higher than ordinary life and it gave many people hope to live after the tragic war. It is said, that even Picasso was moved and cried that such a work of art can appear only once in 100 [[seniority]]! Audience that time was also different. I [[lu]] that after seeing Kurosawa's ""Ikiru(Live)"" in its first release, young couple quietly told each other,""It is a [[adequate]] film, isn't it?"". I think,contemporary cinema, though technically developed and opened some new narrative perspective, has lost the most important---reliance of audience.Cienma was once really the most popular art from and, unlike modern fine arts and contemporary music,gave millions of people hope and ideals. In this point of view,""Letyat zhuravli"" must be in the pantheon of classics of all the time, as ""City light"",""Ikiru"" and ""La Strada"".",0.00021594762802124023,0.9969674348831177,1,0,1,255,"Successful"
"[[This]] [[movie]] was a [[suprise]] for me while I was surfing from [[channel]] to [[channel]]... I don't [[know]] why but it filled in me with [[warmth]] and happiness. [[This]] is what a [[high]] [[budget]] movie can not [[do]] mostly. I [[liked]] it, this is ""a must [[see]]"" one...<br /><br />","[[That]] [[movies]] was a [[surprise]] for me while I was surfing from [[channels]] to [[chanel]]... I don't [[realize]] why but it filled in me with [[heat]] and happiness. [[That]] is what a [[bigger]] [[estimates]] movie can not [[makes]] mostly. I [[wished]] it, this is ""a must [[view]]"" one...<br /><br />",0.0011339187622070312,0.008853495121002197,1,1,1,392,"Failed"
"[[Sadness]] and [[nostalgia]] [[permeate]] Late [[Chrysanthemums]], a 1954 film by Japanese [[auteur]] Mikio Naruse, now undergoing a retrospective of his [[long]] unavailable films [[thanks]] to James Quandt of Cinematheque [[Ontario]] and The Japan Foundation. Based on three stories by Fumiko [[Hayashi]], [[Late]] Chrysanthemums tells the story of four retired [[geishas]], now middle-aged, whose lives have become full of disappointment and regret. Performance are uniformly [[outstanding]], particularly that of Haruko Sugimura, who starred in films by Ozu's Late Spring, Floating Weeds, and Tokyo Story among others. Sugimura portrays Kin, a former Geisha who has no children and lives only with her young maid who is unable to speak.<br /><br />She has become cynical about men and has turned her attention to money, particularly real estate speculation and loaning money to her friends, [[Nobu]] (Sadako Sawamura), Tamae (Chikako Hosokawa), and Tomi ([[Yuko]] Mochizuki), all former geishas. Kin's friends live in meager circumstances and complain about how Kin has become greedy and Tomi spends considerable time gambling to try and make ends meet. Both Tomi and Tamae are in the process of losing their children. Tamae's son is leaving to work in the coalmines in Hokkaido, and Tomi's daughter has decided to accept a marriage proposal from an older man. Both resist the change in their circumstances but come to accept it as inevitable.<br /><br />Two male friends visit Kin, Seki a former lover with whom she once contemplated double suicide, and Tabe (Ken [[Uehara]]), another lover who she looks forward to [[seeing]] again after many years. Her mood is upbeat but [[soon]] turns to resentment when she [[discovers]] that the two men are only interested in borrowing money. Naruse cuts between [[two]] extended sequences seamlessly as Kin [[confronts]] Tabe and Tomi and Tamae console each other over the loss of their children [[The]] dialogue is extremely natural and the characters are women of [[strength]] who, though their future does not seem bright, refuse to see themselves merely as victims. Late Chrysanthemums has the simplicity, humor, and stoic acceptance of life prominent in the films of Ozu and is a [[bittersweet]] [[reminder]] of the slow passing of time and the comfort that memory and companionship can bring along the way.","[[Remorse]] and [[wish]] [[penetrate]] Late [[Blooms]], a 1954 film by Japanese [[filmmaker]] Mikio Naruse, now undergoing a retrospective of his [[extended]] unavailable films [[homage]] to James Quandt of Cinematheque [[Markham]] and The Japan Foundation. Based on three stories by Fumiko [[Linseed]], [[Delayed]] Chrysanthemums tells the story of four retired [[courtesans]], now middle-aged, whose lives have become full of disappointment and regret. Performance are uniformly [[sumptuous]], particularly that of Haruko Sugimura, who starred in films by Ozu's Late Spring, Floating Weeds, and Tokyo Story among others. Sugimura portrays Kin, a former Geisha who has no children and lives only with her young maid who is unable to speak.<br /><br />She has become cynical about men and has turned her attention to money, particularly real estate speculation and loaning money to her friends, [[Morimoto]] (Sadako Sawamura), Tamae (Chikako Hosokawa), and Tomi ([[Mizuki]] Mochizuki), all former geishas. Kin's friends live in meager circumstances and complain about how Kin has become greedy and Tomi spends considerable time gambling to try and make ends meet. Both Tomi and Tamae are in the process of losing their children. Tamae's son is leaving to work in the coalmines in Hokkaido, and Tomi's daughter has decided to accept a marriage proposal from an older man. Both resist the change in their circumstances but come to accept it as inevitable.<br /><br />Two male friends visit Kin, Seki a former lover with whom she once contemplated double suicide, and Tabe (Ken [[Yoshikawa]]), another lover who she looks forward to [[consult]] again after many years. Her mood is upbeat but [[faster]] turns to resentment when she [[disclosed]] that the two men are only interested in borrowing money. Naruse cuts between [[three]] extended sequences seamlessly as Kin [[fought]] Tabe and Tomi and Tamae console each other over the loss of their children [[Both]] dialogue is extremely natural and the characters are women of [[workforce]] who, though their future does not seem bright, refuse to see themselves merely as victims. Late Chrysanthemums has the simplicity, humor, and stoic acceptance of life prominent in the films of Ozu and is a [[plaintive]] [[callback]] of the slow passing of time and the comfort that memory and companionship can bring along the way.",0.00019377470016479492,0.6088804006576538,1,0,1,1003,"Successful"
