"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war [[risk]] insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation [[Authority]] of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war [[security]] insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation [[authorities]] of Singapore and SATS Security Services, a unit of the Singapore [[aviation]] group.",0.11653441190719604,0.552548885345459,2,0,2,117,"Successful"
"Sun to shine spotlight on new operating system, Solaris 10 Sun Microsystems [[SUNW]] is expected to release a new version of its operating system today - a big [[part]] of the struggling computer maker #39;s plan to save itself.","Sun to shine spotlight on new operating system, Solaris 10 Sun Microsystems [[corp]] is expected to release a new version of its operating system today - a big [[realization]] of the struggling computer maker #39;s plan to save itself.",0.023694396018981934,0.07148987054824829,3,3,3,57,"Failed"
"Nokia announces Near [[Field]] Communication products [[With]] the Nokia NFC ([[Near]] Field Communication) shell on their phone, consumers will be able to [[access]] a variety of services and exchange information with a simple touch gesture.","Nokia announces Near [[distance]] Communication products [[via]] the Nokia NFC ([[limited]] Field Communication) shell on their phone, consumers will be able to [[purchase]] a variety of services and exchange information with a simple touch gesture.",0.013179004192352295,0.018308937549591064,3,3,3,92,"Failed"
"[[Mills]] Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills [[Corp]]. agreed to [[purchase]] a 50 [[percent]] interest in nine malls owned by General Motors Asset [[Management]] [[Corp]]. for just over \$1 billion, creating a new joint venture between the groups. [[The]] [[deal]] will extend ...","[[business]] Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills [[corp]]. agreed to [[buying]] a 50 [[shares]] interest in nine malls owned by General Motors Asset [[corporation]] [[corp]]. for just over \$1 billion, creating a new joint venture between the groups. [[which]] [[deals]] will extend ...",0.09481698274612427,0.26346224546432495,2,2,2,128,"Failed"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.6312080025672913,0.6312080025672913,2,2,3,1,"Skipped"
"President Hu congratulates Sihamoni on [[becoming]] king of Cambodia Chinese [[President]] Hu Jintao sent a message to Norodom [[Sihamoni]] on Thursday to congratulate him on his election as the king of Cambodia.","President Hu congratulates Sihamoni on [[making]] king of Cambodia Chinese [[chancellor]] Hu Jintao sent a message to Norodom [[house]] on Thursday to congratulate him on his election as the king of Cambodia.",0.007934153079986572,0.013586103916168213,0,0,0,47,"Failed"
"Afghans [[rocky]] road to historic elections KALAKAN, Afghanistan There were toothless old men, turbaned and gray-bearded, and [[young]] [[men]] not yet old enough to shave. There were mullahs and mujahedeen, and the [[presidential]] candidate #39;s 3-year-old son.","Afghans [[country]] road to historic elections KALAKAN, Afghanistan There were toothless old men, turbaned and gray-bearded, and [[old]] [[man]] not yet old enough to shave. There were mullahs and mujahedeen, and the [[american]] candidate #39;s 3-year-old son.",0.005236923694610596,0.005648612976074219,0,0,0,63,"Failed"
"Fed [[Cup]] all tied up FRANCE #39;S Russian-born Tatiana [[Golovin]] [[left]] the Fed Cup final hanging in the balance [[today]] as she beat Russia #39;s US [[Open]] [[champion]] Svetlana Kuznetsova 6-4, 6-1 to level the [[tie]] at 2-2 and take it to the final doubles match.","Fed [[s]] all tied up FRANCE #39;S Russian-born Tatiana [[ivanov]] [[put]] the Fed Cup final hanging in the balance [[hold]] as she beat Russia #39;s US [[tennis]] [[champ]] Svetlana Kuznetsova 6-4, 6-1 to level the [[tied]] at 2-2 and take it to the final doubles match.",0.006817638874053955,0.019517958164215088,1,1,1,112,"Failed"
"Sun's [[Looking]] Glass Provides 3D View Developers [[get]] early code for new operating system 'skin' still being crafted.","Sun's [[look]] Glass Provides 3D View Developers [[detailed]] early code for new operating system 'skin' still being crafted.",0.012820065021514893,0.01433330774307251,3,3,3,33,"Failed"
"[[US]] suspends helicopter flights after Japan crash (AFP) [[AFP]] - The United States suspended flights of CH-53D [[military]] helicopters in Japan, bowing to protests over a crash in an [[Okinawa]] university campus.","[[california]] suspends helicopter flights after Japan crash (AFP) [[may]] - The United States suspended flights of CH-53D [[tactical]] helicopters in Japan, bowing to protests over a crash in an [[existing]] university campus.",0.004810333251953125,0.009634912014007568,0,0,0,63,"Failed"
"Today in Athens Leontien Zijlaard-van Moorsel of the [[Netherlands]] wipes a tear after winning the gold [[medal]] in the women #39;s road cycling individual [[time]] [[trial]] at the Vouliagmeni Olympic Centre in Athens on [[Wednesday]]. ","Today in Athens Leontien Zijlaard-van Moorsel of the [[holland]] wipes a tear after winning the gold [[time]] in the women #39;s road cycling individual [[mile]] [[trials]] at the Vouliagmeni Olympic Centre in Athens on [[mt]]. ",0.005615115165710449,0.015160143375396729,1,1,1,101,"Failed"
"Phelps [[Seeks]] More Gold at World Championships  INDIANAPOLIS (Reuters) - [[Still]] [[riding]] a [[wave]] of euphoria  from the Olympics, Michael Phelps [[returns]] to the pool this [[week]]  at the world short course [[swimming]] championships [[seeking]] a  repeat of his six gold medals in Athens.","Phelps [[awards]] More Gold at World Championships  INDIANAPOLIS (Reuters) - [[meanwhile]] [[awaiting]] a [[bit]] of euphoria  from the Olympics, Michael Phelps [[reappeared]] to the pool this [[summer]]  at the world short course [[backstroke]] championships [[offering]] a  repeat of his six gold medals in Athens.",0.004716694355010986,0.009441971778869629,1,1,1,260,"Failed"
"Anniversary remembered on game day [[When]] the attacks came on [[Sept]]. 11, 2001, Tom O'Brien, if only for a [[moment]], [[stopped]] being Boston College's coach. On that day, as the [[World]] Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy [[man]].","Anniversary remembered on game day [[now]] the attacks came on [[september]]. 11, 2001, Tom O'Brien, if only for a [[moments]], [[regretted]] being Boston College's coach. On that day, as the [[worlds]] Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy [[sailor]].",0.0534747838973999,0.19239598512649536,1,1,1,119,"Failed"
"Pfizer Sends Out [[Update]] [[On]] Drug Bextra Pfizer Inc. said [[Friday]] that it will provide health-care professionals with [[additional]] information about its Bextra arthritis drug and that it will [[conduct]] further studies to confirm the drug #39;s long-term [[cardiovascular]] safety record.","Pfizer Sends Out [[updates]] [[from]] Drug Bextra Pfizer Inc. said [[today]] that it will provide health-care professionals with [[extensive]] information about its Bextra arthritis drug and that it will [[support]] further studies to confirm the drug #39;s long-term [[ized]] safety record.",0.01576864719390869,0.025234103202819824,2,2,2,93,"Failed"
