"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Singapore]] govt extends [[third-party]] [[war]] risk insurance SINGAPORE : The government is extending [[third-party]] [[war]] [[risk]] [[insurance]] [[cover]] to the Civil [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","[[Singaproe]] govt extends [[third-Xarty]] [[gwar]] risk insurance SINGAPORE : The government is extending [[third-partf]] [[wawr]] [[riks]] [[insurLnce]] [[over]] to the Civil [[Abviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[AiYrlines]] group.",0.0008510351181030273,0.7247151732444763,2,0,2,72,"Successful"
"[[Mills]] Grabs \$1B Portfolio; [[Taubman]] [[Likely]] to [[Lose]] Contracts [[Mills]] [[Corp]]. [[agreed]] to purchase a [[50]] percent interest in nine [[malls]] owned by [[General]] [[Motors]] [[Asset]] [[Management]] [[Corp]]. for just over \$1 [[billion]], [[creating]] a new [[joint]] [[venture]] between the [[groups]]. [[The]] [[deal]] will [[extend]] ...","[[Mils]] Grabs \$1B Portfolio; [[Tubman]] [[LikXely]] to [[ose]] Contracts [[Micls]] [[Cop]]. [[greed]] to purchase a [[5w0]] percent interest in nine [[alls]] owned by [[Generla]] [[Mbotors]] [[Absset]] [[ManaPement]] [[Crp]]. for just over \$1 [[blilion]], [[cerating]] a new [[vjoint]] [[ventuer]] between the [[goups]]. [[ThP]] [[deLal]] will [[etend]] ...",0.0009232759475708008,0.5295895338058472,2,2,2,159,"Failed"
"[[Sun]] to [[shine]] spotlight on new operating [[system]], Solaris [[10]] Sun Microsystems [[SUNW]] is expected to [[release]] a [[new]] [[version]] of its operating system today - a big part of the struggling computer maker #39;s plan to [[save]] itself.","[[Snu]] to [[shicne]] spotlight on new operating [[systQem]], Solaris [[1]] Sun Microsystems [[SUNAW]] is expected to [[erlease]] a [[neF]] [[versino]] of its operating system today - a big part of the struggling computer maker #39;s plan to [[sav]] itself.",0.005740523338317871,0.5899932384490967,3,2,3,71,"Successful"
"[[Fed]] Cup all tied up [[FRANCE]] #[[39]];S Russian-born Tatiana [[Golovin]] [[left]] the Fed Cup final [[hanging]] in the balance [[today]] as she [[beat]] [[Russia]] #[[39]];s [[US]] [[Open]] champion [[Svetlana]] [[Kuznetsova]] [[6-4]], [[6-1]] to [[level]] the [[tie]] at [[2-2]] and [[take]] it to the [[final]] doubles [[match]].","[[gFed]] Cup all tied up [[wRANCE]] #[[3]];S Russian-born Tatiana [[Goovin]] [[eft]] the Fed Cup final [[hanXing]] in the balance [[tdoay]] as she [[baet]] [[Russi]] #[[3]];s [[UL]] [[OpeE]] champion [[Skvetlana]] [[Kujnetsova]] [[6-z4]], [[e6-1]] to [[leel]] the [[nie]] at [[S2-2]] and [[tak]] it to the [[ifnal]] doubles [[mDatch]].",0.00036454200744628906,0.037156105041503906,1,1,1,162,"Failed"
"Today in Athens [[Leontien]] Zijlaard-van Moorsel of the [[Netherlands]] wipes a [[tear]] after winning the [[gold]] [[medal]] in the [[women]] #[[39]];s road [[cycling]] individual time [[trial]] at the [[Vouliagmeni]] Olympic [[Centre]] in Athens on [[Wednesday]]. ","Today in Athens [[Leotien]] Zijlaard-van Moorsel of the [[SNetherlands]] wipes a [[tar]] after winning the [[godd]] [[meal]] in the [[woen]] #[[3]];s road [[cyicling]] individual time [[tria]] at the [[Gouliagmeni]] Olympic [[Centere]] in Athens on [[Wednsday]]. ",0.00035893917083740234,0.002823472023010254,1,1,1,114,"Failed"
"President Hu congratulates [[Sihamoni]] on becoming king of [[Cambodia]] Chinese President Hu Jintao [[sent]] a message to Norodom [[Sihamoni]] on Thursday to congratulate him on his [[election]] as the king of [[Cambodia]].","President Hu congratulates [[Siamoni]] on becoming king of [[jCambodia]] Chinese President Hu Jintao [[senrt]] a message to Norodom [[Sihmoni]] on Thursday to congratulate him on his [[efection]] as the king of [[Cambdoia]].",0.0006818771362304688,0.6452169418334961,0,2,0,48,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.646591305732727,0.646591305732727,2,2,3,1,"Skipped"
"[[Afghans]] rocky [[road]] to [[historic]] [[elections]] [[KALAKAN]], [[Afghanistan]] [[There]] were toothless [[old]] [[men]], turbaned and [[gray-bearded]], and young men not yet old enough to [[shave]]. There were mullahs and mujahedeen, and the [[presidential]] candidate #[[39]];s [[3-year-old]] [[son]].","[[Afghas]] rocky [[roaK]] to [[historci]] [[election]] [[KLAAKAN]], [[Afghaistan]] [[Thre]] were toothless [[sold]] [[me]], turbaned and [[gray-berded]], and young men not yet old enough to [[save]]. There were mullahs and mujahedeen, and the [[presidenHtial]] candidate #[[3S9]];s [[3y-ear-old]] [[soAn]].",0.0008655190467834473,0.004504084587097168,0,0,0,135,"Failed"
"Nokia announces [[Near]] [[Field]] [[Communication]] products With the [[Nokia]] [[NFC]] ([[Near]] [[Field]] [[Communication]]) [[shell]] on their phone, consumers will be [[able]] to access a variety of services and exchange information with a [[simple]] [[touch]] [[gesture]].","Nokia announces [[Nera]] [[Feld]] [[Commuication]] products With the [[okia]] [[NfC]] ([[Lear]] [[Fied]] [[ComNmunication]]) [[shelR]] on their phone, consumers will be [[ale]] to access a variety of services and exchange information with a [[simlpe]] [[tuch]] [[gasture]].",0.008982539176940918,0.5115021467208862,3,2,3,106,"Successful"
"[[Sun's]] Looking Glass [[Provides]] [[3D]] View Developers get early code for new operating system '[[skin']] still being [[crafted]].","[[jun's]] Looking Glass [[Provide]] [[3]] View Developers get early code for new operating system '[[skn']] still being [[crafte]].",0.002835094928741455,0.017224371433258057,3,3,3,81,"Failed"
