"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk [[in]] [[surance]] SINGAPORE : The government is extending third-party war risk [[insuranϲe]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlineѕ]] group.",0.2000778317451477,0.8517377376556396,2,0,2,62,"Successful"
"[[Sun]] to [[shine]] spotlight on new [[operating]] system, [[Solaris]] 10 Sun Microsystems [[SUNW]] is expected to [[release]] a new [[version]] of its operating system today - a big part of the struggling [[computer]] maker #39;s plan to save itself.","[[S]] [[un]] to [[shіne]] spotlight on new [[оperating]] system, [[Sоlaris]] 10 Sun Microsystems [[SU]] [[NW]] is expected to [[relea]] [[se]] a new [[verison]] of its operating system today - a big part of the struggling [[computeⲅ]] maker #39;s plan to save itself.",0.06633901596069336,0.316789448261261,3,3,3,96,"Failed"
"Fed [[Cup]] all [[tied]] up FRANCE #[[39]];S [[Russian-born]] [[Tatiana]] [[Golovin]] [[left]] the [[Fed]] [[Cup]] [[final]] hanging in the [[balance]] today as she beat [[Russia]] #39;s US [[Open]] [[champion]] Svetlana [[Kuznetsova]] 6-4, 6-1 to level the tie at 2-2 and take it to the final doubles match.","Fed [[Cսp]] all [[teid]] up FRANCE #[[3৭]];S [[Russian-Ьorn]] [[Ta𝚝iana]] [[Gоlovin]] [[le]] [[ft]] the [[Feԁ]] [[Cսp]] [[finɑl]] hanging in the [[bɑlance]] today as she beat [[Russіa]] #39;s US [[Opeո]] [[chɑmpion]] Svetlana [[Kuznеtsova]] 6-4, 6-1 to level the tie at 2-2 and take it to the final doubles match.",0.04710578918457031,0.19975298643112183,1,1,1,178,"Failed"
"Today in Athens [[Leontien]] Zijlaard-van Moorsel of the [[Netherlands]] [[wipes]] a [[tear]] after winning the [[gold]] [[medal]] in the women #[[39]];s road cycling [[individual]] [[time]] [[trial]] at the [[Vouliagmeni]] Olympic [[Centre]] in [[Athens]] on [[Wednesday]]. ","Today in Athens [[Leоntien]] Zijlaard-van Moorsel of the [[Netherlaոds]] [[wipеs]] a [[teɑr]] after winning the [[glod]] [[medɑl]] in the women #[[3৭]];s road cycling [[iոdividual]] [[tme]] [[trail]] at the [[Vouliɑgmeni]] Olympic [[Centrе]] in [[Athenѕ]] on [[Wednesdaу]]. ",0.023349344730377197,0.20593398809432983,1,1,1,143,"Failed"
"[[President]] Hu congratulates Sihamoni on [[becoming]] king of [[Cambodia]] Chinese President Hu Jintao [[sent]] a [[message]] to [[Norodom]] Sihamoni on [[Thursday]] to congratulate him on his [[election]] as the king of [[Cambodia]].","[[Presiden𝚝]] Hu congratulates Sihamoni on [[becomiոg]] king of [[CamЬodia]] Chinese President Hu Jintao [[set]] a [[m]] [[essage]] to [[Nоrodom]] Sihamoni on [[Thursdɑy]] to congratulate him on his [[electioո]] as the king of [[Camboԁia]].",0.008858919143676758,0.07137042284011841,0,0,0,84,"Failed"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.751483142375946,0.751483142375946,2,2,3,1,"Skipped"
"[[Afghans]] rocky [[road]] to [[historic]] [[elections]] [[KALAKAN]], Afghanistan There were toothless old [[men]], turbaned and gray-bearded, and young [[men]] not [[yet]] old [[enough]] to shave. There were mullahs and mujahedeen, and the [[presidential]] candidate #39;s [[3-year-old]] son.","[[Afgհans]] rocky [[ⲅoad]] to [[hіstoric]] [[elec]] [[tions]] [[KALKAAN]], Afghanistan There were toothless old [[ｍen]], turbaned and gray-bearded, and young [[m]] [[en]] not [[y]] [[et]] old [[еnough]] to shave. There were mullahs and mujahedeen, and the [[рresidential]] candidate #39;s [[3-yeaⲅ-old]] son.",0.0117836594581604,0.15921849012374878,0,0,0,129,"Failed"
"Oil Prices Set a [[New]] Record [[Above]] \$50  [[SINGAPORE]] ([[Reuters]]) - Oil prices set a new record above \$50  a [[barrel]] on [[Tuesday]] as a prolonged U.S. [[production]] outage  following Hurricane Ivan attracted fresh [[speculative]] [[buying]].","Oil Prices Set a [[N]] [[ew]] Record [[A]] [[bove]] \$50  [[SINGAOPRE]] ([[Reut]] [[ers]]) - Oil prices set a new record above \$50  a [[barrеl]] on [[Tuesdaу]] as a prolonged U.S. [[produc]] [[tion]] outage  following Hurricane Ivan attracted fresh [[speculatve]] [[buiyng]].",0.030063331127166748,0.2422032356262207,2,2,2,149,"Failed"
"[[Sun's]] Looking Glass [[Provides]] [[3D]] [[View]] Developers get [[early]] [[code]] for new operating system '[[skin']] still being crafted.","[[Su'ns]] Looking Glass [[Prоvides]] [[ƷD]] [[Viеw]] Developers get [[eɑrly]] [[codе]] for new operating system '[[skіn']] still being crafted.",0.0150526762008667,0.039414048194885254,3,3,3,50,"Failed"
"Phelps [[Seeks]] [[More]] [[Gold]] at World [[Championships]]  [[INDIANAPOLIS]] ([[Reuters]]) - [[Still]] riding a [[wave]] of [[euphoria]]  from the Olympics, Michael Phelps [[returns]] to the pool this week  at the [[world]] [[short]] course swimming [[championships]] seeking a  [[repeat]] of his [[six]] [[gold]] medals in Athens.","Phelps [[Seekѕ]] [[Moⲅe]] [[Golԁ]] at World [[Championshipѕ]]  [[INDIANAPO]] [[LIS]] ([[Reu]] [[ters]]) - [[S]] [[till]] riding a [[wavе]] of [[euphorіa]]  from the Olympics, Michael Phelps [[returnѕ]] to the pool this week  at the [[wоrld]] [[sho]] [[rt]] course swimming [[championshipѕ]] seeking a  [[rpeat]] of his [[ѕix]] [[golԁ]] medals in Athens.",0.031964242458343506,0.14380204677581787,1,1,1,171,"Failed"
