"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk [[ensuring]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airborne]] group.",0.2000778317451477,0.536167562007904,2,0,2,106,"Successful"
"Mills [[Grabs]] \$1B [[Portfolio]]; Taubman [[Likely]] to [[Lose]] [[Contracts]] Mills [[Corp]]. [[agreed]] to [[purchase]] a 50 [[percent]] [[interest]] in nine malls [[owned]] by [[General]] [[Motors]] [[Asset]] [[Management]] [[Corp]]. for just over \$1 [[billion]], [[creating]] a [[new]] [[joint]] [[venture]] between the [[groups]]. The deal will [[extend]] ...","Mills [[Seizing]] \$1B [[Elp]]; Taubman [[Supposedly]] to [[Waste]] [[Pacts]] Mills [[Companies]]. [[negotiated]] to [[bribed]] a 50 [[phosphorus]] [[attention]] in nine malls [[peculiar]] by [[Plenary]] [[Chrysler]] [[Abridged]] [[Administrations]] [[Company]]. for just over \$1 [[trillion]], [[establish]] a [[nuevo]] [[bilateral]] [[companies]] between the [[gatherings]]. The deal will [[broadens]] ...",0.0182725191116333,0.2313494086265564,2,2,2,770,"Failed"
"[[Sun]] to shine spotlight on new operating [[system]], [[Solaris]] 10 Sun Microsystems SUNW is expected to [[release]] a new [[version]] of its operating system today - a big part of the struggling [[computer]] maker #39;s plan to save itself.","[[Soleil]] to shine spotlight on new operating [[programmes]], [[Mandrake]] 10 Sun Microsystems SUNW is expected to [[unhook]] a new [[printouts]] of its operating system today - a big part of the struggling [[machinery]] maker #39;s plan to save itself.",0.06633901596069336,0.5176769495010376,3,2,3,127,"Successful"
"Fed [[Cup]] all [[tied]] up FRANCE #39;S Russian-born [[Tatiana]] Golovin [[left]] the Fed [[Cup]] [[final]] [[hanging]] in the [[balance]] [[today]] as she [[beat]] [[Russia]] #39;s US [[Open]] [[champion]] Svetlana Kuznetsova 6-4, 6-1 to [[level]] the [[tie]] at 2-2 and [[take]] it to the [[final]] doubles [[match]].","Fed [[Football]] all [[entangled]] up FRANCE #39;S Russian-born [[Svetlana]] Golovin [[departs]] the Fed [[Coffeemaker]] [[semifinal]] [[stalled]] in the [[counterweight]] [[wed]] as she [[beats]] [[Putin]] #39;s US [[Commenced]] [[advocate]] Svetlana Kuznetsova 6-4, 6-1 to [[ranking]] the [[bond]] at 2-2 and [[assumes]] it to the [[semifinal]] doubles [[matchmaking]].",0.04710578918457031,0.2863110303878784,1,1,1,626,"Failed"
"[[Nokia]] announces Near Field [[Communication]] [[products]] With the [[Nokia]] NFC ([[Near]] Field [[Communication]]) shell on their phone, consumers will [[be]] able to [[access]] a variety of services and exchange [[information]] with a simple touch gesture.","[[Motorola]] announces Near Field [[Enlightened]] [[foodstuffs]] With the [[Motorola]] NFC ([[Foreseeable]] Field [[Disclosure]]) shell on their phone, consumers will [[remain]] able to [[accede]] a variety of services and exchange [[informed]] with a simple touch gesture.",0.03957480192184448,0.547711968421936,3,2,3,297,"Successful"
"Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands [[wipes]] a [[tear]] after [[winning]] the [[gold]] [[medal]] in the women #39;s [[road]] cycling [[individual]] time [[trial]] at the Vouliagmeni Olympic [[Centre]] in [[Athens]] on [[Wednesday]]. ","Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands [[swab]] a [[dismembered]] after [[conquering]] the [[oro]] [[ornamentation]] in the women #39;s [[itineraries]] cycling [[particular]] time [[prosecuting]] at the Vouliagmeni Olympic [[Plant]] in [[Athenian]] on [[Wd]]. ",0.023349344730377197,0.7168720960617065,1,0,1,317,"Successful"
"[[President]] [[Hu]] congratulates Sihamoni on [[becoming]] king of [[Cambodia]] Chinese [[President]] [[Hu]] Jintao [[sent]] a [[message]] to Norodom Sihamoni on [[Thursday]] to [[congratulate]] him on his [[election]] as the king of [[Cambodia]].","[[Chairmanship]] [[Xu]] congratulates Sihamoni on [[acquires]] king of [[Phnom]] Chinese [[Chief]] [[Wooo]] Jintao [[shipping]] a [[mailroom]] to Norodom Sihamoni on [[Fri]] to [[rejoice]] him on his [[constituents]] as the king of [[Minh]].",0.008858919143676758,0.5605730414390564,0,2,0,422,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.751483142375946,0.751483142375946,2,2,3,1,"Skipped"
"[[Afghans]] rocky road to historic [[elections]] KALAKAN, Afghanistan There were toothless old [[men]], turbaned and gray-bearded, and [[young]] [[men]] not yet old enough to shave. There were mullahs and mujahedeen, and the [[presidential]] candidate #39;s 3-year-old [[son]].","[[Bagdad]] rocky road to historic [[reelection]] KALAKAN, Afghanistan There were toothless old [[humans]], turbaned and gray-bearded, and [[puerile]] [[humans]] not yet old enough to shave. There were mullahs and mujahedeen, and the [[preside]] candidate #39;s 3-year-old [[threading]].",0.0117836594581604,0.5682715177536011,0,3,0,200,"Successful"
"Oil Prices [[Set]] a [[New]] Record [[Above]] \$50  [[SINGAPORE]] ([[Reuters]]) - Oil prices [[set]] a [[new]] record above \$50  a [[barrel]] on [[Tuesday]] as a prolonged [[U]].[[S]]. production [[outage]]  [[following]] Hurricane Ivan [[attracted]] [[fresh]] [[speculative]] [[buying]].","Oil Prices [[Establishing]] a [[Nueva]] Record [[Supra]] \$50  [[MALAYSIA]] ([[Newsday]]) - Oil prices [[putting]] a [[freshly]] record above \$50  a [[howitzer]] on [[Domingos]] as a prolonged [[yeo]].[[ies]]. production [[intermission]]  [[hereafter]] Hurricane Ivan [[seduce]] [[gentle]] [[notional]] [[bribed]].",0.030063331127166748,0.5097938776016235,2,0,2,364,"Successful"
"Sun's Looking Glass [[Provides]] 3D [[View]] [[Developers]] [[get]] [[early]] [[code]] for new operating system 'skin' still being [[crafted]].","Sun's Looking Glass [[Entrusts]] 3D [[Belvedere]] [[Architects]] [[acquired]] [[precocious]] [[scrambling]] for new operating system 'skin' still being [[poised]].",0.0150526762008667,0.6008703708648682,3,2,3,288,"Successful"
