"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'[[Nonis']] is a [[hybrid]] [[cultivar]] of the [[genus]] [[Neoregelia]] in the [[Bromeliad]] [[family]].","'[[NoniQ']] is a [[hyrid]] [[ultivar]] of the [[genu]] [[Neoregeia]] in the [[rBomeliad]] [[faimly]].",0.011250019073486328,0.9652791023254395,3,8,3,35,"Successful"
"[[The]] [[Canal]] [[Latéral]] à la Loire was [[constructed]] between [[1827]] and 1838 to [[connect]] the [[Canal]] de Briare at Briare and the Canal du [[Centre]] at Digoin, a distance of 196 [[km]]. [[It]] replaced the use of the River Loire which had reliability [[problems]] arising from winter floods and [[summer]] droughts. Aqueducts were used to cross the River Allier at Le [[Guétin]] (in the [[commune]] of [[Cuffy]]) and the River Loire at Digoin, but because of the extreme [[length]] required, [[one]] was not [[built]] to cross the Loire [[River]] at Briare until [[1896]] when the [[Briare]] aqueduct was [[constructed]].","[[Thb]] [[Canpl]] [[Ltaéral]] à la Loire was [[constructe]] between [[182]] and 1838 to [[connNect]] the [[Cnal]] de Briare at Briare and the Canal du [[CentDre]] at Digoin, a distance of 196 [[mk]]. [[I]] replaced the use of the River Loire which had reliability [[peroblems]] arising from winter floods and [[summre]] droughts. Aqueducts were used to cross the River Allier at Le [[Guétn]] (in the [[cmmune]] of [[Cffy]]) and the River Loire at Digoin, but because of the extreme [[lnegth]] required, [[oen]] was not [[buiQlt]] to cross the Loire [[Rider]] at Briare until [[196]] when the [[Beriare]] aqueduct was [[constructPd]].",0.014629244804382324,0.5802627801895142,2,0,2,206,"Successful"
"Les Disques du Crépuscule is an [[independent]] record [[label]] [[founded]] in Belgium. The [[label]] was [[founded]] in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an [[iXndependent]] record [[labe]] [[ofunded]] in Belgium. The [[labrel]] was [[foundeZ]] in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0.00878828763961792,0.7396935224533081,0,1,0,63,"Successful"
"[[The]] [[2003]] All-Ireland [[Under-21]] [[Hurling]] [[Championship]] final was a hurling match that was played at Semple Stadium, Thurles on 21 September 2003 to [[determine]] the winners of the [[2003]] All-Ireland [[Under-21]] Hurling Championship, the [[40th]] [[season]] of the [[All-Ireland]] [[Under-21]] [[Hurling]] Championship, a tournament organised by the Gaelic Athletic Association for the champion [[teams]] of the four provinces of Ireland. [[The]] final was [[contested]] by Kilkenny of Leinster and [[Galway]] of Connacht, with [[Kilkenny]] [[winning]] by [[2-13]] to [[0-12]].","[[ThW]] [[K003]] All-Ireland [[nUder-21]] [[Hruling]] [[ChaUmpionship]] final was a hurling match that was played at Semple Stadium, Thurles on 21 September 2003 to [[detrmine]] the winners of the [[203]] All-Ireland [[Under21]] Hurling Championship, the [[v40th]] [[saeson]] of the [[All-Irelnad]] [[Unde-r21]] [[urling]] Championship, a tournament organised by the Gaelic Athletic Association for the champion [[eams]] of the four provinces of Ireland. [[fThe]] final was [[coZtested]] by Kilkenny of Leinster and [[Galawy]] of Connacht, with [[Kiklenny]] [[winnig]] by -[[213]] to -[[012]].",0.016562342643737793,0.01986771821975708,5,5,5,171,"Failed"
"[[Damon]] [[Kyle]] Wayans, [[Sr]]. (/ˈdeɪmən ˈweɪ.ənz/; [[born]] [[September]] 4, [[1960]]) is an [[American]] [[actor]], [[comedian]], writer and producer, and member of the Wayans family of [[entertainers]]. Wayans performed as a [[comedian]] and [[actor]] throughout the [[1980s]], [[including]] a [[yearlong]] [[stint]] on the sketch comedy series Saturday [[Night]] Live, although his true breakthrough came as a co-creator and performer on his own sketch comedy show, [[In]] Living Color, from [[1990]] to 1992. [[Since]] then he has starred in a number of films and [[television]] [[shows]], some of which he has co-produced or co-written, including The Last Boy Scout and Major [[Payne]], and the sitcom My [[Wife]] and [[Kids]].","[[Daomn]] [[Kle]] Wayans, [[S]]. (/ˈdeɪmən ˈweɪ.ənz/; [[obrn]] [[Septemer]] 4, [[1e960]]) is an [[Amuerican]] [[acNtor]], [[comediaOn]], writer and producer, and member of the Wayans family of [[entertaners]]. Wayans performed as a [[comedain]] and [[acto]] throughout the [[1980]], [[includWng]] a [[yrarlong]] [[stiRnt]] on the sketch comedy series Saturday [[ight]] Live, although his true breakthrough came as a co-creator and performer on his own sketch comedy show, [[I]] Living Color, from [[1909]] to 1992. [[SinIe]] then he has starred in a number of films and [[etlevision]] [[shown]], some of which he has co-produced or co-written, including The Last Boy Scout and Major [[Pyne]], and the sitcom My [[Wiufe]] and [[Kid]].",0.006228029727935791,0.010413944721221924,0,0,0,195,"Failed"
"Giulia Sergas ([[born]] 26 December 1979) is an [[Italian]] [[professional]] [[golfer]], [[currently]] [[playing]] on both the LPGA Tour and the Ladies European Tour.","Giulia Sergas ([[bor]] 26 December 1979) is an [[Wtalian]] [[profesisonal]] [[golfeG]], [[currenJly]] [[Lplaying]] on both the LPGA Tour and the Ladies European Tour.",0.0061187744140625,0.9106701612472534,0,5,0,40,"Successful"
"The Brockville Football [[Club]] was a [[team]] that [[played]] in the QRFU at the [[turn]] of the century. They had great [[success]] [[early]] on in their [[history]]. [[In]] [[1899]], they finished in first place in the QRFU but lost to Ottawa College in the [[Quebec]] finals. They won the QRFU [[Championship]] in [[1900]] but lost in the Dominion [[Final]] to the [[Ottawa]] Rough Riders.","The Brockville Football [[ClQub]] was a [[tem]] that [[zplayed]] in the QRFU at the [[iturn]] of the century. They had great [[sucqess]] [[arly]] on in their [[hitsory]]. [[Wn]] [[189]], they finished in first place in the QRFU but lost to Ottawa College in the [[Queebc]] finals. They won the QRFU [[Champoinship]] in [[190]] but lost in the Dominion [[FiLnal]] to the [[OPtawa]] Rough Riders.",0.008706986904144287,0.614902138710022,0,6,0,104,"Successful"
"[[Sebastian]] Piersig ([[born]] [[May]] 28, 1984 in Spremberg, Brandenburg) is a [[German]] [[slalom]] [[canoer]] who competed in the [[2000s]] in the [[C-2]] category together with Felix Michel. [[He]] won a [[silver]] [[medal]] in the [[C-2]] [[team]] event at the [[2006]] ICF [[Canoe]] [[Slalom]] [[World]] Championships in Prague. [[He]] [[also]] won [[two]] gold medals in the same event at the [[European]] Championships. [[Piersig]] finished [[sixth]] in the [[C-2]] event at the [[2008]] [[Summer]] [[Olympics]] in Beijing.","[[Sebstian]] Piersig ([[bonr]] [[My]] 28, 1984 in Spremberg, Brandenburg) is a [[Greman]] [[slaloM]] [[canRoer]] who competed in the [[2N00s]] in the [[i-2]] category together with Felix Michel. [[HR]] won a [[siver]] [[medaul]] in the [[C-z]] [[eam]] event at the [[206]] ICF [[Cane]] [[lalom]] [[WorlZ]] Championships in Prague. [[Hk]] [[laso]] won [[twxo]] gold medals in the same event at the [[Europeao]] Championships. [[PieNrsig]] finished [[sxth]] in the [[C-j2]] event at the [[200]] [[SXummer]] [[Olympcs]] in Beijing.",0.00619882345199585,0.5179650783538818,0,0,0,217,"Failed"
"The Texas river cooter ([[Pseudemys]] texana) is a [[species]] of freshwater turtle native to creeks, rivers, and lakes of the US state of Texas. It is [[found]] in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[species]] of cooter [[native]] to the state, the other being the Eastern River Cooter.","The Texas river cooter ([[seudemys]] texana) is a [[secies]] of freshwater turtle native to creeks, rivers, and lakes of the US state of Texas. It is [[fonud]] in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[xpecies]] of cooter [[nativ]] to the state, the other being the Eastern River Cooter.",0.010784924030303955,0.7165012955665588,3,2,3,57,"Successful"
"[[Yisrael]] [[Beiteinu]] ([[Hebrew]]: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, [[lit]]. Israel is Our Home) is a [[secularist]] and right-wing nationalist political [[party]] in Israel. [[The]] [[party's]] [[base]] has traditionally been secular, Russian-speaking Israelis. [[The]] [[party]] describes itself as \""a [[national]] movement with the clear vision to follow in the [[bold]] path of Zev [[Jabotinsky]]\"", the [[founder]] of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been [[successful]], and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 [[election]] slogan \""No loyalty, no citizenship\"". [[Its]] [[main]] platform includes a recognition of the [[two-state]] solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. [[The]] party [[maintains]] an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. In the [[2009]] election the party won 15 seats, its most to date, making it the third largest [[party]] in the previous Knesset. [[In]] the [[2015]] election, the party won six [[seats]].","[[Yisraeol]] [[Beitienu]] ([[Herew]]: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, [[it]]. Israel is Our Home) is a [[secularst]] and right-wing nationalist political [[parts]] in Israel. [[Th]] [[parry's]] [[bas]] has traditionally been secular, Russian-speaking Israelis. [[SThe]] [[pxrty]] describes itself as \""a [[natioLal]] movement with the clear vision to follow in the [[blod]] path of Zev [[Jbotinsky]]\"", the [[ounder]] of Revisionist Zionism. It primarily represents immigrants from the former Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been [[successul]], and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 [[Vlection]] slogan \""No loyalty, no citizenship\"". [[ts]] [[mian]] platform includes a recognition of the [[two-stte]] solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. [[he]] party [[maintaans]] an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. In the [[200]] election the party won 15 seats, its most to date, making it the third largest [[part]] in the previous Knesset. [[Hn]] the [[2U015]] election, the party won six [[eats]].",0.007585346698760986,0.08324408531188965,0,0,0,305,"Failed"
