"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'Nonis' is a hybrid cultivar of the genus Neoregelia in the Bromeliad [[family]].","'Nonis' is a hybrid cultivar of the genus Neoregelia in the Bromeliad [[category]].",0.0036951303482055664,0.003786802291870117,3,3,3,50,"Failed"
"The [[Canal]] Latéral à [[la]] Loire was [[constructed]] between 1827 and 1838 to [[connect]] the [[Canal]] [[de]] Briare at Briare and the [[Canal]] du [[Centre]] at Digoin, a [[distance]] of 196 [[km]]. [[It]] [[replaced]] the [[use]] of the River Loire which had [[reliability]] [[problems]] [[arising]] from [[winter]] [[floods]] and summer droughts. [[Aqueducts]] were [[used]] to [[cross]] the River Allier at Le Guétin (in the [[commune]] of Cuffy) and the River Loire at Digoin, but because of the [[extreme]] [[length]] [[required]], [[one]] was not [[built]] to [[cross]] the Loire River at Briare until 1896 when the Briare aqueduct was [[constructed]].","The [[canalize]] Latéral à [[Louisiana]] Loire was [[manufacture]] between 1827 and 1838 to [[associate]] the [[canalize]] [[Delaware]] Briare at Briare and the [[channel]] du [[concentrate]] at Digoin, a [[outdistance]] of 196 [[klick]]. [[IT]] [[exchange]] the [[employment]] of the River Loire which had [[reliableness]] [[job]] [[rebel]] from [[wintertime]] [[alluvion]] and summer droughts. [[aqueduct]] were [[employ]] to [[crossbreed]] the River Allier at Le Guétin (in the [[communicate]] of Cuffy) and the River Loire at Digoin, but because of the [[utmost]] [[duration]] [[demand]], [[matchless]] was not [[make]] to [[crossbreed]] the Loire River at Briare until 1896 when the Briare aqueduct was [[manufacture]].",0.018894970417022705,0.49258971214294434,2,2,2,605,"Failed"
"The 2003 All-Ireland Under-21 [[Hurling]] [[Championship]] [[final]] was a hurling [[match]] that was [[played]] at Semple [[Stadium]], Thurles on [[21]] [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 [[Hurling]] [[Championship]], the 40th season of the All-Ireland Under-21 [[Hurling]] [[Championship]], a [[tournament]] [[organised]] by the [[Gaelic]] Athletic [[Association]] for the [[champion]] [[teams]] of the [[four]] [[provinces]] of [[Ireland]]. The [[final]] was [[contested]] by Kilkenny of Leinster and Galway of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","The 2003 All-Ireland Under-21 [[cast]] [[backup]] [[last]] was a hurling [[rival]] that was [[represent]] at Semple [[bowl]], Thurles on [[XXI]] [[Sept]] 2003 to [[find]] the [[succeeder]] of the 2003 All-Ireland Under-21 [[hurling]] [[backing]], the 40th season of the All-Ireland Under-21 [[thrust]] [[backup]], a [[tourney]] [[unionize]] by the [[Celtic]] Athletic [[connection]] for the [[star]] [[squad]] of the [[quatern]] [[responsibility]] of [[Hibernia]]. The [[net]] was [[contend]] by Kilkenny of Leinster and Galway of Connacht, with Kilkenny [[acquire]] by 2-13 to 0-12.",0.004408836364746094,0.6268947124481201,5,6,5,479,"Successful"
"Les Disques du Crépuscule is an independent [[record]] [[label]] founded in Belgium. The [[label]] was [[founded]] in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent [[book]] [[pronounce]] founded in Belgium. The [[tag]] was [[found]] in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0.0030219554901123047,0.9106682538986206,0,1,0,262,"Successful"
"Giulia Sergas ([[born]] [[26]] [[December]] 1979) is an Italian [[professional]] [[golfer]], [[currently]] [[playing]] on both the LPGA Tour and the [[Ladies]] European Tour.","Giulia Sergas ([[support]] [[XXVI]] [[Dec]] 1979) is an Italian [[pro]] [[linksman]], [[presently]] [[recreate]] on both the LPGA Tour and the [[ma'am]] European Tour.",0.0010709166526794434,0.007523477077484131,0,0,0,187,"Failed"
"Damon Kyle Wayans, [[Sr]]. (/ˈdeɪmən ˈweɪ.ənz/; [[born]] [[September]] [[4]], 1960) is an American [[actor]], [[comedian]], writer and [[producer]], and [[member]] of the Wayans [[family]] of entertainers. Wayans [[performed]] as a [[comedian]] and [[actor]] throughout the [[1980s]], [[including]] a yearlong [[stint]] on the [[sketch]] [[comedy]] [[series]] [[Saturday]] [[Night]] [[Live]], although his [[true]] [[breakthrough]] [[came]] as a co-creator and performer on his own [[sketch]] [[comedy]] [[show]], In [[Living]] Color, from 1990 to 1992. Since then he has [[starred]] in a [[number]] of [[films]] and [[television]] [[shows]], some of which he has co-produced or co-written, [[including]] The [[Last]] Boy [[Scout]] and Major Payne, and the sitcom My Wife and [[Kids]].","Damon Kyle Wayans, [[strontium]]. (/ˈdeɪmən ˈweɪ.ənz/; [[pay]] [[Sept]] [[quartet]], 1960) is an American [[doer]], [[comic]], writer and [[manufacturer]], and [[penis]] of the Wayans [[folk]] of entertainers. Wayans [[perform]] as a [[comic]] and [[doer]] throughout the [[eighties]], [[include]] a yearlong [[stretch]] on the [[survey]] [[drollery]] [[serial]] [[Sat]] [[Nox]] [[unrecorded]], although his [[genuine]] [[find]] [[occur]] as a co-creator and performer on his own [[survey]] [[drollery]] [[demo]], In [[exist]] Color, from 1990 to 1992. Since then he has [[asterisked]] in a [[total]] of [[picture]] and [[video]] [[demo]], some of which he has co-produced or co-written, [[admit]] The [[concluding]] Boy [[reconnoiter]] and Major Payne, and the sitcom My Wife and [[banter]].",0.0011679530143737793,0.0018399357795715332,0,0,0,771,"Failed"
"The Brockville Football [[Club]] was a [[team]] that [[played]] in the QRFU at the [[turn]] of the [[century]]. They had [[great]] success early on in their [[history]]. [[In]] 1899, they [[finished]] in [[first]] [[place]] in the QRFU but [[lost]] to Ottawa College in the Quebec finals. They won the QRFU [[Championship]] in 1900 but [[lost]] in the Dominion [[Final]] to the [[Ottawa]] [[Rough]] [[Riders]].","The Brockville Football [[bludgeon]] was a [[squad]] that [[encounter]] in the QRFU at the [[release]] of the [[100]]. They had [[outstanding]] success early on in their [[story]]. [[inwards]] 1899, they [[finish]] in [[get-go]] [[set]] in the QRFU but [[befuddled]] to Ottawa College in the Quebec finals. They won the QRFU [[backup]] in 1900 but [[missed]] in the Dominion [[net]] to the [[Outaouais]] [[jolting]] [[passenger]].",0.0030153393745422363,0.6004756689071655,0,6,0,516,"Successful"
"The Texas river cooter (Pseudemys texana) is a [[species]] of freshwater [[turtle]] [[native]] to creeks, rivers, and lakes of the US [[state]] of Texas. It is [[found]] in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is [[one]] of two [[species]] of cooter [[native]] to the state, the other being the Eastern River Cooter.","The Texas river cooter (Pseudemys texana) is a [[mintage]] of freshwater [[capsize]] [[aboriginal]] to creeks, rivers, and lakes of the US [[land]] of Texas. It is [[launch]] in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is [[I]] of two [[coinage]] of cooter [[indigene]] to the state, the other being the Eastern River Cooter.",0.003437817096710205,0.7076140642166138,3,2,3,227,"Successful"
"Sebastian Piersig ([[born]] May [[28]], 1984 in Spremberg, Brandenburg) is a German slalom canoer who [[competed]] in the 2000s in the C-2 category together with Felix Michel. [[He]] won a [[silver]] [[medal]] in the C-2 team event at the 2006 ICF Canoe Slalom [[World]] [[Championships]] in [[Prague]]. [[He]] [[also]] won [[two]] [[gold]] [[medals]] in the same event at the European Championships. Piersig finished [[sixth]] in the C-2 event at the 2008 [[Summer]] [[Olympics]] in Beijing.","Sebastian Piersig ([[hold]] May [[twenty-eight]], 1984 in Spremberg, Brandenburg) is a German slalom canoer who [[compete]] in the 2000s in the C-2 category together with Felix Michel. [[helium]] won a [[silver-tongued]] [[ribbon]] in the C-2 team event at the 2006 ICF Canoe Slalom [[worldwide]] [[title]] in [[Prag]]. [[helium]] [[likewise]] won [[2]] [[gilt]] [[ribbon]] in the same event at the European Championships. Piersig finished [[one-sixth]] in the C-2 event at the 2008 [[summertime]] [[Olympiad]] in Beijing.",0.0010624527931213379,0.0011612772941589355,0,0,0,351,"Failed"
"These are the [[results]] of the women's [[individual]] all-around [[competition]], [[one]] of six [[events]] for female [[competitors]] in [[artistic]] gymnastics at the 2000 Summer Olympics in Sydney. The qualification and final rounds [[took]] [[place]] on [[September]] [[17]] and 21 at the Sydney SuperDome. The all-around [[competition]] in the discipline of women's [[artistic]] gymnastics (WAG) was marred by three separate scandals. The vault apparatus was [[set]] incorrectly for more than half of the [[meet]]; consequently many [[gymnasts]] [[fell]] or were injured on the [[event]]. The apparatus was [[adjusted]] during the [[third]] rotation and those gymnasts who had vaulted on the incorrectly [[set]] equipment were invited to re-do the [[event]] at the end of the competition. Notably, Svetlana Khorkina, who [[led]] [[champion]] Andreea Răducan by [[nearly]] 0.3 in qualifications, was thrown out of medal contention [[due]] to the wrongly measured vault. Additionally, world all-around [[silver]] medalist Viktoria Karpenko, who led the competition until the last rotation, was thrown from first place after she stubbed her toe, tripped, and fell out of bounds on her floor exercise. These are testaments to the [[upset]] of the entire competition. Finally, though not necessarily a favorite for an all-around medal, Dong Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her results from the competition - including her all-around results - were cancelled.","These are the [[lead]] of the women's [[private]] all-around [[competitor]], [[ace]] of six [[upshot]] for female [[contender]] in [[aesthetic]] gymnastics at the 2000 Summer Olympics in Sydney. The qualification and final rounds [[withdraw]] [[berth]] on [[Sep]] [[seventeen]] and 21 at the Sydney SuperDome. The all-around [[contender]] in the discipline of women's [[aesthetic]] gymnastics (WAG) was marred by three separate scandals. The vault apparatus was [[band]] incorrectly for more than half of the [[play]]; consequently many [[gymnast]] [[savage]] or were injured on the [[case]]. The apparatus was [[adapt]] during the [[tertiary]] rotation and those gymnasts who had vaulted on the incorrectly [[band]] equipment were invited to re-do the [[issue]] at the end of the competition. Notably, Svetlana Khorkina, who [[lead]] [[protagonist]] Andreea Răducan by [[intimately]] 0.3 in qualifications, was thrown out of medal contention [[imputable]] to the wrongly measured vault. Additionally, world all-around [[silvery]] medalist Viktoria Karpenko, who led the competition until the last rotation, was thrown from first place after she stubbed her toe, tripped, and fell out of bounds on her floor exercise. These are testaments to the [[overthrow]] of the entire competition. Finally, though not necessarily a favorite for an all-around medal, Dong Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her results from the competition - including her all-around results - were cancelled.",0.004612386226654053,0.519986629486084,5,0,5,1637,"Successful"
