"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'Nonis' is a [[hybrid]] cultivar of the genus Neoregelia in the Bromeliad family.","'Nonis' is a [[loan-blend]] cultivar of the genus Neoregelia in the Bromeliad family.",0.0015764236450195312,0.0019069314002990723,3,3,3,50,"Failed"
"The [[Canal]] Latéral à [[la]] Loire was [[constructed]] between 1827 and 1838 to [[connect]] the Canal [[de]] Briare at Briare and the Canal du [[Centre]] at Digoin, a distance of 196 km. [[It]] [[replaced]] the [[use]] of the River Loire which had reliability problems [[arising]] from winter [[floods]] and summer [[droughts]]. [[Aqueducts]] were [[used]] to [[cross]] the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the [[extreme]] [[length]] [[required]], [[one]] was not [[built]] to [[cross]] the Loire River at Briare until 1896 when the Briare aqueduct was [[constructed]].","The [[duct]] Latéral à [[Louisiana]] Loire was [[retrace]] between 1827 and 1838 to [[colligate]] the Canal [[Delaware]] Briare at Briare and the Canal du [[substance]] at Digoin, a distance of 196 km. [[IT]] [[supplant]] the [[practice]] of the River Loire which had reliability problems [[arise]] from winter [[swamp]] and summer [[drouth]]. [[aqueduct]] were [[expend]] to [[crossbreed]] the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the [[extremum]] [[duration]] [[requisite]], [[matchless]] was not [[construct]] to [[interbreed]] the Loire River at Briare until 1896 when the Briare aqueduct was [[retrace]].",0.009081721305847168,0.5480393171310425,2,5,2,605,"Successful"
"The 2003 All-Ireland Under-21 [[Hurling]] Championship [[final]] was a [[hurling]] [[match]] that was [[played]] at Semple Stadium, Thurles on [[21]] [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 [[Hurling]] Championship, the 40th season of the All-Ireland Under-21 [[Hurling]] Championship, a tournament [[organised]] by the Gaelic Athletic [[Association]] for the [[champion]] teams of the [[four]] [[provinces]] of Ireland. The [[final]] was [[contested]] by Kilkenny of Leinster and Galway of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","The 2003 All-Ireland Under-21 [[lunge]] Championship [[last]] was a [[cast]] [[tally]] that was [[flirt]] at Semple Stadium, Thurles on [[twenty-one]] [[Sept]] 2003 to [[limit]] the [[succeeder]] of the 2003 All-Ireland Under-21 [[thrust]] Championship, the 40th season of the All-Ireland Under-21 [[hurl]] Championship, a tournament [[unionized]] by the Gaelic Athletic [[tie]] for the [[sensation]] teams of the [[4]] [[province]] of Ireland. The [[last]] was [[contend]] by Kilkenny of Leinster and Galway of Connacht, with Kilkenny [[advance]] by 2-13 to 0-12.",0.0027701258659362793,0.037445247173309326,5,5,5,485,"Failed"
"Les Disques du Crépuscule is an [[independent]] [[record]] [[label]] [[founded]] in Belgium. The label was [[founded]] in 1980 by Michel Duval and Annik Honoré. It [[also]] had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an [[free-lance]] [[book]] [[mark]] [[establish]] in Belgium. The label was [[found]] in 1980 by Michel Duval and Annik Honoré. It [[besides]] had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0.002960026264190674,0.5793685913085938,0,1,0,278,"Successful"
"Giulia Sergas ([[born]] [[26]] [[December]] 1979) is an Italian [[professional]] [[golfer]], currently [[playing]] on both the LPGA Tour and the [[Ladies]] European [[Tour]].","Giulia Sergas ([[support]] [[twenty-six]] [[Dec]] 1979) is an Italian [[master]] [[linksman]], currently [[performing]] on both the LPGA Tour and the [[madam]] European [[go]].",0.0013827085494995117,0.004246115684509277,0,0,0,187,"Failed"
"Damon Kyle Wayans, [[Sr]]. (/ˈdeɪmən ˈweɪ.ənz/; [[born]] [[September]] [[4]], 1960) is an American [[actor]], [[comedian]], writer and [[producer]], and [[member]] of the Wayans [[family]] of entertainers. Wayans [[performed]] as a [[comedian]] and [[actor]] throughout the [[1980s]], [[including]] a yearlong [[stint]] on the [[sketch]] [[comedy]] [[series]] [[Saturday]] [[Night]] [[Live]], although his [[true]] breakthrough [[came]] as a co-creator and performer on his own [[sketch]] [[comedy]] [[show]], [[In]] [[Living]] [[Color]], from 1990 to 1992. Since then he has [[starred]] in a number of [[films]] and [[television]] [[shows]], some of which he has co-produced or co-written, [[including]] The [[Last]] [[Boy]] [[Scout]] and Major Payne, and the sitcom My Wife and Kids.","Damon Kyle Wayans, [[steradian]]. (/ˈdeɪmən ˈweɪ.ənz/; [[pay]] [[Sept]] [[quadruplet]], 1960) is an American [[worker]], [[comic]], writer and [[manufacturer]], and [[appendage]] of the Wayans [[kinsfolk]] of entertainers. Wayans [[execute]] as a [[comic]] and [[histrion]] throughout the [[eighties]], [[include]] a yearlong [[stretch]] on the [[vignette]] [[drollery]] [[serial]] [[Sat]] [[nighttime]] [[exist]], although his [[dependable]] breakthrough [[derive]] as a co-creator and performer on his own [[cartoon]] [[funniness]] [[record]], [[Indiana]] [[survive]] [[vividness]], from 1990 to 1992. Since then he has [[asterisk]] in a number of [[picture]] and [[video]] [[exhibit]], some of which he has co-produced or co-written, [[include]] The [[conclusion]] [[son]] [[sentinel]] and Major Payne, and the sitcom My Wife and Kids.",0.0027979612350463867,0.026012659072875977,0,0,0,771,"Failed"
"The Brockville Football Club was a team that played in the QRFU at the turn of the century. They had great success early on in their history. [[In]] 1899, they finished in first [[place]] in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU [[Championship]] in 1900 but lost in the Dominion Final to the Ottawa Rough [[Riders]].","The Brockville Football Club was a team that played in the QRFU at the turn of the century. They had great success early on in their history. [[Indiana]] 1899, they finished in first [[property]] in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU [[backup]] in 1900 but lost in the Dominion Final to the Ottawa Rough [[passenger]].",0.206393301486969,0.5166531801223755,0,6,0,335,"Successful"
"Sebastian Piersig (born May 28, 1984 in Spremberg, Brandenburg) is a German slalom canoer who [[competed]] in the 2000s in the C-2 [[category]] together with Felix Michel. [[He]] won a [[silver]] medal in the C-2 team [[event]] at the 2006 ICF Canoe Slalom [[World]] [[Championships]] in Prague. [[He]] [[also]] won [[two]] [[gold]] [[medals]] in the same event at the European [[Championships]]. Piersig finished [[sixth]] in the C-2 [[event]] at the 2008 [[Summer]] Olympics in [[Beijing]].","Sebastian Piersig (born May 28, 1984 in Spremberg, Brandenburg) is a German slalom canoer who [[vie]] in the 2000s in the C-2 [[family]] together with Felix Michel. [[helium]] won a [[flatware]] medal in the C-2 team [[consequence]] at the 2006 ICF Canoe Slalom [[macrocosm]] [[patronage]] in Prague. [[helium]] [[besides]] won [[2]] [[amber]] [[medal]] in the same event at the European [[title]]. Piersig finished [[6th]] in the C-2 [[outcome]] at the 2008 [[summertime]] Olympics in [[Peking]].",0.0010675787925720215,0.0014440417289733887,0,0,0,351,"Failed"
"The [[Texas]] river cooter (Pseudemys texana) is a [[species]] of freshwater [[turtle]] [[native]] to [[creeks]], [[rivers]], and [[lakes]] of the [[US]] [[state]] of [[Texas]]. It is [[found]] in the river [[basins]] of the [[Colorado]], Brazos, Guadalupe, and San Antonio [[Rivers]]. It is [[one]] of [[two]] [[species]] of cooter [[native]] to the [[state]], the other being the [[Eastern]] River Cooter.","The [[TX]] river cooter (Pseudemys texana) is a [[mintage]] of freshwater [[capsize]] [[aborigine]] to [[Creek]], [[river]], and [[lake]] of the [[uracil]] [[land]] of [[TX]]. It is [[constitute]] in the river [[watershed]] of the [[CO]], Brazos, Guadalupe, and San Antonio [[river]]. It is [[unity]] of [[deuce]] [[coinage]] of cooter [[aboriginal]] to the [[nation]], the other being the [[easterly]] River Cooter.",0.0009936690330505371,0.9257326722145081,3,2,3,271,"Successful"
"Hong Kong [[Tramways]] (Chinese: 香港電車) is a [[tram]] [[system]] in Hong Kong and one of the earliest [[forms]] of public [[transport]] in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong [[ropeway]] (Chinese: 香港電車) is a [[ropeway]] [[arrangement]] in Hong Kong and one of the earliest [[mannequin]] of public [[enrapture]] in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0.022473692893981934,0.5770801305770874,0,2,0,843,"Successful"
