"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'Nonis' is a hybrid cultivar of the genus Neoregelia in the Bromeliad [[family]].","'Nonis' is a hybrid cultivar of the genus Neoregelia in the Bromeliad [[kinsperson]].",0.001828312873840332,0.0018616914749145508,3,3,3,50,"Failed"
"The [[Canal]] Latéral à [[la]] Loire was [[constructed]] between 1827 and 1838 to [[connect]] the [[Canal]] de Briare at Briare and the Canal du Centre at Digoin, a [[distance]] of 196 [[km]]. [[It]] [[replaced]] the [[use]] of the [[River]] Loire which had [[reliability]] [[problems]] [[arising]] from [[winter]] [[floods]] and [[summer]] [[droughts]]. [[Aqueducts]] were [[used]] to [[cross]] the [[River]] Allier at Le Guétin (in the [[commune]] of Cuffy) and the [[River]] Loire at Digoin, but because of the [[extreme]] [[length]] [[required]], [[one]] was not [[built]] to [[cross]] the Loire [[River]] at Briare until 1896 when the Briare aqueduct was [[constructed]].","The [[canalize]] Latéral à [[LA]] Loire was [[fabricate]] between 1827 and 1838 to [[colligate]] the [[canalise]] de Briare at Briare and the Canal du Centre at Digoin, a [[aloofness]] of 196 [[klick]]. [[IT]] [[exchange]] the [[practice]] of the [[river]] Loire which had [[dependableness]] [[trouble]] [[develop]] from [[wintertime]] [[glut]] and [[summertime]] [[drought]]. [[aqueduct]] were [[exploited]] to [[thwart]] the [[river]] Allier at Le Guétin (in the [[communicate]] of Cuffy) and the [[river]] Loire at Digoin, but because of the [[uttermost]] [[distance]] [[command]], [[nonpareil]] was not [[construct]] to [[crabbed]] the Loire [[river]] at Briare until 1896 when the Briare aqueduct was [[reconstruct]].",0.009860754013061523,0.11353421211242676,2,2,2,605,"Failed"
"Les Disques du Crépuscule is an [[independent]] [[record]] [[label]] [[founded]] in Belgium. The [[label]] was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an [[main]] [[show]] [[pronounce]] [[establish]] in Belgium. The [[judge]] was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0.0014805197715759277,0.8900352120399475,0,1,0,271,"Successful"
"The 2003 All-Ireland Under-21 [[Hurling]] Championship [[final]] was a hurling [[match]] that was [[played]] at Semple [[Stadium]], Thurles on 21 September 2003 to determine the [[winners]] of the 2003 All-Ireland Under-21 Hurling Championship, the 40th [[season]] of the All-Ireland Under-21 [[Hurling]] Championship, a tournament [[organised]] by the Gaelic Athletic Association for the [[champion]] [[teams]] of the [[four]] provinces of Ireland. The [[final]] was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","The 2003 All-Ireland Under-21 [[hurling]] Championship [[last]] was a hurling [[pair]] that was [[roleplay]] at Semple [[bowl]], Thurles on 21 September 2003 to determine the [[succeeder]] of the 2003 All-Ireland Under-21 Hurling Championship, the 40th [[flavour]] of the All-Ireland Under-21 [[hurling]] Championship, a tournament [[form]] by the Gaelic Athletic Association for the [[defend]] [[squad]] of the [[quaternary]] provinces of Ireland. The [[last]] was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny [[succeed]] by 2-13 to 0-12.",0.0027333498001098633,0.6798380613327026,5,0,5,416,"Successful"
"The Brockville Football [[Club]] was a team that [[played]] in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The Brockville Football [[nightspot]] was a team that [[wager]] in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0.0017680525779724121,0.9261415600776672,0,2,0,317,"Successful"
"Giulia Sergas (born [[26]] December 1979) is an Italian professional golfer, [[currently]] [[playing]] on both the LPGA [[Tour]] and the [[Ladies]] European Tour.","Giulia Sergas (born [[xxvi]] December 1979) is an Italian professional golfer, [[presently]] [[playact]] on both the LPGA [[spell]] and the [[noblewoman]] European Tour.",0.0008141398429870605,0.0008237957954406738,0,0,0,187,"Failed"
"Damon Kyle Wayans, [[Sr]]. (/ˈdeɪmən ˈweɪ.ənz/; [[born]] [[September]] [[4]], 1960) is an American [[actor]], [[comedian]], writer and [[producer]], and [[member]] of the Wayans [[family]] of entertainers. Wayans [[performed]] as a [[comedian]] and [[actor]] throughout the 1980s, including a yearlong [[stint]] on the [[sketch]] comedy series [[Saturday]] [[Night]] [[Live]], although his true breakthrough [[came]] as a co-creator and performer on his own [[sketch]] [[comedy]] [[show]], [[In]] [[Living]] [[Color]], from 1990 to 1992. Since then he has [[starred]] in a [[number]] of films and [[television]] [[shows]], some of which he has co-produced or co-written, [[including]] The [[Last]] [[Boy]] [[Scout]] and [[Major]] Payne, and the sitcom My [[Wife]] and [[Kids]].","Damon Kyle Wayans, [[sr]]. (/ˈdeɪmən ˈweɪ.ənz/; [[comport]] [[Sep]] [[quartet]], 1960) is an American [[player]], [[comic]], writer and [[manufacturer]], and [[penis]] of the Wayans [[fellowship]] of entertainers. Wayans [[perform]] as a [[comic]] and [[doer]] throughout the 1980s, including a yearlong [[scant]] on the [[survey]] comedy series [[Sabbatum]] [[dark]] [[lively]], although his true breakthrough [[fare]] as a co-creator and performer on his own [[cartoon]] [[funniness]] [[shew]], [[inward]] [[animation]] [[colorize]], from 1990 to 1992. Since then he has [[asterisked]] in a [[list]] of films and [[telly]] [[shew]], some of which he has co-produced or co-written, [[include]] The [[conclusion]] [[son]] [[scout]] and [[major]] Payne, and the sitcom My [[wife]] and [[kid]].",0.0008731484413146973,0.0012329816818237305,0,0,0,771,"Failed"
"Sebastian Piersig ([[born]] [[May]] [[28]], 1984 in Spremberg, Brandenburg) is a German slalom canoer who [[competed]] in the 2000s in the C-2 category [[together]] with Felix Michel. He won a [[silver]] [[medal]] in the C-2 team [[event]] at the 2006 ICF Canoe [[Slalom]] [[World]] [[Championships]] in [[Prague]]. He [[also]] won [[two]] [[gold]] [[medals]] in the same event at the European [[Championships]]. Piersig [[finished]] [[sixth]] in the C-2 event at the 2008 [[Summer]] [[Olympics]] in [[Beijing]].","Sebastian Piersig ([[acquit]] [[whitethorn]] [[XXVIII]], 1984 in Spremberg, Brandenburg) is a German slalom canoer who [[contend]] in the 2000s in the C-2 category [[unitedly]] with Felix Michel. He won a [[smooth-spoken]] [[medallion]] in the C-2 team [[outcome]] at the 2006 ICF Canoe [[slalom]] [[humanity]] [[backing]] in [[Praha]]. He [[too]] won [[deuce]] [[aureate]] [[medallion]] in the same event at the European [[patronage]]. Piersig [[complete]] [[one-sixth]] in the C-2 event at the 2008 [[summertime]] [[Olympiad]] in [[Peiping]].",0.0008268952369689941,0.000940859317779541,0,0,0,351,"Failed"
"The [[Texas]] river cooter (Pseudemys texana) is a [[species]] of freshwater [[turtle]] [[native]] to [[creeks]], [[rivers]], and [[lakes]] of the [[US]] [[state]] of [[Texas]]. [[It]] is [[found]] in the river [[basins]] of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is [[one]] of [[two]] [[species]] of cooter [[native]] to the [[state]], the other being the [[Eastern]] [[River]] [[Cooter]].","The [[TX]] river cooter (Pseudemys texana) is a [[specie]] of freshwater [[turtleneck]] [[aborigine]] to [[brook]], [[river]], and [[lake]] of the [[America]] [[submit]] of [[TX]]. [[IT]] is [[plant]] in the river [[lavatory]] of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is [[matchless]] of [[ii]] [[coinage]] of cooter [[aborigine]] to the [[submit]], the other being the [[eastern]] [[river]] [[cooter]].",0.0016634464263916016,0.0017510652542114258,3,3,3,271,"Failed"
"Hong Kong [[Tramways]] (Chinese: 香港電車) is a [[tram]] [[system]] in Hong Kong and one of the earliest forms of public [[transport]] in the metropolis. Owned and operated by Veolia Transport RATP Asia, the [[tramway]] [[runs]] on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong [[ropeway]] (Chinese: 香港電車) is a [[ropeway]] [[scheme]] in Hong Kong and one of the earliest forms of public [[ravish]] in the metropolis. Owned and operated by Veolia Transport RATP Asia, the [[ropeway]] [[footrace]] on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0.007892429828643799,0.6266819834709167,0,2,0,911,"Successful"
