"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'Nonis' is a [[hybrid]] cultivar of the [[genus]] Neoregelia in the Bromeliad [[family]].","'Nonis' is a [[blends]] cultivar of the [[varieties]] Neoregelia in the Bromeliad [[domicile]].",5.6624412536621094e-05,0.00012004375457763672,3,3,3,75,"Failed"
"The [[Canal]] Latéral [[à]] la Loire was [[constructed]] between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du Centre at Digoin, a distance of 196 km. It replaced the use of the River Loire which had reliability problems arising from winter floods and summer droughts. Aqueducts were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not built to cross the Loire River at Briare until 1896 when the Briare aqueduct was constructed.","The [[Canals]] Latéral [[quand]] la Loire was [[building]] between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du Centre at Digoin, a distance of 196 km. It replaced the use of the River Loire which had reliability problems arising from winter floods and summer droughts. Aqueducts were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not built to cross the Loire River at Briare until 1896 when the Briare aqueduct was constructed.",0.04437696933746338,0.6903485059738159,2,5,2,155,"Successful"
"Les Disques du Crépuscule is an independent record [[label]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent record [[labeled]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0.02597832679748535,0.610471248626709,0,1,0,89,"Successful"
"The 2003 All-Ireland Under-21 [[Hurling]] Championship [[final]] was a hurling [[match]] that was [[played]] at [[Semple]] [[Stadium]], Thurles on 21 [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 Hurling [[Championship]], the 40th [[season]] of the All-Ireland Under-21 [[Hurling]] Championship, a [[tournament]] [[organised]] by the [[Gaelic]] [[Athletic]] [[Association]] for the [[champion]] [[teams]] of the [[four]] [[provinces]] of [[Ireland]]. The [[final]] was [[contested]] by Kilkenny of Leinster and Galway of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","The 2003 All-Ireland Under-21 [[Flung]] Championship [[last]] was a hurling [[showdown]] that was [[implemented]] at [[Mcpherson]] [[Stages]], Thurles on 21 [[Janeiro]] 2003 to [[stipulates]] the [[wins]] of the 2003 All-Ireland Under-21 Hurling [[Featuring]], the 40th [[seasons]] of the All-Ireland Under-21 [[Grabbing]] Championship, a [[competition]] [[structure]] by the [[Scottish]] [[Recreational]] [[Combination]] for the [[defender]] [[squad]] of the [[three]] [[townships]] of [[Northern]]. The [[recent]] was [[competing]] by Kilkenny of Leinster and Galway of Connacht, with Kilkenny [[defeating]] by 2-13 to 0-12.",0.0015753507614135742,0.5203826427459717,5,0,5,601,"Successful"
"[[Damon]] [[Kyle]] Wayans, [[Sr]]. (/ˈdeɪmən ˈweɪ.ənz/; [[born]] [[September]] 4, 1960) is an [[American]] [[actor]], comedian, [[writer]] and [[producer]], and [[member]] of the Wayans [[family]] of [[entertainers]]. Wayans [[performed]] as a [[comedian]] and [[actor]] throughout the 1980s, [[including]] a yearlong stint on the sketch comedy [[series]] [[Saturday]] [[Night]] [[Live]], although his true breakthrough [[came]] as a co-creator and performer on his own [[sketch]] comedy [[show]], In [[Living]] Color, from 1990 to 1992. Since then he has [[starred]] in a [[number]] of films and television shows, some of which he has co-produced or co-written, including The [[Last]] [[Boy]] Scout and [[Major]] Payne, and the [[sitcom]] My Wife and [[Kids]].","[[Wes]] [[Richardson]] Wayans, [[Rt]]. (/ˈdeɪmən ˈweɪ.ənz/; [[welding]] [[Seven]] 4, 1960) is an [[Latin]] [[protagonist]], comedian, [[scriptwriter]] and [[makers]], and [[commissars]] of the Wayans [[parenting]] of [[virtuoso]]. Wayans [[proceeded]] as a [[comical]] and [[actresses]] throughout the 1980s, [[composing]] a yearlong stint on the sketch comedy [[periodicals]] [[Sat]] [[Soiree]] [[Resided]], although his true breakthrough [[inlet]] as a co-creator and performer on his own [[expound]] comedy [[depicts]], In [[Perpetuity]] Color, from 1990 to 1992. Since then he has [[comedies]] in a [[instalment]] of films and television shows, some of which he has co-produced or co-written, including The [[Elapsed]] [[Copulate]] Scout and [[Prodigious]] Payne, and the [[caricatures]] My Wife and [[Adolescents]].",0.000638425350189209,0.5221090316772461,0,1,0,957,"Successful"
"[[Giulia]] Sergas ([[born]] 26 December 1979) is an [[Italian]] professional golfer, [[currently]] [[playing]] on both the LPGA Tour and the Ladies European [[Tour]].","[[Phoenicia]] Sergas ([[births]] 26 December 1979) is an [[Ltalian]] professional golfer, [[recently]] [[breeding]] on both the LPGA Tour and the Ladies European [[Walk]].",0.00031507015228271484,0.6331839561462402,0,3,0,135,"Successful"
"[[The]] Brockville Football [[Club]] was a [[team]] that [[played]] in the QRFU at the turn of the century. They [[had]] great [[success]] early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","[[Both]] Brockville Football [[Clubs]] was a [[accoutrements]] that [[fact]] in the QRFU at the turn of the century. They [[haya]] great [[succeeds]] early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0.004273056983947754,0.7752084732055664,0,6,0,141,"Successful"
"[[Sebastian]] Piersig ([[born]] [[May]] 28, 1984 in Spremberg, Brandenburg) is a [[German]] [[slalom]] canoer who [[competed]] in the 2000s in the C-2 [[category]] [[together]] with [[Felix]] [[Michel]]. [[He]] won a [[silver]] [[medal]] in the C-2 [[team]] [[event]] at the 2006 ICF Canoe [[Slalom]] World [[Championships]] in [[Prague]]. [[He]] also won [[two]] [[gold]] medals in the same event at the European [[Championships]]. Piersig finished sixth in the C-2 [[event]] at the 2008 [[Summer]] Olympics in [[Beijing]].","[[Fabian]] Piersig ([[arisen]] [[Maj]] 28, 1984 in Spremberg, Brandenburg) is a [[Hessian]] [[bobsled]] canoer who [[excelled]] in the 2000s in the C-2 [[genre]] [[jointly]] with [[Salome]] [[Mischa]]. [[It]] won a [[silvery]] [[trimmings]] in the C-2 [[remit]] [[occasion]] at the 2006 ICF Canoe [[Skate]] World [[Trophy]] in [[Cracow]]. [[It]] also won [[three]] [[dorado]] medals in the same event at the European [[Trophy]]. Piersig finished sixth in the C-2 [[appearances]] at the 2008 [[Hsia]] Olympics in [[Richland]].",0.0003012418746948242,0.5044352412223816,0,3,0,454,"Successful"
"These are the results of the women's individual all-around competition, one of six [[events]] for female competitors in artistic [[gymnastics]] at the 2000 Summer Olympics in Sydney. The [[qualification]] and [[final]] [[rounds]] took [[place]] on September 17 and 21 at the Sydney SuperDome. The all-around competition in the [[discipline]] of women's artistic [[gymnastics]] ([[WAG]]) was marred by [[three]] [[separate]] scandals. [[The]] vault apparatus was [[set]] [[incorrectly]] for more than half of the [[meet]]; consequently [[many]] [[gymnasts]] [[fell]] or were [[injured]] on the [[event]]. The [[apparatus]] was adjusted during the [[third]] rotation and those [[gymnasts]] who [[had]] vaulted on the incorrectly set equipment were invited to re-do the [[event]] at the [[end]] of the [[competition]]. [[Notably]], Svetlana Khorkina, who led champion Andreea Răducan by [[nearly]] 0.3 in qualifications, was thrown out of [[medal]] [[contention]] due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who led the [[competition]] until the last rotation, was thrown from first [[place]] after she stubbed her toe, tripped, and fell out of bounds on her floor [[exercise]]. These are [[testaments]] to the [[upset]] of the entire competition. Finally, though not necessarily a favorite for an all-around medal, [[Dong]] Fangxiao was [[found]] in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her results from the competition - [[including]] her all-around results - were cancelled.","These are the results of the women's individual all-around competition, one of six [[protesting]] for female competitors in artistic [[handball]] at the 2000 Summer Olympics in Sydney. The [[rankings]] and [[eventual]] [[bursts]] took [[placements]] on September 17 and 21 at the Sydney SuperDome. The all-around competition in the [[penalized]] of women's artistic [[volleyball]] ([[AGITATE]]) was marred by [[two]] [[disconnected]] scandals. [[Both]] vault apparatus was [[games]] [[overly]] for more than half of the [[accomplishing]]; consequently [[plenty]] [[rowers]] [[slumps]] or were [[hits]] on the [[occurrences]]. The [[mechanically]] was adjusted during the [[thirdly]] rotation and those [[weightlifting]] who [[were]] vaulted on the incorrectly set equipment were invited to re-do the [[appearances]] at the [[completes]] of the [[vying]]. [[Explicitly]], Svetlana Khorkina, who led champion Andreea Răducan by [[beside]] 0.3 in qualifications, was thrown out of [[ornate]] [[reasoning]] due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who led the [[feuds]] until the last rotation, was thrown from first [[placement]] after she stubbed her toe, tripped, and fell out of bounds on her floor [[enjoyment]]. These are [[wills]] to the [[pissed]] of the entire competition. Finally, though not necessarily a favorite for an all-around medal, [[Isamu]] Fangxiao was [[finding]] in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her results from the competition - [[composing]] her all-around results - were cancelled.",0.0029372572898864746,0.5688694715499878,5,0,5,1082,"Successful"
"The [[Texas]] [[river]] cooter (Pseudemys texana) is a [[species]] of freshwater [[turtle]] [[native]] to [[creeks]], [[rivers]], and [[lakes]] of the [[US]] [[state]] of [[Texas]]. [[It]] is [[found]] in the [[river]] [[basins]] of the [[Colorado]], Brazos, [[Guadalupe]], and [[San]] [[Antonio]] [[Rivers]]. [[It]] is one of two [[species]] of cooter [[native]] to the [[state]], the other being the [[Eastern]] [[River]] Cooter.","The [[Frisco]] [[riverbank]] cooter (Pseudemys texana) is a [[sort]] of freshwater [[tortoise]] [[original]] to [[streaming]], [[flows]], and [[lago]] of the [[AMERICAN]] [[nation]] of [[Wichita]]. [[He]] is [[discovers]] in the [[stream]] [[puddles]] of the [[Durango]], Brazos, [[Hidalgo]], and [[Tomo]] [[Mendez]] [[Waterways]]. [[He]] is one of two [[genres]] of cooter [[aboriginal]] to the [[country]], the other being the [[Shoal]] [[Water]] Cooter.",5.316734313964844e-05,0.0005943775177001953,3,3,3,488,"Failed"
