"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'Nonis' is a [[hybrid]] cultivar of the genus Neoregelia in the Bromeliad [[family]].","'Nonis' is a [[blends]] cultivar of the genus Neoregelia in the Bromeliad [[parents]].",0.0015764236450195312,0.0019528865814208984,3,3,3,75,"Failed"
"[[The]] Canal Latéral [[à]] [[la]] Loire was [[constructed]] between 1827 and 1838 to [[connect]] the [[Canal]] de Briare at Briare and the [[Canal]] [[du]] [[Centre]] at Digoin, a [[distance]] of 196 km. [[It]] replaced the use of the [[River]] Loire which [[had]] [[reliability]] [[problems]] arising from [[winter]] [[floods]] and [[summer]] [[droughts]]. Aqueducts were used to cross the [[River]] Allier at [[Le]] Guétin (in the [[commune]] of Cuffy) and the [[River]] Loire at Digoin, but [[because]] of the [[extreme]] [[length]] required, one was not [[built]] to cross the Loire [[River]] at Briare until 1896 when the Briare aqueduct was [[constructed]].","[[Both]] Canal Latéral [[pour]] [[du]] Loire was [[created]] between 1827 and 1838 to [[liaison]] the [[Canals]] de Briare at Briare and the [[Canals]] [[pour]] [[Establishments]] at Digoin, a [[distances]] of 196 km. [[He]] replaced the use of the [[Waterways]] Loire which [[took]] [[certainty]] [[questions]] arising from [[summers]] [[tsunami]] and [[ronald]] [[dried]]. Aqueducts were used to cross the [[Aqueduct]] Allier at [[Lai]] Guétin (in the [[commons]] of Cuffy) and the [[Waterways]] Loire at Digoin, but [[for]] of the [[gargantuan]] [[timetables]] required, one was not [[capitalize]] to cross the Loire [[Waterways]] at Briare until 1896 when the Briare aqueduct was [[capitalize]].",0.009081721305847168,0.5767223238945007,2,0,2,711,"Successful"
"Les Disques du Crépuscule is an independent record [[label]] founded in Belgium. The label was [[founded]] in 1980 by Michel Duval and Annik Honoré. [[It]] also [[had]] a [[prominent]] [[associated]] sublabel, [[Factory]] Benelux. [[Both]] are now run by former [[employee]] [[James]] [[Nice]]. \""Crépuscule\"" [[translates]] as \""twilight\"", with most of the label's catalogue [[numbers]] being prefixed by the [[letters]] TWI.","Les Disques du Crépuscule is an independent record [[labeled]] founded in Belgium. The label was [[found]] in 1980 by Michel Duval and Annik Honoré. [[His]] also [[received]] a [[conspicuous]] [[bound]] sublabel, [[Flora]] Benelux. [[Unless]] are now run by former [[officers]] [[Jacques]] [[Lovable]]. \""Crépuscule\"" [[corresponds]] as \""twilight\"", with most of the label's catalogue [[volumes]] being prefixed by the [[nature]] TWI.",0.002960026264190674,0.665756344795227,0,1,0,458,"Successful"
"[[The]] 2003 All-Ireland Under-21 [[Hurling]] [[Championship]] [[final]] was a [[hurling]] [[match]] that was [[played]] at [[Semple]] [[Stadium]], Thurles on 21 [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 [[Hurling]] Championship, the 40th season of the All-Ireland Under-21 [[Hurling]] Championship, a [[tournament]] [[organised]] by the [[Gaelic]] [[Athletic]] [[Association]] for the [[champion]] [[teams]] of the [[four]] [[provinces]] of [[Ireland]]. The [[final]] was [[contested]] by Kilkenny of Leinster and [[Galway]] of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","[[Both]] 2003 All-Ireland Under-21 [[Throwing]] [[Champions]] [[last]] was a [[flung]] [[paired]] that was [[implemented]] at [[Mcpherson]] [[Stage]], Thurles on 21 [[Jan]] 2003 to [[determining]] the [[winning]] of the 2003 All-Ireland Under-21 [[Tossing]] Championship, the 40th season of the All-Ireland Under-21 [[Hurl]] Championship, a [[championship]] [[organizing]] by the [[Scottish]] [[Jock]] [[League]] for the [[defends]] [[appliances]] of the [[three]] [[province]] of [[Donegal]]. The [[last]] was [[competing]] by Kilkenny of Leinster and [[Donegal]] of Connacht, with Kilkenny [[clinched]] by 2-13 to 0-12.",0.0027701258659362793,0.33688730001449585,5,5,5,620,"Failed"
"[[Damon]] [[Kyle]] Wayans, [[Sr]]. (/ˈdeɪmən ˈweɪ.ənz/; [[born]] September 4, 1960) is an [[American]] [[actor]], [[comedian]], [[writer]] and [[producer]], and [[member]] of the Wayans [[family]] of [[entertainers]]. Wayans [[performed]] as a [[comedian]] and [[actor]] throughout the 1980s, [[including]] a yearlong stint on the [[sketch]] [[comedy]] [[series]] [[Saturday]] Night Live, although his [[true]] [[breakthrough]] [[came]] as a co-creator and [[performer]] on his [[own]] [[sketch]] [[comedy]] [[show]], [[In]] Living [[Color]], from 1990 to 1992. Since then he [[has]] [[starred]] in a [[number]] of [[films]] and [[television]] [[shows]], some of which he [[has]] co-produced or co-written, [[including]] The [[Last]] [[Boy]] [[Scout]] and [[Major]] Payne, and the [[sitcom]] [[My]] [[Wife]] and [[Kids]].","[[Dustin]] [[Kevin]] Wayans, [[Kan]]. (/ˈdeɪmən ˈweɪ.ənz/; [[births]] September 4, 1960) is an [[Latin]] [[songwriter]], [[satirical]], [[publisher]] and [[breeders]], and [[fellow]] of the Wayans [[households]] of [[songbird]]. Wayans [[fact]] as a [[humorous]] and [[protagonists]] throughout the 1980s, [[contains]] a yearlong stint on the [[depiction]] [[joking]] [[periodicals]] [[Yesterday]] Night Live, although his [[valid]] [[progress]] [[reached]] as a co-creator and [[concerts]] on his [[individual]] [[outline]] [[cartoon]] [[displayed]], [[About]] Living [[Dye]], from 1990 to 1992. Since then he [[ha]] [[connery]] in a [[volume]] of [[cinematographer]] and [[regis]] [[exemplifies]], some of which he [[possesses]] co-produced or co-written, [[composing]] The [[Previous]] [[Males]] [[Browser]] and [[Hefty]] Payne, and the [[melodrama]] [[Mona]] [[Female]] and [[Youth]].",0.0027979612350463867,0.5071703195571899,0,1,0,1451,"Successful"
"[[Giulia]] Sergas ([[born]] 26 [[December]] 1979) is an [[Italian]] [[professional]] [[golfer]], [[currently]] [[playing]] on both the LPGA Tour and the [[Ladies]] [[European]] Tour.","[[Venice]] Sergas ([[soldering]] 26 [[Aug]] 1979) is an [[Venetian]] [[labour]] [[nicklaus]], [[presently]] [[playback]] on both the LPGA Tour and the [[Chicas]] [[Eu]] Tour.",0.0013827085494995117,0.9432075023651123,0,1,0,208,"Successful"
"The Brockville Football Club was a team that played in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the [[Quebec]] [[finals]]. They won the QRFU [[Championship]] in 1900 but lost in the Dominion [[Final]] to the Ottawa Rough [[Riders]].","The Brockville Football Club was a team that played in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the [[Eugene]] [[overtime]]. They won the QRFU [[Champ]] in 1900 but lost in the Dominion [[Finale]] to the Ottawa Rough [[Cavalry]].",0.206393301486969,0.5164154171943665,0,6,0,186,"Successful"
"[[Sebastian]] Piersig ([[born]] May 28, 1984 in Spremberg, [[Brandenburg]]) is a German [[slalom]] canoer who [[competed]] in the 2000s in the C-2 [[category]] together with [[Felix]] [[Michel]]. [[He]] won a [[silver]] [[medal]] in the C-2 [[team]] [[event]] at the 2006 [[ICF]] [[Canoe]] [[Slalom]] [[World]] [[Championships]] in [[Prague]]. [[He]] also won two [[gold]] [[medals]] in the same [[event]] at the European [[Championships]]. Piersig [[finished]] [[sixth]] in the C-2 [[event]] at the 2008 [[Summer]] Olympics in [[Beijing]].","[[Fabian]] Piersig ([[nee]] May 28, 1984 in Spremberg, [[Hessian]]) is a German [[skis]] canoer who [[participates]] in the 2000s in the C-2 [[classroom]] together with [[Hernan]] [[Michelle]]. [[His]] won a [[cash]] [[decorative]] in the C-2 [[computer]] [[episodes]] at the 2006 [[FAU]] [[Battleship]] [[Snowboarding]] [[Universally]] [[Starring]] in [[Krakow]]. [[His]] also won two [[dorado]] [[awards]] in the same [[episode]] at the European [[Featuring]]. Piersig [[culminates]] [[octave]] in the C-2 [[episode]] at the 2008 [[Ronald]] Olympics in [[Nanjing]].",0.0010675787925720215,0.005749702453613281,0,0,0,605,"Failed"
"[[The]] [[Texas]] [[river]] cooter (Pseudemys texana) is a [[species]] of [[freshwater]] turtle [[native]] to [[creeks]], [[rivers]], and [[lakes]] of the [[US]] [[state]] of [[Texas]]. [[It]] is [[found]] in the [[river]] [[basins]] of the [[Colorado]], Brazos, Guadalupe, and [[San]] [[Antonio]] [[Rivers]]. [[It]] is one of two [[species]] of cooter [[native]] to the [[state]], the other being the [[Eastern]] [[River]] Cooter.","[[Both]] [[Texan]] [[waters]] cooter (Pseudemys texana) is a [[type]] of [[fraiche]] turtle [[original]] to [[rivers]], [[flows]], and [[lake]] of the [[AMERICANS]] [[nation]] of [[Laredo]]. [[He]] is [[visualized]] in the [[stream]] [[aqueducts]] of the [[Butte]], Brazos, Guadalupe, and [[Santi]] [[Vasquez]] [[Corrientes]]. [[His]] is one of two [[kinds]] of cooter [[indians]] to the [[nation]], the other being the [[Medio]] [[Rivers]] Cooter.",0.0009936690330505371,0.5785609483718872,3,8,3,491,"Successful"
"These are the [[results]] of the women's individual all-around competition, one of [[six]] [[events]] for [[female]] [[competitors]] in [[artistic]] gymnastics at the 2000 Summer Olympics in [[Sydney]]. The qualification and [[final]] [[rounds]] [[took]] [[place]] on [[September]] 17 and 21 at the [[Sydney]] SuperDome. The all-around competition in the discipline of women's [[artistic]] [[gymnastics]] ([[WAG]]) was [[marred]] by [[three]] [[separate]] [[scandals]]. The vault [[apparatus]] was [[set]] [[incorrectly]] for more than [[half]] of the [[meet]]; [[consequently]] [[many]] [[gymnasts]] [[fell]] or were [[injured]] on the [[event]]. The [[apparatus]] was [[adjusted]] during the [[third]] rotation and those gymnasts who [[had]] [[vaulted]] on the [[incorrectly]] [[set]] [[equipment]] were [[invited]] to re-do the [[event]] at the [[end]] of the competition. [[Notably]], Svetlana Khorkina, who led [[champion]] Andreea Răducan by [[nearly]] 0.3 in qualifications, was [[thrown]] out of medal [[contention]] due to the wrongly [[measured]] [[vault]]. [[Additionally]], world all-around silver medalist Viktoria Karpenko, who led the [[competition]] until the [[last]] rotation, was [[thrown]] from first place after she stubbed her [[toe]], tripped, and [[fell]] out of [[bounds]] on her floor [[exercise]]. [[These]] are testaments to the [[upset]] of the [[entire]] competition. [[Finally]], [[though]] not necessarily a [[favorite]] for an all-around medal, [[Dong]] Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her results from the competition - including her all-around [[results]] - were [[cancelled]].","These are the [[attainment]] of the women's individual all-around competition, one of [[eight]] [[cases]] for [[girlie]] [[competes]] in [[eclectic]] gymnastics at the 2000 Summer Olympics in [[Li]]. The qualification and [[semifinal]] [[bullets]] [[having]] [[placing]] on [[Janeiro]] 17 and 21 at the [[Sidney]] SuperDome. The all-around competition in the discipline of women's [[eclectic]] [[weightlifting]] ([[STIR]]) was [[discolored]] by [[two]] [[distinguish]] [[scandal]]. The vault [[team]] was [[defined]] [[falsely]] for more than [[medium]] of the [[meets]]; [[alternatively]] [[mucho]] [[rowers]] [[autumn]] or were [[victim]] on the [[examples]]. The [[systems]] was [[amended]] during the [[fourth]] rotation and those gymnasts who [[gets]] [[hopped]] on the [[mistakenly]] [[games]] [[accessories]] were [[requested]] to re-do the [[manifestations]] at the [[expiration]] of the competition. [[Namely]], Svetlana Khorkina, who led [[championship]] Andreea Răducan by [[intently]] 0.3 in qualifications, was [[dismissed]] out of medal [[complaint]] due to the wrongly [[assessments]] [[trunk]]. [[Plus]], world all-around silver medalist Viktoria Karpenko, who led the [[disputing]] until the [[latter]] rotation, was [[introduced]] from first place after she stubbed her [[caress]], tripped, and [[crept]] out of [[restriction]] on her floor [[enjoyment]]. [[Those]] are testaments to the [[dismayed]] of the [[aii]] competition. [[Thirdly]], [[if]] not necessarily a [[preference]] for an all-around medal, [[Isamu]] Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her results from the competition - including her all-around [[ramifications]] - were [[revoked]].",0.004133939743041992,0.5257289409637451,5,0,5,1864,"Successful"
