"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"One of the greatest lessons I ever had in how to watch a [[movie]] happened this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself indispensable (hah!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. Whatever the reasons she had to see it, the only free video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the tape.<br /><br />Fade in: On screen a figure sat at a desk facing the camera. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts pans or dolly shots. Just one locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the director was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I [[watched]] the opening of this [[piece]] of [[crap]]. After an interminably long travelogue of jungle we [[see]] several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[boring]]! Cut to the interior of the Airport. Two men meet. Aha! Something is happening! They shake hands. Cut to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.","One of the greatest lessons I ever had in how to watch a [[film]] happened this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself indispensable (hah!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. Whatever the reasons she had to see it, the only free video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the tape.<br /><br />Fade in: On screen a figure sat at a desk facing the camera. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the door and started talking. The first character, the guy at the desk, turned round to reply, (this is all one take, static camera, there are no cuts pans or dolly shots. Just one locked off camera). The second character turned to hang his coat on the coat rack and delivered his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten seconds of footage she had watched was that the director was an idiot. Opening with two characters who immediately turned their backs to the camera delivering lines? Nope, sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I [[visualized]] the opening of this [[fragments]] of [[caca]]. After an interminably long travelogue of jungle we [[avis]] several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[pesky]]! Cut to the interior of the Airport. Two men meet. Aha! Something is happening! They shake hands. Cut to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.",0.04653900861740112,0.5242824554443359,0,1,0,516,"Successful"
"The Comebacks is a [[spoof]] on [[inspirational]] [[sports]] [[movies]], and [[let]] me just [[tell]] you-it is not a [[good]] one. Tom Brady (the [[director]]) [[probably]] [[found]] it [[hilarious]] that [[referencing]] [[sports]] [[films]] (from Gridiron [[Gang]], [[Invincible]] and even [[Miracle]]! to [[The]] [[Longest]] [[Yard]] and Dodgeball-yes [[Dodgeball]]!) and tossing in a [[couple]] of [[sex]] [[jokes]], would be the [[funniest]] [[thing]] [[since]] [[Airplane]]! [[Well]], he was wrong. They [[did]] such a slipshod [[job]], you'd [[thought]] it was [[written]] in a [[week]]. I [[have]] [[found]] it that if a [[director]] [[loves]] the genre, the [[movie]] [[will]] [[be]] [[good]]. [[Obviously]], Brady [[does]] not [[love]] the genre he is spoofing. [[This]] [[movie]] is a [[rancid]] [[piece]] of [[garbage]] not [[worth]] [[viewing]], [[so]] don't [[see]] it!","The Comebacks is a [[forged]] on [[excite]] [[sporting]] [[scene]], and [[allow]] me just [[cautioned]] you-it is not a [[optimum]] one. Tom Brady (the [[headmistress]]) [[definitely]] [[felt]] it [[satirical]] that [[allusion]] [[athletes]] [[image]] (from Gridiron [[Band]], [[Indestructible]] and even [[Miracles]]! to [[Both]] [[Elder]] [[Sorting]] and Dodgeball-yes [[Kickball]]!) and tossing in a [[coincide]] of [[heterosexuals]] [[shitting]], would be the [[comedian]] [[facet]] [[if]] [[Flown]]! [[Satisfactorily]], he was wrong. They [[know]] such a slipshod [[poste]], you'd [[knew]] it was [[printed]] in a [[jours]]. I [[enjoy]] [[encountered]] it that if a [[guiding]] [[likes]] the genre, the [[cine]] [[desiring]] [[got]] [[fine]]. [[Categorically]], Brady [[desires]] not [[worshiped]] the genre he is spoofing. [[That]] [[cine]] is a [[obsolete]] [[part]] of [[detritus]] not [[precious]] [[standpoint]], [[thus]] don't [[presume]] it!",0.020199716091156006,0.5137190818786621,0,1,0,1595,"Successful"
"[[Alas]], another [[Costner]] [[movie]] that was an [[hour]] too [[long]]. [[Credible]] performances, but the script had no where to [[go]] and was in no [[hurry]] to [[get]] there. [[First]] we are [[offered]] an [[unrelated]] [[string]] of [[events]] few of which [[further]] the story. Will the script [[center]] on [[Randall]] and his [[wife]]? [[Randall]] and Fischer? [[How]] about [[Fischer]] and [[Thomas]]? In the [[end]], no [[real]] front [[story]] ever [[develops]] and the [[characters]] themselves are artificially [[propped]] up by [[monologues]] from third [[parties]]. The [[singer]] [[explains]] [[Randall]], [[Randall]] [[explains]] [[Fischer]], on and on. Finally, long after you don't [[care]] anymore, you [[will]] [[learn]] something about the [[script]] meetings. [[Three]] endings were no [[doubt]] proffered and no one could [[make]] a [[decision]]. [[The]] [[end]] [[result]]? [[All]] three were used, one, after another, after another. [[If]] you can hang in past the 100th [[yawn]], you'll [[be]] [[able]] to [[pick]] them out. Despite the [[transparent]] [[attempt]] to [[gain]] [[points]] with a [[dedication]] to the Coast [[Guard]], this one [[should]] [[have]] [[washed]] out the [[very]] first day.","[[Alack]], another [[Hatfields]] [[photo]] that was an [[time]] too [[langer]]. [[Influential]] performances, but the script had no where to [[disappear]] and was in no [[hurried]] to [[reach]] there. [[Incipient]] we are [[provides]] an [[unbound]] [[bead]] of [[manifestation]] few of which [[anew]] the story. Will the script [[installation]] on [[Bermudez]] and his [[matrimony]]? [[Gonzalo]] and Fischer? [[Patterns]] about [[Fishermen]] and [[Shots]]? In the [[discontinue]], no [[exact]] front [[narratives]] ever [[prescribes]] and the [[ascribe]] themselves are artificially [[upturned]] up by [[improv]] from third [[fractions]]. The [[duets]] [[elucidate]] [[Gonzalo]], [[Buchanan]] [[says]] [[Fisher]], on and on. Finally, long after you don't [[zorg]] anymore, you [[yearning]] [[know]] something about the [[scripts]] meetings. [[Five]] endings were no [[distrust]] proffered and no one could [[confer]] a [[determination]]. [[Both]] [[expiry]] [[wake]]? [[Each]] three were used, one, after another, after another. [[Though]] you can hang in past the 100th [[yawns]], you'll [[come]] [[apt]] to [[select]] them out. Despite the [[transparency]] [[tempting]] to [[climbs]] [[things]] with a [[vows]] to the Coast [[Garde]], this one [[would]] [[has]] [[soaked]] out the [[markedly]] first day.",0.018485724925994873,0.5037608742713928,0,1,0,1793,"Successful"
"I have a strong feeling that what you think of this film will strongly depend on your frame of reference. If you've never seen a Miyazaki film before, then it will [[probably]] confuse the heck out of you. [[If]] you have seen a Miyazaki film before, then it will still [[probably]] confuse the [[heck]] out of you....but you won't really care! That's because I [[found]] that the first [[time]] I saw one of his [[animated]] [[films]], I tried too hard to [[figure]] out what was happening and why--and it impacted my [[enjoyment]] of the [[film]]. Now that I have seen just about every Miyazaki film, I [[see]] the bizarreness and just take it all in--enjoying the beauty of it all. [[In]] many ways, these films (at least to Western audiences) is like drugs--lots of [[strange]] and beautiful images that don't [[always]] [[initially]] make sense but [[sure]] feel [[great]] to [[see]]!! [[Of]] all the Miyazaki [[films]], this [[might]] have the most unusual and [[incomprehensible]] story line--even more [[so]] than SPIRITED AWAY and PRINCESS MONONOKE or MY NEIGHBOR [[TOTORO]]. But, like these and [[many]] other [[Studio]] Gibli films, if you just sit back and watch you are [[rewarded]] with a [[fabulous]] [[tale]]. But, because it is [[so]] hard to describe (and others have already done [[so]]), I won't even go there.<br /><br />As for the [[artwork]], it's [[very]] typical of one of these Japanese films, though there was one [[noticeable]] change. There was a [[very]] extensive use of what looked like [[colored]] pencils for the backgrounds. [[This]] was NOT a bad thing at all--the [[lovely]] pastel-like look was very pleasing and unique. In some ways it looked like a tiny bit of Bill Plympton's [[art]] [[style]] was infused into a [[typical]] Miyazaki film. With a high frame-rate, exceptional character animation (which [[imbued]] them with tons of personality) and a great ""wow-factor"", this is an [[exceptional]] film for all ages. Though [[clearly]] [[designed]] more for [[younger]] audiences (the [[TOTORO]] fans [[especially]]), it is a bit [[scary]] here and there (during the [[storm]] segments) but there is plenty of [[great]] [[stuff]] for adults. As an adult (at least chronologically [[so]]), I loved the cute stuff and [[applaud]] the other-worldliness of the film.<br /><br />A great film--among Miyazaki's best. I don't give it a 10 because I am hesitant to ever do that--plus I did like a few of the studio's other films a bit more (particularly TOTORO). But that DOESN'T mean you shouldn't rush out now and see it--do it and do yourself a favor.","I have a strong feeling that what you think of this film will strongly depend on your frame of reference. If you've never seen a Miyazaki film before, then it will [[ostensibly]] confuse the heck out of you. [[Unless]] you have seen a Miyazaki film before, then it will still [[supposedly]] confuse the [[fiends]] out of you....but you won't really care! That's because I [[find]] that the first [[dated]] I saw one of his [[lively]] [[cinematographer]], I tried too hard to [[amount]] out what was happening and why--and it impacted my [[exercise]] of the [[films]]. Now that I have seen just about every Miyazaki film, I [[suppose]] the bizarreness and just take it all in--enjoying the beauty of it all. [[At]] many ways, these films (at least to Western audiences) is like drugs--lots of [[indiscreet]] and beautiful images that don't [[invariably]] [[tentatively]] make sense but [[convinced]] feel [[extraordinary]] to [[visualize]]!! [[With]] all the Miyazaki [[cinematographer]], this [[probabilities]] have the most unusual and [[inexplicable]] story line--even more [[instead]] than SPIRITED AWAY and PRINCESS MONONOKE or MY NEIGHBOR [[MIYAZAKI]]. But, like these and [[miscellaneous]] other [[Studios]] Gibli films, if you just sit back and watch you are [[remitted]] with a [[unbelievable]] [[retold]]. But, because it is [[instead]] hard to describe (and others have already done [[similarly]]), I won't even go there.<br /><br />As for the [[art]], it's [[utterly]] typical of one of these Japanese films, though there was one [[superficial]] change. There was a [[terribly]] extensive use of what looked like [[dye]] pencils for the backgrounds. [[These]] was NOT a bad thing at all--the [[pleasant]] pastel-like look was very pleasing and unique. In some ways it looked like a tiny bit of Bill Plympton's [[artsy]] [[design]] was infused into a [[conventional]] Miyazaki film. With a high frame-rate, exceptional character animation (which [[mired]] them with tons of personality) and a great ""wow-factor"", this is an [[uncommon]] film for all ages. Though [[blatantly]] [[earmarked]] more for [[marginal]] audiences (the [[GHIBLI]] fans [[essentially]]), it is a bit [[atrocious]] here and there (during the [[thunderstorms]] segments) but there is plenty of [[gargantuan]] [[ruse]] for adults. As an adult (at least chronologically [[thereafter]]), I loved the cute stuff and [[appreciating]] the other-worldliness of the film.<br /><br />A great film--among Miyazaki's best. I don't give it a 10 because I am hesitant to ever do that--plus I did like a few of the studio's other films a bit more (particularly TOTORO). But that DOESN'T mean you shouldn't rush out now and see it--do it and do yourself a favor.",0.022388458251953125,0.5021151304244995,1,0,1,2156,"Successful"
"In this [[era]] when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly neglected. There are innumerable stupid comedies from the 60's as [[well]] as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that [[era]]. All films [[reflect]] the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd [[masterpiece]]. That film was finally released on DVD and [[has]] [[developed]] a cult following. [[This]] film has many [[memorable]] bizarre, goofy, wacky moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It [[creates]] its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my [[vote]].","In this [[stage]] when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly neglected. There are innumerable stupid comedies from the 60's as [[adequately]] as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that [[eras]]. All films [[depicting]] the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd [[shaft]]. That film was finally released on DVD and [[had]] [[fabricated]] a cult following. [[That]] film has many [[dramatic]] bizarre, goofy, wacky moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It [[crea]] its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my [[polling]].",0.02812904119491577,0.7316343188285828,1,0,1,401,"Successful"
"Not since ""8 Heads in a Duffel Bag"" and the ""How High"" previews<br /><br />have I laughed so little at something that the film makers thought<br /><br />would [[be]] hysterical.<br /><br />Jerry Lewis is the richest man in the world. He is rejected as 4-F<br /><br />by the army, and decides to use his money to raise his own army-<br /><br />of about half a dozen. He then impersonates a Nazi commander in<br /><br />Italy, and eventually tries to kill Hitler. [[That]] is the [[description]] of the<br /><br />[[flimsy]] [[plot]].<br /><br />This film is as funny as a [[heart]] [[attack]]. This film makes ""Hogan's<br /><br />Heroes"" look like Shakespeare. If the money men of ""The<br /><br />Producers"" had really wanted to lose their cash, they [[should]] have<br /><br />shown this [[film]]. [[I]] cannot stress how [[bad]] this thing is.<br /><br />Lewis' [[direction]] [[consists]] of two different cameras shooting the<br /><br />action from two different angles, then being edited together. This<br /><br />[[sitcom]] type of direction works on television, but here it is an<br /><br />[[obvious]] attempt to cheat the [[audience]]. He ends most of his<br /><br />scenes with a still shot, as if giving the viewer a chance to double<br /><br />over in stitches before going to the next [[tired]] [[set]] up. I spent most of<br /><br />the movie doubled over in [[abdominal]] agony, accompanied with<br /><br />severe flatulence, over this thing.<br /><br />Lewis, the director and producer, sets the film in 1943, but makes<br /><br />no attempt to use period costumes or sets. Everyone wears the<br /><br />latest style and has the latest interior design...for 1970. The<br /><br />supporting cast is lost as Lewis goes off on his patented tangents,<br /><br />which last as long as major surgery and are just as painful to<br /><br />watch. When Lewis becomes the Nazi commander, he spends the<br /><br />last half of the film screaming at the top of his lungs in a<br /><br />performance so odious as to stink up any good will you try to bring<br /><br />in at the beginning.<br /><br />The final embarassing shot has Lewis and his cronies trying to<br /><br />put one over on the Japanese. They wear buck teeth, squint their<br /><br />eyes, and talk in a ""funny"" accent. It may be one of the most<br /><br />blatantly racist occurrences since the internment camps. I was<br /><br />slack jawed at what Lewis did through this whole thing, but that put<br /><br />me over the edge. Watch for Kaye Ballard's very tasteless scene<br /><br />where she tries to attempt suicide over and over again.<br /><br />""Star Trek""'s George Takei has two small scenes, then wisely<br /><br />drops out of the picture. This has less laughs than Mel Brooks' last<br /><br />three films combined. There is nothing sadder than watching a<br /><br />formerly respected comedian screw up a project so horribly, you<br /><br />actually feel ashamed for them. Jim Carrey learned that with ""The<br /><br />Majestic,"" but Jerry Lewis still shows up on television once in a<br /><br />while pulling the same unfunny schtick. I feel sorry for him.<br /><br />""Which Way to the Front?"" is cheap, unfunny, offensive, and stupid.<br /><br />I feel bad for everyone involved, and anyone who must endure this.<br /><br />I do not recommend it.<br /><br />Though rated (G), this contains some physical violence, some gun<br /><br />violence, and some adult situations. If your child shows interest in<br /><br />seeing this, please consult professional help.<br /><br />","Not since ""8 Heads in a Duffel Bag"" and the ""How High"" previews<br /><br />have I laughed so little at something that the film makers thought<br /><br />would [[is]] hysterical.<br /><br />Jerry Lewis is the richest man in the world. He is rejected as 4-F<br /><br />by the army, and decides to use his money to raise his own army-<br /><br />of about half a dozen. He then impersonates a Nazi commander in<br /><br />Italy, and eventually tries to kill Hitler. [[This]] is the [[detailing]] of the<br /><br />[[delicate]] [[intrigue]].<br /><br />This film is as funny as a [[core]] [[strikes]]. This film makes ""Hogan's<br /><br />Heroes"" look like Shakespeare. If the money men of ""The<br /><br />Producers"" had really wanted to lose their cash, they [[must]] have<br /><br />shown this [[filmmakers]]. [[me]] cannot stress how [[nefarious]] this thing is.<br /><br />Lewis' [[path]] [[implicating]] of two different cameras shooting the<br /><br />action from two different angles, then being edited together. This<br /><br />[[droll]] type of direction works on television, but here it is an<br /><br />[[unmistakable]] attempt to cheat the [[clientele]]. He ends most of his<br /><br />scenes with a still shot, as if giving the viewer a chance to double<br /><br />over in stitches before going to the next [[antsy]] [[establishing]] up. I spent most of<br /><br />the movie doubled over in [[underside]] agony, accompanied with<br /><br />severe flatulence, over this thing.<br /><br />Lewis, the director and producer, sets the film in 1943, but makes<br /><br />no attempt to use period costumes or sets. Everyone wears the<br /><br />latest style and has the latest interior design...for 1970. The<br /><br />supporting cast is lost as Lewis goes off on his patented tangents,<br /><br />which last as long as major surgery and are just as painful to<br /><br />watch. When Lewis becomes the Nazi commander, he spends the<br /><br />last half of the film screaming at the top of his lungs in a<br /><br />performance so odious as to stink up any good will you try to bring<br /><br />in at the beginning.<br /><br />The final embarassing shot has Lewis and his cronies trying to<br /><br />put one over on the Japanese. They wear buck teeth, squint their<br /><br />eyes, and talk in a ""funny"" accent. It may be one of the most<br /><br />blatantly racist occurrences since the internment camps. I was<br /><br />slack jawed at what Lewis did through this whole thing, but that put<br /><br />me over the edge. Watch for Kaye Ballard's very tasteless scene<br /><br />where she tries to attempt suicide over and over again.<br /><br />""Star Trek""'s George Takei has two small scenes, then wisely<br /><br />drops out of the picture. This has less laughs than Mel Brooks' last<br /><br />three films combined. There is nothing sadder than watching a<br /><br />formerly respected comedian screw up a project so horribly, you<br /><br />actually feel ashamed for them. Jim Carrey learned that with ""The<br /><br />Majestic,"" but Jerry Lewis still shows up on television once in a<br /><br />while pulling the same unfunny schtick. I feel sorry for him.<br /><br />""Which Way to the Front?"" is cheap, unfunny, offensive, and stupid.<br /><br />I feel bad for everyone involved, and anyone who must endure this.<br /><br />I do not recommend it.<br /><br />Though rated (G), this contains some physical violence, some gun<br /><br />violence, and some adult situations. If your child shows interest in<br /><br />seeing this, please consult professional help.<br /><br />",0.020585358142852783,0.5052056312561035,0,1,0,851,"Successful"
"This movie is an [[awesome]] [[remake]] of the original by the same title. The [[movie]] was cool,despite the fact, I hate new ones! [[All]] of the [[cast]] was awesome . It [[has]] [[great]] [[cast]] and an awesome [[plot]]!! The main plot is a man is poisoned and he has to solve his own murder , neat eh?!Dennis Quaid is the man who is ""[[D]].O.A""(in other words Dead On Arrival).He [[finds]] help with his friends, but everyone is now a suspect!!Dennis's character has several hours to find out who poisoned him. The movie is quite fast and full of action. You can see two other big stars in Meg Ryan(City Of Angels,Courage Under Fire) and Daniel Stern(Home Alone, Very Bad [[Things]],Bushwhacked) in supporting roles in this awesome ,cool remake of a classic movie!!","This movie is an [[unbelievable]] [[rehash]] of the original by the same title. The [[theatrical]] was cool,despite the fact, I hate new ones! [[Any]] of the [[moulded]] was awesome . It [[had]] [[sizeable]] [[smelters]] and an awesome [[tracts]]!! The main plot is a man is poisoned and he has to solve his own murder , neat eh?!Dennis Quaid is the man who is ""[[b]].O.A""(in other words Dead On Arrival).He [[observes]] help with his friends, but everyone is now a suspect!!Dennis's character has several hours to find out who poisoned him. The movie is quite fast and full of action. You can see two other big stars in Meg Ryan(City Of Angels,Courage Under Fire) and Daniel Stern(Home Alone, Very Bad [[Ingredients]],Bushwhacked) in supporting roles in this awesome ,cool remake of a classic movie!!",0.02258622646331787,0.6082519292831421,1,0,1,329,"Successful"
"I've seen a few of Mr. Boorman's movies and didn't like much of them. Not that they are bad movies, quite the contrary are good movies, but not content I personally found entertaining. [[However]] I think Where the Heart Is, although made to cater to the less than art savvy American audience, is [[masterful]] as satire, and as social commentary of the times it was made in. I've had to replace this movie in my collection at least a half a dozen times, since every time I loan it out to someone I know could appreciate it's artistry on all its levels, my copy fails to come back home to me, lol. The last time took 7 years to replace it since it was out of print for VHS sales, has never been made as a DVD that I know of, and had to wait till one of the premium cable channels ran it before I could tape it again.<[[br]] /><br />My [[favorite]] aspect after the nail-on-the-head social commentary is the paintings by Timna Woollard. I've [[searched]] for 15 years to find anyone or anywhere that could lead me to where her work is available for sale. Or better yet a copy of the paintings in the movie without the ending credits rolling over them. I have a room in my house that I dedicated to putting copies of her paintings in, and no one seems to know if it ever was released as a coffee table book, or video aquarium, or as a documentary of her work. If anyone does know of where I can acquire any sort of copy of Timna's work or where her studio is in England, please do not [[hesitate]] to contact me via email.","I've seen a few of Mr. Boorman's movies and didn't like much of them. Not that they are bad movies, quite the contrary are good movies, but not content I personally found entertaining. [[Otherwise]] I think Where the Heart Is, although made to cater to the less than art savvy American audience, is [[prose]] as satire, and as social commentary of the times it was made in. I've had to replace this movie in my collection at least a half a dozen times, since every time I loan it out to someone I know could appreciate it's artistry on all its levels, my copy fails to come back home to me, lol. The last time took 7 years to replace it since it was out of print for VHS sales, has never been made as a DVD that I know of, and had to wait till one of the premium cable channels ran it before I could tape it again.<[[brit]] /><br />My [[choices]] aspect after the nail-on-the-head social commentary is the paintings by Timna Woollard. I've [[ransacked]] for 15 years to find anyone or anywhere that could lead me to where her work is available for sale. Or better yet a copy of the paintings in the movie without the ending credits rolling over them. I have a room in my house that I dedicated to putting copies of her paintings in, and no one seems to know if it ever was released as a coffee table book, or video aquarium, or as a documentary of her work. If anyone does know of where I can acquire any sort of copy of Timna's work or where her studio is in England, please do not [[shake]] to contact me via email.",0.0381544828414917,0.551838755607605,1,0,1,241,"Successful"
"Jack and Kate meet the physician Daniel Farady first and then the psychics Miles Straume and they demonstrate that have not come to the island with the intention of rescuing the survivors. Locke and his group find the anthropologist Charlotte Staples Lewis, and Ben Linus shoots her. Meanwhile, the group of Jack finds the pilot Frank Lapidus, who landed the helicopter with minor damages that can be repaired. Jack forces Miles to tell the real intention why they have come to the island.<[[br]] /><[[br]] />The second episode of the Fourth Season returns to the island, with four new characters, [[stops]] the confusing ""flash-forwards"" and it seems that will finally be the beginning of the explanations that I (and most of the fans and viewers) expect to be provided in ""Lost"". Why the interest of the government in Ben Linus, and how he is informed from the boat are some of the [[questions]] that I expect to see in the next episodes. My [[vote]] is eight.<[[br]] /><br />Title (Brazil): Not Available","Jack and Kate meet the physician Daniel Farady first and then the psychics Miles Straume and they demonstrate that have not come to the island with the intention of rescuing the survivors. Locke and his group find the anthropologist Charlotte Staples Lewis, and Ben Linus shoots her. Meanwhile, the group of Jack finds the pilot Frank Lapidus, who landed the helicopter with minor damages that can be repaired. Jack forces Miles to tell the real intention why they have come to the island.<[[ab]] /><[[ab]] />The second episode of the Fourth Season returns to the island, with four new characters, [[lugs]] the confusing ""flash-forwards"" and it seems that will finally be the beginning of the explanations that I (and most of the fans and viewers) expect to be provided in ""Lost"". Why the interest of the government in Ben Linus, and how he is informed from the boat are some of the [[issue]] that I expect to see in the next episodes. My [[votes]] is eight.<[[brit]] /><br />Title (Brazil): Not Available",0.05313795804977417,0.531525194644928,1,0,1,167,"Successful"
"Do not [[miss]] this [[picture]] that defies ages. With no [[hesitation]], a masterpiece. Not only the script and the [[music]] but also choregraphy, [[casting]],<br /><br />[[cut]] : everything [[contributes]] to the perfect [[achievement]]. [[Now]] [[nearly]] 25 years [[ago]] and [[still]] amazing of maturity, [[art]] and<[[br]] /><[[br]] />sensitivity. [[Available]] now in DVD, [[do]] not [[miss]] either. The transfert is [[perfect]]<br /><br />and the [[sound]] re-boosted. One mystery remains about this superb work : why the actors [[did]]<br /><br />not succeed [[better]] after this [[flashing]] start ?","Do not [[baroness]] this [[paintings]] that defies ages. With no [[reluctance]], a masterpiece. Not only the script and the [[musica]] but also choregraphy, [[melted]],<br /><br />[[lowering]] : everything [[aid]] to the perfect [[successes]]. [[Once]] [[roughly]] 25 years [[alumni]] and [[instead]] amazing of maturity, [[artsy]] and<[[brit]] /><[[ab]] />sensitivity. [[Disposable]] now in DVD, [[making]] not [[flunked]] either. The transfert is [[irreproachable]]<br /><br />and the [[audible]] re-boosted. One mystery remains about this superb work : why the actors [[was]]<br /><br />not succeed [[preferable]] after this [[wink]] start ?",0.022172749042510986,0.5236383676528931,1,0,1,585,"Successful"
