original_text,perturbed_text,label
'[[Nonis']] is a [[hybrid]] [[cultivar]] of the [[genus]] [[Neoregelia]] in the [[Bromeliad]] [[family]].,'[[d]] is a [[major]] [[leader]] of the [[tribe]] [[originated]] in the [[grape]] [[tradition]].,3
"Hong Kong Tramways (Chinese: 香港電車) is a tram [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong Tramways (Chinese: 香港電車) is a tram [[established]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Front Royal–Warren County [[Airport]] (IATA: FRR, ICAO: KFRR, FAA LID: FRR) is a county owned, public use [[airport]] located three nautical miles (6 km) west of the central business district of Front Royal, a town in Warren County, Virginia, United States. It is included in the National Plan of Integrated Airport Systems for 2011–2015, which categorized it as a general aviation facility.","Front Royal–Warren County [[school]] (IATA: FRR, ICAO: KFRR, FAA LID: FRR) is a county owned, public use [[airports]] located three nautical miles (6 km) west of the central business district of Front Royal, a town in Warren County, Virginia, United States. It is included in the National Plan of Integrated Airport Systems for 2011–2015, which categorized it as a general aviation facility.",2
"Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[racehorse]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""","Mumtaz Mahal (1921 – 1945) was a British Thoroughbred [[jockey]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was named for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""",3
"The Savages were an [[American]] garage rock [[band]] from Bermuda that were active in the mid-1960s. [[They]] are best remembered for their album, Live 'n Wild, which was composed largely of self-penned [[tunes]] and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.","The Savages were an [[american]] garage rock [[bands]] from Bermuda that were active in the mid-1960s. [[its]] are best remembered for their album, Live 'n Wild, which was composed largely of self-penned [[melodies]] and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
The Roman Catholic [[Archdiocese]] of Mansa (Latin: Mansaën(sis)) is a suffragan [[diocese]] in the city of Mansa in the ecclesiastical province of Kasama in Zambia.,The Roman Catholic [[bishop]] of Mansa (Latin: Mansaën(sis)) is a suffragan [[dioceses]] in the city of Mansa in the ecclesiastical province of Kasama in Zambia.,2
"[[The]] [[1936]] [[Marquette]] Golden Avalanche football team [[represented]] Marquette [[University]] in the 1936 college football [[season]]. [[Marquette]] was led by [[long-time]] head coach [[Frank]] Murray. The team competed as a football independent and [[played]] their home games at [[Marquette]] Stadium in [[Milwaukee]], [[Wisconsin]]. [[The]] squad finished the season with a 7–2 record after losing to [[TCU]] in the inaugural [[Cotton]] Bowl Classic.","[[a]] [[1930s]] [[marquette]] Golden Avalanche football team [[attended]] Marquette [[university]] in the 1936 college football [[league]]. [[marquette]] was led by [[former]] head coach [[frank]] Murray. The team competed as a football independent and [[plays]] their home games at [[marquette]] Stadium in [[milwaukee]], [[wa]]. [[the]] squad finished the season with a 7–2 record after losing to [[tulane]] in the inaugural [[cotton]] Bowl Classic.",6
"[[The]] Hamilton Spectator, founded in 1846, is a newspaper published every day but Sunday in Hamilton, Ontario, Canada.","[[a]] Hamilton Spectator, founded in 1846, is a newspaper published every day but Sunday in Hamilton, Ontario, Canada.",1
"Op:[[l]] Bastards was formed by Timo Kaukolampi ([[born]] 1971), Vilunki 3000 (real name: Mikko Viljakainen, [[b]]. 1973) and Tuomo Puranen from Helsinki, Finland. [[Kaukolampi]] and Vilunki had earlier on played in the garage rock [[band]] Larry and the Lefthanded. Their original name was Opel [[Bastards]], but they had to change it due to the pressure from Opel company. Their [[music]] is categorised as electronic music. They are [[described]] as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:[[l]] [[Bastards]] had their first gig in five [[years]] on the [[18th]] of August at Flow festival of Helsinki. The [[Job]] album was re-released on Op:l's record [[label]] Lefta Records in Finland, with liner notes [[written]] by [[Philip]] Oakey (of The Human League fame). The [[group]] [[released]] their second album in 2009","Op:[[album]] Bastards was formed by Timo Kaukolampi ([[since]] 1971), Vilunki 3000 (real name: Mikko Viljakainen, [[pop]]. 1973) and Tuomo Puranen from Helsinki, Finland. [[numbers]] and Vilunki had earlier on played in the garage rock [[quintet]] Larry and the Lefthanded. Their original name was Opel [[files]], but they had to change it due to the pressure from Opel company. Their [[album]] is categorised as electronic music. They are [[praised]] as having \""specializ[ed] in Kraut-baiting impenetrability.\"" In 2007 Op:[[cd]] [[bastards]] had their first gig in five [[ages]] on the [[21st]] of August at Flow festival of Helsinki. The [[resulting]] album was re-released on Op:l's record [[society]] Lefta Records in Finland, with liner notes [[drawn]] by [[philip]] Oakey (of The Human League fame). The [[collective]] [[release]] their second album in 2009",0
"[[Ophiomyia]] lantanae is a fly native to the Americas, from the southern US to Brazil but had been introduced also to Australia as biological control agent of Lantana camara in 1914.","[[alla]] lantanae is a fly native to the Americas, from the southern US to Brazil but had been introduced also to Australia as biological control agent of Lantana camara in 1914.",3
