"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'Nonis' is a hybrid cultivar of the [[genus]] [[Neoregelia]] in the [[Bromeliad]] [[family]].","'Nonis' is a hybrid cultivar of the [[genre]] [[Neoregeⅼia]] in the [[Bⲅomeliad]] [[famiⅼy]].",0.0016437172889709473,0.005482375621795654,3,3,3,54,"Failed"
"[[The]] [[Canal]] [[Latéral]] à [[la]] [[Loire]] was constructed between 1827 and 1838 to connect the [[Canal]] [[de]] Briare at Briare and the Canal [[du]] Centre at Digoin, a [[distance]] of [[196]] [[km]]. It replaced the use of the River Loire which had [[reliability]] [[problems]] arising from [[winter]] floods and summer [[droughts]]. Aqueducts were used to cross the [[River]] Allier at [[Le]] Guétin (in the commune of Cuffy) and the [[River]] Loire at Digoin, but because of the [[extreme]] [[length]] [[required]], one was not [[built]] to [[cross]] the Loire River at [[Briare]] until 1896 when the Briare [[aqueduct]] was constructed.","[[De]] [[Canaⅼ]] [[Latéarl]] à [[ⅼa]] [[Loi]] [[re]] was constructed between 1827 and 1838 to connect the [[Channels]] [[for]] Briare at Briare and the Canal [[to]] Centre at Digoin, a [[mileage]] of [[l96]] [[kilometer]]. It replaced the use of the River Loire which had [[credible]] [[problem]] arising from [[winteⲅ]] floods and summer [[driest]]. Aqueducts were used to cross the [[Riveⲅ]] Allier at [[Lе]] Guétin (in the commune of Cuffy) and the [[Rіver]] Loire at Digoin, but because of the [[enormous]] [[duration]] [[re]] [[quired]], one was not [[constructed]] to [[crossing]] the Loire River at [[Brire]] until 1896 when the Briare [[river]] was constructed.",0.00871586799621582,0.1385919451713562,2,2,2,412,"Failed"
"Les Disques du Crépuscule is an independent [[record]] [[label]] [[founded]] in [[Belgium]]. The [[label]] was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent [[recoⲅd]] [[labeling]] [[substantiated]] in [[Beⅼgium]]. The [[tags]] was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0.000908970832824707,0.6855287551879883,0,1,0,109,"Successful"
"[[The]] [[2003]] All-Ireland Under-21 Hurling Championship [[final]] was a hurling [[match]] that was played at [[Semple]] Stadium, [[Thurles]] on [[21]] [[September]] [[2003]] to determine the [[winners]] of the [[2003]] [[All-Ireland]] [[Under-21]] [[Hurling]] Championship, the [[40th]] [[season]] of the All-Ireland [[Under-21]] Hurling Championship, a tournament organised by the [[Gaelic]] Athletic Association for the champion teams of the four provinces of Ireland. The final was [[contested]] by Kilkenny of [[Leinster]] and [[Galway]] of Connacht, with Kilkenny winning by 2-13 to 0-12.","[[De]] [[203]] All-Ireland Under-21 Hurling Championship [[ultimate]] was a hurling [[teaming]] that was played at [[Se]] [[mple]] Stadium, [[Thuⲅles]] on [[ᒿ1]] [[Janvier]] [[203]] to determine the [[finalists]] of the [[203]] [[All˗Ireland]] [[Undre-21]] [[Flinging]] Championship, the [[4th]] [[seasons]] of the All-Ireland [[Under]] -[[21]] Hurling Championship, a tournament organised by the [[Scotch]] Athletic Association for the champion teams of the four provinces of Ireland. The final was [[challenged]] by Kilkenny of [[Lеinster]] and [[Dublin]] of Connacht, with Kilkenny winning by 2-13 to 0-12.",0.0010176301002502441,0.5482145547866821,5,0,5,330,"Successful"
"Damon [[Kyle]] Wayans, Sr. (/[[ˈdeɪmən]] [[ˈweɪ]].ənz/; born [[September]] [[4]], [[1960]]) is an [[American]] [[actor]], [[comedian]], [[writer]] and [[producer]], and [[member]] of the Wayans [[family]] of entertainers. Wayans [[performed]] as a [[comedian]] and actor [[throughout]] the 1980s, [[including]] a [[yearlong]] stint on the [[sketch]] [[comedy]] [[series]] [[Saturday]] [[Night]] Live, [[although]] his [[true]] [[breakthrough]] [[came]] as a [[co-creator]] and performer on his own [[sketch]] [[comedy]] [[show]], [[In]] [[Living]] Color, from 1990 to 1992. [[Since]] then he has starred in a number of [[films]] and [[television]] [[shows]], some of which he has [[co-produced]] or [[co-written]], including [[The]] [[Last]] [[Boy]] [[Scout]] and [[Major]] [[Payne]], and the [[sitcom]] [[My]] [[Wife]] and [[Kids]].","Damon [[Trevor]] Wayans, Sr. (/[[ˈdɪemən]] [[ˈwеɪ]].ənz/; born [[Septeｍber]] [[Ꮞ]], [[l960]]) is an [[Aｍerican]] [[ac𝚝or]], [[comedy]], [[wirter]] and [[producers]], and [[membeⲅ]] of the Wayans [[familial]] of entertainers. Wayans [[perfoⲅmed]] as a [[comediaո]] and actor [[througհout]] the 1980s, [[encompass]] a [[yearloոg]] stint on the [[sketcհ]] [[comedian]] [[seies]] [[Satuⲅday]] [[Nigt]] Live, [[ɑlthough]] his [[ture]] [[advancements]] [[ca]] [[me]] as a [[coc-reator]] and performer on his own [[sktch]] [[charade]] [[exhibition]], [[Onto]] [[Livіng]] Color, from 1990 to 1992. [[Because]] then he has starred in a number of [[filmmaking]] and [[televisiоn]] [[exhibition]], some of which he has [[co-porduced]] or [[co-wri𝚝ten]], including [[Du]] [[Latest]] [[By]] [[Pathfinder]] and [[Majoⲅ]] [[Panye]], and the [[comedian]] [[Mes]] [[Femme]] and [[Kis]].",0.0005635619163513184,0.0009555220603942871,0,0,0,663,"Failed"
"Giulia [[Sergas]] (born 26 December [[1979]]) is an Italian [[professional]] [[golfer]], [[currently]] [[playing]] on both the [[LPGA]] Tour and the Ladies European Tour.","Giulia [[Sergaѕ]] (born 26 December [[197৭]]) is an Italian [[pⲅofessional]] [[nicklaus]], [[curreոtly]] [[gaming]] on both the [[LPA]] Tour and the Ladies European Tour.",0.000564873218536377,0.000765681266784668,0,0,0,86,"Failed"
"The Brockville Football [[Club]] was a team that [[played]] in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec [[finals]]. They won the QRFU [[Championship]] in 1900 but lost in the Dominion Final to the Ottawa Rough [[Riders]].","The Brockville Football [[Culb]] was a team that [[accomplished]] in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec [[playoffs]]. They won the QRFU [[Tournament]] in 1900 but lost in the Dominion Final to the Ottawa Rough [[Rideⲅs]].",0.0018961429595947266,0.5609890222549438,0,6,0,110,"Successful"
"[[Sebastian]] [[Piersig]] ([[born]] May 28, [[1984]] in Spremberg, Brandenburg) is a [[German]] slalom [[canoer]] who competed in the 2000s in the [[C-2]] [[category]] [[together]] with [[Felix]] [[Michel]]. He won a silver medal in the C-2 team event at the 2006 [[ICF]] Canoe [[Slalom]] World [[Championships]] in Prague. [[He]] also won two gold [[medals]] in the same event at the [[European]] Championships. Piersig finished [[sixth]] in the C-2 event at the 2008 Summer [[Olympics]] in Beijing.","[[Seabstian]] [[Pier]] [[sig]] ([[nee]] May 28, [[19]] [[84]] in Spremberg, Brandenburg) is a [[Germɑn]] slalom [[canoеr]] who competed in the 2000s in the [[C-ᒿ]] [[categoⲅy]] [[totality]] with [[Hector]] [[Mic]] [[hel]]. He won a silver medal in the C-2 team event at the 2006 [[FRA]] Canoe [[Skiing]] World [[Champi]] [[onships]] in Prague. [[It]] also won two gold [[ornaments]] in the same event at the [[Eսropean]] Championships. Piersig finished [[vi]] in the C-2 event at the 2008 Summer [[Olympiϲs]] in Beijing.",0.0006077289581298828,0.0013337135314941406,0,0,0,326,"Failed"
"The Texas river [[cooter]] (Pseudemys texana) is a [[species]] of freshwater [[turtle]] native to creeks, rivers, and lakes of the US state of Texas. It is found in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[species]] of cooter native to the state, the other being the Eastern River Cooter.","The Texas river [[coo𝚝er]] (Pseudemys texana) is a [[essences]] of freshwater [[spotted]] native to creeks, rivers, and lakes of the US state of Texas. It is found in the river basins of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is one of two [[speices]] of cooter native to the state, the other being the Eastern River Cooter.",0.0012208819389343262,0.9716782569885254,3,2,3,94,"Successful"
"[[Yisrael]] [[Beiteinu]] (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist [[political]] [[party]] in Israel. The [[party's]] base has traditionally been [[secular]], Russian-speaking [[Israelis]]. The [[party]] describes itself as \""a national movement with the clear vision to follow in the bold path of [[Zev]] Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the [[former]] Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some [[largely]] Arab-inhabited parts of Israel for [[largely]] Jewish-inhabited parts of the West Bank. [[The]] [[party]] maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. In the 2009 election the party won 15 seats, its most to date, making it the third largest party in the previous Knesset. In the 2015 election, the party won six seats.","[[Y]] [[israel]] [[Bei𝚝einu]] (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist [[politics]] [[fiesta]] in Israel. The [[par𝚝y's]] base has traditionally been [[mundane]], Russian-speaking [[Palestinians]]. The [[prty]] describes itself as \""a national movement with the clear vision to follow in the bold path of [[Yair]] Jabotinsky\"", the founder of Revisionist Zionism. It primarily represents immigrants from the [[old]] Soviet Union. Although it has attempted to expand its appeal to more established Israelis, it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some [[broadly]] Arab-inhabited parts of Israel for [[broadly]] Jewish-inhabited parts of the West Bank. [[To]] [[fiesta]] maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. In the 2009 election the party won 15 seats, its most to date, making it the third largest party in the previous Knesset. In the 2015 election, the party won six seats.",0.0014313459396362305,0.7270333766937256,0,1,0,350,"Successful"
