"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Singapore]] govt extends [[third-party]] war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] [[group]].","[[Sіngapore]] govt extends [[𝚝hird-party]] war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Aiⲅlines]] [[grop]].",0.18338793516159058,0.6508873701095581,2,3,2,85,"Successful"
"[[Sun]] to [[shine]] spotlight on new operating system, [[Solaris]] [[10]] Sun Microsystems [[SUNW]] is expected to [[release]] a new version of its operating [[system]] [[today]] - a big part of the struggling computer maker #39;s plan to save itself.","[[S]] [[un]] to [[ѕhine]] spotlight on new operating system, [[Soⅼaris]] [[1O]] Sun Microsystems [[SU]] [[NW]] is expected to [[relase]] a new version of its operating [[sysem]] [[toay]] - a big part of the struggling computer maker #39;s plan to save itself.",0.03978818655014038,0.10549718141555786,3,3,3,106,"Failed"
"Nokia announces [[Near]] [[Field]] Communication [[products]] [[With]] the Nokia [[NFC]] ([[Near]] [[Field]] Communication) [[shell]] on their phone, consumers will be able to access a variety of services and exchange [[information]] with a [[simple]] touch gesture.","Nokia announces [[Naer]] [[Fielԁ]] Communication [[prodcts]] [[W]] [[ith]] the Nokia [[NC]] ([[N]] [[ear]] [[Fi]] [[eld]] Communication) [[sh]] [[ell]] on their phone, consumers will be able to access a variety of services and exchange [[in𝚏ormation]] with a [[simplе]] touch gesture.",0.012211382389068604,0.028703629970550537,3,3,3,121,"Failed"
"[[Today]] in Athens [[Leontien]] Zijlaard-van Moorsel of the Netherlands wipes a [[tear]] after winning the gold medal in the women #[[39]];s road [[cycling]] [[individual]] time trial at the [[Vouliagmeni]] Olympic Centre in [[Athens]] on [[Wednesday]]. ","[[Todɑy]] in Athens [[Leoniten]] Zijlaard-van Moorsel of the Netherlands wipes a [[t]] [[ear]] after winning the gold medal in the women #[[3৭]];s road [[cycl]] [[ing]] [[individսal]] time trial at the [[Voսliagmeni]] Olympic Centre in [[Atհens]] on [[Wdnesday]]. ",0.010498583316802979,0.035890161991119385,1,1,1,175,"Failed"
"[[President]] Hu [[congratulates]] [[Sihamoni]] on [[becoming]] [[king]] of Cambodia Chinese [[President]] Hu [[Jintao]] sent a [[message]] to [[Norodom]] Sihamoni on Thursday to congratulate him on his [[election]] as the king of Cambodia.","[[Presiԁent]] Hu [[congratula𝚝es]] [[Sihamoոi]] on [[Ьecoming]] [[𝒌ing]] of Cambodia Chinese [[Prеsident]] Hu [[J]] [[intao]] sent a [[meѕsage]] to [[Noroԁom]] Sihamoni on Thursday to congratulate him on his [[еlection]] as the king of Cambodia.",0.0026968717575073242,0.04445916414260864,0,0,0,111,"Failed"
"[[Mills]] [[Grabs]] \$1B Portfolio; [[Taubman]] [[Likely]] to Lose Contracts [[Mills]] Corp. agreed to [[purchase]] a 50 percent interest in nine [[malls]] owned by General Motors Asset Management [[Corp]]. for just over \$[[1]] billion, [[creating]] a new [[joint]] venture between the [[groups]]. [[The]] [[deal]] will [[extend]] ...","[[Miⅼls]] [[Gⲅabs]] \$1B Portfolio; [[Taubmɑn]] [[Likeⅼy]] to Lose Contracts [[Miⅼls]] Corp. agreed to [[purchaѕe]] a 50 percent interest in nine [[ｍalls]] owned by General Motors Asset Management [[Cop]]. for just over \$[[l]] billion, [[creatinɡ]] a new [[ϳoint]] venture between the [[gropus]]. [[Tհe]] [[ԁeal]] will [[еxtend]] ...",0.011845111846923828,0.3831073045730591,2,2,2,136,"Failed"
"[[Afghans]] [[rocky]] road to [[historic]] [[elections]] [[KALAKAN]], Afghanistan There were toothless [[old]] men, turbaned and gray-bearded, and young men not yet old enough to shave. There were mullahs and mujahedeen, and the [[presidential]] candidate #39;s [[3-year-old]] son.","[[Afghanѕ]] [[roc𝒌y]] road to [[hitoric]] [[eⅼections]] [[KALA]] [[KAN]], Afghanistan There were toothless [[oⅼd]] men, turbaned and gray-bearded, and young men not yet old enough to shave. There were mullahs and mujahedeen, and the [[pⲅesidential]] candidate #39;s [[3-year-oⅼd]] son.",0.001086115837097168,0.031526923179626465,0,0,0,104,"Failed"
"[[Sun's]] Looking Glass Provides [[3D]] View [[Developers]] get [[early]] code for new operating system '[[skin']] still being crafted.","[[Su'ns]] Looking Glass Provides [[ƷD]] View [[Dеvelopers]] get [[eraly]] code for new operating system '[[skiո']] still being crafted.",0.0048043131828308105,0.009007036685943604,3,3,3,55,"Failed"
"[[Oil]] [[Prices]] Set a New Record Above \$50  SINGAPORE ([[Reuters]]) - Oil prices set a new record above \$50  a barrel on Tuesday as a prolonged U.S. production outage  following [[Hurricane]] Ivan attracted fresh speculative buying.","[[Ol]] [[Prics]] Set a New Record Above \$50  SINGAPORE ([[Reu]] [[ters]]) - Oil prices set a new record above \$50  a barrel on Tuesday as a prolonged U.S. production outage  following [[Hurricanе]] Ivan attracted fresh speculative buying.",0.03900843858718872,0.06529074907302856,2,2,2,194,"Failed"
"US [[suspends]] [[helicopter]] flights after [[Japan]] [[crash]] (AFP) AFP - [[The]] [[United]] [[States]] [[suspended]] flights of CH-53D [[military]] helicopters in [[Japan]], bowing to protests over a crash in an Okinawa university campus.","US [[sspends]] [[heliϲopter]] flights after [[Ja]] [[pan]] [[cⲅash]] (AFP) AFP - [[Tհe]] [[Uni𝚝ed]] [[Statеs]] [[susepnded]] flights of CH-53D [[mili𝚝ary]] helicopters in [[Japaո]], bowing to protests over a crash in an Okinawa university campus.",0.002635180950164795,0.35333389043807983,0,0,0,113,"Failed"
"Phelps [[Seeks]] More Gold at [[World]] Championships  [[INDIANAPOLIS]] (Reuters) - Still riding a wave of [[euphoria]]  from the Olympics, Michael Phelps returns to the [[pool]] this week  at the world short [[course]] swimming [[championships]] seeking a  repeat of his [[six]] gold medals in Athens.","Phelps [[Sekes]] More Gold at [[Wrold]] Championships  [[INDIANPOLIS]] (Reuters) - Still riding a wave of [[euphora]]  from the Olympics, Michael Phelps returns to the [[p]] [[ool]] this week  at the world short [[couⲅse]] swimming [[championѕhips]] seeking a  repeat of his [[sx]] gold medals in Athens.",0.0521930456161499,0.09763973951339722,1,1,1,224,"Failed"
"[[Anniversary]] remembered on [[game]] [[day]] When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being [[Boston]] [[College's]] [[coach]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","[[Anոiversary]] remembered on [[g]] [[ame]] [[dy]] When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being [[Bos𝚝on]] [[Colleg'es]] [[ϲoach]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",0.0034291744232177734,0.7552125453948975,1,3,1,92,"Successful"
"Viacom, Disney [[pay]] \$[[1]].[[5M]] FCC [[fine]] [[Disney]] and Viacom agreed to a fine of \$[[1]].5 million from the [[Federal]] Communications Commission over claims their children #[[39]];s cable [[television]] networks [[violated]] advertising [[restrictions]], the [[FCC]] [[said]] [[Thursday]].","Viacom, Disney [[pɑy]] \$[[l]].[[ƼM]] FCC [[fiոe]] [[Disey]] and Viacom agreed to a fine of \$[[l]].5 million from the [[Fdeeral]] Communications Commission over claims their children #[[Ʒ9]];s cable [[televisіon]] networks [[violatеd]] advertising [[restrictionѕ]], the [[FC]] [[saіd]] [[Thսrsday]].",0.0291287899017334,0.5125871896743774,2,3,2,123,"Successful"
"Pfizer Sends [[Out]] Update On Drug [[Bextra]] Pfizer [[Inc]]. [[said]] [[Friday]] that it will provide health-care professionals with [[additional]] [[information]] about its [[Bextra]] arthritis drug and that it will [[conduct]] further studies to confirm the [[drug]] #[[39]];s [[long-term]] [[cardiovascular]] [[safety]] [[record]].","Pfizer Sends [[Ou𝚝]] Update On Drug [[Bextⲅa]] Pfizer [[Inϲ]]. [[sɑid]] [[Frіday]] that it will provide health-care professionals with [[additioոal]] [[infoⲅmation]] about its [[Bextrɑ]] arthritis drug and that it will [[ϲonduct]] further studies to confirm the [[ԁrug]] #[[3৭]];s [[loոg-term]] [[cɑrdiovascular]] [[ѕafety]] [[ⲅecord]].",0.007027924060821533,0.14182054996490479,2,2,2,164,"Failed"
"Fed [[Cup]] all [[tied]] up FRANCE #39;S Russian-born Tatiana [[Golovin]] left the Fed Cup final [[hanging]] in the balance [[today]] as she beat Russia #39;s US [[Open]] champion Svetlana Kuznetsova 6-4, [[6-1]] to level the tie at [[2-2]] and take it to the [[final]] doubles [[match]].","Fed [[C]] [[up]] all [[ted]] up FRANCE #39;S Russian-born Tatiana [[Golo]] [[vin]] left the Fed Cup final [[hnaging]] in the balance [[toay]] as she beat Russia #39;s US [[Opeո]] champion Svetlana Kuznetsova 6-4, [[61]] to level the tie at [[2-ᒿ]] and take it to the [[fiոal]] doubles [[matϲh]].",0.026744723320007324,0.05455511808395386,1,1,1,221,"Failed"
"US [[Airways]], Pilots Union Near Agreement US Airways is seeking \$800 [[million]] in concessions from employee unions as it attempts to avoid [[filing]] Chapter [[11]]. [[The]] [[Air]] [[Line]] [[Pilots]] [[Association]] will present its [[proposal]] on the [[evening]] of ","US [[Aiⲅways]], Pilots Union Near Agreement US Airways is seeking \$800 [[mіllion]] in concessions from employee unions as it attempts to avoid [[fiing]] Chapter [[1l]]. [[Tհe]] [[Aiⲅ]] [[Liոe]] [[Piⅼots]] [[As]] [[sociation]] will present its [[рroposal]] on the [[eveninɡ]] of ",0.010470330715179443,0.5089666247367859,2,3,2,119,"Successful"
"Ljubicic Downs Hanescu at Open De Moselle Top-seeded Ivan Ljubicic of Croatia beat Victor Hanescu of Romania 6-4, 6-4 Tuesday in the first round of the Open de Moselle.","Ljubicic Downs Hanescu at Open De Moselle Top-seeded Ivan Ljubicic of Croatia beat Victor Hanescu of Romania 6-4, 6-4 Tuesday in the first round of the Open de Moselle.",0.9748849272727966,0.9748849272727966,1,1,0,1,"Skipped"
"UN #39;s Kofe Annan [[Calls]] Iraq War Illegal United [[Nations]] Secretary General [[Kofi]] Annan said this week that the US war in [[Iraq]] is illegal and [[questioned]] whether the [[country]] could [[hold]] [[credible]] ","UN #39;s Kofe Annan [[Cals]] Iraq War Illegal United [[Natіons]] Secretary General [[Kofі]] Annan said this week that the US war in [[Iraԛ]] is illegal and [[questіoned]] whether the [[ϲountry]] could [[holԁ]] [[creԁible]] ",0.0015909075736999512,0.09546107053756714,0,0,0,92,"Failed"
"[[Hostages]] [[plight]] clouds meeting of Blairs party BRIGHTON, [[England]] [[The]] annual conference of Prime Minister Tony Blair #39;s [[Labour]] Party opened here Monday under the [[pall]] of the war in [[Iraq]], as the [[fate]] of the [[British]] [[hostage]] Ken Bigley [[remained]] uncertain amid [[fresh]] appeals for his release from family ","[[Hоstages]] [[pliɡht]] clouds meeting of Blairs party BRIGHTON, [[Englanԁ]] [[Te]] annual conference of Prime Minister Tony Blair #39;s [[Lbour]] Party opened here Monday under the [[pa]] [[ll]] of the war in [[Iⲅaq]], as the [[f]] [[ate]] of the [[Bri𝚝ish]] [[հostage]] Ken Bigley [[ⲅemained]] uncertain amid [[fresհ]] appeals for his release from family ",0.0009708404541015625,0.5295602679252625,0,2,0,116,"Successful"
"Protests in Canada over [[Ukraine]] crisis ([[AFP]]) AFP - [[Hundreds]] of [[Canadians]], many of Ukrainian [[descent]], [[braved]] [[freezing]] temperatures to [[protest]] what they consider to be the [[fixed]] outcome of the Ukrainian [[presidential]] election.","Protests in Canada over [[Ukⲅaine]] crisis ([[A]] [[FP]]) AFP - [[Hundreԁs]] of [[Cɑnadians]], many of Ukrainian [[ԁescent]], [[bⲅaved]] [[fⲅeezing]] temperatures to [[protes𝚝]] what they consider to be the [[fixeԁ]] outcome of the Ukrainian [[presiԁential]] election.",0.0012458562850952148,0.5594521760940552,0,3,0,117,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised [[computer-based]] program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised [[compսter-based]] program using personal information to identify airline passengers who may pose a threat to air travel.",0.16195690631866455,0.5994959473609924,3,2,3,45,"Successful"
"HD [[DVD]] will [[boost]] quality, help stores Four Hollywood studios this week embraced a new high-definition DVD [[format]] from electronics giant Toshiba - raising many questions for [[video]] [[lovers]] who have [[driven]] sales of [[pre-recorded]] DVDs to new heights.","HD [[D]] [[VD]] will [[boo]] [[st]] quality, help stores Four Hollywood studios this week embraced a new high-definition DVD [[fromat]] from electronics giant Toshiba - raising many questions for [[vi]] [[deo]] [[l]] [[overs]] who have [[driveո]] sales of [[pre-ercorded]] DVDs to new heights.",0.042478084564208984,0.11432772874832153,3,3,3,215,"Failed"
