original_text,perturbed_text,label
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk [[assurance]] SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Aiⲅlines]] group.",2
"Mills Grabs \$1B Portfolio; [[Taubman]] Likely to Lose Contracts Mills Corp. [[agreed]] to [[purchase]] a 50 percent [[interest]] in [[nine]] [[malls]] owned by General Motors [[Asset]] [[Management]] Corp. for just over \$1 billion, creating a new [[joint]] venture between the groups. The deal will [[extend]] ...","Mills Grabs \$1B Portfolio; [[Taumban]] Likely to Lose Contracts Mills Corp. [[accepted]] to [[purchases]] a 50 percent [[iոterest]] in [[vii]] [[boutiques]] owned by General Motors [[Possessions]] [[Manaɡement]] Corp. for just over \$1 billion, creating a new [[commons]] venture between the groups. The deal will [[e]] [[xtend]] ...",2
"[[Sun]] to shine spotlight on new operating system, [[Solaris]] 10 [[Sun]] [[Microsystems]] SUNW is expected to [[release]] a new [[version]] of its operating [[system]] today - a big [[part]] of the struggling [[computer]] maker #39;s plan to [[save]] itself.","[[Sohn]] to shine spotlight on new operating system, [[Aix]] 10 [[Soleil]] [[Microsуstems]] SUNW is expected to [[rеlease]] a new [[stepping]] of its operating [[systems]] today - a big [[portion]] of the struggling [[compuetr]] maker #39;s plan to [[saving]] itself.",3
"Phelps Seeks More Gold at [[World]] [[Championships]]  INDIANAPOLIS ([[Reuters]]) - [[Still]] [[riding]] a [[wave]] of euphoria  from the Olympics, Michael Phelps returns to the pool this [[week]]  at the world short course [[swimming]] championships seeking a  repeat of his six gold medals in Athens.","Phelps Seeks More Gold at [[Worldwide]] [[Chamiponships]]  INDIANAPOLIS ([[Journalist]]) - [[Again]] [[ridng]] a [[wa]] [[ve]] of euphoria  from the Olympics, Michael Phelps returns to the pool this [[chou]]  at the world short course [[bathing]] championships seeking a  repeat of his six gold medals in Athens.",1
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[coach]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[gaming]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[buses]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"Viacom, Disney pay \$1.5M FCC fine [[Disney]] and [[Viacom]] agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #[[39]];s cable television networks violated advertising restrictions, the FCC [[said]] [[Thursday]].","Viacom, Disney pay \$1.5M FCC fine [[Disneyland]] and [[Viɑcom]] agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #[[Ʒ9]];s cable television networks violated advertising restrictions, the FCC [[saiԁ]] [[Thursԁay]].",2
"[[Restive]] [[Maldives]] [[eases]] [[curfew]] after [[rounding]] up [[dissidents]] ([[AFP]]) AFP - [[A]] curfew in the capital of the Maldives was eased but parliament sessions were put off indefinitely and [[emergency]] rule [[continued]] [[following]] last [[week's]] riots, officials and residents said.","[[Retive]] [[Tobago]] [[eass]] [[roaming]] after [[roսnding]] up [[dissidnets]] ([[A]] [[FP]]) AFP - [[per]] curfew in the capital of the Maldives was eased but parliament sessions were put off indefinitely and [[eｍergency]] rule [[nonstop]] [[subsequent]] last [[w]] [[eek's]] riots, officials and residents said.",0
"[[US]] suspends [[helicopter]] flights after Japan crash ([[AFP]]) [[AFP]] - The [[United]] States [[suspended]] flights of CH-53D military [[helicopters]] in Japan, bowing to protests over a [[crash]] in an Okinawa university campus.","[[USA]] suspends [[helicopt]] [[er]] flights after Japan crash ([[A]] [[FP]]) [[A]] [[FP]] - The [[Uni𝚝ed]] States [[sսspended]] flights of CH-53D military [[copter]] in Japan, bowing to protests over a [[crɑsh]] in an Okinawa university campus.",0
"US [[Airways]], [[Pilots]] Union [[Near]] Agreement [[US]] Airways is [[seeking]] \$800 [[million]] in [[concessions]] from [[employee]] [[unions]] as it [[attempts]] to [[avoid]] [[filing]] [[Chapter]] 11. The [[Air]] [[Line]] Pilots [[Association]] will present its proposal on the evening of ","US [[Aiⲅways]], [[Piⅼots]] Union [[Nearly]] Agreement [[NOUS]] Airways is [[sekeing]] \$800 [[millions]] in [[concessinos]] from [[servants]] [[uinons]] as it [[tries]] to [[averted]] [[fi]] [[ling]] [[Capitol]] 11. The [[Aiⲅ]] [[Harmony]] Pilots [[Unions]] will present its proposal on the evening of ",2
"[[Hostages]] plight clouds meeting of Blairs party BRIGHTON, England The annual conference of Prime Minister Tony [[Blair]] #39;s Labour Party opened here Monday under the pall of the war in Iraq, as the fate of the British [[hostage]] Ken Bigley remained uncertain amid fresh appeals for his release from family ","[[Hоstages]] plight clouds meeting of Blairs party BRIGHTON, England The annual conference of Prime Minister Tony [[Thatcher]] #39;s Labour Party opened here Monday under the pall of the war in Iraq, as the fate of the British [[bailout]] Ken Bigley remained uncertain amid fresh appeals for his release from family ",0
