original_text,perturbed_text,label
"[[The]] Canal Latéral à [[la]] Loire was [[constructed]] between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du Centre at Digoin, a [[distance]] of 196 km. It replaced the use of the River Loire which had [[reliability]] problems arising from winter floods and summer [[droughts]]. [[Aqueducts]] were used to cross the River Allier at Le Guétin (in the [[commune]] of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not built to cross the Loire River at Briare until 1896 when the Briare [[aqueduct]] was constructed.","[[Both]] Canal Latéral à [[rivera]] Loire was [[formulated]] between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du Centre at Digoin, a [[distant]] of 196 km. It replaced the use of the River Loire which had [[confidence]] problems arising from winter floods and summer [[drought]]. [[Levees]] were used to cross the River Allier at Le Guétin (in the [[ville]] of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not built to cross the Loire River at Briare until 1896 when the Briare [[riverbank]] was constructed.",2
"Les Disques du Crépuscule is an independent [[record]] [[label]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent [[inscription]] [[stamp]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"[[The]] 2003 All-Ireland Under-21 Hurling [[Championship]] [[final]] was a [[hurling]] match that was [[played]] at [[Semple]] [[Stadium]], Thurles on 21 [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 Hurling [[Championship]], the 40th season of the All-Ireland Under-21 [[Hurling]] [[Championship]], a [[tournament]] [[organised]] by the Gaelic Athletic [[Association]] for the [[champion]] [[teams]] of the [[four]] [[provinces]] of [[Ireland]]. The [[final]] was [[contested]] by Kilkenny of Leinster and [[Galway]] of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","[[Both]] 2003 All-Ireland Under-21 Hurling [[Champion]] [[recent]] was a [[dodging]] match that was [[implemented]] at [[Mcpherson]] [[Schoolyard]], Thurles on 21 [[August]] 2003 to [[decides]] the [[earning]] of the 2003 All-Ireland Under-21 Hurling [[Champions]], the 40th season of the All-Ireland Under-21 [[Hurtling]] [[Featuring]], a [[competition]] [[organising]] by the Gaelic Athletic [[Associations]] for the [[championship]] [[appliance]] of the [[three]] [[prov]] of [[Irish]]. The [[last]] was [[moot]] by Kilkenny of Leinster and [[Cardiff]] of Connacht, with Kilkenny [[succeeded]] by 2-13 to 0-12.",5
"The Brockville Football Club was a team that [[played]] in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The Brockville Football Club was a team that [[suffered]] in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0
"[[Giulia]] Sergas ([[born]] 26 [[December]] 1979) is an [[Italian]] [[professional]] [[golfer]], [[currently]] [[playing]] on both the LPGA [[Tour]] and the [[Ladies]] [[European]] [[Tour]].","[[Vicenza]] Sergas ([[welder]] 26 [[Elf]] 1979) is an [[Venetian]] [[labor]] [[golfing]], [[here]] [[plaything]] on both the LPGA [[Visit]] and the [[Gentlemens]] [[Europa]] [[Visit]].",0
"[[The]] Texas [[river]] cooter (Pseudemys texana) is a [[species]] of freshwater [[turtle]] [[native]] to creeks, [[rivers]], and [[lakes]] of the [[US]] [[state]] of Texas. [[It]] is [[found]] in the river [[basins]] of the [[Colorado]], Brazos, [[Guadalupe]], and [[San]] Antonio [[Rivers]]. [[It]] is one of two species of cooter [[native]] to the [[state]], the other being the [[Eastern]] [[River]] Cooter.","[[Both]] Texas [[waterways]] cooter (Pseudemys texana) is a [[genre]] of freshwater [[spotted]] [[aboriginal]] to creeks, [[flux]], and [[lake]] of the [[OUR]] [[nationals]] of Texas. [[His]] is [[founded]] in the river [[booms]] of the [[Wyoming]], Brazos, [[Señora]], and [[Sans]] Antonio [[Flow]]. [[His]] is one of two species of cooter [[natives]] to the [[governmental]], the other being the [[Oriental]] [[Creeks]] Cooter.",3
"[[Yisrael]] Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political [[party]] in Israel. The party's base has traditionally been secular, Russian-speaking [[Israelis]]. The party describes itself as \""a national movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the [[founder]] of Revisionist Zionism. It primarily represents [[immigrants]] from the former Soviet Union. Although it has attempted to expand its appeal to more established [[Israelis]], it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of [[Israeli]] [[Arabs]], characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of [[Israel]] for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase [[Jewish]] immigration. In the 2009 election the party won 15 seats, its most to date, making it the [[third]] largest party in the previous Knesset. In the 2015 election, the party won six seats.","[[Judaism]] Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political [[fiesta]] in Israel. The party's base has traditionally been secular, Russian-speaking [[Jerusalem]]. The party describes itself as \""a national movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the [[founders]] of Revisionist Zionism. It primarily represents [[migration]] from the former Soviet Union. Although it has attempted to expand its appeal to more established [[Idf]], it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of [[Israel]] [[Saudi]], characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of [[Aviv]] for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase [[Babylonian]] immigration. In the 2009 election the party won 15 seats, its most to date, making it the [[fourth]] largest party in the previous Knesset. In the 2015 election, the party won six seats.",0
"Hong Kong Tramways (Chinese: 香港電車) is a tram [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong Tramways (Chinese: 香港電車) is a tram [[device]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"These are the results of the women's [[individual]] all-around competition, one of six [[events]] for [[female]] [[competitors]] in [[artistic]] [[gymnastics]] at the 2000 Summer [[Olympics]] in Sydney. The qualification and final rounds [[took]] [[place]] on [[September]] 17 and 21 at the Sydney SuperDome. The all-around [[competition]] in the [[discipline]] of women's [[artistic]] [[gymnastics]] ([[WAG]]) was [[marred]] by [[three]] [[separate]] scandals. The vault apparatus was [[set]] incorrectly for more than [[half]] of the meet; [[consequently]] [[many]] [[gymnasts]] [[fell]] or were [[injured]] on the [[event]]. The [[apparatus]] was adjusted during the [[third]] [[rotation]] and those gymnasts who [[had]] vaulted on the [[incorrectly]] [[set]] [[equipment]] were [[invited]] to re-do the [[event]] at the [[end]] of the competition. Notably, [[Svetlana]] Khorkina, who [[led]] [[champion]] Andreea Răducan by [[nearly]] 0.3 in qualifications, was [[thrown]] out of [[medal]] [[contention]] due to the [[wrongly]] [[measured]] vault. Additionally, world all-around silver [[medalist]] Viktoria Karpenko, who [[led]] the competition until the [[last]] [[rotation]], was [[thrown]] from first [[place]] after she stubbed her toe, tripped, and fell out of bounds on her floor exercise. These are testaments to the [[upset]] of the entire competition. Finally, [[though]] not necessarily a [[favorite]] for an all-around medal, Dong Fangxiao was [[found]] in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her [[results]] from the competition - [[including]] her all-around results - were [[cancelled]].","These are the results of the women's [[respective]] all-around competition, one of six [[expression]] for [[maiden]] [[competes]] in [[arte]] [[workout]] at the 2000 Summer [[Medalist]] in Sydney. The qualification and final rounds [[would]] [[placing]] on [[Janeiro]] 17 and 21 at the Sydney SuperDome. The all-around [[contestants]] in the [[disciplinary]] of women's [[imaginative]] [[workouts]] ([[STIR]]) was [[flawed]] by [[two]] [[sporadic]] scandals. The vault apparatus was [[determines]] incorrectly for more than [[median]] of the meet; [[afterward]] [[dissimilar]] [[dancers]] [[decreases]] or were [[detriment]] on the [[appearances]]. The [[tool]] was adjusted during the [[secondly]] [[revolves]] and those gymnasts who [[am]] vaulted on the [[disproportionately]] [[establishes]] [[appliance]] were [[wondering]] to re-do the [[appearances]] at the [[ceases]] of the competition. Notably, [[Natalya]] Khorkina, who [[sparked]] [[supporter]] Andreea Răducan by [[roughly]] 0.3 in qualifications, was [[molded]] out of [[adorned]] [[confirmations]] due to the [[disproportionately]] [[evaluating]] vault. Additionally, world all-around silver [[gymnast]] Viktoria Karpenko, who [[sparked]] the competition until the [[past]] [[revolves]], was [[moulded]] from first [[placing]] after she stubbed her toe, tripped, and fell out of bounds on her floor exercise. These are testaments to the [[pissed]] of the entire competition. Finally, [[unless]] not necessarily a [[selected]] for an all-around medal, Dong Fangxiao was [[detection]] in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her [[attainment]] from the competition - [[comprise]] her all-around results - were [[repeal]].",5
"Front [[Royal]]–[[Warren]] County Airport (IATA: FRR, ICAO: KFRR, [[FAA]] [[LID]]: FRR) is a county [[owned]], public [[use]] airport [[located]] [[three]] [[nautical]] miles (6 [[km]]) [[west]] of the [[central]] [[business]] [[district]] of Front Royal, a town in [[Warren]] [[County]], [[Virginia]], [[United]] [[States]]. It is [[included]] in the [[National]] [[Plan]] of [[Integrated]] [[Airport]] [[Systems]] for 2011–2015, which [[categorized]] it as a [[general]] [[aviation]] [[facility]].","Front [[Property]]–[[Caldwell]] County Airport (IATA: FRR, ICAO: KFRR, [[ALF]] [[CAPS]]: FRR) is a county [[belongs]], public [[operated]] airport [[founded]] [[two]] [[navy]] miles (6 [[miles]]) [[occidental]] of the [[main]] [[ventures]] [[rounding]] of Front Royal, a town in [[Stephens]] [[Townships]], [[Carolina]], [[Standardized]] [[Nations]]. It is [[constituted]] in the [[Nationalistic]] [[Diagrams]] of [[Integration]] [[Heliport]] [[Project]] for 2011–2015, which [[confidential]] it as a [[aggregate]] [[flights]] [[institution]].",2
