"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk [[covered]] SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[airport]] group.",0.09222650527954102,0.5153029561042786,2,0,2,67,"Successful"
"Sun to shine spotlight on new operating [[system]], Solaris 10 Sun [[Microsystems]] SUNW is expected to release a new [[version]] of its operating system today - a big [[part]] of the struggling computer maker #39;s plan to save itself.","Sun to shine spotlight on new operating [[systems]], Solaris 10 Sun [[y]] SUNW is expected to release a new [[part]] of its operating system today - a big [[share]] of the struggling computer maker #39;s plan to save itself.",0.027898132801055908,0.1467914581298828,3,3,3,65,"Failed"
"Nokia announces Near [[Field]] [[Communication]] products [[With]] the Nokia NFC (Near Field [[Communication]]) [[shell]] on their phone, consumers will be able to [[access]] a variety of services and exchange information with a simple [[touch]] gesture.","Nokia announces Near [[home]] [[communication]] products [[alongside]] the Nokia NFC (Near Field [[communication]]) [[device]] on their phone, consumers will be able to [[pay]] a variety of services and exchange information with a simple [[touching]] gesture.",0.017235875129699707,0.033769071102142334,3,3,3,129,"Failed"
"Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills Corp. [[agreed]] to purchase a 50 percent interest in nine [[malls]] owned by General Motors [[Asset]] [[Management]] Corp. for just over \$1 billion, creating a new [[joint]] venture between the groups. The deal will [[extend]] ...","Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts Mills Corp. [[hopes]] to purchase a 50 percent interest in nine [[businesses]] owned by General Motors [[asset]] [[managing]] Corp. for just over \$1 billion, creating a new [[common]] venture between the groups. The deal will [[cross]] ...",0.004880428314208984,0.023686885833740234,2,2,2,170,"Failed"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.6634945869445801,0.6634945869445801,2,2,3,1,"Skipped"
"President Hu congratulates [[Sihamoni]] on becoming king of Cambodia Chinese President Hu Jintao [[sent]] a message to Norodom [[Sihamoni]] on Thursday to congratulate him on his election as the [[king]] of Cambodia.","President Hu congratulates [[beijing]] on becoming king of Cambodia Chinese President Hu Jintao [[drops]] a message to Norodom [[i]] on Thursday to congratulate him on his election as the [[viceroy]] of Cambodia.",0.0009152889251708984,0.005859196186065674,0,0,0,105,"Failed"
"Sun's Looking Glass Provides 3D View Developers get early [[code]] for new operating system 'skin' still being crafted.","Sun's Looking Glass Provides 3D View Developers get early [[starts]] for new operating system 'skin' still being crafted.",0.01266181468963623,0.014748930931091309,3,3,3,20,"Failed"
"Afghans rocky road to [[historic]] elections KALAKAN, Afghanistan [[There]] were toothless old [[men]], turbaned and gray-bearded, and young men not [[yet]] old enough to shave. There were mullahs and [[mujahedeen]], and the presidential candidate #39;s 3-year-old [[son]].","Afghans rocky road to [[proper]] elections KALAKAN, Afghanistan [[there]] were toothless old [[folk]], turbaned and gray-bearded, and young men not [[usually]] old enough to shave. There were mullahs and [[muslims]], and the presidential candidate #39;s 3-year-old [[junior]].",0.001492321491241455,0.0030859708786010742,0,0,0,116,"Failed"
"Fed Cup all [[tied]] up FRANCE #39;S Russian-born [[Tatiana]] Golovin [[left]] the Fed Cup final hanging in the balance [[today]] as she beat Russia #39;s US Open champion [[Svetlana]] [[Kuznetsova]] 6-4, 6-1 to level the tie at 2-2 and [[take]] it to the final doubles [[match]].","Fed Cup all [[made]] up FRANCE #39;S Russian-born [[tatiana]] Golovin [[won]] the Fed Cup final hanging in the balance [[stage]] as she beat Russia #39;s US Open champion [[defeated]] [[kova]] 6-4, 6-1 to level the tie at 2-2 and [[finish]] it to the final doubles [[matches]].",0.0008597373962402344,0.001546621322631836,1,1,1,210,"Failed"
"[[Today]] in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[tear]] after winning the gold medal in the [[women]] #39;s road cycling individual time trial at the Vouliagmeni [[Olympic]] Centre in [[Athens]] on [[Wednesday]]. ","[[held]] in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[point]] after winning the gold medal in the [[men]] #39;s road cycling individual time trial at the Vouliagmeni [[olympic]] Centre in [[thessaloniki]] on [[wednesday]]. ",0.0009947419166564941,0.001359403133392334,1,1,1,35,"Failed"
