original_text,perturbed_text,label
"The Canal Latéral à [[la]] Loire was [[constructed]] between 1827 and 1838 to connect the [[Canal]] [[de]] Briare at Briare and the Canal du [[Centre]] at Digoin, a [[distance]] of 196 km. [[It]] replaced the [[use]] of the River Loire which had reliability [[problems]] arising from winter [[floods]] and summer [[droughts]]. Aqueducts were [[used]] to [[cross]] the [[River]] Allier at Le Guétin (in the [[commune]] of Cuffy) and the [[River]] Loire at Digoin, but because of the [[extreme]] [[length]] [[required]], [[one]] was not [[built]] to [[cross]] the Loire [[River]] at Briare until 1896 when the Briare aqueduct was [[constructed]].","The Canal Latéral à [[Louisiana]] Loire was [[make]] between 1827 and 1838 to connect the [[channel]] [[Delaware]] Briare at Briare and the Canal du [[concentrate]] at Digoin, a [[outdistance]] of 196 km. [[IT]] replaced the [[usage]] of the River Loire which had reliability [[problem]] arising from winter [[flood]] and summer [[drought]]. Aqueducts were [[apply]] to [[thwart]] the [[river]] Allier at Le Guétin (in the [[communicate]] of Cuffy) and the [[river]] Loire at Digoin, but because of the [[utmost]] [[distance]] [[demand]], [[unity]] was not [[make]] to [[transverse]] the Loire [[river]] at Briare until 1896 when the Briare aqueduct was [[reconstruct]].",2
"Les Disques du Crépuscule is an [[independent]] [[record]] [[label]] [[founded]] in Belgium. The label was [[founded]] in 1980 by Michel Duval and Annik Honoré. It also had a [[prominent]] [[associated]] sublabel, [[Factory]] Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an [[mugwump]] [[memorialize]] [[tag]] [[found]] in Belgium. The label was [[found]] in 1980 by Michel Duval and Annik Honoré. It also had a [[striking]] [[link]] sublabel, [[factory]] Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"The 2003 All-Ireland Under-21 [[Hurling]] [[Championship]] [[final]] was a hurling [[match]] that was [[played]] at Semple Stadium, Thurles on [[21]] [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 [[Hurling]] [[Championship]], the 40th [[season]] of the All-Ireland Under-21 Hurling [[Championship]], a [[tournament]] [[organised]] by the Gaelic [[Athletic]] [[Association]] for the [[champion]] [[teams]] of the [[four]] [[provinces]] of Ireland. The [[final]] was [[contested]] by Kilkenny of Leinster and Galway of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","The 2003 All-Ireland Under-21 [[hurling]] [[title]] [[terminal]] was a hurling [[peer]] that was [[roleplay]] at Semple Stadium, Thurles on [[XXI]] [[Sep]] 2003 to [[specify]] the [[succeeder]] of the 2003 All-Ireland Under-21 [[hurling]] [[title]], the 40th [[temper]] of the All-Ireland Under-21 Hurling [[patronage]], a [[tourney]] [[engineer]] by the Gaelic [[gymnastic]] [[affiliation]] for the [[protagonist]] [[team]] of the [[IV]] [[state]] of Ireland. The [[last]] was [[repugn]] by Kilkenny of Leinster and Galway of Connacht, with Kilkenny [[acquire]] by 2-13 to 0-12.",5
"The Brockville Football [[Club]] was a team that [[played]] in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The Brockville Football [[order]] was a team that [[fiddle]] in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0
"The Texas river cooter (Pseudemys texana) is a [[species]] of freshwater [[turtle]] [[native]] to creeks, rivers, and lakes of the [[US]] state of Texas. It is [[found]] in the river [[basins]] of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is [[one]] of [[two]] species of cooter [[native]] to the [[state]], the other being the Eastern River Cooter.","The Texas river cooter (Pseudemys texana) is a [[coinage]] of freshwater [[capsize]] [[aboriginal]] to creeks, rivers, and lakes of the [[u]] state of Texas. It is [[happen]] in the river [[washstand]] of the Colorado, Brazos, Guadalupe, and San Antonio Rivers. It is [[unity]] of [[II]] species of cooter [[aboriginal]] to the [[say]], the other being the Eastern River Cooter.",3
"Hong Kong [[Tramways]] (Chinese: 香港電車) is a tram [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong [[ropeway]] (Chinese: 香港電車) is a tram [[arrangement]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Mumtaz Mahal (1921 – 1945) was a [[British]] [[Thoroughbred]] [[racehorse]] who the [[National]] [[Sporting]] Library's [[Thoroughbred]] [[Heritage]] website [[says]] was \""[[one]] of the most [[important]] broodmares of the [[20th]] [[Century]]\"". She was [[named]] for empress Mumtaz Mahal, wife of Mughal [[Empire]] [[ruler]] Shah Jahan of Taj Mahal fame. [[Bred]] by [[Lady]] Sykes at her Sledmere Stud in Driffield, [[East]] [[Riding]] of Yorkshire, Mumtaz Mahal was out of the [[mare]] Lady Josephine. Her [[sire]] was The Tetrarch, whom the [[Thoroughbred]] [[Heritage]] website [[also]] [[said]] was \""probably the [[greatest]] two-year-old of all [[time]]\"", and that he was \""[[possibly]] the [[greatest]] [[runner]] [[ever]].\""","Mumtaz Mahal (1921 – 1945) was a [[Brits]] [[pedigreed]] [[bangtail]] who the [[subject]] [[sport]] Library's [[pedigreed]] [[heritage]] website [[enjoin]] was \""[[unity]] of the most [[authoritative]] broodmares of the [[twentieth]] [[100]]\"". She was [[advert]] for empress Mumtaz Mahal, wife of Mughal [[conglomerate]] [[rule]] Shah Jahan of Taj Mahal fame. [[cover]] by [[lady]] Sykes at her Sledmere Stud in Driffield, [[Orient]] [[riding]] of Yorkshire, Mumtaz Mahal was out of the [[maria]] Lady Josephine. Her [[get]] was The Tetrarch, whom the [[pedigreed]] [[heritage]] website [[besides]] [[allege]] was \""probably the [[nifty]] two-year-old of all [[clip]]\"", and that he was \""[[maybe]] the [[nifty]] [[smuggler]] [[always]].\""",3
"The Savages were an American garage rock [[band]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.","The Savages were an American garage rock [[isthmus]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
"Bishop's Stortford is an English [[rugby]] [[union]] team [[based]] in Bishop's Stortford, Hertfordshire. The [[club]] runs five senior sides and the full range of Mini & junior teams, from under-6's to under-18's.  and the first XV currently plays in National League 2 South.","Bishop's Stortford is an English [[rugger]] [[jointure]] team [[ground]] in Bishop's Stortford, Hertfordshire. The [[clubhouse]] runs five senior sides and the full range of Mini & junior teams, from under-6's to under-18's.  and the first XV currently plays in National League 2 South.",0
"Christina Alessi (previously Robinson) is a [[fictional]] [[character]] from the Australian [[soap]] opera [[Neighbours]], [[played]] by Gayle Blakeney. She [[made]] her [[first]] on-screen [[appearance]] on 18 January 1990, when she [[moved]] into Ramsay Street with her [[twin]] sister, Caroline. Christina marries Paul Robinson and gives [[birth]] to their [[son]], Andrew. Christina [[departed]] on [[5]] August 1992 with Paul and Andrew, [[following]] Paul's relocation to Hawaii. Caroline, Christina's twin sister, was played by Gayle's real-life twin, Gillian Blakeney.","Christina Alessi (previously Robinson) is a [[fabricated]] [[case]] from the Australian [[goop]] opera [[neighbor]], [[diddle]] by Gayle Blakeney. She [[defecate]] her [[outset]] on-screen [[appearing]] on 18 January 1990, when she [[displace]] into Ramsay Street with her [[match]] sister, Caroline. Christina marries Paul Robinson and gives [[have]] to their [[Word]], Andrew. Christina [[bygone]] on [[quintet]] August 1992 with Paul and Andrew, [[trace]] Paul's relocation to Hawaii. Caroline, Christina's twin sister, was played by Gayle's real-life twin, Gillian Blakeney.",0
