"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'[[Nonis']] is a [[hybrid]] [[cultivar]] of the [[genus]] [[Neoregelia]] in the [[Bromeliad]] [[family]].","'[[Nnis']] is a [[ybrid]] [[wcultivar]] of the [[genu]] [[eoregelia]] in the [[Brmoeliad]] [[famgily]].",0.0016437172889709473,0.9982744455337524,3,0,3,36,"Successful"
"[[The]] [[Canal]] Latéral à la Loire was constructed between 1827 and [[1838]] to connect the Canal [[de]] [[Briare]] at [[Briare]] and the Canal du [[Centre]] at Digoin, a [[distance]] of [[196]] [[km]]. It replaced the use of the River Loire which had reliability problems arising from winter [[floods]] and summer droughts. [[Aqueducts]] were used to cross the River [[Allier]] at [[Le]] [[Guétin]] (in the [[commune]] of [[Cuffy]]) and the River [[Loire]] at Digoin, but because of the extreme [[length]] required, one was not built to cross the Loire River at [[Briare]] until [[1896]] when the [[Briare]] [[aqueduct]] was constructed.","[[he]] [[CaYnal]] Latéral à la Loire was constructed between 1827 and [[18I8]] to connect the Canal [[jde]] [[Briahre]] at [[Briar]] and the Canal du [[Cenrte]] at Digoin, a [[dEstance]] of [[P96]] [[kwm]]. It replaced the use of the River Loire which had reliability problems arising from winter [[folods]] and summer droughts. [[Aqueructs]] were used to cross the River [[Allir]] at [[eL]] [[Guétni]] (in the [[cJmmune]] of [[Cffy]]) and the River [[Loirk]] at Digoin, but because of the extreme [[elngth]] required, one was not built to cross the Loire River at [[Brire]] until [[1869]] when the [[Birare]] [[aueduct]] was constructed.",0.00871586799621582,0.07860779762268066,2,2,2,214,"Failed"
"Les Disques du [[Crépuscule]] is an [[independent]] [[record]] [[label]] [[founded]] in [[Belgium]]. The [[label]] was [[founded]] in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du [[CrépusculQ]] is an [[indpendent]] [[recodr]] [[lable]] [[foundeyd]] in [[BelgiSm]]. The [[lmabel]] was [[foundked]] in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0.000908970832824707,0.9826751351356506,0,1,0,72,"Successful"
"[[The]] [[2003]] All-Ireland Under-21 Hurling Championship [[final]] was a hurling match that was played at [[Semple]] [[Stadium]], [[Thurles]] on [[21]] [[September]] [[2003]] to determine the [[winners]] of the [[2003]] [[All-Ireland]] Under-21 [[Hurling]] [[Championship]], the [[40th]] [[season]] of the All-Ireland Under-21 Hurling Championship, a tournament organised by the [[Gaelic]] [[Athletic]] Association for the [[champion]] teams of the four provinces of Ireland. The [[final]] was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by [[2-13]] to 0-12.","[[hTe]] [[2030]] All-Ireland Under-21 Hurling Championship [[inal]] was a hurling match that was played at [[emple]] [[ctadium]], [[Tuhrles]] on [[u1]] [[Septemebr]] [[2D03]] to determine the [[inners]] of the [[0203]] [[lAl-Ireland]] Under-21 [[Huling]] [[Chamiponship]], the [[40h]] [[esason]] of the All-Ireland Under-21 Hurling Championship, a tournament organised by the [[GaelSic]] [[Athlentic]] Association for the [[champAon]] teams of the four provinces of Ireland. The [[fianl]] was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by [[p-13]] to 0-12.",0.0010176301002502441,0.0012568831443786621,5,5,5,141,"Failed"
"[[Giulia]] Sergas ([[born]] [[26]] [[December]] [[1979]]) is an [[Italian]] [[professional]] [[golfer]], [[currently]] [[playing]] on both the [[LPGA]] [[Tour]] and the [[Ladies]] [[European]] Tour.","[[Giuwia]] Sergas ([[borEn]] [[t26]] [[Dectmber]] [[1H979]]) is an [[otalian]] [[pofessional]] [[golfez]], [[curArently]] [[laying]] on both the [[LTGA]] [[Tur]] and the [[Ladieks]] [[Euroean]] Tour.",0.000564873218536377,0.00399017333984375,0,0,0,79,"Failed"
"The Brockville Football [[Club]] was a team that [[played]] in the [[QRFU]] at the turn of the century. They had great success early on in their history. [[In]] [[1899]], they finished in first place in the QRFU but lost to Ottawa College in the [[Quebec]] [[finals]]. They won the QRFU [[Championship]] in [[1900]] but lost in the Dominion [[Final]] to the Ottawa [[Rough]] [[Riders]].","The Brockville Football [[Clul]] was a team that [[plEayed]] in the [[RFU]] at the turn of the century. They had great success early on in their history. [[I]] [[189]], they finished in first place in the QRFU but lost to Ottawa College in the [[QueYec]] [[finalDs]]. They won the QRFU [[Champxionship]] in [[9100]] but lost in the Dominion [[Finl]] to the Ottawa [[Rxough]] [[Riderk]].",0.0018961429595947266,0.5207308530807495,0,6,0,100,"Successful"
"Damon Kyle Wayans, Sr. (/[[ˈdeɪmən]] [[ˈweɪ]].ənz/; born September 4, [[1960]]) is an [[American]] [[actor]], comedian, [[writer]] and producer, and [[member]] of the Wayans [[family]] of entertainers. Wayans [[performed]] as a [[comedian]] and actor throughout the 1980s, including a yearlong stint on the [[sketch]] [[comedy]] [[series]] Saturday Night Live, although his true breakthrough came as a [[co-creator]] and performer on his own [[sketch]] [[comedy]] show, In Living Color, from 1990 to 1992. Since then he has [[starred]] in a number of films and television shows, some of which he has [[co-produced]] or [[co-written]], including The Last Boy [[Scout]] and Major Payne, and the [[sitcom]] My Wife and Kids.","Damon Kyle Wayans, Sr. (/[[ˈdeɪəmn]] [[weɪ]].ənz/; born September 4, [[190]]) is an [[AmerCican]] [[acto]], comedian, [[rwiter]] and producer, and [[membLr]] of the Wayans [[famly]] of entertainers. Wayans [[perfofmed]] as a [[combdian]] and actor throughout the 1980s, including a yearlong stint on the [[skeYtch]] [[comeyd]] [[serise]] Saturday Night Live, although his true breakthrough came as a [[c-ocreator]] and performer on his own [[sketNch]] [[cmoedy]] show, In Living Color, from 1990 to 1992. Since then he has [[starerd]] in a number of films and television shows, some of which he has [[cog-produced]] or [[cow-ritten]], including The Last Boy [[Scuot]] and Major Payne, and the [[sitcm]] My Wife and Kids.",0.0005635619163513184,0.0006387829780578613,0,0,0,153,"Failed"
"Sebastian [[Piersig]] (born May 28, [[1984]] in Spremberg, [[Brandenburg]]) is a [[German]] [[slalom]] [[canoer]] who [[competed]] in the 2000s in the [[C-2]] [[category]] together with Felix Michel. [[He]] won a silver medal in the [[C-2]] [[team]] event at the 2006 [[ICF]] [[Canoe]] Slalom World [[Championships]] in Prague. [[He]] also won [[two]] [[gold]] [[medals]] in the same event at the European Championships. [[Piersig]] [[finished]] [[sixth]] in the [[C-2]] event at the [[2008]] Summer Olympics in Beijing.","Sebastian [[Pierig]] (born May 28, [[194]] in Spremberg, [[Brandenbrug]]) is a [[Germna]] [[slaloR]] [[canoRer]] who [[ompeted]] in the 2000s in the [[CM-2]] [[categroy]] together with Felix Michel. [[eH]] won a silver medal in the [[n-2]] [[teaIm]] event at the 2006 [[IC]] [[Canow]] Slalom World [[Champitonships]] in Prague. [[We]] also won [[tow]] [[old]] [[mdals]] in the same event at the European Championships. [[Priersig]] [[vfinished]] [[sixht]] in the [[CH-2]] event at the [[208]] Summer Olympics in Beijing.",0.0006077289581298828,0.0008280277252197266,0,0,0,178,"Failed"
"The [[Texas]] river [[cooter]] ([[Pseudemys]] texana) is a [[species]] of freshwater [[turtle]] native to creeks, rivers, and lakes of the US state of Texas. It is found in the river basins of the [[Colorado]], [[Brazos]], [[Guadalupe]], and San Antonio Rivers. It is [[one]] of [[two]] [[species]] of cooter native to the state, the other being the [[Eastern]] River [[Cooter]].","The [[Teuxas]] river [[cooIer]] ([[Aseudemys]] texana) is a [[secies]] of freshwater [[turtl]] native to creeks, rivers, and lakes of the US state of Texas. It is found in the river basins of the [[Colwrado]], [[BraRzos]], [[GNuadalupe]], and San Antonio Rivers. It is [[onde]] of [[xtwo]] [[speices]] of cooter native to the state, the other being the [[EaLstern]] River [[CooZer]].",0.0012208819389343262,0.838813066482544,3,2,3,99,"Successful"
"[[Yisrael]] [[Beiteinu]] ([[Hebrew]]: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a [[secularist]] and right-wing nationalist political [[party]] in Israel. The [[party's]] base has [[traditionally]] been secular, Russian-speaking Israelis. The [[party]] [[describes]] itself as \""a national movement with the clear vision to follow in the bold [[path]] of Zev Jabotinsky\"", the [[founder]] of Revisionist Zionism. It primarily represents immigrants from the former [[Soviet]] Union. Although it has [[attempted]] to expand its appeal to more established Israelis, it has not been [[successful]], and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The [[party]] maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. In the 2009 election the [[party]] won 15 seats, its most to date, making it the third largest party in the previous Knesset. In the 2015 election, the [[party]] won six seats.","[[Yisrae]] [[BBeiteinu]] ([[Herbew]]: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a [[seuclarist]] and right-wing nationalist political [[praty]] in Israel. The [[partjy's]] base has [[traditioonally]] been secular, Russian-speaking Israelis. The [[partPy]] [[desrcibes]] itself as \""a national movement with the clear vision to follow in the bold [[ptah]] of Zev Jabotinsky\"", the [[foundr]] of Revisionist Zionism. It primarily represents immigrants from the former [[SoviePt]] Union. Although it has [[attemtped]] to expand its appeal to more established Israelis, it has not been [[succssful]], and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of Israeli Arabs, characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of Israel for largely Jewish-inhabited parts of the West Bank. The [[paty]] maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase Jewish immigration. In the 2009 election the [[pary]] won 15 seats, its most to date, making it the third largest party in the previous Knesset. In the 2015 election, the [[paryt]] won six seats.",0.0014313459396362305,0.6885263919830322,0,8,0,237,"Successful"
