"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"'Nonis' is a [[hybrid]] cultivar of the [[genus]] Neoregelia in the Bromeliad [[family]].","'Nonis' is a [[shamrock]] cultivar of the [[likes]] Neoregelia in the Bromeliad [[clans]].",0.0004279017448425293,0.0032500028610229492,3,3,3,75,"Failed"
"[[The]] Canal Latéral à [[la]] Loire was [[constructed]] between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du Centre at Digoin, a [[distance]] of 196 km. It replaced the use of the River Loire which had [[reliability]] problems arising from winter floods and summer [[droughts]]. [[Aqueducts]] were used to cross the River Allier at Le Guétin (in the [[commune]] of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not built to cross the Loire River at Briare until 1896 when the Briare [[aqueduct]] was constructed.","[[Both]] Canal Latéral à [[rivera]] Loire was [[formulated]] between 1827 and 1838 to connect the Canal de Briare at Briare and the Canal du Centre at Digoin, a [[distant]] of 196 km. It replaced the use of the River Loire which had [[confidence]] problems arising from winter floods and summer [[drought]]. [[Levees]] were used to cross the River Allier at Le Guétin (in the [[ville]] of Cuffy) and the River Loire at Digoin, but because of the extreme length required, one was not built to cross the Loire River at Briare until 1896 when the Briare [[riverbank]] was constructed.",0.009072422981262207,0.5190866589546204,2,0,2,253,"Successful"
"Les Disques du Crépuscule is an independent [[record]] [[label]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent [[inscription]] [[stamp]] founded in Belgium. The label was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0.00966954231262207,0.5818325281143188,0,1,0,134,"Successful"
"[[The]] 2003 All-Ireland Under-21 Hurling [[Championship]] [[final]] was a [[hurling]] match that was [[played]] at [[Semple]] [[Stadium]], Thurles on 21 [[September]] 2003 to [[determine]] the [[winners]] of the 2003 All-Ireland Under-21 Hurling [[Championship]], the 40th season of the All-Ireland Under-21 [[Hurling]] [[Championship]], a [[tournament]] [[organised]] by the Gaelic Athletic [[Association]] for the [[champion]] [[teams]] of the [[four]] [[provinces]] of [[Ireland]]. The [[final]] was [[contested]] by Kilkenny of Leinster and [[Galway]] of Connacht, with Kilkenny [[winning]] by 2-13 to 0-12.","[[Both]] 2003 All-Ireland Under-21 Hurling [[Champion]] [[recent]] was a [[dodging]] match that was [[implemented]] at [[Mcpherson]] [[Schoolyard]], Thurles on 21 [[August]] 2003 to [[decides]] the [[earning]] of the 2003 All-Ireland Under-21 Hurling [[Champions]], the 40th season of the All-Ireland Under-21 [[Hurtling]] [[Featuring]], a [[competition]] [[organising]] by the Gaelic Athletic [[Associations]] for the [[championship]] [[appliance]] of the [[three]] [[prov]] of [[Irish]]. The [[last]] was [[moot]] by Kilkenny of Leinster and [[Cardiff]] of Connacht, with Kilkenny [[succeeded]] by 2-13 to 0-12.",0.005718708038330078,0.5937700271606445,5,0,5,599,"Successful"
"[[Damon]] [[Kyle]] Wayans, Sr. (/ˈdeɪmən ˈweɪ.ənz/; [[born]] [[September]] 4, 1960) is an [[American]] [[actor]], [[comedian]], [[writer]] and [[producer]], and [[member]] of the Wayans [[family]] of [[entertainers]]. Wayans [[performed]] as a [[comedian]] and [[actor]] throughout the 1980s, [[including]] a yearlong stint on the [[sketch]] [[comedy]] [[series]] [[Saturday]] [[Night]] [[Live]], although his [[true]] [[breakthrough]] [[came]] as a co-creator and [[performer]] on his [[own]] [[sketch]] [[comedy]] [[show]], [[In]] [[Living]] [[Color]], from 1990 to 1992. [[Since]] then he has [[starred]] in a [[number]] of [[films]] and [[television]] [[shows]], some of which he [[has]] co-produced or co-written, [[including]] [[The]] [[Last]] [[Boy]] [[Scout]] and [[Major]] Payne, and the [[sitcom]] [[My]] [[Wife]] and [[Kids]].","[[Clint]] [[Randy]] Wayans, Sr. (/ˈdeɪmən ˈweɪ.ənz/; [[weld]] [[Jul]] 4, 1960) is an [[Latin]] [[protagonists]], [[irreverent]], [[penned]] and [[fabrication]], and [[representatives]] of the Wayans [[families]] of [[actor]]. Wayans [[fact]] as a [[comical]] and [[actors]] throughout the 1980s, [[incorporated]] a yearlong stint on the [[portrayal]] [[caricature]] [[range]] [[Today]] [[Nights]] [[Lives]], although his [[precise]] [[advances]] [[gotten]] as a co-creator and [[performers]] on his [[belonged]] [[describe]] [[caricature]] [[exposures]], [[Throughout]] [[Lifetimes]] [[Colors]], from 1990 to 1992. [[Upon]] then he has [[comedian]] in a [[nombre]] of [[productions]] and [[cliche]] [[spectacle]], some of which he [[possess]] co-produced or co-written, [[therein]] [[Both]] [[Previous]] [[Brah]] [[Scouting]] and [[Critical]] Payne, and the [[parodies]] [[Mon]] [[Females]] and [[Jr]].",0.0017985105514526367,0.04980051517486572,0,0,0,1487,"Failed"
"The Brockville Football Club was a team that [[played]] in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The Brockville Football Club was a team that [[suffered]] in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0.00794440507888794,0.6542348861694336,0,6,0,75,"Successful"
"[[Sebastian]] Piersig ([[born]] [[May]] 28, 1984 in Spremberg, [[Brandenburg]]) is a [[German]] slalom canoer who [[competed]] in the 2000s in the C-2 [[category]] together with [[Felix]] [[Michel]]. [[He]] won a [[silver]] [[medal]] in the C-2 [[team]] [[event]] at the 2006 [[ICF]] [[Canoe]] Slalom [[World]] [[Championships]] in [[Prague]]. [[He]] also won [[two]] gold [[medals]] in the same [[event]] at the European [[Championships]]. Piersig [[finished]] [[sixth]] in the C-2 [[event]] at the 2008 [[Summer]] [[Olympics]] in [[Beijing]].","[[Fabian]] Piersig ([[ould]] [[Possible]] 28, 1984 in Spremberg, [[Baden]]) is a [[Hessian]] slalom canoer who [[engaging]] in the 2000s in the C-2 [[genus]] together with [[Martinez]] [[Micheline]]. [[It]] won a [[money]] [[trophy]] in the C-2 [[tooling]] [[examples]] at the 2006 [[FAU]] [[Sailboats]] Slalom [[Orb]] [[Starring]] in [[Brno]]. [[It]] also won [[three]] gold [[ornamental]] in the same [[phenomena]] at the European [[Featuring]]. Piersig [[closed]] [[there]] in the C-2 [[cases]] at the 2008 [[Summertime]] [[Medalist]] in [[Guangzhou]].",0.0013420581817626953,0.013582944869995117,0,0,0,572,"Failed"
"[[Giulia]] Sergas ([[born]] 26 [[December]] 1979) is an [[Italian]] [[professional]] [[golfer]], [[currently]] [[playing]] on both the LPGA [[Tour]] and the [[Ladies]] [[European]] [[Tour]].","[[Vicenza]] Sergas ([[welder]] 26 [[Elf]] 1979) is an [[Venetian]] [[labor]] [[golfing]], [[here]] [[plaything]] on both the LPGA [[Visit]] and the [[Gentlemens]] [[Europa]] [[Visit]].",0.0016015172004699707,0.6319848299026489,0,2,0,307,"Successful"
"[[The]] Texas [[river]] cooter (Pseudemys texana) is a [[species]] of freshwater [[turtle]] [[native]] to creeks, [[rivers]], and [[lakes]] of the [[US]] [[state]] of Texas. [[It]] is [[found]] in the river [[basins]] of the [[Colorado]], Brazos, [[Guadalupe]], and [[San]] Antonio [[Rivers]]. [[It]] is one of two species of cooter [[native]] to the [[state]], the other being the [[Eastern]] [[River]] Cooter.","[[Both]] Texas [[waterways]] cooter (Pseudemys texana) is a [[genre]] of freshwater [[spotted]] [[aboriginal]] to creeks, [[flux]], and [[lake]] of the [[OUR]] [[nationals]] of Texas. [[His]] is [[founded]] in the river [[booms]] of the [[Wyoming]], Brazos, [[Señora]], and [[Sans]] Antonio [[Flow]]. [[His]] is one of two species of cooter [[natives]] to the [[governmental]], the other being the [[Oriental]] [[Creeks]] Cooter.",0.0002624392509460449,0.5905388593673706,3,8,3,431,"Successful"
"[[Yisrael]] Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political [[party]] in Israel. The party's base has traditionally been secular, Russian-speaking [[Israelis]]. The party describes itself as \""a national movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the [[founder]] of Revisionist Zionism. It primarily represents [[immigrants]] from the former Soviet Union. Although it has attempted to expand its appeal to more established [[Israelis]], it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of [[Israeli]] [[Arabs]], characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of [[Israel]] for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase [[Jewish]] immigration. In the 2009 election the party won 15 seats, its most to date, making it the [[third]] largest party in the previous Knesset. In the 2015 election, the party won six seats.","[[Judaism]] Beiteinu (Hebrew: יִשְׂרָאֵל בֵּיתֵנוּ‎‎, lit. Israel is Our Home) is a secularist and right-wing nationalist political [[fiesta]] in Israel. The party's base has traditionally been secular, Russian-speaking [[Jerusalem]]. The party describes itself as \""a national movement with the clear vision to follow in the bold path of Zev Jabotinsky\"", the [[founders]] of Revisionist Zionism. It primarily represents [[migration]] from the former Soviet Union. Although it has attempted to expand its appeal to more established [[Idf]], it has not been successful, and most of its voters are Russian-speaking. It takes a strong line towards the peace process and the integration of [[Israel]] [[Saudi]], characterized by its 2009 election slogan \""No loyalty, no citizenship\"". Its main platform includes a recognition of the two-state solution, the creation of a Palestinian state that would include an exchange of some largely Arab-inhabited parts of [[Aviv]] for largely Jewish-inhabited parts of the West Bank. The party maintains an anti-clerical mantle and encourages socio-economic opportunities for new immigrants, in conjunction with efforts to increase [[Babylonian]] immigration. In the 2009 election the party won 15 seats, its most to date, making it the [[fourth]] largest party in the previous Knesset. In the 2015 election, the party won six seats.",0.008457183837890625,0.517498254776001,0,8,0,300,"Successful"
"Hong Kong Tramways (Chinese: 香港電車) is a tram [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong Tramways (Chinese: 香港電車) is a tram [[device]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0.18357807397842407,0.672756552696228,0,7,0,112,"Successful"
