"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Singapore]] govt extends third-party war risk insurance SINGAPORE : [[The]] government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and [[SATS]] Security Services, a unit of the [[Singapore]] [[Airlines]] [[group]].","[[Sngapore]] govt extends third-party war risk insurance SINGAPORE : [[Teh]] government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and [[SAST]] Security Services, a unit of the [[Singapfre]] [[Airilnes]] [[goup]].",0.18338793516159058,0.5483529567718506,2,0,2,60,"Successful"
"[[Mills]] Grabs \$[[1B]] Portfolio; [[Taubman]] [[Likely]] to [[Lose]] Contracts Mills Corp. [[agreed]] to [[purchase]] a 50 percent [[interest]] in nine [[malls]] [[owned]] by [[General]] Motors Asset Management [[Corp]]. for just over \$1 [[billion]], [[creating]] a new [[joint]] venture between the [[groups]]. The [[deal]] will [[extend]] ...","[[Mlils]] Grabs \$[[1D]] Portfolio; [[Tabuman]] [[Liely]] to [[Los]] Contracts Mills Corp. [[agread]] to [[uprchase]] a 50 percent [[interbest]] in nine [[mallfs]] [[owneGd]] by [[Genral]] Motors Asset Management [[Crop]]. for just over \$1 [[billon]], [[creatieg]] a new [[jint]] venture between the [[gropus]]. The [[eal]] will [[exteQnd]] ...",0.011845111846923828,0.609875500202179,2,3,2,128,"Successful"
"[[Sun]] to shine [[spotlight]] on [[new]] [[operating]] [[system]], [[Solaris]] 10 [[Sun]] Microsystems SUNW is expected to [[release]] a new [[version]] of its [[operating]] [[system]] [[today]] - a [[big]] part of the struggling computer maker #39;s plan to save itself.","[[un]] to shine [[spotilght]] on [[jew]] [[opecating]] [[sytsem]], [[Solais]] 10 [[Sn]] Microsystems SUNW is expected to [[rlease]] a new [[verison]] of its [[oerating]] [[ysstem]] [[tyday]] - a [[bbig]] part of the struggling computer maker #39;s plan to save itself.",0.03978818655014038,0.5150520205497742,3,2,3,91,"Successful"
"Fed Cup all [[tied]] up FRANCE #39;S Russian-born Tatiana [[Golovin]] [[left]] the Fed Cup [[final]] hanging in the balance [[today]] as she beat Russia #39;s [[US]] [[Open]] [[champion]] [[Svetlana]] [[Kuznetsova]] 6-4, 6-1 to level the tie at [[2-2]] and take it to the final doubles match.","Fed Cup all [[ited]] up FRANCE #39;S Russian-born Tatiana [[Goloin]] [[lft]] the Fed Cup [[inal]] hanging in the balance [[todjy]] as she beat Russia #39;s [[U]] [[Ojen]] [[champkion]] [[Setlana]] [[Kuznestova]] 6-4, 6-1 to level the tie at [[2e-2]] and take it to the final doubles match.",0.026744723320007324,0.05629009008407593,1,1,1,162,"Failed"
"Today in Athens [[Leontien]] Zijlaard-van Moorsel of the Netherlands wipes a [[tear]] after winning the gold medal in the women #[[39]];s road [[cycling]] individual time [[trial]] at the [[Vouliagmeni]] Olympic Centre in [[Athens]] on Wednesday. ","Today in Athens [[Lenotien]] Zijlaard-van Moorsel of the Netherlands wipes a [[ear]] after winning the gold medal in the women #[[3]];s road [[cydcling]] individual time [[tripl]] at the [[Vouliagmemni]] Olympic Centre in [[Gthens]] on Wednesday. ",0.010498583316802979,0.02139359712600708,1,1,1,115,"Failed"
"Nokia [[announces]] Near [[Field]] [[Communication]] products [[With]] the Nokia [[NFC]] ([[Near]] [[Field]] [[Communication]]) [[shell]] on their [[phone]], consumers will be [[able]] to [[access]] a variety of services and [[exchange]] [[information]] with a [[simple]] [[touch]] [[gesture]].","Nokia [[annouSnces]] Near [[Ffeld]] [[Commnication]] products [[ith]] the Nokia [[NFX]] ([[NMear]] [[FieNld]] [[Comunication]]) [[hsell]] on their [[ehone]], consumers will be [[bale]] to [[acess]] a variety of services and [[exchane]] [[informtion]] with a [[ismple]] [[towuch]] [[lgesture]].",0.012211382389068604,0.09964609146118164,3,3,3,119,"Failed"
"[[President]] [[Hu]] [[congratulates]] [[Sihamoni]] on [[becoming]] [[king]] of Cambodia [[Chinese]] [[President]] Hu [[Jintao]] sent a [[message]] to [[Norodom]] [[Sihamoni]] on [[Thursday]] to [[congratulate]] him on his [[election]] as the [[king]] of [[Cambodia]].","[[Prejsident]] [[u]] [[conkratulates]] [[Siahmoni]] on [[becomng]] [[ing]] of Cambodia [[Chiense]] [[PBesident]] Hu [[JinRtao]] sent a [[mesWsage]] to [[Noordom]] [[Shiamoni]] on [[ThursIay]] to [[congractulate]] him on his [[electioan]] as the [[ikng]] of [[Cambodai]].",0.0026968717575073242,0.5681563019752502,0,1,0,96,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised [[computer-based]] program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised [[coputer-based]] program using personal information to identify airline passengers who may pose a threat to air travel.",0.16195690631866455,0.6732217073440552,3,2,3,32,"Successful"
"[[Afghans]] [[rocky]] [[road]] to [[historic]] [[elections]] [[KALAKAN]], [[Afghanistan]] [[There]] were [[toothless]] old [[men]], turbaned and [[gray-bearded]], and young men not yet old [[enough]] to shave. There were [[mullahs]] and mujahedeen, and the presidential candidate #[[39]];s [[3-year-old]] [[son]].","[[Afghnas]] [[rzcky]] [[royd]] to [[histroic]] [[erections]] [[KALnKAN]], [[Afgranistan]] [[Ther]] were [[Toothless]] old [[mwn]], turbaned and [[gray-beardekd]], and young men not yet old [[eznough]] to shave. There were [[mulaahs]] and mujahedeen, and the presidential candidate #[[3z]];s [[3-year-olR]] [[Xson]].",0.001086115837097168,0.592764139175415,0,3,0,95,"Successful"
"Sun's Looking Glass Provides [[3D]] View [[Developers]] get early [[code]] for new [[operating]] [[system]] '[[skin']] [[still]] being crafted.","Sun's Looking Glass Provides [[D]] View [[Deelopers]] get early [[ode]] for new [[operatign]] [[sysetm]] '[[sin']] [[stil]] being crafted.",0.0048043131828308105,0.6074183583259583,3,0,3,64,"Successful"
