original_text,perturbed_text,label
"The Canal Latéral à [[la]] Loire was [[constructed]] between 1827 and 1838 to [[connect]] the [[Canal]] de Briare at Briare and the Canal du [[Centre]] at Digoin, a [[distance]] of 196 [[km]]. It replaced the use of the River Loire which had reliability problems arising from winter floods and summer droughts. Aqueducts were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme [[length]] required, one was not built to cross the Loire River at Briare until 1896 when the Briare aqueduct was constructed.","The Canal Latéral à [[LA]] Loire was [[retrace]] between 1827 and 1838 to [[unite]] the [[duct]] de Briare at Briare and the Canal du [[gist]] at Digoin, a [[outdistance]] of 196 [[klick]]. It replaced the use of the River Loire which had reliability problems arising from winter floods and summer droughts. Aqueducts were used to cross the River Allier at Le Guétin (in the commune of Cuffy) and the River Loire at Digoin, but because of the extreme [[distance]] required, one was not built to cross the Loire River at Briare until 1896 when the Briare aqueduct was constructed.",2
"The 2003 All-Ireland Under-21 Hurling Championship [[final]] was a hurling [[match]] that was [[played]] at Semple Stadium, Thurles on [[21]] September 2003 to determine the winners of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a tournament organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. The [[final]] was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.","The 2003 All-Ireland Under-21 Hurling Championship [[net]] was a hurling [[pair]] that was [[represent]] at Semple Stadium, Thurles on [[XXI]] September 2003 to determine the winners of the 2003 All-Ireland Under-21 Hurling Championship, the 40th season of the All-Ireland Under-21 Hurling Championship, a tournament organised by the Gaelic Athletic Association for the champion teams of the four provinces of Ireland. The [[last]] was contested by Kilkenny of Leinster and Galway of Connacht, with Kilkenny winning by 2-13 to 0-12.",5
"Les Disques du Crépuscule is an independent [[record]] [[label]] [[founded]] in Belgium. The [[label]] was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.","Les Disques du Crépuscule is an independent [[show]] [[tag]] [[ground]] in Belgium. The [[mark]] was founded in 1980 by Michel Duval and Annik Honoré. It also had a prominent associated sublabel, Factory Benelux. Both are now run by former employee James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the label's catalogue numbers being prefixed by the letters TWI.",0
"The Brockville Football [[Club]] was a team that [[played]] in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The Brockville Football [[nightspot]] was a team that [[encounter]] in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0
"Hong Kong Tramways (Chinese: 香港電車) is a tram [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong Tramways (Chinese: 香港電車) is a tram [[arrangement]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"These are the [[results]] of the women's [[individual]] [[all-around]] [[competition]], [[one]] of six [[events]] for female competitors in artistic gymnastics at the 2000 Summer Olympics in Sydney. The qualification and final rounds [[took]] [[place]] on September 17 and 21 at the Sydney SuperDome. The all-around competition in the discipline of women's artistic gymnastics (WAG) was marred by three separate scandals. The vault apparatus was set incorrectly for more than half of the meet; consequently many gymnasts fell or were injured on the event. The apparatus was adjusted during the third rotation and those gymnasts who had vaulted on the incorrectly set equipment were invited to re-do the event at the end of the competition. Notably, Svetlana Khorkina, who led champion Andreea Răducan by nearly 0.3 in qualifications, was thrown out of medal contention due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who led the competition until the last rotation, was thrown from first place after she stubbed her toe, tripped, and fell out of bounds on her floor exercise. These are testaments to the upset of the entire competition. Finally, though not necessarily a favorite for an all-around medal, Dong Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her results from the competition - including her all-around results - were [[cancelled]].","These are the [[issue]] of the women's [[case-by-case]] [[well-rounded]] [[contender]], [[I]] of six [[issue]] for female competitors in artistic gymnastics at the 2000 Summer Olympics in Sydney. The qualification and final rounds [[study]] [[office]] on September 17 and 21 at the Sydney SuperDome. The all-around competition in the discipline of women's artistic gymnastics (WAG) was marred by three separate scandals. The vault apparatus was set incorrectly for more than half of the meet; consequently many gymnasts fell or were injured on the event. The apparatus was adjusted during the third rotation and those gymnasts who had vaulted on the incorrectly set equipment were invited to re-do the event at the end of the competition. Notably, Svetlana Khorkina, who led champion Andreea Răducan by nearly 0.3 in qualifications, was thrown out of medal contention due to the wrongly measured vault. Additionally, world all-around silver medalist Viktoria Karpenko, who led the competition until the last rotation, was thrown from first place after she stubbed her toe, tripped, and fell out of bounds on her floor exercise. These are testaments to the upset of the entire competition. Finally, though not necessarily a favorite for an all-around medal, Dong Fangxiao was found in 2010 to have been underaged at the Sydney Olympics. Consequently, all of her results from the competition - including her all-around results - were [[delete]].",5
"Taufik Hidayat ([[born]] 10 August 1981 in Bandung, [[West]] Java) is a [[retired]] [[Indonesian]] badminton [[player]]. He is a [[former]] [[World]] and Olympic [[champion]] in men's [[singles]]. [[He]] has [[also]] won the Indonesian Open [[six]] times (1999, 2000, 2002, 2003, 2004 and 2006). When he was [[young]], he [[joined]] the SGS [[Club]], a badminton [[club]] in Bandung, where he trained under Iie Sumirat. Hidayat won the men's [[singles]] [[competition]] in badminton at the 2004 Summer Olympics. [[In]] [[August]] 2005, he won the men's [[singles]] [[competition]] at the IBF [[World]] Championships. [[He]] also won the gold medal at the Asian Games twice, at Busan in 2002 and Doha in 2006. Popular [[media]] has at times [[focused]] on the perceived rivalry between Hidayat and Chinese player Lin Dan, referring to the two as \""[[arch]] [[rivals]]\"". [[In]] November 2012, Hidayat [[built]] a badminton [[training]] center [[named]] Taufik Hidayat [[Arena]] (THA), located at Ciracas, [[East]] Jakarta. The [[Center]] is owned and named after himself.","Taufik Hidayat ([[deport]] 10 August 1981 in Bandung, [[westward]] Java) is a [[retreat]] [[Bahasa]] badminton [[thespian]]. He is a [[old]] [[populace]] and Olympic [[admirer]] in men's [[bingle]]. [[helium]] has [[too]] won the Indonesian Open [[vi]] times (1999, 2000, 2002, 2003, 2004 and 2006). When he was [[unseasoned]], he [[linked]] the SGS [[lodge]], a badminton [[lodge]] in Bandung, where he trained under Iie Sumirat. Hidayat won the men's [[one]] [[contention]] in badminton at the 2004 Summer Olympics. [[inch]] [[revered]] 2005, he won the men's [[ace]] [[rivalry]] at the IBF [[Earth]] Championships. [[helium]] also won the gold medal at the Asian Games twice, at Busan in 2002 and Doha in 2006. Popular [[spiritualist]] has at times [[center]] on the perceived rivalry between Hidayat and Chinese player Lin Dan, referring to the two as \""[[curve]] [[touch]]\"". [[inch]] November 2012, Hidayat [[progress]] a badminton [[education]] center [[distinguish]] Taufik Hidayat [[orbit]] (THA), located at Ciracas, [[eastward]] Jakarta. The [[centre]] is owned and named after himself.",0
"Mumtaz Mahal (1921 – 1945) was a British [[Thoroughbred]] [[racehorse]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was [[named]] for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""","Mumtaz Mahal (1921 – 1945) was a British [[pedigreed]] [[bangtail]] who the National Sporting Library's Thoroughbred Heritage website says was \""one of the most important broodmares of the 20th Century\"". She was [[appoint]] for empress Mumtaz Mahal, wife of Mughal Empire ruler Shah Jahan of Taj Mahal fame. Bred by Lady Sykes at her Sledmere Stud in Driffield, East Riding of Yorkshire, Mumtaz Mahal was out of the mare Lady Josephine. Her sire was The Tetrarch, whom the Thoroughbred Heritage website also said was \""probably the greatest two-year-old of all time\"", and that he was \""possibly the greatest runner ever.\""",3
"The Savages were an American garage rock [[band]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.","The Savages were an American garage rock [[isthmus]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
"Bishop's Stortford is an English [[rugby]] [[union]] [[team]] [[based]] in Bishop's Stortford, Hertfordshire. The [[club]] [[runs]] five senior sides and the full range of Mini & junior teams, from under-6's to under-18's.  and the first XV currently plays in National League 2 South.","Bishop's Stortford is an English [[rugger]] [[coupling]] [[squad]] [[ground]] in Bishop's Stortford, Hertfordshire. The [[clubhouse]] [[footrace]] five senior sides and the full range of Mini & junior teams, from under-6's to under-18's.  and the first XV currently plays in National League 2 South.",0
