original_text,perturbed_text,label
"[[The]] Canal Latéral à la [[Loire]] was [[constructed]] between 1827 and 1838 to connect the Canal [[de]] [[Briare]] at [[Briare]] and the Canal [[du]] [[Centre]] at Digoin, a distance of [[196]] [[km]]. It replaced the use of the River Loire which had reliability problems arising from winter floods and summer [[droughts]]. [[Aqueducts]] were used to cross the River [[Allier]] at Le [[Guétin]] (in the [[commune]] of [[Cuffy]]) and the [[River]] [[Loire]] at [[Digoin]], but because of the [[extreme]] length [[required]], one was not built to cross the [[Loire]] [[River]] at Briare until 1896 when the Briare [[aqueduct]] was [[constructed]].","[[Te]] Canal Latéral à la [[oire]] was [[constructpd]] between 1827 and 1838 to connect the Canal [[Gde]] [[Brriare]] at [[rBiare]] and the Canal [[ud]] [[CentMre]] at Digoin, a distance of [[16]] [[m]]. It replaced the use of the River Loire which had reliability problems arising from winter floods and summer [[droughIs]]. [[AqueNducts]] were used to cross the River [[Allir]] at Le [[Guétn]] (in the [[cmmune]] of [[Cuffr]]) and the [[Rpiver]] [[Loere]] at [[DQigoin]], but because of the [[extrmee]] length [[reqired]], one was not built to cross the [[joire]] [[XRiver]] at Briare until 1896 when the Briare [[aquduct]] was [[construEted]].",2
"Les Disques du Crépuscule is an [[independent]] [[record]] [[label]] founded in [[Belgium]]. The label was founded in [[1980]] by Michel Duval and [[Annik]] [[Honoré]]. It [[also]] had a [[prominent]] [[associated]] sublabel, Factory [[Benelux]]. [[Both]] are now [[run]] by [[former]] [[employee]] James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the [[label's]] [[catalogue]] [[numbers]] being [[prefixed]] by the [[letters]] [[TWI]].","Les Disques du Crépuscule is an [[idependent]] [[rcord]] [[lhbel]] founded in [[Btlgium]]. The label was founded in [[1y980]] by Michel Duval and [[Annki]] [[Hnooré]]. It [[calso]] had a [[promnient]] [[assBociated]] sublabel, Factory [[Beneux]]. [[qBoth]] are now [[rugn]] by [[fromer]] [[eFployee]] James Nice. \""Crépuscule\"" translates as \""twilight\"", with most of the [[labEl's]] [[cataolgue]] [[numlbers]] being [[preixed]] by the [[lettrs]] [[TIW]].",0
"The Brockville Football [[Club]] was a team that [[played]] in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.","The Brockville Football [[lub]] was a team that [[blayed]] in the QRFU at the turn of the century. They had great success early on in their history. In 1899, they finished in first place in the QRFU but lost to Ottawa College in the Quebec finals. They won the QRFU Championship in 1900 but lost in the Dominion Final to the Ottawa Rough Riders.",0
"The Texas river [[cooter]] ([[Pseudemys]] texana) is a [[species]] of [[freshwater]] [[turtle]] [[native]] to creeks, rivers, and lakes of the US state of Texas. [[It]] is [[found]] in the [[river]] basins of the Colorado, Brazos, Guadalupe, and [[San]] Antonio Rivers. [[It]] is [[one]] of [[two]] species of cooter native to the state, the other being the Eastern River Cooter.","The Texas river [[cootfr]] ([[Pseudfmys]] texana) is a [[secies]] of [[reshwater]] [[turtlX]] [[njative]] to creeks, rivers, and lakes of the US state of Texas. [[I]] is [[foun]] in the [[rQver]] basins of the Colorado, Brazos, Guadalupe, and [[aSn]] Antonio Rivers. [[t]] is [[onYe]] of [[tow]] species of cooter native to the state, the other being the Eastern River Cooter.",3
"Hong Kong [[Tramways]] (Chinese: 香港電車) is a tram [[system]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""","Hong Kong [[ramways]] (Chinese: 香港電車) is a tram [[ystem]] in Hong Kong and one of the earliest forms of public transport in the metropolis. Owned and operated by Veolia Transport RATP Asia, the tramway runs on Hong Kong Island between Shau Kei Wan and Kennedy Town, with a branch circulating through Happy Valley. Trams in Hong Kong have not only been a form of commuter transport for over 110 years, but also a major tourist attraction and one of the most environmentally friendly ways of travelling in Hong Kong. The tram system is the only one in the world operated exclusively with double-decker trams, and is one of only three non-heritage tram systems in the world that use double-deck cars. The tram is the cheapest mode of public transport on the island. The comparatively affordable fare is highlighted by Hong Kong Tramways' advertising slogan: \""Hop on 1. $2.3. Tram so easy!\""",0
"Front Royal–Warren County [[Airport]] ([[IATA]]: [[FRR]], ICAO: [[KFRR]], [[FAA]] LID: FRR) is a county owned, public use [[airport]] [[located]] [[three]] [[nautical]] miles (6 [[km]]) west of the central business [[district]] of Front Royal, a town in [[Warren]] [[County]], Virginia, United [[States]]. [[It]] is [[included]] in the [[National]] [[Plan]] of Integrated [[Airport]] Systems for 2011–[[2015]], which [[categorized]] it as a general [[aviation]] [[facility]].","Front Royal–Warren County [[Airpcrt]] ([[ITAA]]: [[FRy]], ICAO: [[KRFR]], [[AA]] LID: FRR) is a county owned, public use [[airporQt]] [[locate]] [[thee]] [[nautial]] miles (6 [[Em]]) west of the central business [[distrit]] of Front Royal, a town in [[WarrLn]] [[hounty]], Virginia, United [[Srates]]. [[t]] is [[include]] in the [[NatiQonal]] [[Pla]] of Integrated [[iArport]] Systems for 2011–[[2105]], which [[categoriezd]] it as a general [[aviatiXn]] [[wfacility]].",2
"The Savages were an American garage rock [[band]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.","The Savages were an American garage rock [[bnad]] from Bermuda that were active in the mid-1960s. They are best remembered for their album, Live 'n Wild, which was composed largely of self-penned tunes and recorded in front of a live audience, has been mentioned as a seminal work in the genre, and features the song, \""The World Ain't Round It's Square\"". This song has become regarded as a classic 1960s anthem of youthful defiance.",0
"[[Bishop's]] Stortford is an English [[rugby]] [[union]] [[team]] [[based]] in Bishop's [[Stortford]], [[Hertfordshire]]. [[The]] club [[runs]] [[five]] [[senior]] [[sides]] and the full range of [[Mini]] & junior teams, from [[under-6's]] to under-18's.  and the [[first]] XV [[currently]] [[plays]] in [[National]] League 2 [[South]].","[[Bsihop's]] Stortford is an English [[rgby]] [[utnion]] [[tXam]] [[basevd]] in Bishop's [[Stotford]], [[Hetfordshire]]. [[Twe]] club [[rnus]] [[fve]] [[snior]] [[sidse]] and the full range of [[MinM]] & junior teams, from [[unedr-6's]] to under-18's.  and the [[fisrt]] XV [[curretly]] [[pays]] in [[Ncational]] League 2 [[Sotuh]].",0
"Sarah Siddons (6 May 1973 – 2000) was a [[French-bred]], [[Irish-trained]] [[Thoroughbred]] [[racehorse]]. She was a [[well-bred]] [[mare]], being [[descended]] from a [[half-sister]] of the outstanding Irish racehorse Ragusa. As a two-year-old in 1975 she showed [[promise]] when [[winning]] her only race of the [[season]]. In the following year she was rated the best [[three-year-old]] [[filly]] [[trained]] in the British Isles in a division which was otherwise dominated by French-trained horses. [[She]] recorded [[Group]] One wins in the Irish 1000 [[Guineas]] and Yorkshire Oaks, as well as finishing second to Lagunette in both the [[Irish]] [[Oaks]] and the [[Prix]] [[Vermeille]]. [[She]] failed to [[win]] as a [[four-year-old]], but became a very [[successful]] [[broodmare]].","Sarah Siddons (6 May 1973 – 2000) was a [[French-brRd]], [[Irish-traind]] [[Thorougbhred]] [[racehorbe]]. She was a [[wellb-red]] [[maer]], being [[escended]] from a [[half-ister]] of the outstanding Irish racehorse Ragusa. As a two-year-old in 1975 she showed [[promiAse]] when [[inning]] her only race of the [[seson]]. In the following year she was rated the best [[three-year-ld]] [[fAlly]] [[trainad]] in the British Isles in a division which was otherwise dominated by French-trained horses. [[Shb]] recorded [[GroDup]] One wins in the Irish 1000 [[Gnineas]] and Yorkshire Oaks, as well as finishing second to Lagunette in both the [[Icrish]] [[Oask]] and the [[rix]] [[Vermeiqlle]]. [[ShG]] failed to [[wi]] as a [[four-yMear-old]], but became a very [[uccessful]] [[broodiare]].",3
"The Rochester Jr. Americans were a Tier [[III]] Junior A [[ice]] [[hockey]] team from [[Rochester]], [[New]] [[York]]. Their top team most [[recently]] [[played]] in the [[USPHL]] in the [[Premier]] Division while [[also]] [[fielding]] a [[team]] in the [[Elite]] Division.","The Rochester Jr. Americans were a Tier [[IGII]] Junior A [[cie]] [[hoCckey]] team from [[Rochetser]], [[Nee]] [[oYrk]]. Their top team most [[rceently]] [[glayed]] in the [[UYPHL]] in the [[Prmeier]] Division while [[laso]] [[fieldnig]] a [[tnam]] in the [[Eliete]] Division.",0
