"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airborne]] group.",0.18338793516159058,0.5337868928909302,2,0,2,70,"Successful"
"[[Mills]] Grabs \$1B Portfolio; Taubman Likely to Lose Contracts [[Mills]] Corp. agreed to [[purchase]] a 50 percent interest in nine malls owned by General Motors Asset Management [[Corp]]. for just over \$1 billion, creating a new [[joint]] venture between the [[groups]]. The [[deal]] will extend ...","[[Installations]] Grabs \$1B Portfolio; Taubman Likely to Lose Contracts [[Seedlings]] Corp. agreed to [[shopping]] a 50 percent interest in nine malls owned by General Motors Asset Management [[Businesses]]. for just over \$1 billion, creating a new [[ensemble]] venture between the [[panel]]. The [[compose]] will extend ...",0.011845111846923828,0.6199499368667603,2,3,2,198,"Successful"
"[[Sun]] to [[shine]] spotlight on new operating [[system]], Solaris 10 [[Sun]] Microsystems SUNW is expected to [[release]] a new [[version]] of its operating [[system]] [[today]] - a [[big]] part of the struggling computer maker #39;s plan to save itself.","[[Sohn]] to [[shining]] spotlight on new operating [[arrangements]], Solaris 10 [[Soil]] Microsystems SUNW is expected to [[discharges]] a new [[stepping]] of its operating [[systems]] [[wed]] - a [[largest]] part of the struggling computer maker #39;s plan to save itself.",0.03978818655014038,0.5109789371490479,3,2,3,260,"Successful"
"Fed Cup all [[tied]] up FRANCE #39;S Russian-born [[Tatiana]] Golovin [[left]] the Fed [[Cup]] final [[hanging]] in the balance [[today]] as she [[beat]] [[Russia]] #39;s US [[Open]] [[champion]] [[Svetlana]] Kuznetsova 6-4, 6-1 to level the tie at 2-2 and [[take]] it to the [[final]] doubles match.","Fed Cup all [[intertwined]] up FRANCE #39;S Russian-born [[Jelena]] Golovin [[let]] the Fed [[Cups]] final [[suspending]] in the balance [[fri]] as she [[overcame]] [[Putin]] #39;s US [[Publicly]] [[sympathizer]] [[Ivanova]] Kuznetsova 6-4, 6-1 to level the tie at 2-2 and [[shoulder]] it to the [[eventual]] doubles match.",0.026744723320007324,0.10593307018280029,1,1,1,637,"Failed"
"Nokia [[announces]] [[Near]] [[Field]] [[Communication]] [[products]] [[With]] the Nokia NFC ([[Near]] [[Field]] Communication) [[shell]] on their [[phone]], [[consumers]] [[will]] [[be]] [[able]] to [[access]] a variety of services and [[exchange]] [[information]] with a simple [[touch]] [[gesture]].","Nokia [[declaration]] [[Almost]] [[Domains]] [[Telecommunications]] [[proceeds]] [[For]] the Nokia NFC ([[Nearly]] [[Regions]] Communication) [[shelled]] on their [[rang]], [[buyers]] [[yearning]] [[constituted]] [[adroit]] to [[admission]] a variety of services and [[currency]] [[particulars]] with a simple [[contacted]] [[signal]].",0.012211382389068604,0.11685794591903687,3,3,3,703,"Failed"
"[[Today]] in [[Athens]] Leontien Zijlaard-van Moorsel of the Netherlands [[wipes]] a [[tear]] after [[winning]] the [[gold]] medal in the [[women]] #39;s [[road]] cycling [[individual]] time [[trial]] at the Vouliagmeni [[Olympic]] [[Centre]] in [[Athens]] on [[Wednesday]]. ","[[Domingos]] in [[Acropolis]] Leontien Zijlaard-van Moorsel of the Netherlands [[swabbing]] a [[tears]] after [[conquered]] the [[dorado]] medal in the [[broads]] #39;s [[footpath]] cycling [[interpersonal]] time [[experiments]] at the Vouliagmeni [[Olympia]] [[Plants]] in [[Piraeus]] on [[Sundays]]. ",0.010498583316802979,0.6952576637268066,1,3,1,374,"Successful"
"[[President]] Hu [[congratulates]] Sihamoni on [[becoming]] [[king]] of Cambodia Chinese [[President]] Hu Jintao [[sent]] a [[message]] to Norodom Sihamoni on Thursday to [[congratulate]] him on his [[election]] as the king of Cambodia.","[[Chairperson]] Hu [[extol]] Sihamoni on [[acquires]] [[kaiser]] of Cambodia Chinese [[Wheelchairs]] Hu Jintao [[recharged]] a [[telecommunications]] to Norodom Sihamoni on Thursday to [[appreciate]] him on his [[constituents]] as the king of Cambodia.",0.0026968717575073242,0.5518220663070679,0,2,0,330,"Successful"
"[[Afghans]] [[rocky]] [[road]] to [[historic]] [[elections]] KALAKAN, [[Afghanistan]] There were [[toothless]] old [[men]], turbaned and gray-bearded, and young men not yet old enough to shave. There were mullahs and mujahedeen, and the presidential [[candidate]] #39;s 3-year-old [[son]].","[[Iranians]] [[ocr]] [[chemin]] to [[traditions]] [[suffrage]] KALAKAN, [[Afghani]] There were [[unusable]] old [[humans]], turbaned and gray-bearded, and young men not yet old enough to shave. There were mullahs and mujahedeen, and the presidential [[apps]] #39;s 3-year-old [[wiring]].",0.001086115837097168,0.5968182682991028,0,3,0,266,"Successful"
"[[Oil]] [[Prices]] Set a New [[Record]] Above \$50  SINGAPORE ([[Reuters]]) - Oil prices set a new record above \$50  a barrel on Tuesday as a prolonged U.S. production outage  following Hurricane [[Ivan]] attracted fresh speculative buying.","[[Gaz]] [[Honorarium]] Set a New [[Albums]] Above \$50  SINGAPORE ([[Newsday]]) - Oil prices set a new record above \$50  a barrel on Tuesday as a prolonged U.S. production outage  following Hurricane [[Ioan]] attracted fresh speculative buying.",0.03900843858718872,0.6798897981643677,2,0,2,160,"Successful"
"Sun's [[Looking]] [[Glass]] [[Provides]] 3D [[View]] [[Developers]] [[get]] [[early]] [[code]] for [[new]] [[operating]] [[system]] 'skin' [[still]] being [[crafted]].","Sun's [[Pursuing]] [[Goblets]] [[Assigns]] 3D [[Belvedere]] [[Manufacturers]] [[gained]] [[immediate]] [[scrambling]] for [[recent]] [[employment]] [[arrangements]] 'skin' [[further]] being [[prepared]].",0.0048043131828308105,0.5795753002166748,3,2,3,453,"Successful"
"Govt. to [[Test]] New [[Air]] Passenger [[Screening]] Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to [[Tester]] New [[Boeing]] Passenger [[Checks]] Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.16195690631866455,0.5831151008605957,3,2,3,158,"Successful"
"[[US]] suspends [[helicopter]] flights after [[Japan]] crash (AFP) AFP - The [[United]] [[States]] [[suspended]] flights of CH-53D [[military]] helicopters in [[Japan]], [[bowing]] to [[protests]] over a crash in an [[Okinawa]] university campus.","[[VS]] suspends [[aeroplanes]] flights after [[Japs]] crash (AFP) AFP - The [[Uni]] [[Says]] [[interrupting]] flights of CH-53D [[martial]] helicopters in [[Tonkin]], [[reverent]] to [[phenomena]] over a crash in an [[Fukuoka]] university campus.",0.002635180950164795,0.540920615196228,0,3,0,249,"Successful"
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, [[stopped]] being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[gaming]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, [[stops]] being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",0.0034291744232177734,0.6023377180099487,1,3,1,112,"Successful"
"Phelps Seeks More Gold at [[World]] Championships  INDIANAPOLIS ([[Reuters]]) - [[Still]] [[riding]] a [[wave]] of [[euphoria]]  from the [[Olympics]], [[Michael]] Phelps [[returns]] to the [[pool]] this [[week]]  at the [[world]] [[short]] [[course]] swimming [[championships]] [[seeking]] a  [[repeat]] of his [[six]] [[gold]] [[medals]] in [[Athens]].","Phelps Seeks More Gold at [[Planetary]] Championships  INDIANAPOLIS ([[Newsday]]) - [[Even]] [[equestrian]] a [[wielding]] of [[thrill]]  from the [[Olympians]], [[Michaela]] Phelps [[performance]] to the [[puddles]] this [[cabbage]]  at the [[mondo]] [[shortest]] [[chemin]] swimming [[championship]] [[struggling]] a  [[chanted]] of his [[eight]] [[kim]] [[decor]] in [[Hera]].",0.0521930456161499,0.9727988839149475,1,3,1,429,"Successful"
"Viacom, Disney pay \$1.5M FCC fine [[Disney]] and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable [[television]] networks [[violated]] advertising restrictions, the FCC said [[Thursday]].","Viacom, Disney pay \$1.5M FCC fine [[Fantasyland]] and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable [[gideon]] networks [[encroach]] advertising restrictions, the FCC said [[Sonntag]].",0.0291287899017334,0.5057095289230347,2,3,2,160,"Successful"
"Pfizer Sends Out Update On Drug Bextra Pfizer [[Inc]]. said [[Friday]] that it will provide health-care professionals with [[additional]] [[information]] about its Bextra arthritis drug and that it will conduct further studies to confirm the [[drug]] #39;s long-term [[cardiovascular]] [[safety]] [[record]].","Pfizer Sends Out Update On Drug Bextra Pfizer [[Serv]]. said [[Sonntag]] that it will provide health-care professionals with [[added]] [[info]] about its Bextra arthritis drug and that it will conduct further studies to confirm the [[addiction]] #39;s long-term [[nub]] [[secure]] [[archive]].",0.007027924060821533,0.511100172996521,2,3,2,215,"Successful"
"US [[Airways]], Pilots Union Near Agreement US Airways is seeking \$800 [[million]] in concessions from employee unions as it attempts to avoid filing Chapter 11. The Air [[Line]] [[Pilots]] Association will present its [[proposal]] on the [[evening]] of ","US [[Airspace]], Pilots Union Near Agreement US Airways is seeking \$800 [[trillion]] in concessions from employee unions as it attempts to avoid filing Chapter 11. The Air [[Bloodline]] [[Pilot]] Association will present its [[project]] on the [[nighttime]] of ",0.010470330715179443,0.5778334140777588,2,3,2,136,"Successful"
"Restive Maldives [[eases]] [[curfew]] after [[rounding]] up [[dissidents]] (AFP) AFP - A [[curfew]] in the [[capital]] of the Maldives was [[eased]] but [[parliament]] [[sessions]] were [[put]] off [[indefinitely]] and [[emergency]] [[rule]] [[continued]] [[following]] [[last]] week's [[riots]], [[officials]] and [[residents]] [[said]].","Restive Maldives [[soothed]] [[curfews]] after [[arrondissement]] up [[undesirables]] (AFP) AFP - A [[curfews]] in the [[finances]] of the Maldives was [[reassured]] but [[congressional]] [[cycles]] were [[placing]] off [[invariably]] and [[contingency]] [[regulates]] [[cont]] [[trailing]] [[yesteryear]] week's [[distortions]], [[managers]] and [[renters]] [[affirms]].",0.0007230639457702637,0.53058260679245,0,2,0,554,"Successful"
"Colgate to [[cut]] workforce [[CONSUMER]] [[goods]] maker Colgate-Palmolive said [[today]] it would [[cut]] about 12 per [[cent]] of its 37,000-person [[work]] [[force]] and [[close]] a third of its factories worldwide as [[part]] of a four-year [[restructuring]].","Colgate to [[incision]] workforce [[CLIENTS]] [[objects]] maker Colgate-Palmolive said [[yesterday]] it would [[dissected]] about 12 per [[centimes]] of its 37,000-person [[collaborator]] [[strengths]] and [[proximity]] a third of its factories worldwide as [[parte]] of a four-year [[redesigning]].",0.022838830947875977,0.553402304649353,2,3,2,345,"Successful"
"Her aim: Give Tufts-NEMC intensive care For 10 years, Ellen [[Zane]] [[oversaw]] community doctors for Partners HealthCare, the [[parent]] organization of [[Massachusetts]] General and Brigham and Women's hospitals and the [[biggest]] and most [[profitable]] hospital and physician network in Massachusetts. Then in [[December]], she became [[chief]] [[executive]] of a very different institution: Tufts-New England Medical Center in Boston's Chinatown neighborhood. Tufts-NEMC is not only [[smaller]], it's ...","Her aim: Give Tufts-NEMC intensive care For 10 years, Ellen [[Skyler]] [[surveilling]] community doctors for Partners HealthCare, the [[paternity]] organization of [[Worcester]] General and Brigham and Women's hospitals and the [[high]] and most [[fecund]] hospital and physician network in Massachusetts. Then in [[Janeiro]], she became [[main]] [[implementation]] of a very different institution: Tufts-New England Medical Center in Boston's Chinatown neighborhood. Tufts-NEMC is not only [[juvenile]], it's ...",0.07992774248123169,0.6944402456283569,2,3,2,327,"Successful"
"Small [[office]] / Home office Wi-Fi [[device]] [[finds]] hotspots More and more [[venues]] are [[becoming]] hotspots. [[Using]] the [[wireless]] 802.11x [[protocol]] [[better]] [[known]] as Wi-Fi, these hotspots can [[be]] [[found]] in airports, [[libraries]], coffeehouses, [[restaurants]], [[shopping]] ","Small [[bureaus]] / Home office Wi-Fi [[appliances]] [[deems]] hotspots More and more [[buildings]] are [[became]] hotspots. [[Employment]] the [[cordless]] 802.11x [[memos]] [[tougher]] [[undergone]] as Wi-Fi, these hotspots can [[constitutes]] [[concludes]] in airports, [[auditorium]], coffeehouses, [[brunch]], [[malls]] ",0.02087712287902832,0.10404425859451294,3,3,3,532,"Failed"
"[[Hostages]] plight clouds meeting of Blairs party BRIGHTON, [[England]] The annual conference of Prime Minister Tony Blair #39;s [[Labour]] Party opened here Monday under the pall of the war in [[Iraq]], as the [[fate]] of the British [[hostage]] Ken Bigley remained uncertain amid fresh [[appeals]] for his release from family ","[[Jailers]] plight clouds meeting of Blairs party BRIGHTON, [[Britannica]] The annual conference of Prime Minister Tony Blair #39;s [[Laborer]] Party opened here Monday under the pall of the war in [[Basra]], as the [[targeting]] of the British [[bailout]] Ken Bigley remained uncertain amid fresh [[requested]] for his release from family ",0.0009708404541015625,0.507495641708374,0,2,0,277,"Successful"
"UN #39;s Kofe Annan [[Calls]] Iraq War Illegal United [[Nations]] Secretary General [[Kofi]] Annan said this week that the US war in [[Iraq]] is illegal and [[questioned]] whether the [[country]] could [[hold]] [[credible]] ","UN #39;s Kofe Annan [[Pray]] Iraq War Illegal United [[Estado]] Secretary General [[Annan]] Annan said this week that the US war in [[Iraqi]] is illegal and [[survey]] whether the [[estados]] could [[obligated]] [[creditable]] ",0.0015909075736999512,0.6550610065460205,0,2,0,235,"Successful"
"Starting [[today]], funds' [[stances]] on proxies are matter of record Every year, public companies put a number of [[questions]] before their stockholders for a vote. [[Investors]] weigh in on whether to reelect company directors, reappoint auditors, and [[approve]] or kill plans to give big stock [[option]] packages to senior executives.","Starting [[dating]], funds' [[sites]] on proxies are matter of record Every year, public companies put a number of [[lawsuits]] before their stockholders for a vote. [[Invests]] weigh in on whether to reelect company directors, reappoint auditors, and [[licensing]] or kill plans to give big stock [[opt]] packages to senior executives.",0.02008277177810669,0.5397393703460693,2,3,2,231,"Successful"
"[[Blast]] [[kills]] one, [[injures]] 15 in southwest [[Pakistan]] QUETTA, [[Pakistan]] - A [[bomb]] [[fixed]] to a bicycle [[killed]] one [[man]] and [[injured]] 15 [[people]] in [[southwestern]] Pakistans restive desert [[province]] of Baluchistan on Thursday, police said.","[[Outbursts]] [[kill]] one, [[lacerations]] 15 in southwest [[Lahore]] QUETTA, [[Lahore]] - A [[blasting]] [[remedied]] to a bicycle [[mortality]] one [[mating]] and [[victim]] 15 [[humans]] in [[northward]] Pakistans restive desert [[columbia]] of Baluchistan on Thursday, police said.",0.0009669065475463867,0.526166558265686,0,3,0,459,"Successful"
"Xybernaut [[sews]] up bright-light [[mobile]] [[PC]] [[The]] flat-panel Atigo [[T]]/HB, [[designed]] for [[use]] in [[bright]] [[outdoor]] [[lighting]], [[works]] as a wearable [[computer]] or as a [[wireless]] [[display]].","Xybernaut [[sewing]] up bright-light [[motorized]] [[MACHINE]] [[Both]] flat-panel Atigo [[tonne]]/HB, [[focused]] for [[employs]] in [[smart]] [[outpatient]] [[lights]], [[workplace]] as a wearable [[appliances]] or as a [[walkie]] [[proves]].",0.006801426410675049,0.06413263082504272,3,3,3,332,"Failed"
