original_text,perturbed_text,label
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk [[assurance]] SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Aerial]] group.",2
"Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts [[Mills]] Corp. [[agreed]] to [[purchase]] a 50 percent interest in nine [[malls]] [[owned]] by General Motors [[Asset]] [[Management]] Corp. for just over \$1 billion, [[creating]] a [[new]] [[joint]] [[venture]] between the [[groups]]. The [[deal]] [[will]] [[extend]] ...","Mills Grabs \$1B Portfolio; Taubman Likely to Lose Contracts [[Flora]] Corp. [[concedes]] to [[bribe]] a 50 percent interest in nine [[shopper]] [[possessed]] by General Motors [[Heritage]] [[Directorate]] Corp. for just over \$1 billion, [[forging]] a [[newest]] [[mixed]] [[corporations]] between the [[gatherings]]. The [[face]] [[wants]] [[widens]] ...",2
"[[Sun]] to shine spotlight on [[new]] operating [[system]], Solaris 10 Sun Microsystems SUNW is expected to [[release]] a new [[version]] of its operating [[system]] today - a big part of the struggling [[computer]] maker #39;s plan to [[save]] itself.","[[Sundown]] to shine spotlight on [[recent]] operating [[plans]], Solaris 10 Sun Microsystems SUNW is expected to [[ridding]] a new [[stepping]] of its operating [[systems]] today - a big part of the struggling [[equipment]] maker #39;s plan to [[rescue]] itself.",3
"[[Fed]] [[Cup]] all [[tied]] up FRANCE #39;[[S]] Russian-born Tatiana Golovin left the [[Fed]] [[Cup]] final [[hanging]] in the balance [[today]] as she beat [[Russia]] #39;s US [[Open]] [[champion]] [[Svetlana]] Kuznetsova 6-4, 6-1 to level the tie at 2-2 and [[take]] it to the final doubles [[match]].","[[Mus]] [[Glassware]] all [[ties]] up FRANCE #39;[[r]] Russian-born Tatiana Golovin left the [[Stimulated]] [[Coupe]] final [[dangle]] in the balance [[mardi]] as she beat [[Putin]] #39;s US [[Launching]] [[backer]] [[Julia]] Kuznetsova 6-4, 6-1 to level the tie at 2-2 and [[adopts]] it to the final doubles [[mating]].",1
"[[Nokia]] announces [[Near]] [[Field]] Communication [[products]] [[With]] the Nokia NFC (Near [[Field]] Communication) [[shell]] on their phone, [[consumers]] will [[be]] [[able]] to [[access]] a [[variety]] of services and [[exchange]] [[information]] with a [[simple]] [[touch]] [[gesture]].","[[Iphone]] announces [[Closing]] [[Domains]] Communication [[proceeds]] [[Among]] the Nokia NFC (Near [[Overland]] Communication) [[shelled]] on their phone, [[shoppers]] will [[coming]] [[skilful]] to [[entrance]] a [[differentiated]] of services and [[stocks]] [[endorsements]] with a [[rationalized]] [[affect]] [[cue]].",3
[[Today]] in [[Athens]] Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[tear]] after winning the gold medal in the [[women]] #39;s road cycling individual [[time]] trial at the Vouliagmeni [[Olympic]] [[Centre]] in [[Athens]] on [[Wednesday]]. ,[[Nowadays]] in [[Acropolis]] Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[popped]] after winning the gold medal in the [[mujer]] #39;s road cycling individual [[lifespan]] trial at the Vouliagmeni [[Olympus]] [[Concentrator]] in [[Athena]] on [[Nowadays]]. ,1
"Afghans [[rocky]] road to [[historic]] [[elections]] KALAKAN, Afghanistan There were toothless old [[men]], turbaned and gray-bearded, and [[young]] [[men]] not yet [[old]] enough to shave. There were mullahs and mujahedeen, and the presidential [[candidate]] #39;s 3-year-old [[son]].","Afghans [[roca]] road to [[origins]] [[vote]] KALAKAN, Afghanistan There were toothless old [[bulls]], turbaned and gray-bearded, and [[immature]] [[humans]] not yet [[ancestral]] enough to shave. There were mullahs and mujahedeen, and the presidential [[apps]] #39;s 3-year-old [[yarn]].",0
President Hu [[congratulates]] Sihamoni on becoming [[king]] of [[Cambodia]] Chinese [[President]] Hu Jintao [[sent]] a [[message]] to Norodom Sihamoni on Thursday to [[congratulate]] him on his election as the [[king]] of Cambodia.,President Hu [[appreciates]] Sihamoni on becoming [[kaiser]] of [[Indochina]] Chinese [[Wheelchair]] Hu Jintao [[shipping]] a [[telecommunications]] to Norodom Sihamoni on Thursday to [[complimenting]] him on his election as the [[roi]] of Cambodia.,0
Oil Prices Set a [[New]] [[Record]] [[Above]] \$50  [[SINGAPORE]] ([[Reuters]]) - [[Oil]] prices [[set]] a new record above \$50  a [[barrel]] on [[Tuesday]] as a prolonged [[U]].S. production [[outage]]  following [[Hurricane]] [[Ivan]] attracted fresh [[speculative]] [[buying]].,Oil Prices Set a [[Nuevo]] [[Album]] [[Elder]] \$50  [[LUMPUR]] ([[Newsday]]) - [[Benzene]] prices [[determines]] a new record above \$50  a [[casks]] on [[Jue]] as a prolonged [[ni]].S. production [[adjournment]]  following [[Typhoon]] [[Luan]] attracted fresh [[hypothetical]] [[bribed]].,2
"Phelps Seeks More Gold at [[World]] [[Championships]]  INDIANAPOLIS ([[Reuters]]) - Still riding a [[wave]] of euphoria  from the Olympics, Michael Phelps returns to the pool this [[week]]  at the world short course [[swimming]] championships seeking a  [[repeat]] of his six gold medals in Athens.","Phelps Seeks More Gold at [[Planetary]] [[Copa]]  INDIANAPOLIS ([[Newsday]]) - Still riding a [[tsunamis]] of euphoria  from the Olympics, Michael Phelps returns to the pool this [[congee]]  at the world short course [[bathers]] championships seeking a  [[reproduces]] of his six gold medals in Athens.",1
